Grid_Number,Grid_Population
0,8511
1,14320
2,8100
3,14390
4,6741
5,1851
6,14364
7,15556
8,23246
9,21120
10,16282
11,13557
12,13654
13,19286
14,19254
15,14346
16,19608
17,15842
18,10994
19,12283
20,13952
21,7093
22,16129
23,7989
24,895
25,17678
26,28658
27,33593
28,23821
29,20219
30,20029
31,15150
32,24973
33,23441
34,16966
35,7556
36,3728
37,10898
38,20054
39,18635
40,24864
41,25623
42,11710
43,7519
44,13792
45,28464
46,33771
47,34767
48,32746
49,29369
50,31683
51,36383
52,28771
53,21026
54,11332
55,741
56,4970
57,16097
58,27123
59,31277
60,30071
61,20957
62,19664
63,14287
64,11777
65,32264
66,35699
67,32359
68,26523
69,27970
70,37707
71,36923
72,20139
73,9275
74,8510
75,6230
76,14364
77,29443
78,33676
79,30646
80,33152
81,30991
82,31030
83,27667
84,35051
85,35709
86,29448
87,19029
88,35421
89,37059
90,34234
91,33819
92,24216
93,20149
94,18033
95,6298
96,24784
97,31480
98,24100
99,19357
100,15104
101,29252
102,33951
103,35246
104,36158
105,33480
106,31820
107,36558
108,39369
109,32771
110,26160
111,24706
112,20763
113,10936
114,5519
115,10086
116,29603
117,22302
118,2985
119,7962
120,26672
121,34449
122,36212
123,35479
124,32661
125,31475
126,36346
127,36746
128,35368
129,19954
130,25426
131,21530
132,12745
133,18698
134,15692
135,20805
136,19791
137,3037
138,4822
139,12269
140,15214
141,34888
142,35766
143,27572
144,29095
145,35654
146,28463
147,30939
148,27296
149,29450
150,21628
151,14008
152,26743
153,24768
154,21979
155,22232
156,16184
157,16339
158,20265
159,20637
160,34602
161,36812
162,34801
163,35096
164,37718
165,35737
166,34542
167,37662
168,30344
169,26354
170,23385
171,26632
172,30529
173,32061
174,33690
175,31195
176,27698
177,12417
178,29825
179,33442
180,34485
181,35192
182,35339
183,38825
184,38501
185,35865
186,37971
187,34573
188,29772
189,22637
190,5148
191,10758
192,18470
193,16788
194,25905
195,13724
196,9847
197,26667
198,31754
199,35645
200,33962
201,35639
202,35674
203,36441
204,37476
205,33343
206,28755
207,27118
208,15909
209,0
210,0
211,0
212,0
213,3561
214,2889
215,6920
216,21398
217,29021
218,31928
219,34765
220,33461
221,28702
222,35053
223,35399
224,33635
225,29254
226,26222
227,12343
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1511
237,3322
238,7786
239,15726
240,20038
241,34089
242,34422
243,36784
244,34490
245,31042
246,17146
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,6210
260,22127
261,19280
262,31515
263,34782
264,25817
265,19924
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1263
280,690
281,298
282,3174
283,270
284,0
