Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[17.29, 78.38]",28,2,9117.0301,0.3291,Hyderabad,Rejected,0.0,0.0,0.0,0.0
1,"[17.3, 78.38]",24,4,8241.3526,0.4301,Hyderabad,Rejected,0.0,0.0,0.0,0.0
2,"[17.31, 78.38]",65,12,13197.3298,0.5286,Hyderabad,Rejected,0.0,0.0,0.0,0.0
3,"[17.32, 78.38]",27,2,8674.6419,0.4118,Hyderabad,Rejected,0.0,0.0,0.0,0.0
4,"[17.33, 78.38]",62,13,11779.0022,0.3859,Hyderabad,Rejected,0.0,0.0,0.0,0.0
5,"[17.34, 78.38]",106,27,15929.4796,0.4843,Hyderabad,Rejected,0.0,0.0,0.0,0.0
6,"[17.35, 78.38]",181,45,26167.3652,0.5084,Hyderabad,Rejected,0.0,0.0,0.0,0.0
7,"[17.36, 78.38]",165,54,22922.0523,0.5771,Hyderabad,Rejected,0.0,0.0,0.0,0.0
8,"[17.37, 78.38]",48,15,10452.6871,0.3207,Hyderabad,Rejected,0.0,0.0,0.106647,0.0
9,"[17.38, 78.38]",99,16,14059.9648,0.3363,Hyderabad,Rejected,0.0,0.0,0.393314,0.0
10,"[17.39, 78.38]",198,43,26995.0075,0.6128,Hyderabad,Rural,0.0,0.113952,0.395179,0.0
11,"[17.4, 78.38]",208,40,27380.5927,0.5718,Hyderabad,Rejected,0.0,0.19065,0.143901,0.0
12,"[17.41, 78.38]",95,48,19263.2437,0.5197,Hyderabad,Rejected,0.0,0.006573999999999999,0.010957,0.0
13,"[17.42, 78.38]",23,3,6306.6261,0.2062,Hyderabad,Rejected,0.0,0.0,0.0,0.0
14,"[17.43, 78.38]",119,23,20616.6534,0.48100000000000004,Hyderabad,Rejected,0.0,0.0,0.0,0.0
15,"[17.44, 78.38]",231,32,29644.0346,0.5401,Hyderabad,Rejected,0.0,0.0,0.0,0.0
16,"[17.45, 78.38]",145,33,23871.882,0.5645,Hyderabad,Rejected,0.0,0.0,0.0,0.0
17,"[17.46, 78.38]",67,9,13037.8666,0.4068,Hyderabad,Rejected,0.0,0.0,0.0,0.0
18,"[17.47, 78.38]",226,36,25228.0051,0.5124,Hyderabad,Rejected,0.0,0.0,0.0,0.0
19,"[17.29, 78.39]",39,9,10028.3344,0.3555,Hyderabad,Rejected,0.0,0.0,0.0,0.0
20,"[17.3, 78.39]",45,14,12393.7139,0.415,Hyderabad,Rejected,0.0,0.0,0.0,0.0
21,"[17.31, 78.39]",56,12,14242.1519,0.5095,Hyderabad,Rejected,0.0,0.0,0.0,0.0
22,"[17.32, 78.39]",37,13,12530.7688,0.5965,Hyderabad,Rejected,0.0,0.0,0.0,0.0
23,"[17.33, 78.39]",102,12,12915.3477,0.5642,Hyderabad,Rejected,0.0,0.0,0.0,0.0
24,"[17.34, 78.39]",62,4,10819.4079,0.5151,Hyderabad,Rejected,0.0,0.0,0.00073,0.0
25,"[17.35, 78.39]",127,40,22471.1351,0.3837,Hyderabad,Rejected,0.0,0.0,0.441928,0.0
26,"[17.36, 78.39]",201,29,25211.8379,0.5776,Hyderabad,Rural,0.0,0.122717,0.668371,0.0
27,"[17.37, 78.39]",90,17,16216.588,0.4775,Hyderabad,Rural,0.0,0.0,0.9948870000000001,0.0
28,"[17.38, 78.39]",58,9,9590.1811,0.3639,Hyderabad,Rural,0.0,0.012802000000000001,0.9871979999999999,0.0
29,"[17.39, 78.39]",171,46,23386.2559,0.525,Hyderabad,Rural,0.0,0.377648,0.622352,0.0
30,"[17.4, 78.39]",326,60,34201.2976,0.6463,Hyderabad,PeriUrban,0.0,1.0,0.0,2.0
31,"[17.41, 78.39]",174,18,22206.5965,0.551,Hyderabad,Rural,0.0,0.262966,0.5449229999999999,0.0
32,"[17.42, 78.39]",53,9,11591.4214,0.3846,Hyderabad,Rejected,0.0,0.0,0.09788200000000001,0.0
33,"[17.43, 78.39]",147,14,21118.5212,0.5488,Hyderabad,Rejected,0.0,0.0,0.0,0.0
34,"[17.44, 78.39]",164,65,27709.3996,0.6208,Hyderabad,Rejected,0.0,0.0,0.0,0.0
35,"[17.45, 78.39]",187,64,29511.0174,0.6616,Hyderabad,Rejected,0.0,0.0,0.0,0.0
36,"[17.46, 78.39]",96,23,16170.2023,0.4353,Hyderabad,Rejected,0.0,0.0,0.0,0.0
37,"[17.47, 78.39]",80,12,12501.0885,0.4032,Hyderabad,Rejected,0.0,0.0,0.0,0.0
38,"[17.29, 78.4]",0,0,1606.9341,0.3015,Hyderabad,Rejected,0.0,0.0,0.0,0.0
39,"[17.3, 78.4]",15,2,7196.4712,0.4986,Hyderabad,Rejected,0.0,0.0,0.0,0.0
40,"[17.31, 78.4]",103,20,15141.7763,0.5752,Hyderabad,Rejected,0.0,0.0,0.0,0.0
41,"[17.32, 78.4]",90,15,15431.0558,0.4442,Hyderabad,Rejected,0.0,0.0,0.0,0.0
