Grid_Number,num_Government_Facilities
0,0.0
1,0.0
2,1.0
3,1.0
4,1.0
5,5.0
6,5.0
7,4.0
8,4.0
9,6.0
10,6.0
11,7.0
12,8.0
13,8.0
14,8.0
15,7.0
16,7.0
17,6.0
18,4.0
19,3.0
20,2.0
21,2.0
22,1.0
23,1.0
24,1.0
25,1.0
26,3.0
27,2.0
28,2.0
29,2.0
30,3.0
31,4.0
32,4.0
33,4.0
34,3.0
35,3.0
36,2.0
37,2.0
38,2.0
39,2.0
40,4.0
41,2.0
42,3.0
43,3.0
44,3.0
45,3.0
46,6.0
47,10.0
48,10.0
49,10.0
50,11.0
51,10.0
52,10.0
53,8.0
54,10.0
55,6.0
56,4.0
57,4.0
58,4.0
59,0.0
60,1.0
61,1.0
62,1.0
63,5.0
64,5.0
65,5.0
66,4.0
67,5.0
68,6.0
69,6.0
70,7.0
71,8.0
72,8.0
73,8.0
74,7.0
75,7.0
76,6.0
77,4.0
78,4.0
79,2.0
80,2.0
81,2.0
82,1.0
83,2.0
84,3.0
85,3.0
86,3.0
87,3.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,5.0
94,4.0
95,2.0
96,2.0
97,2.0
98,4.0
99,4.0
100,5.0
101,6.0
102,5.0
103,4.0
104,5.0
105,8.0
106,10.0
107,11.0
108,11.0
109,12.0
110,12.0
111,11.0
112,11.0
113,4.0
114,6.0
115,4.0
116,4.0
117,4.0
118,0.0
119,0.0
120,1.0
121,5.0
122,1.0
123,5.0
124,6.0
125,4.0
126,5.0
127,7.0
128,8.0
129,7.0
130,8.0
131,11.0
132,13.0
133,12.0
134,12.0
135,11.0
136,4.0
137,4.0
138,3.0
139,2.0
140,2.0
141,2.0
142,3.0
143,3.0
144,3.0
145,4.0
146,4.0
147,5.0
148,5.0
149,4.0
150,4.0
151,4.0
152,5.0
153,5.0
154,4.0
155,3.0
156,5.0
157,5.0
158,4.0
159,6.0
160,6.0
161,6.0
162,10.0
163,12.0
164,14.0
165,15.0
166,12.0
167,12.0
168,12.0
169,12.0
170,12.0
171,6.0
172,4.0
173,7.0
174,4.0
175,4.0
176,4.0
177,0.0
178,0.0
179,5.0
180,5.0
181,5.0
182,2.0
183,6.0
184,4.0
185,4.0
186,8.0
187,8.0
188,8.0
189,10.0
190,13.0
191,13.0
192,12.0
193,11.0
194,9.0
195,9.0
196,3.0
197,3.0
198,3.0
199,2.0
200,4.0
201,3.0
202,4.0
203,4.0
204,5.0
205,6.0
206,5.0
207,5.0
208,5.0
209,8.0
210,5.0
211,5.0
212,6.0
213,5.0
214,5.0
215,5.0
216,5.0
217,7.0
218,6.0
219,11.0
220,19.0
221,27.0
222,29.0
223,29.0
224,28.0
225,19.0
226,14.0
227,12.0
228,12.0
229,12.0
230,13.0
231,5.0
232,5.0
233,5.0
234,4.0
235,4.0
236,0.0
237,5.0
238,5.0
239,5.0
240,6.0
241,5.0
242,3.0
243,4.0
244,5.0
245,5.0
246,8.0
247,9.0
248,16.0
249,15.0
250,14.0
251,13.0
252,13.0
253,9.0
254,9.0
255,8.0
256,3.0
257,3.0
258,3.0
259,4.0
260,5.0
261,4.0
262,4.0
263,5.0
264,6.0
265,6.0
266,8.0
267,7.0
268,7.0
269,7.0
270,9.0
271,7.0
272,5.0
273,5.0
274,5.0
275,6.0
276,7.0
277,11.0
278,26.0
279,36.0
280,40.0
281,39.0
282,39.0
283,42.0
284,32.0
285,19.0
286,15.0
287,12.0
288,12.0
289,13.0
290,9.0
291,5.0
292,5.0
293,4.0
294,4.0
295,3.0
296,3.0
297,4.0
298,4.0
299,4.0
300,3.0
301,3.0
302,4.0
303,5.0
304,5.0
305,7.0
306,14.0
307,16.0
308,14.0
309,15.0
310,13.0
311,12.0
312,10.0
313,9.0
314,9.0
315,4.0
316,3.0
317,3.0
318,5.0
319,5.0
320,6.0
321,6.0
322,7.0
323,7.0
324,11.0
325,11.0
326,9.0
327,9.0
328,8.0
329,11.0
330,12.0
331,5.0
332,5.0
333,5.0
334,6.0
335,7.0
336,17.0
337,20.0
338,36.0
339,43.0
340,42.0
341,43.0
342,41.0
343,43.0
344,30.0
345,16.0
346,14.0
347,12.0
348,11.0
349,6.0
350,5.0
351,5.0
352,4.0
353,4.0
354,3.0
355,3.0
356,2.0
357,3.0
358,4.0
359,4.0
360,4.0
361,4.0
362,5.0
363,6.0
364,8.0
365,14.0
366,14.0
367,12.0
368,13.0
369,13.0
370,13.0
371,12.0
372,10.0
373,9.0
374,4.0
375,3.0
376,3.0
377,6.0
378,7.0
379,7.0
380,8.0
381,8.0
382,14.0
383,12.0
384,11.0
385,9.0
386,10.0
387,14.0
388,14.0
389,11.0
390,12.0
391,6.0
392,6.0
393,7.0
394,10.0
395,39.0
396,48.0
397,50.0
398,49.0
399,48.0
400,45.0
401,45.0
402,40.0
403,34.0
404,12.0
405,9.0
406,8.0
407,7.0
408,6.0
409,5.0
410,5.0
411,3.0
412,1.0
413,2.0
414,3.0
415,4.0
416,5.0
417,5.0
418,5.0
419,4.0
420,5.0
421,5.0
422,6.0
423,9.0
424,14.0
425,14.0
426,14.0
427,13.0
428,13.0
429,13.0
430,12.0
431,10.0
432,11.0
433,5.0
434,5.0
435,5.0
436,8.0
437,8.0
438,7.0
439,8.0
440,8.0
441,12.0
442,12.0
443,10.0
444,10.0
445,13.0
446,13.0
447,13.0
448,14.0
449,13.0
450,6.0
451,5.0
452,9.0
453,18.0
454,51.0
455,52.0
456,53.0
457,51.0
458,51.0
459,49.0
460,47.0
461,42.0
462,39.0
463,11.0
464,9.0
465,7.0
466,7.0
467,6.0
468,4.0
469,4.0
470,4.0
471,1.0
472,3.0
473,5.0
474,5.0
475,5.0
476,7.0
477,8.0
478,8.0
479,5.0
480,5.0
481,7.0
482,9.0
483,9.0
484,13.0
485,15.0
486,15.0
487,13.0
488,13.0
489,13.0
490,13.0
491,11.0
492,7.0
493,7.0
494,13.0
495,14.0
496,16.0
497,15.0
498,9.0
499,9.0
500,15.0
501,12.0
502,12.0
503,12.0
504,12.0
505,15.0
506,16.0
507,15.0
508,14.0
509,7.0
510,8.0
511,10.0
512,22.0
513,46.0
514,51.0
515,54.0
516,55.0
517,53.0
518,55.0
519,50.0
520,43.0
521,36.0
522,9.0
523,8.0
524,7.0
525,6.0
526,4.0
527,3.0
528,3.0
529,3.0
530,3.0
531,5.0
532,5.0
533,7.0
534,7.0
535,7.0
536,8.0
537,9.0
538,8.0
539,7.0
540,6.0
541,9.0
542,9.0
543,14.0
544,15.0
545,15.0
546,14.0
547,16.0
548,15.0
549,15.0
550,9.0
551,12.0
552,13.0
553,13.0
554,14.0
555,16.0
556,17.0
557,17.0
558,13.0
559,15.0
560,16.0
561,15.0
562,12.0
563,16.0
564,17.0
565,18.0
566,18.0
567,17.0
568,13.0
569,11.0
