Grid_Number,num_Education
0,15.0
1,15.0
2,15.0
3,19.0
4,18.0
5,14.0
6,14.0
7,17.0
8,19.0
9,22.0
10,23.0
11,24.0
12,22.0
13,24.0
14,23.0
15,21.0
16,16.0
17,11.0
18,14.0
19,21.0
20,18.0
21,21.0
22,22.0
23,21.0
24,19.0
25,20.0
26,22.0
27,16.0
28,14.0
29,13.0
30,12.0
31,11.0
32,7.0
33,10.0
34,9.0
35,10.0
36,12.0
37,18.0
38,20.0
39,20.0
40,22.0
41,25.0
42,22.0
43,21.0
44,22.0
45,23.0
46,28.0
47,36.0
48,45.0
49,44.0
50,45.0
51,39.0
52,42.0
53,38.0
54,39.0
55,29.0
56,17.0
57,13.0
58,11.0
59,15.0
60,16.0
61,18.0
62,20.0
63,19.0
64,18.0
65,15.0
66,17.0
67,22.0
68,26.0
69,29.0
70,34.0
71,31.0
72,34.0
73,32.0
74,32.0
75,28.0
76,21.0
77,24.0
78,23.0
79,24.0
80,29.0
81,29.0
82,29.0
83,28.0
84,26.0
85,29.0
86,23.0
87,17.0
88,17.0
89,14.0
90,12.0
91,9.0
92,10.0
93,11.0
94,14.0
95,15.0
96,18.0
97,22.0
98,24.0
99,25.0
100,28.0
101,29.0
102,36.0
103,37.0
104,37.0
105,49.0
106,51.0
107,53.0
108,58.0
109,56.0
110,48.0
111,47.0
112,48.0
113,51.0
114,38.0
115,23.0
116,17.0
117,12.0
118,14.0
119,19.0
120,20.0
121,26.0
122,25.0
123,21.0
124,21.0
125,23.0
126,30.0
127,34.0
128,39.0
129,37.0
130,37.0
131,41.0
132,57.0
133,60.0
134,56.0
135,50.0
136,33.0
137,30.0
138,36.0
139,37.0
140,35.0
141,34.0
142,37.0
143,32.0
144,29.0
145,23.0
146,21.0
147,18.0
148,18.0
149,16.0
150,10.0
151,12.0
152,12.0
153,20.0
154,23.0
155,27.0
156,33.0
157,35.0
158,32.0
159,34.0
160,39.0
161,46.0
162,60.0
163,71.0
164,78.0
165,78.0
166,76.0
167,68.0
168,59.0
169,55.0
170,52.0
171,52.0
172,51.0
173,38.0
174,22.0
175,17.0
176,15.0
177,17.0
178,21.0
179,24.0
180,29.0
181,30.0
182,23.0
183,22.0
184,27.0
185,33.0
186,41.0
187,44.0
188,44.0
189,57.0
190,75.0
191,81.0
192,78.0
193,68.0
194,69.0
195,58.0
196,50.0
197,41.0
198,38.0
199,36.0
200,38.0
201,42.0
202,44.0
203,35.0
204,29.0
205,31.0
206,24.0
207,21.0
208,19.0
209,24.0
210,20.0
211,20.0
212,24.0
213,26.0
214,28.0
215,34.0
216,38.0
217,40.0
218,53.0
219,57.0
220,99.0
221,116.0
222,116.0
223,111.0
224,112.0
225,110.0
226,86.0
227,62.0
228,59.0
229,55.0
230,56.0
