Grid_Number,n_Utilities
0,0.5063820447516117
1,0.6344067604870313
2,1.1655898163453595
3,1.7277886106792604
4,2.0819212882764564
5,1.5458869899681567
6,0.4901054759377895
7,0.3031128851029311
8,0.4467484559340688
9,0.247106171638158
10,0.45020780057420395
11,0.5871849667591419
12,0.8108640366645201
13,0.3217778886957189
14,0.43077432925711917
15,0.746217858663064
16,0.4471779183868045
17,0.14690547693376785
18,0.18508802916423392
19,0.11270967405829328
20,0.38960450808786407
21,0.5495591498862179
22,0.7731155248515112
23,1.230599226006741
24,1.240676672961532
25,0.14959367461358036
26,0.6671465048757647
27,0.11341150623379401
28,0.2450479687887816
29,0.17439592277588126
30,0.020625994011318583
31,0.28480259600115887
32,0.04973176021886688
33,0.18628289818852756
34,0.36243948856073616
35,0.6913126970686019
36,0.4609914593422572
37,0.5414189795066915
38,0.08719172180249461
39,0.07011003426983632
40,0.17351144739278576
41,0.16590273983749548
42,0.5337378247187563
43,0.6424365864379473
44,0.4920302915899743
45,0.04990568238807938
46,0.2483681660366595
47,0.040014691289915465
48,0.21593687258058153
49,0.24282752404000052
50,0.08411193355712555
51,0.13690981124189294
52,0.26310632292418973
53,0.12601407698603123
54,0.039366053425763534
55,0.6433603255786076
56,0.7717901887531116
57,0.417998167872757
58,0.11822290354660148
59,0.24950698879569583
60,0.14250980533292856
61,0.29945389781411863
62,0.2713027127169634
63,0.34332529743372475
64,0.3665424717706761
65,0.3684623319421818
66,0.1930540955667981
67,0.21618813023871106
68,0.15757386922036887
69,0.47194713006418315
70,0.18804141533942295
71,0.11747834528638135
72,0.8681475659762079
73,0.3723121647360736
74,0.11531119389529201
75,0.3115750432151065
76,0.4222546825609469
77,0.05739928843671251
78,0.1432097355731964
79,0.019150531659585728
80,0.1401661949006748
81,0.1959397612840527
82,0.11899502687162773
83,0.21128172911201676
84,0.4709714504806941
85,0.2877249379108004
86,0.1192721609751028
87,0.5796506891390031
88,0.1682353946955289
89,0.07568013656254291
90,0.09417961379424518
91,0.1615231557919714
92,0.2114624296545642
93,0.043696645044937574
94,0.15366950115610148
95,0.3884343656195147
96,0.47457049802782997
97,0.0729438807647838
98,0.16388777324839088
99,0.06045303523230191
100,0.308865307872129
101,0.5938450911620093
102,0.07216977820326438
103,0.12347588714820457
104,0.2292451298665109
105,0.12481250099683623
106,0.06465482729114755
107,0.09065276895232402
108,0.25062342147538585
109,0.3934078470360291
110,0.12317790528351732
111,0.3198615543060231
112,0.15987337261849865
113,0.5411232055130839
114,1.303890352083152
115,0.6935546578279127
116,0.10515850840831797
117,0.12807451442123222
118,0.7055570811917637
119,0.5861769863482993
120,0.31827546379666694
121,0.1335341061521675
122,0.15544618640856675
123,0.08933673983183554
124,0.11429642609440768
125,0.23781839339929475
126,0.10784655907808442
127,0.0751511754853704
128,0.18747457967423828
