Grid_Number,Grid_Population
0,13419
1,5636
2,16270
3,16843
4,20873
5,28911
6,10222
7,16712
8,11307
9,15102
10,10296
11,14234
12,12631
13,1884
14,7563
15,5046
16,17459
17,19385
18,24689
19,29540
20,7500
21,17705
22,15080
23,16986
24,12731
25,15129
26,9365
27,7651
28,15836
29,7333
30,22058
31,18154
32,30085
33,21984
34,4624
35,13011
36,12397
37,15007
38,13933
39,15796
40,2711
41,17457
42,23146
43,31171
44,38016
45,39345
46,36990
47,15395
48,16191
49,25167
50,20007
51,19124
52,20049
53,19059
54,16614
55,4958
56,35083
57,35090
58,25619
59,37197
60,31674
61,20317
62,15574
63,28028
64,23045
65,21677
66,26308
67,21914
68,14544
69,7357
70,32788
71,35954
72,37649
73,40093
74,41016
75,34069
76,7375
77,23587
78,26245
79,27182
80,25487
81,23527
82,19421
83,14497
84,34614
85,38238
86,42420
87,42417
88,37525
89,15941
90,24912
91,5863
92,20461
93,29625
94,25924
95,22483
96,19877
97,18936
98,39755
99,41049
100,42206
101,43145
102,40597
103,19861
104,11975
105,24492
106,16295
107,14143
108,20187
109,25296
110,25134
111,23839
112,38713
113,33884
114,34399
115,43514
116,43785
117,42178
118,42891
119,43178
120,43330
121,41379
122,23504
123,9149
124,20598
125,22391
126,38175
127,39019
128,37201
129,44222
130,43863
131,44587
132,44153
133,44170
134,44747
135,45360
136,42568
137,15875
138,4443
139,8883
140,38816
141,38223
142,39305
143,43732
144,42844
145,44413
146,44004
147,41890
148,43551
149,45306
150,44364
151,43241
152,41702
153,41202
154,34655
155,38892
156,39392
157,39070
158,40661
159,41938
160,43198
161,42823
162,41826
163,43258
164,43939
165,41841
166,42916
167,39592
168,30004
169,36612
170,38340
171,35621
172,30688
173,34985
174,41277
175,41219
176,37995
177,37775
178,40536
179,35213
180,34239
181,33464
182,21654
183,25892
184,27034
185,9683
186,21865
187,29308
188,27540
189,31906
190,36289
191,37536
192,39067
193,37267
194,35988
195,30325
