Grid_Number,Ban_n_Utilities
0,0.0
1,0.0
2,0.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,1.0
9,1.0
10,1.0
11,1.0
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,2.0
25,2.0
26,2.0
27,2.0
28,1.0
29,1.0
30,2.0
31,2.0
32,2.0
33,2.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,0.0
40,0.0
41,0.0
42,1.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,3.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,0.0
55,0.0
56,0.0
57,2.0
58,2.0
59,0.0
60,0.0
61,0.0
62,0.0
63,2.0
64,2.0
65,2.0
66,1.0
67,1.0
68,1.0
69,1.0
70,2.0
71,2.0
72,2.0
73,2.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,1.0
80,0.0
81,0.0
82,1.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,2.0
89,2.0
90,2.0
91,3.0
92,3.0
93,3.0
94,0.0
95,0.0
96,1.0
97,1.0
98,1.0
99,0.0
100,1.0
101,2.0
102,2.0
103,2.0
104,3.0
105,3.0
106,3.0
107,4.0
108,3.0
109,2.0
110,2.0
111,2.0
112,0.0
113,3.0
114,0.0
115,0.0
116,2.0
117,2.0
118,0.0
119,0.0
120,0.0
121,3.0
122,3.0
123,2.0
124,2.0
125,1.0
126,1.0
127,1.0
128,2.0
129,2.0
130,2.0
131,4.0
132,4.0
133,4.0
134,4.0
135,4.0
136,2.0
137,3.0
138,3.0
139,2.0
140,1.0
141,3.0
142,3.0
143,3.0
144,3.0
145,1.0
146,3.0
147,3.0
148,2.0
149,3.0
150,3.0
151,3.0
152,3.0
153,3.0
154,0.0
155,0.0
156,1.0
157,1.0
158,2.0
159,2.0
160,2.0
161,2.0
162,4.0
163,5.0
164,5.0
165,5.0
166,4.0
167,4.0
168,4.0
169,2.0
170,2.0
171,3.0
172,3.0
173,3.0
174,0.0
175,2.0
176,2.0
177,0.0
178,0.0
179,3.0
180,3.0
181,3.0
182,2.0
183,2.0
184,1.0
185,1.0
186,2.0
187,2.0
188,2.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,4.0
196,3.0
197,3.0
198,3.0
199,3.0
200,3.0
201,4.0
202,4.0
203,4.0
204,3.0
205,3.0
206,3.0
207,3.0
208,3.0
209,4.0
210,3.0
211,3.0
212,3.0
213,3.0
214,0.0
215,0.0
216,2.0
217,2.0
218,2.0
219,3.0
220,11.0
221,16.0
222,16.0
223,15.0
224,14.0
225,8.0
226,5.0
227,4.0
228,3.0
229,2.0
230,3.0
231,3.0
232,3.0
233,3.0
234,2.0
235,2.0
236,0.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,2.0
243,2.0
244,2.0
245,2.0
246,3.0
247,4.0
248,5.0
249,5.0
250,4.0
251,5.0
252,5.0
253,5.0
254,6.0
255,6.0
256,3.0
257,3.0
258,3.0
259,3.0
260,5.0
261,5.0
262,6.0
263,5.0
264,4.0
265,3.0
266,8.0
267,8.0
268,7.0
269,7.0
270,7.0
271,3.0
272,3.0
273,3.0
274,1.0
275,2.0
276,2.0
277,3.0
278,14.0
279,17.0
280,19.0
281,19.0
282,19.0
283,16.0
284,16.0
285,10.0
286,4.0
287,4.0
288,3.0
289,3.0
290,3.0
291,3.0
292,2.0
293,2.0
294,2.0
295,2.0
296,2.0
297,2.0
298,3.0
299,3.0
300,2.0
301,2.0
302,4.0
303,5.0
304,4.0
305,5.0
306,7.0
307,7.0
308,7.0
309,7.0
310,6.0
311,5.0
312,6.0
313,0.0
314,2.0
315,5.0
316,4.0
317,3.0
318,5.0
319,6.0
320,6.0
321,6.0
322,5.0
323,5.0
324,10.0
325,9.0
326,9.0
327,8.0
328,7.0
329,7.0
330,7.0
331,3.0
332,3.0
333,3.0
334,2.0
335,2.0
336,4.0
337,19.0
338,20.0
339,20.0
340,20.0
341,20.0
342,20.0
343,17.0
344,16.0
345,6.0
346,5.0
347,3.0
348,3.0
349,3.0
350,2.0
351,2.0
352,2.0
353,2.0
354,2.0
355,2.0
356,3.0
357,3.0
358,3.0
359,2.0
360,4.0
361,4.0
362,5.0
363,7.0
364,6.0
365,7.0
366,7.0
367,7.0
368,7.0
369,7.0
370,6.0
371,6.0
372,9.0
373,9.0
374,5.0
375,4.0
376,4.0
377,6.0
378,6.0
379,6.0
380,7.0
381,5.0
382,10.0
383,10.0
384,11.0
385,9.0
386,8.0
387,8.0
388,7.0
389,7.0
390,7.0
391,3.0
392,3.0
393,2.0
394,3.0
395,15.0
396,22.0
397,23.0
398,23.0
399,12.0
400,21.0
401,20.0
402,19.0
403,17.0
404,6.0
405,4.0
406,5.0
407,3.0
408,3.0
409,3.0
410,3.0
411,2.0
412,2.0
413,2.0
414,2.0
415,3.0
416,3.0
417,2.0
418,2.0
419,3.0
420,5.0
421,6.0
422,7.0
423,7.0
424,9.0
425,8.0
426,8.0
427,7.0
428,7.0
429,7.0
430,6.0
431,6.0
432,9.0
433,5.0
434,4.0
435,5.0
436,9.0
437,10.0
438,9.0
439,9.0
440,8.0
441,11.0
442,10.0
443,10.0
444,11.0
445,10.0
446,10.0
447,9.0
448,8.0
449,8.0
450,3.0
451,3.0
452,2.0
453,7.0
454,18.0
455,23.0
456,24.0
457,23.0
458,24.0
459,12.0
460,21.0
461,20.0
462,18.0
463,8.0
464,4.0
465,4.0
466,3.0
467,3.0
468,3.0
469,2.0
470,3.0
471,2.0
472,2.0
473,2.0
474,2.0
475,2.0
476,2.0
477,3.0
478,4.0
479,4.0
480,7.0
481,7.0
482,7.0
483,6.0
484,8.0
485,9.0
486,7.0
487,8.0
488,7.0
489,6.0
490,8.0
491,8.0
492,5.0
493,6.0
494,14.0
495,14.0
496,13.0
497,13.0
498,9.0
499,9.0
500,14.0
501,12.0
502,13.0
503,14.0
504,14.0
505,15.0
506,16.0
507,15.0
508,12.0
509,6.0
510,2.0
511,5.0
512,9.0
513,18.0
514,25.0
515,25.0
516,29.0
517,28.0
518,27.0
519,25.0
520,23.0
521,19.0
522,5.0
523,4.0
524,4.0
525,4.0
526,3.0
527,2.0
528,2.0
529,2.0
530,2.0
531,1.0
532,1.0
533,2.0
534,2.0
535,2.0
536,3.0
537,4.0
538,4.0
539,7.0
540,7.0
541,7.0
542,6.0
543,10.0
544,10.0
545,8.0
546,9.0
547,10.0
548,8.0
549,8.0
550,5.0
551,7.0
552,9.0
553,14.0
554,15.0
555,15.0
556,14.0
557,14.0
558,11.0
559,14.0
560,15.0
561,15.0
562,14.0
563,20.0
564,20.0
565,20.0
566,18.0
567,18.0
568,9.0
569,4.0
