Grid_Number,Mum_n_Utilities
515,8.0
516,277.0
517,256.0
518,237.0
519,200.0
520,159.0
521,132.0
522,142.0
523,140.0
524,134.0
525,115.0
526,100.0
527,99.0
528,90.0
529,76.0
530,64.0
531,51.0
532,4.0
533,4.0
534,5.0
535,5.0
536,4.0
537,4.0
538,2.0
539,2.0
540,2.0
541,3.0
542,14.0
543,32.0
544,80.0
545,128.0
546,154.0
547,183.0
548,18.0
549,17.0
550,9.0
551,7.0
552,20.0
553,16.0
554,16.0
555,241.0
556,206.0
557,168.0
558,136.0
559,118.0
560,116.0
561,129.0
562,111.0
563,94.0
564,73.0
565,62.0
566,53.0
567,36.0
568,33.0
569,28.0
570,5.0
571,5.0
572,5.0
573,5.0
574,4.0
575,5.0
576,2.0
577,3.0
578,3.0
579,4.0
580,8.0
581,26.0
582,60.0
583,98.0
584,127.0
585,150.0
586,13.0
587,19.0
588,3.0
589,266.0
590,265.0
591,243.0
592,13.0
593,11.0
594,171.0
595,10.0
596,4.0
597,114.0
598,132.0
599,127.0
600,107.0
601,106.0
602,86.0
603,63.0
604,53.0
605,42.0
606,20.0
607,17.0
608,5.0
609,5.0
610,5.0
611,5.0
612,4.0
613,4.0
614,2.0
615,3.0
616,3.0
617,3.0
618,7.0
619,19.0
620,48.0
621,87.0
622,100.0
623,126.0
624,10.0
625,169.0
626,197.0
627,214.0
628,213.0
629,197.0
630,179.0
631,157.0
632,12.0
633,13.0
634,11.0
635,8.0
636,147.0
637,156.0
638,149.0
639,141.0
640,119.0
641,112.0
642,95.0
643,75.0
644,42.0
645,28.0
646,6.0
647,6.0
648,6.0
649,5.0
650,4.0
651,4.0
652,2.0
653,2.0
654,3.0
655,3.0
656,7.0
657,14.0
658,33.0
659,55.0
660,76.0
661,4.0
662,97.0
663,118.0
664,147.0
665,153.0
666,152.0
667,134.0
668,117.0
669,117.0
670,122.0
671,120.0
672,4.0
673,9.0
674,168.0
675,168.0
676,170.0
677,174.0
678,160.0
679,154.0
680,141.0
681,104.0
682,74.0
683,42.0
684,6.0
685,6.0
686,5.0
687,6.0
688,5.0
689,2.0
690,2.0
691,2.0
692,2.0
693,3.0
694,7.0
695,8.0
696,21.0
697,28.0
698,50.0
699,62.0
700,65.0
701,69.0
702,84.0
703,92.0
704,93.0
705,82.0
706,87.0
707,95.0
708,104.0
709,112.0
710,122.0
711,151.0
712,16.0
713,168.0
714,176.0
715,176.0
716,178.0
717,168.0
718,149.0
719,116.0
720,78.0
721,52.0
722,5.0
723,5.0
724,5.0
725,6.0
726,5.0
727,2.0
728,2.0
729,2.0
730,2.0
731,2.0
732,5.0
733,7.0
734,10.0
735,20.0
736,29.0
737,37.0
738,43.0
739,42.0
740,40.0
741,32.0
742,20.0
743,40.0
744,53.0
745,72.0
746,92.0
747,104.0
748,117.0
749,152.0
750,168.0
751,172.0
752,173.0
753,177.0
754,175.0
755,170.0
756,146.0
757,118.0
758,80.0
759,59.0
760,5.0
761,5.0
762,5.0
763,4.0
764,4.0
765,2.0
766,2.0
767,2.0
768,2.0
769,2.0
770,2.0
771,7.0
772,6.0
773,10.0
774,18.0
775,19.0
776,21.0
777,17.0
778,10.0
779,3.0
780,9.0
781,20.0
782,31.0
783,42.0
784,60.0
785,81.0
786,108.0
787,130.0
788,155.0
789,166.0
790,175.0
791,175.0
792,171.0
793,168.0
794,143.0
795,113.0
796,72.0
797,60.0
798,3.0
799,3.0
800,3.0
801,4.0
802,3.0
803,2.0
804,2.0
805,2.0
806,2.0
807,2.0
808,2.0
809,1.0
810,6.0
811,6.0
812,8.0
813,11.0
814,10.0
815,6.0
816,3.0
817,3.0
818,3.0
819,3.0
820,8.0
821,10.0
822,27.0
823,47.0
824,68.0
825,98.0
826,121.0
827,159.0
828,169.0
829,168.0
830,164.0
831,152.0
832,135.0
833,94.0
834,68.0
835,57.0
