Grid_Number,Hyd_n_Utilities
0,10.0
1,15.0
2,25.0
3,45.0
4,48.0
5,61.0
6,77.0
7,97.0
8,119.0
9,121.0
10,124.0
11,133.0
12,127.0
13,142.0
14,148.0
15,136.0
16,108.0
17,86.0
18,75.0
19,18.0
20,26.0
21,42.0
22,58.0
23,70.0
24,82.0
25,101.0
26,135.0
27,149.0
28,150.0
29,160.0
30,12.0
31,190.0
32,207.0
33,204.0
34,180.0
35,145.0
36,120.0
37,92.0
38,24.0
39,32.0
40,53.0
41,72.0
42,98.0
43,101.0
44,127.0
45,173.0
46,202.0
47,9.0
48,8.0
49,10.0
50,256.0
51,272.0
52,272.0
53,233.0
54,190.0
55,160.0
56,115.0
57,28.0
58,42.0
59,66.0
60,102.0
61,129.0
62,149.0
63,174.0
64,201.0
65,9.0
66,7.0
67,12.0
68,17.0
69,338.0
70,337.0
71,318.0
72,274.0
73,232.0
74,199.0
75,154.0
76,45.0
77,61.0
78,84.0
79,124.0
80,149.0
81,5.0
82,7.0
83,11.0
84,7.0
85,293.0
86,12.0
87,348.0
88,376.0
89,362.0
90,344.0
91,301.0
92,256.0
93,216.0
94,162.0
95,59.0
96,78.0
97,108.0
98,143.0
99,166.0
100,207.0
101,11.0
102,12.0
103,5.0
104,11.0
105,8.0
106,371.0
107,365.0
108,362.0
109,336.0
110,309.0
111,259.0
112,221.0
113,182.0
114,67.0
115,86.0
116,126.0
117,168.0
118,207.0
119,246.0
120,11.0
121,16.0
122,14.0
123,18.0
124,17.0
125,15.0
126,380.0
127,387.0
128,344.0
129,303.0
130,280.0
131,237.0
132,184.0
133,69.0
134,106.0
135,2.0
136,11.0
137,17.0
138,11.0
139,7.0
140,9.0
141,13.0
142,17.0
143,13.0
144,12.0
145,24.0
146,20.0
147,27.0
148,329.0
149,298.0
150,249.0
151,190.0
152,83.0
153,9.0
154,2.0
155,5.0
156,9.0
157,14.0
158,12.0
159,9.0
160,19.0
161,11.0
162,15.0
163,6.0
164,9.0
165,392.0
166,377.0
167,9.0
168,292.0
169,256.0
170,174.0
171,79.0
172,2.0
173,153.0
174,7.0
175,8.0
176,5.0
177,12.0
178,21.0
179,23.0
180,12.0
181,11.0
182,7.0
183,418.0
184,402.0
185,373.0
186,6.0
187,273.0
188,8.0
189,158.0
190,80.0
191,119.0
192,3.0
193,7.0
194,12.0
195,8.0
196,11.0
197,17.0
198,12.0
199,14.0
200,19.0
201,14.0
202,17.0
203,352.0
204,17.0
205,15.0
206,250.0
207,183.0
208,145.0
209,76.0
210,114.0
211,168.0
212,10.0
213,9.0
214,10.0
215,13.0
216,6.0
217,16.0
218,5.0
219,12.0
220,13.0
221,21.0
222,6.0
223,26.0
224,6.0
225,216.0
226,175.0
227,153.0
228,71.0
229,102.0
230,147.0
231,191.0
232,244.0
233,11.0
234,20.0
235,13.0
236,14.0
237,8.0
238,12.0
239,9.0
240,12.0
241,4.0
242,7.0
243,10.0
244,200.0
245,159.0
246,145.0
247,57.0
248,93.0
249,123.0
250,161.0
251,202.0
252,241.0
253,10.0
254,11.0
255,8.0
256,15.0
257,18.0
258,11.0
259,15.0
260,10.0
261,4.0
262,9.0
263,181.0
264,158.0
265,123.0
266,47.0
267,70.0
268,99.0
269,143.0
270,170.0
271,198.0
272,227.0
273,229.0
274,238.0
275,248.0
276,227.0
277,234.0
278,216.0
279,200.0
280,193.0
281,14.0
282,154.0
283,134.0
284,98.0
285,36.0
286,46.0
287,76.0
288,117.0
289,143.0
290,162.0
291,173.0
292,181.0
293,173.0
294,189.0
295,174.0
296,164.0
297,167.0
298,159.0
299,144.0
300,127.0
301,113.0
302,91.0
303,74.0
