Grid_Number,Hyd_popu_Connectivity
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,8047.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,1057.0
27,-1.0
28,-1.0
29,38590.0
30,-1.0
31,-1.0
32,-1.0
33,12586.0
34,17227.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,12571.0
45,1879.0
46,5964.0
47,30342.0
48,38590.0
49,78081.0
50,-1.0
51,-1.0
52,46961.0
53,-1.0
54,56562.0
55,56562.0
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,-1.0
61,-1.0
62,-1.0
63,10897.0
64,-1.0
65,6047.0
66,-1.0
67,-1.0
68,-1.0
69,-1.0
70,38084.0
71,20054.0
72,-1.0
73,-1.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,14843.0
80,-1.0
81,-1.0
82,10886.0
83,7551.0
84,5017.0
85,-1.0
86,45878.0
87,-1.0
88,-1.0
89,20919.0
90,31641.0
91,-1.0
92,49595.0
93,13999.0
94,-1.0
95,-1.0
96,-1.0
97,10592.0
98,38128.0
99,-1.0
100,-1.0
101,43439.0
102,43439.0
103,31718.0
104,-1.0
105,7060.0
106,-1.0
107,-1.0
108,57975.0
109,7918.0
110,15244.0
111,11283.0
112,11879.0
113,-1.0
114,-1.0
115,-1.0
116,-1.0
117,-1.0
118,-1.0
119,-1.0
120,-1.0
121,-1.0
122,-1.0
123,63945.0
124,16290.0
125,23270.0
126,49191.0
127,13824.0
128,7301.0
129,7505.0
130,9930.0
131,-1.0
132,-1.0
133,-1.0
134,-1.0
135,42656.0
136,-1.0
137,-1.0
138,42703.0
139,62981.0
140,62981.0
141,-1.0
142,-1.0
143,26305.0
144,16107.0
145,16830.0
146,15041.0
147,14314.0
148,17296.0
149,11423.0
150,-1.0
151,-1.0
152,-1.0
153,32018.0
154,32018.0
155,-1.0
156,61896.0
157,-1.0
158,-1.0
159,47174.0
160,-1.0
161,-1.0
162,40745.0
163,4523.0
164,3382.0
165,8041.0
166,-1.0
167,12263.0
168,-1.0
169,-1.0
170,-1.0
171,-1.0
172,22016.0
173,32018.0
174,40470.0
175,19481.0
176,-1.0
177,44842.0
178,25916.0
179,6845.0
180,18990.0
181,6751.0
182,11775.0
183,4393.0
184,-1.0
185,11509.0
186,21591.0
187,-1.0
188,8881.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,40470.0
194,51872.0
195,51872.0
196,-1.0
197,32756.0
198,9809.0
199,6495.0
200,17178.0
201,23948.0
202,10600.0
203,763.0
204,8923.0
205,16373.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,39517.0
214,-1.0
215,48558.0
216,32756.0
217,4290.0
218,7269.0
219,15882.0
220,-1.0
221,18519.0
222,21769.0
223,14702.0
224,9860.0
225,77979.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,42500.0
233,42500.0
234,13361.0
235,9921.0
236,15574.0
237,14079.0
238,24405.0
239,31143.0
240,19559.0
241,8147.0
242,2476.0
243,42989.0
244,-1.0
245,-1.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,23087.0
253,28047.0
254,30829.0
255,20097.0
256,-1.0
257,-1.0
258,7257.0
259,6967.0
260,56774.0
261,16503.0
262,42989.0
263,-1.0
264,18474.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,12193.0
270,-1.0
271,15449.0
272,28047.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,56774.0
280,39265.0
281,39265.0
282,5062.0
283,18474.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,-1.0
289,-1.0
290,-1.0
291,-1.0
292,-1.0
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,23727.0
301,6141.0
302,10735.0
303,-1.0
