Grid_Number,Kol_popu_Connectivity
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,567.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,102272.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,44308.0
36,13680.0
37,27972.0
38,27972.0
39,40919.0
40,-1.0
41,-1.0
42,-1.0
43,21231.0
44,102272.0
45,-1.0
46,-1.0
47,60124.0
48,-1.0
49,27387.0
50,11867.0
51,14508.0
52,40343.0
53,-1.0
54,-1.0
55,-1.0
56,-1.0
57,20197.0
58,30829.0
59,60945.0
60,36331.0
61,-1.0
62,32077.0
63,29731.0
64,40241.0
65,23642.0
66,31904.0
67,-1.0
68,-1.0
69,-1.0
70,-1.0
71,45503.0
72,65046.0
73,65046.0
74,-1.0
75,-1.0
76,33978.0
77,29731.0
78,27566.0
79,-1.0
80,44945.0
81,44945.0
82,-1.0
83,-1.0
84,-1.0
85,73733.0
86,73733.0
87,-1.0
88,70558.0
89,66405.0
90,33978.0
91,4787.0
92,27566.0
93,7870.0
94,16201.0
95,10474.0
96,40316.0
97,-1.0
98,-1.0
99,25998.0
100,14299.0
101,22215.0
102,-1.0
103,-1.0
104,-1.0
105,11870.0
106,23494.0
107,2163.0
108,13133.0
109,12808.0
110,20225.0
111,-1.0
112,-1.0
113,29464.0
114,51537.0
115,51537.0
116,-1.0
117,-1.0
118,-1.0
119,61314.0
120,73289.0
121,10514.0
122,4990.0
123,14078.0
124,7230.0
125,8851.0
126,-1.0
127,6205.0
128,15705.0
129,22909.0
130,-1.0
131,150990.0
132,-1.0
133,66682.0
134,-1.0
135,-1.0
136,16831.0
137,18882.0
138,-1.0
139,-1.0
140,12216.0
141,16922.0
142,8447.0
143,12110.0
144,54099.0
145,117606.0
146,-1.0
147,57387.0
148,87906.0
149,-1.0
150,45363.0
151,12889.0
152,-1.0
153,-1.0
154,-1.0
155,36587.0
156,21781.0
157,94551.0
158,94551.0
159,-1.0
160,-1.0
161,-1.0
162,64020.0
163,53317.0
164,30142.0
165,8236.0
166,49875.0
167,15290.0
168,18307.0
169,17587.0
170,33328.0
171,-1.0
172,-1.0
173,-1.0
174,-1.0
175,-1.0
176,-1.0
177,18682.0
178,12226.0
179,22109.0
180,25041.0
181,15290.0
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,24741.0
193,-1.0
194,-1.0
195,-1.0
