Grid_Number,n_Government_Facilities
0,0.3741504221391735
1,1.4603319055259625
2,2.56865964113799
3,3.6791735174525155
4,4.7903533828773215
5,5.7281583500902515
6,6.115475134720592
7,5.133476778523593
8,4.025777524034984
9,2.921309269745886
10,1.8259445131437675
11,0.7790771590492036
12,0.5938951199667207
13,1.6035348285538582
14,2.69495803647177
15,3.798306995149528
16,4.905541313611608
17,4.652673373705968
18,3.5495408884743704
19,2.4543785063671226
20,1.3862068832178491
21,0.5403957167182504
22,1.065527041053334
23,2.1098650565346277
24,3.2000899323862213
25,3.116393129053335
26,2.454926292467624
27,2.1941472859907547
28,2.464703586300911
29,3.1317898187078805
30,4.001788776700883
31,4.969243564430394
32,5.987095459107566
33,7.033498753453517
34,8.097392150423222
35,0.8912006811138611
36,1.66935860297215
37,2.663905762881559
38,3.665315714675278
39,4.564000617111036
40,4.790136029181691
41,5.247243718905787
42,5.299888408426622
43,4.235912521066577
44,3.2046770405662035
45,2.2516254764925785
46,1.530536488392413
47,1.4450359518235567
48,2.075229665766569
49,2.999648268237849
50,4.020206910653067
51,5.079281423550929
52,4.64811196645792
53,3.543560335444453
54,2.445722221964065
55,1.3708234244211943
56,0.49961872737050605
57,1.04543924854559
58,1.9265101147220076
59,2.887963921304985
60,2.5253600045180824
61,1.6408886661159998
62,1.2167376007147312
63,1.6556713066406916
64,2.5445838312993914
65,3.56109935070889
66,4.621775915053449
67,5.702022355669067
68,6.792508195973459
69,7.822386009642136
70,0.3807726452031714
71,1.2399867435834049
72,2.324437304089936
73,3.426559904113327
74,3.5891348051222773
75,3.872716807776096
76,4.425702699119795
77,5.162229690030386
78,4.647147413120757
79,3.7313048487553946
80,2.9533294599673336
81,2.4483741857747927
82,2.395783720981055
83,2.820972412406829
84,3.5565226408801034
85,3.8246907551116727
86,4.28146582259223
87,4.845216950005637
88,3.798397793042605
89,2.802211019113824
90,1.8212032459865124
91,0.7260962146845611
92,0.45881641673164564
93,1.5383990500001832
94,2.6449372603746415
95,2.1704160099772682
96,1.1002388878824074
97,0.23950941112499388
98,1.1481709696115698
99,2.2476856395049216
100,3.3554056734985607
101,4.465228557934711
102,5.575898784642496
103,6.394268533834834
104,7.044241162998812
105,0.6097367175819622
106,1.328283460386508
107,2.372710975309505
108,2.684964230973285
109,2.6177820515402868
110,2.9948948267743623
111,3.6822370081010196
112,4.541057800835616
113,5.212097200498919
114,4.414984784177856
115,3.780355297880647
116,3.4004328884015242
117,3.3626869606681122
118,2.904179974472532
119,2.6817553415046453
120,2.902106871825647
121,3.4821687316315577
122,4.278041146583105
123,4.108824242531776
124,3.0244161144999504
125,1.9709417396866789
126,1.0464187397020133
127,0.8821764825283577
128,1.712991781596987
129,2.7501470272113737
130,2.2022298221856893
131,1.1617327496923844
132,0.5677077678040702
133,1.3295952667914637
134,2.353648031673358
135,3.4272830883326493
136,4.451659146059556
137,4.838554264843552
138,5.429438972643168
139,6.165944348123903
140,0.4789786786730843
141,1.0683829736381738
142,2.1275164206578068
143,1.7602980112317441
144,1.6561353610728244
145,2.2044912950215934
146,3.0740269509618208
147,4.063540797190739
148,5.103719057257052
149,5.194065768423621
150,4.6665416622527
151,3.7477134287491465
152,2.8031385534044726
153,2.0353569314814557
154,1.7031242499801094
155,2.032596582355449
156,2.799129830094749
