Grid_Number,Grid_Population
0,186
1,93
2,876
3,1204
4,418
5,433
6,515
7,676
8,403
9,601
10,556
11,686
12,684
13,529
14,271
15,845
16,759
17,145
18,1022
19,985
20,723
21,304
22,0
23,16
24,338
25,1088
26,0
27,78
28,116
29,81
30,467
31,198
32,0
33,469
34,500
35,32
36,104
37,243
38,0
39,146
40,1475
41,1437
42,2624
43,796
44,853
45,293
46,0
47,394
48,194
49,713
50,559
51,1730
52,1122
53,1147
54,250
55,747
56,96
57,0
58,0
59,726
60,802
61,1028
62,876
63,348
64,217
65,22
66,223
67,28
68,170
69,396
70,546
71,682
72,611
73,403
74,80
75,24
76,0
77,171
78,192
79,464
80,1868
81,2402
82,101
83,0
84,24
85,0
86,59
87,43
88,0
89,12
90,109
91,85
92,0
93,674
94,1456
95,885
96,314
97,76
98,318
99,568
100,473
101,1850
102,0
103,220
104,1685
105,0
106,323
107,194
108,104
109,2534
110,2099
111,1590
112,59
113,0
114,0
115,0
116,274
117,509
118,885
119,1203
120,794
121,375
122,193
123,100
124,0
125,428
126,65
127,367
128,423
129,535
130,758
131,705
132,517
133,117
134,0
135,0
136,37
137,292
138,22
139,0
140,133
141,74
142,49
143,106
144,0
145,0
146,87
147,406
148,91
149,41
150,0
151,0
152,0
153,0
154,312
155,57
156,828
157,241
158,975
159,894
160,3173
161,139
162,847
163,707
164,92
165,242
166,0
167,1891
168,4131
169,755
170,401
171,0
172,0
173,298
174,0
175,121
176,460
177,679
178,486
179,93
180,36
181,21
182,8
183,0
184,65
185,267
186,417
187,1001
188,687
189,741
190,947
191,640
192,465
193,69
194,201
195,294
196,63
197,691
198,749
199,473
200,81
201,68
202,295
203,8
204,288
205,635
206,452
207,121
208,79
209,16
210,0
211,0
212,0
213,323
214,0
215,0
216,374
217,279
218,0
219,2072
220,71
221,158
222,1352
223,459
224,1154
225,524
226,3271
227,890
228,0
229,247
230,159
231,0
232,0
233,0
234,364
235,102
236,732
237,157
238,0
239,128
240,317
241,0
242,0
243,62
244,647
245,810
246,904
247,755
248,703
249,1039
250,1655
251,984
252,637
253,816
254,579
255,276
256,558
257,379
258,39
259,86
260,0
261,58
262,64
263,49
264,32
265,73
266,0
267,19
268,45
269,57
270,70
271,0
272,0
273,369
274,0
275,0
276,0
277,0
278,797
279,2348
280,972
281,1367
282,326
283,2592
284,3612
285,2075
286,1492
287,670
288,0
289,455
290,0
291,392
292,606
293,676
294,585
295,405
296,253
297,265
298,296
299,132
300,92
301,272
302,363
303,773
304,806
305,762
306,742
307,780
308,881
309,1250
310,941
311,945
312,449
313,351
314,39
315,26
316,331
317,54
318,54
319,0
320,25
321,23
322,41
323,0
324,5
325,0
326,7
327,10
328,4
329,65
330,0
331,0
332,0
333,0
334,101
335,871
336,0
337,167
338,276
339,2914
340,3171
341,1902
342,5242
343,1909
344,865
345,1337
346,54
347,0
348,148
349,15
350,367
351,1166
352,618
353,481
354,302
355,251
356,311
357,300
358,353
359,450
360,448
361,684
362,715
363,677
364,842
365,710
366,347
367,472
368,818
369,2038
370,1432
371,884
372,666
373,41
374,732
375,635
376,330
377,35
378,16
379,0
380,31
381,10
382,15
383,13
384,0
385,15
386,27
387,12
388,387
389,0
390,0
391,1139
392,207
393,19
394,85
395,0
396,0
397,708
398,662
399,5358
400,6164
401,3592
402,1936
403,503
404,1079
405,907
406,193
407,1123
408,1156
409,688
410,922
411,362
412,127
413,292
414,357
415,358
416,344
417,464
418,515
419,609
420,484
421,372
422,264
423,636
424,469
425,33
426,640
427,974
428,1530
429,1365
430,835
431,821
432,968
433,784
434,349
435,747
436,649
437,64
438,20
439,15
440,41
441,0
442,17
443,6
444,4
445,394
446,8
447,168
448,75
449,427
450,0
451,0
452,550
453,629
454,1134
455,476
456,2214
457,6041
458,10111
459,2895
460,320
461,1610
462,1577
463,1870
464,693
465,518
466,1545
467,1158
468,46
469,0
470,428
471,776
472,501
473,492
474,475
475,581
476,589
477,625
478,625
479,584
480,1001
481,686
482,417
483,562
484,595
485,1710
486,1820
487,1193
488,1016
489,1101
490,1193
491,1725
492,1169
493,1125
494,553
495,227
496,31
497,5
498,65
499,51
500,0
501,13
502,27
503,50
504,972
505,79
506,490
507,845
508,120
509,51
510,0
511,0
512,140
513,60
514,358
515,629
516,4195
517,6527
518,1685
519,0
520,567
521,1653
522,674
523,408
524,677
525,1293
526,796
527,894
528,273
529,252
530,398
531,601
532,621
533,626
534,615
535,543
536,486
537,578
538,325
539,59
540,470
541,588
542,350
543,1683
544,3336
545,2816
546,1174
547,1063
548,1063
549,361
550,561
551,967
552,744
553,31
554,160
555,5
556,20
557,211
558,25
559,0
560,30
561,9
562,18
563,36
564,1640
565,323
566,745
567,2154
568,451
569,0
570,432
571,0
572,61
573,18
574,1883
575,5591
576,93
577,101
578,167
579,224
580,695
581,1974
582,1016
583,1276
584,1374
585,1173
586,1278
587,850
588,767
589,765
590,438
591,399
592,521
593,612
594,645
595,608
596,479
597,469
598,184
599,171
600,822
601,444
602,14
603,1069
604,2915
605,1681
606,1481
607,481
608,38
609,97
610,340
611,439
612,54
613,183
614,226
615,5
616,90
617,44
618,5
619,17
620,77
621,45
622,115
623,7912
624,1232
625,155
626,298
627,73
628,515
629,145
630,144
631,0
632,605
633,12316
634,2721
635,0
636,0
637,111
638,302
639,0
640,104
641,72
642,677
643,813
644,1099
645,1322
646,1117
647,642
648,829
649,529
650,396
651,377
652,726
653,681
654,706
655,381
656,138
657,132
658,0
659,0
660,466
661,280
662,148
663,913
664,1372
665,185
666,215
667,22
668,31
669,0
670,288
671,1118
672,299
673,324
674,304
675,215
676,15
677,11
678,5
679,0
680,0
681,5
682,4078
683,2412
684,533
685,156
686,186
687,0
688,331
689,0
690,141
691,2186
692,10751
693,71
694,71
695,89
696,0
697,222
698,0
699,0
700,128
701,900
702,960
703,1021
704,1224
705,1447
706,439
707,706
708,491
709,393
710,482
711,761
712,792
713,880
714,926
715,213
716,0
717,170
718,393
719,83
720,452
721,208
722,132
723,647
724,51
725,331
726,0
727,7
728,5
729,7
730,633
731,2180
732,2087
733,130
734,13
735,51
736,0
737,83
738,16
739,59
740,212
741,1636
742,8047
743,1593
744,561
745,0
746,811
747,0
748,1780
749,0
750,14139
751,4213
752,3390
753,195
754,2219
755,516
756,0
757,64
758,0
759,328
760,965
761,1027
762,581
763,872
764,1079
765,81
766,495
767,360
768,377
769,480
770,582
771,549
772,693
773,649
774,940
775,210
776,771
777,733
778,416
779,365
780,101
781,387
782,0
783,58
784,5
785,58
786,36
787,37
788,45
789,409
790,135
791,1106
792,1303
793,20
794,149
795,0
796,0
797,0
798,308
799,958
800,498
801,11833
802,7792
803,365
804,469
805,221
806,145
807,756
808,4956
809,22438
810,9442
811,867
812,159
813,957
814,0
815,0
816,695
817,333
818,246
819,847
820,745
821,899
822,728
823,1216
824,1237
825,1065
826,339
827,309
828,388
829,573
830,666
831,501
832,488
833,851
834,619
835,527
836,614
837,110
838,108
839,0
840,0
841,0
842,0
843,0
844,11
845,0
846,106
847,46
848,59
849,296
850,323
851,1256
852,1355
853,316
854,336
855,427
856,1283
857,603
858,270
859,642
860,5235
861,8790
862,1169
863,0
864,764
865,711
866,2108
867,15093
868,13392
869,103
870,1206
871,0
872,0
873,0
874,0
875,0
876,0
877,57
878,155
879,0
880,213
881,451
882,69
883,184
884,1122
885,378
886,347
887,404
888,780
889,832
890,497
891,666
892,697
893,688
894,613
895,66
896,66
897,48
898,9
899,0
900,8
901,0
902,6
903,0
904,0
905,9
906,43
907,83
908,225
909,370
910,798
911,2140
912,1900
913,583
914,6308
915,7238
916,3326
917,7629
918,6568
919,28450
920,7059
921,1156
922,340
923,856
924,1132
925,2192
926,16800
927,6104
928,454
929,85
930,148
931,591
932,792
933,0
934,6789
935,1338
936,193
937,0
938,0
939,0
940,45
941,0
942,0
943,185
944,313
945,294
946,392
947,427
948,418
949,419
950,455
951,600
952,681
953,579
954,112
955,334
956,35
957,27
958,54
959,0
960,0
961,60
962,73
963,27
964,132
965,0
966,0
967,404
968,936
969,863
970,2058
971,3663
972,3430
973,6633
974,18978
975,8765
976,6094
977,8734
978,49046
979,16741
980,18203
981,13600
982,3000
983,5803
984,11612
985,19568
986,4127
987,681
988,6045
989,1680
990,1364
991,1187
992,287
993,1760
994,289
995,0
996,0
997,0
998,267
999,63
1000,0
1001,0
1002,0
1003,338
1004,335
1005,354
1006,418
1007,407
1008,415
1009,443
1010,451
1011,657
1012,753
1013,338
1014,0
1015,24
1016,45
1017,155
1018,5
1019,10
1020,42
1021,7
1022,53
1023,159
1024,0
1025,0
1026,128
1027,627
1028,331
1029,695
1030,1700
1031,3033
1032,16116
1033,34885
1034,32410
1035,11141
1036,14995
1037,12259
1038,36541
1039,42765
1040,40545
1041,8805
1042,27322
1043,26485
1044,23969
