Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
97,"[13.02, 77.33]",0,0,959.9606,0.38,Bangalore,Rejected,0.0,0.0,0.0,0.0
98,"[13.03, 77.33]",0,0,0.0,0.0979,Bangalore,Rejected,0.0,0.0,0.0,0.0
99,"[13.04, 77.33]",0,0,1254.5243,0.2968,Bangalore,Rejected,0.0,0.0,0.0,0.0
100,"[13.05, 77.33]",0,0,700.3784,0.3317,Bangalore,Rejected,0.0,0.0,0.0,0.0
101,"[13.06, 77.33]",2,0,2948.5567,0.3616,Bangalore,Rejected,0.0,0.0,0.0,0.0
102,"[13.07, 77.33]",0,0,1389.7649,0.5883,Bangalore,Rejected,0.0,0.0,0.0,0.0
103,"[13.08, 77.33]",0,0,11.0768,0.2732,Bangalore,Rejected,0.0,0.0,0.0,0.0
104,"[13.09, 77.33]",0,0,1121.4547,0.5866,Bangalore,Rejected,0.0,0.0,0.0,0.0
105,"[13.1, 77.33]",0,0,613.3138,0.3744,Bangalore,Rejected,0.0,0.0,0.0,0.0
106,"[13.11, 77.33]",1,0,1411.5363,0.4001,Bangalore,Rejected,0.0,0.0,0.0,0.0
107,"[13.12, 77.33]",1,0,1653.0033,0.5654,Bangalore,Rejected,0.0,0.0,0.0,0.0
108,"[13.13, 77.33]",0,0,1410.0343,0.5866,Bangalore,Rejected,0.0,0.0,0.0,0.0
109,"[13.14, 77.33]",3,0,3092.0461,0.5803,Bangalore,Rejected,0.0,0.0,0.0,0.0
110,"[13.15, 77.33]",2,1,3615.4781,0.5111,Bangalore,Rejected,0.0,0.0,0.0,0.0
111,"[13.16, 77.33]",3,0,1860.6115,0.5871,Bangalore,Rejected,0.0,0.0,0.0,0.0
112,"[13.17, 77.33]",0,0,268.9873,0.2588,Bangalore,Rejected,0.0,0.0,0.0,0.0
113,"[13.18, 77.33]",0,0,1003.1778,0.4481,Bangalore,Rejected,0.0,0.0,0.0,0.0
114,"[13.19, 77.33]",0,0,449.1847,0.2555,Bangalore,Rejected,0.0,0.0,0.0,0.0
115,"[13.2, 77.33]",0,0,1125.3979,0.5635,Bangalore,Rejected,0.0,0.0,0.0,0.0
116,"[13.21, 77.33]",0,0,522.5279,0.315,Bangalore,Rejected,0.0,0.0,0.0,0.0
117,"[13.22, 77.33]",0,0,751.944,0.5235,Bangalore,Rejected,0.0,0.0,0.0,0.0
118,"[12.64, 77.34]",3,0,3531.0571,0.5315,Bangalore,Rejected,0.0,0.0,0.0,0.0
119,"[12.65, 77.34]",3,3,3375.0479,0.5125,Bangalore,Rejected,0.0,0.0,0.0,0.0
120,"[12.66, 77.34]",6,2,4809.4586,0.4991,Bangalore,Rejected,0.0,0.0,0.0,0.0
121,"[12.67, 77.34]",4,0,3341.1136,0.4994,Bangalore,Rejected,0.0,0.0,0.0,0.0
122,"[12.68, 77.34]",0,0,569.1356,0.3997,Bangalore,Rejected,0.0,0.0,0.0,0.0
123,"[12.69, 77.34]",0,0,0.0,0.0879,Bangalore,Rejected,0.0,0.0,0.0,0.0
124,"[12.7, 77.34]",0,0,0.0,0.0829,Bangalore,Rejected,0.0,0.0,0.0,0.0
125,"[12.71, 77.34]",10,1,3693.3921,0.6038,Bangalore,Rejected,0.0,0.0,0.0,0.0
126,"[12.72, 77.34]",0,0,914.2783,0.3765,Bangalore,Rejected,0.0,0.0,0.0,0.0
127,"[12.73, 77.34]",0,0,0.0,0.1062,Bangalore,Rejected,0.0,0.0,0.0,0.0
128,"[12.74, 77.34]",5,0,2361.8212,0.5895,Bangalore,Rejected,0.0,0.0,0.0,0.0
129,"[12.75, 77.34]",0,0,1119.3535,0.2223,Bangalore,Rejected,0.0,0.0,0.0,0.0
130,"[12.76, 77.34]",2,0,2179.0266,0.32299999999999995,Bangalore,Rejected,0.0,0.0,0.0,0.0
131,"[12.77, 77.34]",3,0,2282.5811,0.3372,Bangalore,Rejected,0.0,0.0,0.0,0.0
132,"[12.78, 77.34]",2,0,2095.5133,0.38299999999999995,Bangalore,Rejected,0.0,0.0,0.0,0.0
133,"[12.79, 77.34]",0,0,418.4182,0.2125,Bangalore,Rejected,0.0,0.0,0.0,0.0
134,"[12.8, 77.34]",0,0,201.4321,0.1543,Bangalore,Rejected,0.0,0.0,0.0,0.0
135,"[12.81, 77.34]",0,0,1035.3410000000001,0.2879,Bangalore,Rejected,0.0,0.0,0.0,0.0
136,"[12.82, 77.34]",0,0,0.0,0.1971,Bangalore,Rejected,0.0,0.0,0.0,0.0
137,"[12.83, 77.34]",3,0,2339.5304,0.568,Bangalore,Rejected,0.0,0.0,0.0,0.0
138,"[12.84, 77.34]",0,0,477.3926,0.225,Bangalore,Rejected,0.0,0.0,0.0,0.0
139,"[12.85, 77.34]",3,0,2848.1516,0.4643,Bangalore,Rejected,0.0,0.0,0.0,0.0
140,"[12.86, 77.34]",0,0,625.5858,0.1769,Bangalore,Rural,0.0,0.0,0.833455,0.0
141,"[12.87, 77.34]",8,0,4490.1339,0.35200000000000004,Bangalore,Rural,0.0,0.0,0.996444,0.0
142,"[12.88, 77.34]",5,0,3889.0945,0.3814,Bangalore,Rural,0.0,0.0,1.0,0.0
143,"[12.89, 77.34]",0,0,815.7734,0.2737,Bangalore,Rural,0.0,0.0,1.0,0.0
144,"[12.9, 77.34]",0,0,257.7972,0.1493,Bangalore,Rural,0.0,0.0,1.0,0.0
145,"[12.91, 77.34]",1,0,482.1688,0.1595,Bangalore,Rural,0.0,0.0,1.0,0.0
146,"[12.92, 77.34]",0,0,515.9626,0.1977,Bangalore,Rural,0.0,0.0,1.0,0.0
147,"[12.93, 77.34]",1,0,1315.0081,0.1729,Bangalore,Rural,0.0,0.0,1.0,0.0
148,"[12.94, 77.34]",1,0,2167.428,0.1964,Bangalore,Rural,0.0,0.0,1.0,0.0
149,"[12.95, 77.34]",15,0,4474.7326,0.4087,Bangalore,Rural,0.0,0.0,1.0,0.0
150,"[12.96, 77.34]",6,0,3004.1008,0.2305,Bangalore,Rural,0.0,0.0,0.5149739999999999,0.0
151,"[12.97, 77.34]",0,0,264.263,0.1607,Bangalore,Rejected,0.0,0.0,0.00073,0.0
152,"[12.98, 77.34]",10,1,4569.2276,0.5107,Bangalore,Rejected,0.0,0.0,0.0,0.0
153,"[12.99, 77.34]",10,1,4503.6025,0.4733,Bangalore,Rejected,0.0,0.0,0.0,0.0
154,"[13.0, 77.34]",0,0,191.7536,0.1657,Bangalore,Rejected,0.0,0.0,0.0,0.0
155,"[13.01, 77.34]",1,0,835.6071,0.3989,Bangalore,Rejected,0.0,0.0,0.0,0.0
156,"[13.02, 77.34]",1,0,1729.4127,0.436,Bangalore,Rejected,0.0,0.0,0.0,0.0
157,"[13.03, 77.34]",1,0,1926.5701,0.41600000000000004,Bangalore,Rejected,0.0,0.0,0.0,0.0
158,"[13.04, 77.34]",1,0,1801.2174,0.5377,Bangalore,Rejected,0.0,0.0,0.0,0.0
159,"[13.05, 77.34]",0,0,1645.3439,0.4817,Bangalore,Rejected,0.0,0.0,0.0,0.0
160,"[13.06, 77.34]",9,3,5958.6176,0.5682,Bangalore,Rejected,0.0,0.0,0.0,0.0
161,"[13.07, 77.34]",1,0,2024.3959,0.5989,Bangalore,Rejected,0.0,0.0,0.0,0.0
162,"[13.08, 77.34]",2,0,2259.5733,0.5119,Bangalore,Rejected,0.0,0.0,0.0,0.0
163,"[13.09, 77.34]",1,0,1914.7188,0.4616,Bangalore,Rejected,0.0,0.0,0.0,0.0
164,"[13.1, 77.34]",1,0,671.0303,0.3103,Bangalore,Rejected,0.0,0.0,0.0,0.0
165,"[13.11, 77.34]",2,0,2580.1594,0.5447,Bangalore,Rejected,0.0,0.0,0.0,0.0
166,"[13.12, 77.34]",0,0,652.2317,0.2707,Bangalore,Rejected,0.0,0.0,0.0,0.0
167,"[13.13, 77.34]",1,0,1845.2088,0.5461,Bangalore,Rejected,0.0,0.0,0.0,0.0
168,"[13.14, 77.34]",5,1,4792.4894,0.478,Bangalore,Rejected,0.0,0.0,0.0,0.0
169,"[13.15, 77.34]",1,0,1334.2116,0.5419,Bangalore,Rejected,0.0,0.0,0.0,0.0
170,"[13.16, 77.34]",0,0,108.6496,0.3627,Bangalore,Rejected,0.0,0.0,0.0,0.0
171,"[13.17, 77.34]",0,0,1176.8113,0.5505,Bangalore,Rejected,0.0,0.0,0.0,0.0
172,"[13.18, 77.34]",1,0,1410.1491,0.4317,Bangalore,Rejected,0.0,0.0,0.0,0.0
173,"[13.19, 77.34]",0,0,565.288,0.3559,Bangalore,Rejected,0.0,0.0,0.0,0.0
174,"[13.2, 77.34]",0,0,720.4357,0.4307,Bangalore,Rejected,0.0,0.0,0.0,0.0
175,"[13.21, 77.34]",1,0,1225.6992,0.4745,Bangalore,Rejected,0.0,0.0,0.0,0.0
176,"[13.22, 77.34]",1,0,1108.7076,0.3795,Bangalore,Rejected,0.0,0.0,0.0,0.0
177,"[12.64, 77.35]",16,2,5652.2843,0.2982,Bangalore,Rejected,0.0,0.0,0.0,0.0
178,"[12.65, 77.35]",1,0,1831.3255,0.3986,Bangalore,Rejected,0.0,0.0,0.0,0.0
179,"[12.66, 77.35]",2,0,3044.8848,0.3256,Bangalore,Rejected,0.0,0.0,0.0,0.0
180,"[12.67, 77.35]",1,0,485.3829,0.325,Bangalore,Rejected,0.0,0.0,0.0,0.0
181,"[12.68, 77.35]",0,0,0.0,0.1056,Bangalore,Rejected,0.0,0.0,0.0,0.0
182,"[12.69, 77.35]",0,0,0.0,0.27399999999999997,Bangalore,Rejected,0.0,0.0,0.0,0.0
183,"[12.7, 77.35]",0,0,640.3002,0.49700000000000005,Bangalore,Rejected,0.0,0.0,0.0,0.0
184,"[12.71, 77.35]",0,0,1679.4699,0.4389,Bangalore,Rejected,0.0,0.0,0.0,0.0
185,"[12.72, 77.35]",1,0,1818.1009,0.4498,Bangalore,Rejected,0.0,0.0,0.0,0.0
186,"[12.73, 77.35]",0,0,792.7231,0.409,Bangalore,Rejected,0.0,0.0,0.0,0.0
187,"[12.74, 77.35]",0,0,1204.0505,0.3934,Bangalore,Rejected,0.0,0.0,0.0,0.0
188,"[12.75, 77.35]",0,0,342.67699999999996,0.1026,Bangalore,Rejected,0.0,0.0,0.0,0.0
189,"[12.76, 77.35]",5,0,2270.6011,0.385,Bangalore,Rejected,0.0,0.0,0.0,0.0
190,"[12.77, 77.35]",5,2,4447.6446,0.4717,Bangalore,Rejected,0.0,0.0,0.0,0.0
191,"[12.78, 77.35]",1,1,1653.6034,0.3521,Bangalore,Rejected,0.0,0.0,0.0,0.0
192,"[12.79, 77.35]",5,0,2360.2677,0.5541,Bangalore,Rejected,0.0,0.0,0.0,0.0
193,"[12.8, 77.35]",0,0,0.0,0.1855,Bangalore,Rejected,0.0,0.0,0.0,0.0
194,"[12.81, 77.35]",0,0,422.3663,0.3428,Bangalore,Rejected,0.0,0.0,0.0,0.0
195,"[12.82, 77.35]",0,0,1058.55,0.5137,Bangalore,Rejected,0.0,0.0,0.0,0.0
196,"[12.83, 77.35]",4,0,2893.7435,0.4613,Bangalore,Rejected,0.0,0.0,0.0,0.0
197,"[12.84, 77.35]",4,0,3569.8174,0.4849,Bangalore,Rejected,0.0,0.0,0.0,0.0
198,"[12.85, 77.35]",13,0,4456.719,0.5231,Bangalore,Rejected,0.0,0.0,0.004383,0.0
199,"[12.86, 77.35]",6,0,2849.5718,0.5583,Bangalore,Rural,0.0,0.0,0.758948,0.0
200,"[12.87, 77.35]",5,0,2995.4192,0.379,Bangalore,Rural,0.0,0.0,1.0,0.0
201,"[12.88, 77.35]",24,7,6921.5655,0.4848,Bangalore,Rural,0.0,0.0,1.0,0.0
202,"[12.89, 77.35]",12,1,5943.0651,0.5455,Bangalore,Rural,0.0,0.0,1.0,0.0
203,"[12.9, 77.35]",2,0,2583.0941,0.395,Bangalore,Rural,0.0,0.0,1.0,0.0
204,"[12.91, 77.35]",20,0,5783.1317,0.3811,Bangalore,Rural,0.0,0.0,1.0,0.0
205,"[12.92, 77.35]",27,1,8895.0491,0.3408,Bangalore,Rural,0.0,0.108839,0.8911610000000001,0.0
206,"[12.93, 77.35]",27,2,8327.9366,0.4455,Bangalore,Rural,0.0,0.0,1.0,0.0
207,"[12.94, 77.35]",16,0,6242.9187,0.4849,Bangalore,Rural,0.0,0.0,1.0,0.0
208,"[12.95, 77.35]",14,1,6188.8592,0.5438,Bangalore,Rural,0.0,0.0,1.0,0.0
209,"[12.96, 77.35]",8,0,3532.5267,0.4351,Bangalore,Rural,0.0,0.0,1.0,0.0
210,"[12.97, 77.35]",3,0,3248.0608,0.3074,Bangalore,Rural,0.0,0.0,0.616508,0.0
211,"[12.98, 77.35]",0,0,2388.1897,0.1635,Bangalore,Rejected,0.0,0.0,0.0,0.0
212,"[12.99, 77.35]",2,0,2558.5887,0.278,Bangalore,Rejected,0.0,0.0,0.0,0.0
213,"[13.0, 77.35]",0,0,971.1772,0.4439,Bangalore,Rejected,0.0,0.0,0.0,0.0
214,"[13.01, 77.35]",1,0,2264.1104,0.4815,Bangalore,Rejected,0.0,0.0,0.0,0.0
215,"[13.02, 77.35]",0,0,260.7166,0.2236,Bangalore,Rejected,0.0,0.0,0.0,0.0
216,"[13.03, 77.35]",0,0,1018.2796,0.2776,Bangalore,Rejected,0.0,0.0,0.0,0.0
217,"[13.04, 77.35]",2,0,2253.9663,0.5834,Bangalore,Rejected,0.0,0.0,0.0,0.0
218,"[13.05, 77.35]",1,0,1591.8942,0.4602,Bangalore,Rejected,0.0,0.0,0.0,0.0
219,"[13.06, 77.35]",5,0,4654.9086,0.4214,Bangalore,Rejected,0.0,0.0,0.0,0.0
220,"[13.07, 77.35]",0,0,1080.5841,0.5046,Bangalore,Rejected,0.0,0.0,0.0,0.0
221,"[13.08, 77.35]",0,0,361.8622,0.2849,Bangalore,Rejected,0.0,0.0,0.0,0.0
222,"[13.09, 77.35]",2,0,2818.0704,0.5207,Bangalore,Rejected,0.0,0.0,0.0,0.0
223,"[13.1, 77.35]",1,0,1325.0384,0.5429,Bangalore,Rejected,0.0,0.0,0.0,0.0
224,"[13.11, 77.35]",0,0,1139.6044,0.436,Bangalore,Rejected,0.0,0.0,0.0,0.0
225,"[13.12, 77.35]",0,0,0.0,0.1476,Bangalore,Rejected,0.0,0.0,0.0,0.0
226,"[13.13, 77.35]",7,0,3211.4709,0.5061,Bangalore,Rejected,0.0,0.0,0.0,0.0
227,"[13.14, 77.35]",0,0,623.6372,0.3269,Bangalore,Rejected,0.0,0.0,0.0,0.0
228,"[13.15, 77.35]",0,0,759.7701,0.5489,Bangalore,Rejected,0.0,0.0,0.0,0.0
229,"[13.16, 77.35]",0,0,0.0,0.0833,Bangalore,Rejected,0.0,0.0,0.0,0.0
230,"[13.17, 77.35]",0,0,0.0,0.1816,Bangalore,Rejected,0.0,0.0,0.0,0.0
231,"[13.18, 77.35]",1,0,1702.2207,0.5651,Bangalore,Rejected,0.0,0.0,0.0,0.0
232,"[13.19, 77.35]",2,0,2394.3720000000003,0.5954,Bangalore,Rejected,0.0,0.0,0.0,0.0
233,"[13.2, 77.35]",2,0,1858.1675,0.5173,Bangalore,Rejected,0.0,0.0,0.0,0.0
234,"[13.21, 77.35]",0,0,1481.579,0.4249,Bangalore,Rejected,0.0,0.0,0.0,0.0
235,"[13.22, 77.35]",0,0,1829.5785,0.4255,Bangalore,Rejected,0.0,0.0,0.0,0.0
236,"[12.64, 77.36]",8,1,4283.8252,0.5294,Bangalore,Rejected,0.0,0.0,0.0,0.0
237,"[12.65, 77.36]",6,0,3646.7488,0.5191,Bangalore,Rejected,0.0,0.0,0.0,0.0
238,"[12.66, 77.36]",0,0,913.2499,0.5859,Bangalore,Rejected,0.0,0.0,0.0,0.0
239,"[12.67, 77.36]",0,0,0.0,0.0604,Bangalore,Rejected,0.0,0.0,0.0,0.0
240,"[12.68, 77.36]",0,0,0.0,0.1585,Bangalore,Rejected,0.0,0.0,0.0,0.0
241,"[12.69, 77.36]",0,0,1292.6641,0.6102,Bangalore,Rejected,0.0,0.0,0.0,0.0
242,"[12.7, 77.36]",0,0,555.7752,0.3253,Bangalore,Rejected,0.0,0.0,0.0,0.0
243,"[12.71, 77.36]",0,0,399.5546,0.1268,Bangalore,Rejected,0.0,0.0,0.0,0.0
244,"[12.72, 77.36]",0,0,1628.8943,0.4639,Bangalore,Rejected,0.0,0.0,0.0,0.0
245,"[12.73, 77.36]",0,0,1052.652,0.4027,Bangalore,Rejected,0.0,0.0,0.0,0.0
246,"[12.74, 77.36]",4,0,3256.2017,0.4027,Bangalore,Rejected,0.0,0.0,0.0,0.0
247,"[12.75, 77.36]",14,0,4985.6472,0.247,Bangalore,Rejected,0.0,0.0,0.0,0.0
