Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[12.64, 77.32]",2,0,2091.2253,0.5396,Bangalore,Rejected,0.0,0.0,0.0,0.0
1,"[12.65, 77.32]",1,0,738.8618,0.2682,Bangalore,Rejected,0.0,0.0,0.0,0.0
2,"[12.66, 77.32]",16,1,6015.7038,0.5827,Bangalore,Rejected,0.0,0.0,0.0,0.0
3,"[12.67, 77.32]",7,3,4405.6488,0.4553,Bangalore,Rejected,0.0,0.0,0.0,0.0
4,"[12.68, 77.32]",6,1,3407.4783,0.574,Bangalore,Rejected,0.0,0.0,0.0,0.0
5,"[12.69, 77.32]",1,0,659.9419,0.212,Bangalore,Rejected,0.0,0.0,0.0,0.0
6,"[12.7, 77.32]",2,0,2055.3259,0.3945,Bangalore,Rejected,0.0,0.0,0.0,0.0
7,"[12.71, 77.32]",0,0,422.4606,0.3863,Bangalore,Rejected,0.0,0.0,0.0,0.0
8,"[12.72, 77.32]",0,0,0.0,0.113,Bangalore,Rejected,0.0,0.0,0.0,0.0
9,"[12.73, 77.32]",0,0,290.1107,0.4565,Bangalore,Rejected,0.0,0.0,0.0,0.0
10,"[12.74, 77.32]",2,0,1661.3528,0.4649,Bangalore,Rejected,0.0,0.0,0.0,0.0
11,"[12.75, 77.32]",8,1,3683.5690000000004,0.4909,Bangalore,Rejected,0.0,0.0,0.0,0.0
12,"[12.76, 77.32]",22,1,6908.4061,0.4994,Bangalore,Rejected,0.0,0.0,0.0,0.0
13,"[12.77, 77.32]",2,0,1351.2076,0.2457,Bangalore,Rejected,0.0,0.0,0.0,0.0
14,"[12.78, 77.32]",4,0,3657.0285,0.4804,Bangalore,Rejected,0.0,0.0,0.0,0.0
15,"[12.79, 77.32]",14,1,5509.8963,0.4968,Bangalore,Rejected,0.0,0.0,0.0,0.0
16,"[12.8, 77.32]",27,0,7166.9366,0.4811,Bangalore,Rejected,0.0,0.0,0.0,0.0
17,"[12.81, 77.32]",4,0,1887.4414,0.1601,Bangalore,Rejected,0.0,0.0,0.0,0.0
18,"[12.82, 77.32]",7,0,3786.7224,0.3445,Bangalore,Rejected,0.0,0.0,0.0,0.0
19,"[12.83, 77.32]",12,0,4436.4326,0.523,Bangalore,Rejected,0.0,0.0,0.0,0.0
20,"[12.84, 77.32]",11,1,4929.9186,0.4428,Bangalore,Rejected,0.0,0.0,0.0,0.0
21,"[12.85, 77.32]",3,0,2299.4288,0.4845,Bangalore,Rejected,0.0,0.0,0.0,0.0
22,"[12.86, 77.32]",0,0,954.3904,0.3395,Bangalore,Rejected,0.0,0.0,0.0,0.0
23,"[12.87, 77.32]",1,0,2667.5696,0.5191,Bangalore,Rejected,0.0,0.0,0.0,0.0
24,"[12.88, 77.32]",1,0,2078.9101,0.5352,Bangalore,Rejected,0.0,0.0,0.0,0.0
25,"[12.89, 77.32]",9,1,3277.1691,0.5245,Bangalore,Rejected,0.0,0.0,0.0,0.0
26,"[12.9, 77.32]",3,0,918.3506,0.2703,Bangalore,Rejected,0.0,0.0,0.0014609999999999998,0.0
27,"[12.91, 77.32]",1,0,1062.0667,0.4709,Bangalore,Rejected,0.0,0.0,0.0,0.0
28,"[12.92, 77.32]",4,0,3010.2121,0.3342,Bangalore,Rejected,0.0,0.0,0.0,0.0
29,"[12.93, 77.32]",0,0,2247.0115,0.2992,Bangalore,Rejected,0.0,0.0,0.10518599999999999,0.0
30,"[12.94, 77.32]",1,0,1644.4566,0.2942,Bangalore,Rural,0.0,0.0,0.531045,0.0
31,"[12.95, 77.32]",13,0,5372.9077,0.4749,Bangalore,Rural,0.0,0.0,0.63477,0.0
32,"[12.96, 77.32]",13,0,5407.6288,0.4585,Bangalore,Rural,0.0,0.0,0.553689,0.0
33,"[12.97, 77.32]",11,0,3732.9482,0.3987,Bangalore,Rejected,0.0,0.0,0.0,0.0
34,"[12.98, 77.32]",3,0,2532.658,0.1607,Bangalore,Rejected,0.0,0.0,0.0,0.0
35,"[12.99, 77.32]",8,0,2572.0267,0.3764,Bangalore,Rejected,0.0,0.0,0.0,0.0
36,"[13.0, 77.32]",4,0,2025.9378,0.222,Bangalore,Rejected,0.0,0.0,0.0,0.0
37,"[13.01, 77.32]",0,0,0.0,0.1757,Bangalore,Rejected,0.0,0.0,0.0,0.0
38,"[13.02, 77.32]",0,0,512.4489,0.4549,Bangalore,Rejected,0.0,0.0,0.0,0.0
39,"[13.03, 77.32]",1,0,1993.7022,0.5431,Bangalore,Rejected,0.0,0.0,0.0,0.0
40,"[13.04, 77.32]",0,0,860.3023,0.6406,Bangalore,Rejected,0.0,0.0,0.0,0.0
41,"[13.05, 77.32]",0,0,0.0,0.111,Bangalore,Rejected,0.0,0.0,0.0,0.0
42,"[13.06, 77.32]",4,1,4222.1546,0.4753,Bangalore,Rejected,0.0,0.0,0.0,0.0
43,"[13.07, 77.32]",0,0,1246.3573,0.3133,Bangalore,Rejected,0.0,0.0,0.0,0.0
44,"[13.08, 77.32]",0,0,1139.4369,0.5352,Bangalore,Rejected,0.0,0.0,0.0,0.0
45,"[13.09, 77.32]",2,0,2342.6117,0.5881,Bangalore,Rejected,0.0,0.0,0.0,0.0
46,"[13.1, 77.32]",0,0,1146.0684,0.5018,Bangalore,Rejected,0.0,0.0,0.0,0.0
47,"[13.11, 77.32]",1,0,830.91,0.3653,Bangalore,Rejected,0.0,0.0,0.0,0.0
48,"[13.12, 77.32]",0,0,1129.1598,0.3709,Bangalore,Rejected,0.0,0.0,0.0,0.0
49,"[13.13, 77.32]",1,0,1566.5698,0.5448,Bangalore,Rejected,0.0,0.0,0.0,0.0
50,"[13.14, 77.32]",1,1,3366.5332,0.5525,Bangalore,Rejected,0.0,0.0,0.0,0.0
51,"[13.15, 77.32]",0,0,2853.3847,0.2979,Bangalore,Rejected,0.0,0.0,0.0,0.0
52,"[13.16, 77.32]",2,0,788.1128,0.2483,Bangalore,Rejected,0.0,0.0,0.0,0.0
53,"[13.17, 77.32]",0,0,818.1982,0.6136,Bangalore,Rejected,0.0,0.0,0.0,0.0
54,"[13.18, 77.32]",0,0,1172.9533,0.5975,Bangalore,Rejected,0.0,0.0,0.0,0.0
55,"[13.19, 77.32]",1,0,1782.3819,0.545,Bangalore,Rejected,0.0,0.0,0.0,0.0
56,"[13.2, 77.32]",0,0,1160.1580000000001,0.5579999999999999,Bangalore,Rejected,0.0,0.0,0.0,0.0
57,"[13.21, 77.32]",0,0,1010.1797,0.292,Bangalore,Rejected,0.0,0.0,0.0,0.0
58,"[13.22, 77.32]",0,0,0.0,0.3926,Bangalore,Rejected,0.0,0.0,0.0,0.0
59,"[12.64, 77.33]",9,3,4528.3009999999995,0.4193,Bangalore,Rejected,0.0,0.0,0.0,0.0
60,"[12.65, 77.33]",2,1,3215.5247,0.361,Bangalore,Rejected,0.0,0.0,0.0,0.0
61,"[12.66, 77.33]",1,0,2456.5653,0.4119,Bangalore,Rejected,0.0,0.0,0.0,0.0
62,"[12.67, 77.33]",4,1,5747.6812,0.5444,Bangalore,Rejected,0.0,0.0,0.0,0.0
63,"[12.68, 77.33]",0,0,683.2610000000001,0.2378,Bangalore,Rejected,0.0,0.0,0.0,0.0
64,"[12.69, 77.33]",1,1,1937.5184,0.5263,Bangalore,Rejected,0.0,0.0,0.0,0.0
65,"[12.7, 77.33]",0,0,800.6885,0.4227,Bangalore,Rejected,0.0,0.0,0.0,0.0
66,"[12.71, 77.33]",0,0,1100.3096,0.4294,Bangalore,Rejected,0.0,0.0,0.0,0.0
67,"[12.72, 77.33]",0,0,0.0,0.3194,Bangalore,Rejected,0.0,0.0,0.0,0.0
68,"[12.73, 77.33]",0,0,0.0,0.3309,Bangalore,Rejected,0.0,0.0,0.0,0.0
69,"[12.74, 77.33]",1,0,1996.4883,0.4529,Bangalore,Rejected,0.0,0.0,0.0,0.0
70,"[12.75, 77.33]",21,0,5793.4105,0.4781,Bangalore,Rejected,0.0,0.0,0.0,0.0
71,"[12.76, 77.33]",10,4,6600.5737,0.5295,Bangalore,Rejected,0.0,0.0,0.0,0.0
72,"[12.77, 77.33]",9,1,3671.4663,0.5367,Bangalore,Rejected,0.0,0.0,0.0,0.0
73,"[12.78, 77.33]",2,0,2660.3836,0.4608,Bangalore,Rejected,0.0,0.0,0.0,0.0
74,"[12.79, 77.33]",2,0,2491.8148,0.4755,Bangalore,Rejected,0.0,0.0,0.0,0.0
75,"[12.8, 77.33]",2,0,2175.6065,0.4105,Bangalore,Rejected,0.0,0.0,0.0,0.0
76,"[12.81, 77.33]",1,0,1186.0912,0.2371,Bangalore,Rejected,0.0,0.0,0.0,0.0
77,"[12.82, 77.33]",0,0,0.0,0.13699999999999998,Bangalore,Rejected,0.0,0.0,0.0,0.0
78,"[12.83, 77.33]",2,0,2201.5518,0.5315,Bangalore,Rejected,0.0,0.0,0.0,0.0
79,"[12.84, 77.33]",8,1,2982.3455,0.4923,Bangalore,Rejected,0.0,0.0,0.0,0.0
80,"[12.85, 77.33]",26,2,8107.5887,0.4695,Bangalore,Rejected,0.0,0.0,0.0,0.0
81,"[12.86, 77.33]",13,1,5989.2068,0.4606,Bangalore,Rejected,0.0,0.0,0.0,0.0
82,"[12.87, 77.33]",8,0,2657.8983,0.3939,Bangalore,Rejected,0.0,0.0,0.113087,0.0
83,"[12.88, 77.33]",0,0,758.2677,0.2258,Bangalore,Rejected,0.0,0.0,0.497443,0.0
84,"[12.89, 77.33]",7,0,2941.1408,0.5259,Bangalore,Rural,0.0,0.0,0.837838,0.0
85,"[12.9, 77.33]",0,0,2185.6611,0.5034,Bangalore,Rural,0.0,0.0,0.731191,0.0
86,"[12.91, 77.33]",4,0,2335.7859,0.3247,Bangalore,Rural,0.0,0.0,0.575603,0.0
87,"[12.92, 77.33]",1,0,2542.7233,0.3682,Bangalore,Rural,0.0,0.0,0.753104,0.0
88,"[12.93, 77.33]",2,0,1881.7713,0.2387,Bangalore,Rural,0.0,0.0,0.720964,0.0
89,"[12.94, 77.33]",3,0,4019.8019,0.4316,Bangalore,Rural,0.0,0.0,1.0,0.0
90,"[12.95, 77.33]",24,1,7015.4312,0.4827,Bangalore,Rural,0.0,0.0,1.0,0.0
91,"[12.96, 77.33]",13,0,5272.101,0.3459,Bangalore,Rejected,0.0,0.0,0.400292,0.0
92,"[12.97, 77.33]",0,0,273.3262,0.0848,Bangalore,Rejected,0.0,0.0,0.0,0.0
93,"[12.98, 77.33]",7,0,2689.3905,0.4457,Bangalore,Rejected,0.0,0.0,0.0,0.0
94,"[12.99, 77.33]",8,2,3641.8287,0.2185,Bangalore,Rejected,0.0,0.0,0.0,0.0
95,"[13.0, 77.33]",3,1,2839.4708,0.3803,Bangalore,Rejected,0.0,0.0,0.0,0.0
96,"[13.01, 77.33]",0,0,1973.1354,0.5569,Bangalore,Rejected,0.0,0.0,0.0,0.0
