Grid_Number,Grid_Population
0,2417
1,1145
2,1207
3,1102
4,617
5,505
6,485
7,396
8,370
9,453
10,543
11,446
12,451
13,591
14,534
15,927
16,842
17,915
18,1290
19,531
20,537
21,381
22,323
23,512
24,996
25,598
26,341
27,305
28,350
29,344
30,366
31,489
32,381
33,405
34,1032
35,1871
36,1120
37,770
38,827
39,817
40,878
41,837
42,436
43,385
44,546
45,769
46,376
47,398
48,703
49,502
50,571
51,424
52,827
53,1933
54,817
55,705
56,609
57,395
58,426
59,410
60,436
61,451
62,794
63,458
64,325
65,342
66,587
67,369
68,344
69,399
70,1559
71,991
72,483
73,524
74,842
75,801
76,738
77,493
78,519
79,517
80,435
81,341
82,540
83,998
84,736
85,731
86,634
87,516
88,621
89,664
90,960
91,1261
92,1221
93,558
94,615
95,537
96,709
97,1784
98,875
99,650
100,575
101,398
102,346
103,469
104,457
105,1263
106,938
107,1297
108,794
109,800
110,633
111,534
112,717
113,834
114,412
115,474
116,470
117,724
118,669
119,882
120,848
121,627
122,647
123,666
124,831
125,944
126,1455
127,1093
128,613
129,645
130,617
131,512
132,822
133,560
134,433
135,695
136,524
137,539
138,570
139,596
140,1001
141,786
142,1402
143,666
144,700
145,741
146,635
147,1207
148,961
149,571
150,644
151,467
152,828
153,826
154,1027
155,1077
156,841
157,711
158,728
159,1487
160,3639
161,944
162,646
163,733
164,880
165,901
166,534
167,540
168,439
169,309
170,348
171,612
172,403
173,568
174,1011
175,900
176,493
177,701
178,667
179,813
180,617
181,566
182,881
183,738
184,828
185,974
186,582
187,822
188,666
189,892
190,921
191,658
192,580
193,695
194,1411
195,1757
196,856
197,641
198,762
199,970
200,864
201,436
202,439
203,334
204,321
205,418
206,371
207,337
208,393
209,1193
210,907
211,574
212,512
213,796
214,759
215,420
216,546
217,961
218,873
219,930
220,847
221,637
222,1076
223,704
224,1127
225,665
226,519
227,574
228,1179
229,1221
230,660
231,716
232,1023
233,979
234,787
235,704
236,399
237,532
238,360
239,302
240,383
241,434
242,327
243,336
244,444
245,808
246,546
247,468
248,584
249,633
250,392
251,462
252,678
253,644
254,998
255,1022
256,808
257,801
258,610
259,758
260,602
261,576
262,784
263,1337
264,992
265,644
266,762
267,1130
268,938
269,771
270,667
271,1038
272,797
273,778
274,572
275,482
276,359
277,335
278,351
279,655
280,786
