Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[28.2, 76.63]",37,6,8093.3342,0.4686,Gurgaon,Rejected,0.0,0.0,0.0,0.0
1,"[28.21, 76.63]",0,0,381.4905,0.1672,Gurgaon,Rejected,0.0,0.0,0.0,0.0
2,"[28.22, 76.63]",2,0,3108.3077,0.1649,Gurgaon,Rejected,0.0,0.0,0.0,0.0
3,"[28.23, 76.63]",1,0,1452.6028,0.4532,Gurgaon,Rejected,0.0,0.0,0.0,0.0
4,"[28.24, 76.63]",3,0,2515.2743,0.5376,Gurgaon,Rejected,0.0,0.0,0.0,0.0
5,"[28.25, 76.63]",1,0,1074.4181,0.2646,Gurgaon,Rejected,0.0,0.0,0.0,0.0
6,"[28.26, 76.63]",0,0,883.2856,0.569,Gurgaon,Rejected,0.0,0.0,0.0,0.0
7,"[28.27, 76.63]",0,0,0.0,0.1828,Gurgaon,Rejected,0.0,0.0,0.0,0.0
8,"[28.28, 76.63]",0,0,202.5338,0.3823,Gurgaon,Rejected,0.0,0.0,0.0,0.0
9,"[28.29, 76.63]",1,0,1879.8376,0.5562,Gurgaon,Rejected,0.0,0.0,0.0,0.0
10,"[28.3, 76.63]",0,0,687.5089,0.5032,Gurgaon,Rejected,0.0,0.0,0.0,0.0
11,"[28.31, 76.63]",0,0,162.8068,0.2215,Gurgaon,Rejected,0.0,0.0,0.0,0.0
12,"[28.32, 76.63]",1,0,579.3151,0.4092,Gurgaon,Rejected,0.0,0.0,0.0,0.0
13,"[28.33, 76.63]",1,0,983.0447,0.5096,Gurgaon,Rejected,0.0,0.0,0.0,0.0
14,"[28.34, 76.63]",0,0,639.5452,0.2903,Gurgaon,Rejected,0.0,0.0,0.0,0.0
15,"[28.35, 76.63]",1,0,1574.8429999999998,0.5564,Gurgaon,Rejected,0.0,0.0,0.0,0.0
16,"[28.36, 76.63]",2,0,2195.0537,0.4386,Gurgaon,Rejected,0.0,0.0,0.0,0.0
17,"[28.37, 76.63]",2,0,2676.4759999999997,0.4023,Gurgaon,Rejected,0.0,0.0,0.0,0.0
18,"[28.38, 76.63]",4,4,3421.4716,0.5038,Gurgaon,Rejected,0.0,0.0,0.0,0.0
19,"[28.39, 76.63]",0,0,1278.0001,0.6013,Gurgaon,Rejected,0.0,0.0,0.0,0.0
20,"[28.4, 76.63]",0,0,1636.414,0.3165,Gurgaon,Rejected,0.0,0.0,0.0,0.0
21,"[28.41, 76.63]",0,0,0.0,0.2948,Gurgaon,Rejected,0.0,0.0,0.09569,0.0
22,"[28.42, 76.63]",0,0,0.0,0.24600000000000002,Gurgaon,Rejected,0.0,0.0,0.0,0.0
23,"[28.43, 76.63]",0,0,965.9123,0.5556,Gurgaon,Rejected,0.0,0.0,0.0,0.0
24,"[28.44, 76.63]",1,0,2130.2311,0.5651,Gurgaon,Rejected,0.0,0.0,0.0,0.0
25,"[28.45, 76.63]",3,1,2469.9928,0.5826,Gurgaon,Rejected,0.0,0.0,0.0,0.0
26,"[28.46, 76.63]",0,0,481.4806,0.4431,Gurgaon,Rejected,0.0,0.0,0.0,0.0
27,"[28.47, 76.63]",0,0,0.0,0.1159,Gurgaon,Rejected,0.0,0.0,0.0,0.0
28,"[28.48, 76.63]",0,0,897.3008,0.5608,Gurgaon,Rejected,0.0,0.0,0.0,0.0
29,"[28.49, 76.63]",0,0,253.6569,0.2217,Gurgaon,Rejected,0.0,0.0,0.0,0.0
30,"[28.5, 76.63]",2,1,2033.557,0.58,Gurgaon,Rejected,0.0,0.0,0.0,0.0
31,"[28.51, 76.63]",0,0,909.9925,0.5048,Gurgaon,Rejected,0.0,0.0,0.0,0.0
32,"[28.52, 76.63]",0,0,0.0,0.2954,Gurgaon,Rejected,0.0,0.0,0.0,0.0
33,"[28.53, 76.63]",0,0,0.0,0.2597,Gurgaon,Rejected,0.0,0.0,0.0,0.0
34,"[28.54, 76.63]",1,1,3429.5202,0.5102,Gurgaon,Rejected,0.0,0.0,0.0,0.0
35,"[28.2, 76.64]",2,0,2249.1898,0.3946,Gurgaon,Rejected,0.0,0.0,0.0,0.0
36,"[28.21, 76.64]",0,0,2500.0101,0.4469,Gurgaon,Rejected,0.0,0.0,0.0,0.0
37,"[28.22, 76.64]",0,0,773.1144,0.2488,Gurgaon,Rejected,0.0,0.0,0.0,0.0
38,"[28.23, 76.64]",20,4,3155.1095,0.5772,Gurgaon,Rejected,0.0,0.0,0.0,0.0
39,"[28.24, 76.64]",17,2,4478.2598,0.5391,Gurgaon,Rejected,0.0,0.0,0.0,0.0
40,"[28.25, 76.64]",20,0,3845.2022,0.4996,Gurgaon,Rejected,0.0,0.0,0.0,0.0
41,"[28.26, 76.64]",3,0,2438.7969,0.6159,Gurgaon,Rejected,0.0,0.0,0.0,0.0
42,"[28.27, 76.64]",0,0,523.7491,0.311,Gurgaon,Rejected,0.0,0.0,0.0,0.0
43,"[28.28, 76.64]",0,0,1145.0706,0.4994,Gurgaon,Rejected,0.0,0.0,0.0,0.0
44,"[28.29, 76.64]",0,0,371.0393,0.1948,Gurgaon,Rejected,0.0,0.0,0.0,0.0
45,"[28.3, 76.64]",0,0,1256.2596,0.4968,Gurgaon,Rejected,0.0,0.0,0.0,0.0
46,"[28.31, 76.64]",0,0,0.0,0.1094,Gurgaon,Rejected,0.0,0.0,0.0,0.0
47,"[28.32, 76.64]",0,0,0.0,0.1083,Gurgaon,Rejected,0.0,0.0,0.054785,0.0
48,"[28.33, 76.64]",0,0,1091.6092,0.5694,Gurgaon,Rejected,0.0,0.0,0.005843999999999999,0.0
49,"[28.34, 76.64]",0,0,12.1804,0.1885,Gurgaon,Rejected,0.0,0.0,0.0,0.0
50,"[28.35, 76.64]",1,0,1354.8216,0.5008,Gurgaon,Rejected,0.0,0.0,0.0,0.0
51,"[28.36, 76.64]",0,0,0.0,0.242,Gurgaon,Rejected,0.0,0.0,0.0,0.0
52,"[28.37, 76.64]",0,0,1207.1457,0.6057,Gurgaon,Rejected,0.0,0.0,0.0,0.0
53,"[28.38, 76.64]",4,1,3744.0006,0.4976,Gurgaon,Rejected,0.0,0.0,0.0,0.0
54,"[28.39, 76.64]",0,0,2507.5442,0.3823,Gurgaon,Rejected,0.0,0.0,0.0,0.0
55,"[28.4, 76.64]",0,0,1586.7074,0.4508,Gurgaon,Rejected,0.0,0.0,0.479912,0.0
56,"[28.41, 76.64]",0,0,0.0,0.2133,Gurgaon,Rural,0.0,0.0,0.8845870000000001,0.0
57,"[28.42, 76.64]",0,0,264.2467,0.3396,Gurgaon,Rejected,0.0,0.0,0.053324,0.0
58,"[28.43, 76.64]",1,0,1899.8094,0.5868,Gurgaon,Rejected,0.0,0.0,0.0,0.0
59,"[28.44, 76.64]",2,0,1666.5987,0.537,Gurgaon,Rejected,0.0,0.0,0.0,0.0
60,"[28.45, 76.64]",0,0,971.2838,0.3183,Gurgaon,Rejected,0.0,0.0,0.0,0.0
