Grid_Number,Ban_num_Utilities
0,2.8523594549996574
1,1.7608889002780328
2,0.7337351813175984
3,0.6699755607986729
4,1.682922911608243
5,2.772806184959131
6,3.8752472296438856
7,4.981916336206476
8,6.090509174908517
9,7.200137219311192
10,8.310385808297896
11,8.241230229491027
12,6.980935208902983
13,6.539678777442585
14,6.266913291166614
15,6.184971095446183
16,6.301300998178496
17,6.605435841291779
18,7.046026844197152
19,6.649364082788538
20,6.137161768185753
21,5.795543816208559
22,5.655507349090392
23,5.731846152763326
24,6.016329358968798
25,6.481607770109343
26,6.813394431557632
27,6.685104121894026
28,6.7403080046006885
29,6.974650407650485
30,7.0956117111129595
31,6.426561111063233
32,5.892922163718389
33,5.534007345055008
34,5.384868124352567
35,5.462713052346848
36,5.758343930502926
37,6.240887557527871
38,6.871076476325816
39,7.612330006994965
40,8.435419733560389
41,8.078550527602061
42,7.48580033582651
43,6.810632565315268
44,6.205004676635542
45,5.752591752956742
46,5.491393489551086
47,5.448977406794994
48,4.629150858673738
49,3.601322569364642
50,2.6425126523848985
51,1.8625477928249743
52,1.5582547083978002
53,1.9647120616200269
54,2.786555495060214
55,3.690334485854988
56,3.0542699180123893
57,2.74069754584532
58,2.8578214665495048
59,2.895690058183646
60,1.8302421725283036
61,0.8873636462383951
62,0.8354067301356367
63,1.7553509342501805
64,2.817351900901931
65,3.9072431327195805
66,5.006844155391575
67,6.110915662001993
68,7.217406348082934
69,7.65398543256779
70,7.403149405470035
71,6.041212757502255
72,5.525457271366139
73,5.199804452870939
74,5.100795668581385
75,5.24129071615568
76,5.603302785323976
77,6.076958207648107
78,5.755998566408649
79,5.155838682863886
80,4.744121359037557
81,4.5720415935532195
82,4.666187213928399
83,5.011576978957892
84,5.561597471496487
85,5.754442871138531
86,5.602001312329814
87,5.667811425540458
88,5.944629148535914
89,6.3132475081146495
90,5.550720463725164
91,4.9230847241532345
92,4.48730327736345
93,4.302078587375494
94,4.39917396882021
95,4.761349074685545
96,5.334887101068347
97,6.060070768427824
98,6.8891768029738865
99,7.789089696106068
100,7.225531480233393
101,6.556146904746144
