Grid_Number,Che_num_Government_Facilities
0,0.6925180051019408
1,1.248744247936874
2,0.8130670429442322
3,0.46670525605579766
4,1.3330765665654762
5,1.4427462144036678
6,0.7005456399649405
7,0.35065414235926723
8,0.7073358173705944
9,0.4886636395783848
10,0.8769273839583055
11,0.4107854756875818
12,0.7891512318244861
13,0.5638363548584057
14,0.7590463171227516
15,0.40917751981008577
16,0.5081820160499876
17,0.7171274147112902
18,1.755072765599029
19,0.3254157905324682
20,0.7760028146123001
21,0.6165448625080031
22,0.15598258360612077
23,0.6716397027678336
24,1.0158849307171538
25,0.11327773571868559
26,0.18241166014811908
27,0.18534832274151655
28,0.25009340531902063
29,0.27654541328173265
30,0.07133194307425769
31,0.17379492500010088
32,0.1300629419864789
33,0.12218244208108142
34,0.2556500601614065
35,0.6559515574745817
36,0.9106368497878616
37,1.8426218645687473
38,0.09426454615177995
39,0.2777661452576558
40,0.17869006422969155
41,0.2117926704595057
42,0.48009732151185636
43,0.8319001440103825
44,0.353104709145632
45,0.3937281587942399
46,0.17972895482550538
47,0.11352952695338912
48,0.20948243051499543
49,0.22664615341134117
50,0.27504506703466336
51,0.1202667088821079
52,0.16052961820090253
53,0.08934197795083536
54,0.1280658823470961
55,0.7625641246243436
56,1.7290682110608637
57,0.06263080222504204
58,0.1543181987566926
59,0.13833252186631867
60,0.08658619079200845
61,0.26144458977765594
62,0.2599005251089928
63,0.2143533998820683
64,0.4365772441376271
65,0.25319725060861215
66,0.31759139049548074
67,0.20212402882486158
68,0.17254303889525507
69,0.16371253385854945
70,0.05410635269885101
71,0.0922535757386479
72,0.46278078361042235
73,0.5737386240630348
74,0.6462795060786257
75,0.7124727079573374
76,0.2459965106970801
77,0.0702728325790591
78,0.28524698414536886
79,0.09847494880586886
80,0.061475132077225374
81,0.2201315538733354
82,0.09898738240611044
83,0.3229245996224116
84,0.2068035659482115
85,0.30633345711957716
86,0.12921457271212738
87,0.26573926070402315
88,0.17918344057230148
89,0.21351417437490813
90,0.05270980319552223
91,0.04173586867924183
92,0.2039585316643402
93,0.1265499280987678
94,0.6088939463196001
95,0.5428117855003669
96,0.12488204174606941
97,0.06603376541136116
98,0.3369168411054033
99,0.020778312078677204
100,0.34919631952860375
101,0.12870197927987734
102,0.08187743288866331
103,0.08527624792763042
104,0.26119199230381124
105,0.2235271805382953
106,0.04543783462924318
107,0.05311271750395854
108,0.011907905342418805
109,0.30742945944597483
110,0.13519313903572028
111,0.3548362610579969
112,0.06182255560155425
113,0.543910512936766
114,1.2860450617738817
115,0.5634058184198307
116,0.2921046338742985
117,0.2795785354936672
118,0.7350463155798284
119,0.518165550782957
120,0.03444210095381118
121,0.025661011394096524
122,0.044008437780783116
123,0.08299587736887355
124,0.0890281276333405
125,0.07262492908768903
126,0.023173331517710005
127,0.09529350922608401
128,0.2619811587091304
129,0.6657822603756792
130,0.123728974200979
