Grid_Number,Che_n_Education
0,208.0
1,229.0
2,282.0
3,329.0
4,343.0
5,342.0
6,349.0
7,338.0
8,354.0
9,376.0
10,377.0
11,406.0
12,408.0
13,361.0
14,328.0
15,312.0
16,273.0
17,205.0
18,145.0
19,268.0
20,322.0
21,426.0
22,464.0
23,473.0
24,444.0
25,499.0
26,89.0
27,101.0
28,102.0
29,90.0
30,521.0
31,512.0
32,472.0
33,437.0
34,379.0
35,341.0
36,289.0
37,198.0
38,328.0
39,422.0
40,484.0
41,544.0
42,613.0
43,585.0
44,608.0
45,131.0
46,130.0
47,156.0
48,154.0
49,128.0
50,115.0
51,152.0
52,162.0
53,481.0
54,428.0
55,344.0
56,251.0
57,410.0
58,151.0
59,166.0
60,610.0
61,683.0
62,708.0
63,697.0
64,700.0
65,152.0
66,184.0
67,157.0
68,129.0
69,135.0
70,172.0
71,155.0
72,167.0
73,493.0
74,406.0
75,301.0
76,479.0
77,151.0
78,181.0
79,178.0
80,155.0
81,158.0
82,154.0
83,149.0
84,154.0
85,174.0
86,148.0
87,139.0
88,131.0
89,147.0
90,153.0
91,136.0
92,585.0
93,490.0
94,345.0
95,536.0
96,143.0
97,161.0
98,174.0
99,147.0
100,872.0
101,901.0
102,158.0
103,181.0
104,170.0
105,185.0
106,171.0
107,154.0
108,162.0
109,878.0
110,160.0
111,641.0
112,508.0
113,364.0
114,510.0
115,645.0
116,140.0
117,153.0
118,906.0
119,879.0
120,109.0
121,145.0
122,173.0
123,180.0
124,179.0
125,176.0
126,168.0
127,164.0
128,139.0
129,796.0
130,675.0
131,534.0
132,374.0
133,459.0
134,564.0
135,159.0
136,794.0
137,872.0
138,900.0
139,971.0
140,1017.0
141,146.0
142,167.0
143,181.0
144,987.0
145,157.0
146,977.0
147,163.0
148,157.0
149,151.0
150,516.0
151,399.0
152,404.0
153,147.0
154,160.0
155,150.0
156,814.0
157,874.0
158,904.0
159,924.0
160,153.0
161,161.0
162,156.0
163,988.0
164,149.0
165,166.0
166,183.0
167,175.0
168,143.0
169,123.0
170,422.0
171,353.0
172,143.0
173,151.0
174,146.0
175,168.0
176,734.0
177,760.0
178,797.0
179,166.0
180,165.0
181,163.0
182,142.0
183,140.0
184,149.0
185,156.0
186,170.0
187,162.0
188,107.0
189,425.0
190,268.0
191,368.0
192,415.0
193,511.0
194,593.0
195,596.0
196,669.0
197,185.0
198,207.0
199,194.0
200,168.0
201,141.0
202,132.0
203,175.0
204,165.0
205,146.0
206,138.0
207,97.0
208,436.0
209,228.0
210,297.0
211,348.0
212,433.0
213,501.0
214,506.0
215,536.0
216,575.0
217,167.0
218,182.0
219,125.0
220,107.0
221,132.0
222,146.0
223,203.0
224,194.0
225,151.0
226,115.0
227,400.0
228,171.0
229,221.0
230,253.0
231,326.0
232,376.0
233,408.0
234,435.0
235,454.0
236,462.0
237,463.0
238,562.0
239,600.0
240,611.0
241,144.0
242,167.0
243,214.0
244,181.0
245,126.0
246,350.0
247,96.0
248,140.0
249,162.0
250,174.0
251,243.0
252,276.0
253,300.0
254,342.0
255,331.0
256,359.0
257,431.0
258,455.0
259,494.0
260,105.0
261,137.0
262,170.0
263,160.0
264,112.0
265,282.0
266,22.0
267,34.0
268,66.0
269,68.0
270,94.0
271,153.0
272,194.0
273,222.0
274,237.0
275,242.0
276,281.0
277,315.0
278,326.0
279,376.0
280,354.0
281,335.0
282,325.0
283,288.0
284,226.0
