Grid_Number,Kol_n_Education
0,278.0
1,361.0
2,377.0
3,465.0
4,502.0
5,537.0
6,528.0
7,572.0
8,586.0
9,551.0
10,472.0
11,412.0
12,351.0
13,263.0
14,331.0
15,431.0
16,514.0
17,617.0
18,630.0
19,128.0
20,655.0
21,703.0
22,678.0
23,665.0
24,612.0
25,534.0
26,438.0
27,342.0
28,388.0
29,533.0
30,577.0
31,687.0
32,125.0
33,725.0
34,740.0
35,769.0
36,798.0
37,779.0
38,752.0
39,663.0
40,509.0
41,402.0
42,440.0
43,603.0
44,699.0
45,110.0
46,128.0
47,820.0
48,844.0
49,857.0
50,878.0
51,827.0
52,802.0
53,734.0
54,634.0
55,512.0
56,495.0
57,639.0
58,760.0
59,143.0
60,125.0
61,949.0
62,943.0
63,964.0
64,955.0
65,905.0
66,874.0
67,785.0
68,670.0
69,535.0
70,541.0
71,649.0
72,751.0
73,911.0
74,136.0
75,126.0
76,959.0
77,1004.0
78,996.0
79,975.0
80,923.0
81,784.0
82,658.0
83,514.0
84,559.0
85,161.0
86,165.0
87,911.0
88,947.0
89,936.0
90,967.0
91,983.0
92,1008.0
93,1005.0
94,902.0
95,800.0
96,681.0
97,543.0
98,590.0
99,164.0
100,170.0
101,155.0
102,141.0
103,943.0
104,968.0
105,995.0
106,1013.0
107,974.0
108,919.0
109,800.0
110,683.0
111,558.0
112,610.0
113,166.0
114,173.0
115,182.0
116,190.0
117,191.0
118,166.0
119,151.0
120,138.0
121,158.0
122,168.0
123,790.0
124,670.0
125,524.0
126,581.0
127,162.0
128,186.0
129,178.0
130,171.0
131,175.0
132,209.0
133,193.0
134,170.0
135,184.0
136,160.0
137,153.0
138,657.0
139,522.0
140,525.0
141,635.0
142,717.0
143,155.0
144,158.0
145,170.0
146,155.0
147,170.0
148,174.0
149,181.0
150,174.0
151,159.0
152,134.0
153,77.0
154,474.0
155,553.0
156,660.0
157,775.0
158,166.0
159,136.0
160,127.0
161,156.0
162,150.0
163,155.0
164,159.0
165,153.0
166,116.0
167,70.0
168,397.0
169,460.0
170,536.0
171,652.0
172,684.0
173,673.0
174,116.0
175,143.0
176,146.0
177,578.0
178,566.0
179,502.0
180,444.0
181,361.0
182,333.0
183,384.0
184,418.0
185,495.0
186,525.0
187,531.0
188,551.0
189,546.0
190,512.0
191,503.0
192,488.0
193,402.0
194,326.0
195,242.0
