Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[18.89, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
1,"[18.9, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
2,"[18.91, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
3,"[18.92, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
4,"[18.93, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
5,"[18.94, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
6,"[18.95, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
7,"[18.96, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
8,"[18.97, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
9,"[18.98, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
10,"[18.99, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
11,"[19.0, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
12,"[19.01, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
13,"[19.02, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
14,"[19.03, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
15,"[19.04, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
16,"[19.05, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
17,"[19.06, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
18,"[19.07, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
19,"[19.08, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
20,"[19.09, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
21,"[19.1, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
22,"[19.11, 72.77]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
23,"[19.12, 72.77]",0,0,0.0,0.136,Mumbai,Rejected,0.0,0.0,0.0,0.0
24,"[19.13, 72.77]",0,0,0.0,0.3405,Mumbai,Rejected,0.0,0.0,0.0,0.0
25,"[19.14, 72.77]",0,0,0.0,0.0721,Mumbai,Rejected,0.0,0.0,0.0,0.0
26,"[19.15, 72.77]",0,0,0.0,0.2268,Mumbai,Rejected,0.0,0.0,0.0,0.0
27,"[19.16, 72.77]",0,0,0.0,0.2501,Mumbai,Rejected,0.0,0.0,0.0,0.0
28,"[19.17, 72.77]",0,0,0.0,0.2153,Mumbai,Rejected,0.0,0.0,0.0,0.0
29,"[19.18, 72.77]",0,0,0.0,0.1908,Mumbai,Rejected,0.0,0.0,0.0,0.0
30,"[19.19, 72.77]",0,0,0.0,0.2869,Mumbai,Rejected,0.0,0.0,0.0,0.0
31,"[19.2, 72.77]",0,0,0.0,0.2779,Mumbai,Rejected,0.0,0.0,0.009496,0.0
32,"[19.21, 72.77]",0,0,17.1718,0.2381,Mumbai,Rejected,0.0,0.0,0.016801,0.0
33,"[19.22, 72.77]",7,1,2616.2434,0.5735,Mumbai,Rejected,0.0,0.0,0.25200900000000004,0.0
34,"[19.23, 72.77]",0,0,0.0,0.3313,Mumbai,Rejected,0.0,0.0,0.037984,0.0
35,"[19.24, 72.77]",0,0,0.0,0.2607,Mumbai,Rejected,0.0,0.0,0.0,0.0
36,"[19.25, 72.77]",0,0,0.0,0.2447,Mumbai,Rejected,0.0,0.0,0.0,0.0
37,"[19.26, 72.77]",0,0,0.0,0.1591,Mumbai,Rejected,0.0,0.0,0.0,0.0
38,"[18.89, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
39,"[18.9, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
40,"[18.91, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
41,"[18.92, 72.78]",0,0,0.0,0.1582,Mumbai,Rejected,0.0,0.0,0.0,0.0
42,"[18.93, 72.78]",0,0,0.0,0.2606,Mumbai,Rejected,0.0,0.0,0.0,0.0
43,"[18.94, 72.78]",0,0,0.0,0.2869,Mumbai,Rejected,0.0,0.0,0.0,0.0
44,"[18.95, 72.78]",0,0,0.0,0.2644,Mumbai,Rejected,0.0,0.0,0.0,0.0
45,"[18.96, 72.78]",0,0,0.0,0.0644,Mumbai,Rejected,0.0,0.0,0.0,0.0
46,"[18.97, 72.78]",0,0,0.0,0.1566,Mumbai,Rejected,0.0,0.0,0.0,0.0
47,"[18.98, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
48,"[18.99, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
49,"[19.0, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
50,"[19.01, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
51,"[19.02, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
52,"[19.03, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
53,"[19.04, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
54,"[19.05, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
55,"[19.06, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
56,"[19.07, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
57,"[19.08, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
58,"[19.09, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
59,"[19.1, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
60,"[19.11, 72.78]",0,0,0.0,0.0,Mumbai,Rejected,0.0,0.0,0.0,0.0
61,"[19.12, 72.78]",0,0,0.0,0.3526,Mumbai,Rejected,0.0,0.0,0.008766,0.0
62,"[19.13, 72.78]",11,1,2759.1804,0.3024,Mumbai,Rejected,0.0,0.016801,0.25200900000000004,0.0
63,"[19.14, 72.78]",4,0,1320.4821,0.392,Mumbai,Rejected,0.0,0.035793,0.109569,0.0
64,"[19.15, 72.78]",7,0,2101.1338,0.5705,Mumbai,Rejected,0.0,0.0,0.45288500000000004,0.0
65,"[19.16, 72.78]",12,1,4076.5254,0.348,Mumbai,Rural,0.0,0.0,0.626004,0.0
66,"[19.17, 72.78]",0,0,0.0,0.2744,Mumbai,Rejected,0.0,0.0,0.0,0.0
67,"[19.18, 72.78]",0,0,0.0,0.0638,Mumbai,Rejected,0.0,0.0,0.0,0.0
68,"[19.19, 72.78]",11,0,3279.0602,0.5042,Mumbai,Rural,0.0,0.0,0.553689,0.0
69,"[19.2, 72.78]",14,1,4940.3159,0.5069,Mumbai,Rural,0.0,0.0,0.653031,0.0
70,"[19.21, 72.78]",13,0,4701.4988,0.4985,Mumbai,Rural,0.0,0.0,0.896275,0.0
71,"[19.22, 72.78]",5,0,2621.3674,0.4395,Mumbai,Rural,0.0,0.0,1.0,0.0
72,"[19.23, 72.78]",13,0,3233.7461,0.5153,Mumbai,Rural,0.0,0.0,0.9948870000000001,0.0
73,"[19.24, 72.78]",9,0,3300.926,0.5348,Mumbai,Rural,0.0,0.0,0.8677870000000001,0.0
74,"[19.25, 72.78]",3,0,1263.704,0.4225,Mumbai,Rural,0.0,0.0,0.759679,0.0
75,"[19.26, 72.78]",5,0,3009.3333,0.2468,Mumbai,Rejected,0.0,0.0,0.29018499999999997,0.0
76,"[18.89, 72.79]",0,0,0.0,0.0592,Mumbai,Rejected,0.0,0.0,0.0,0.0
77,"[18.9, 72.79]",0,0,0.0,0.2522,Mumbai,Rejected,0.0,0.0,0.0,0.0
78,"[18.91, 72.79]",0,0,0.0,0.1116,Mumbai,Rejected,0.0,0.0,0.0,0.0
79,"[18.92, 72.79]",0,0,0.0,0.0821,Mumbai,Rejected,0.0,0.0,0.0,0.0
80,"[18.93, 72.79]",1,0,134.4026,0.5057,Mumbai,Rejected,0.0,0.0,0.008766,0.0
81,"[18.94, 72.79]",60,2,8046.9511,0.565,Mumbai,Rejected,0.0,0.020453,0.438276,0.0
