Grid_Number,Grid_Population
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,202
32,413
33,208
34,1304
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,365
62,3432
63,2654
64,6165
65,5256
66,0
67,0
68,6543
69,17133
70,6892
71,6785
72,15792
73,8583
74,460
75,2063
76,0
77,0
78,0
79,0
80,196
81,11653
82,10947
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,11865
101,25892
102,5891
103,4533
104,4780
105,4035
106,6688
107,2210
108,5680
109,2557
110,8557
111,3742
112,1043
113,3766
114,3866
115,13317
116,1787
117,0
118,0
119,1490
120,33075
121,34387
122,14625
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,6033
139,19074
140,3277
141,10672
142,9012
143,8684
144,16087
145,3211
146,1105
147,10241
148,13950
149,2262
150,73
151,0
152,6224
153,30270
154,10736
155,429
156,0
157,930
158,36420
159,53467
160,45644
161,26946
162,36756
163,29505
164,11804
165,3006
166,0
167,1826
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,9884
176,40406
177,27949
178,7476
179,5254
180,22373
181,25888
182,38973
183,20422
184,12949
185,969
186,1670
187,995
188,322
189,1573
190,0
191,2202
192,28210
193,33947
194,26339
195,38073
196,53461
197,53482
198,51175
199,51968
200,53219
201,52829
202,37932
203,203
204,0
205,26242
206,34021
207,33621
208,32742
209,13941
210,12377
211,23395
212,36900
213,47133
214,51042
215,46159
216,23594
217,11008
218,4282
219,32521
220,46172
221,49241
222,43498
223,27822
224,10535
225,391
226,446
227,2363
228,0
229,0
230,4383
231,36140
232,50943
233,52599
234,54074
235,54174
236,53529
237,53719
238,53570
239,53155
240,53073
241,24852
242,4500
243,12505
244,49683
245,53984
246,53360
247,51440
248,42014
249,48479
250,51669
251,53236
252,54036
253,54241
254,51201
255,46543
256,44132
257,47065
258,53288
259,58661
260,50741
261,32707
262,20023
263,4900
264,991
265,1240
266,0
267,0
268,0
269,1121
270,11852
271,21903
272,30878
273,48844
274,52574
275,52919
276,54407
277,54486
278,54886
279,53941
280,47648
281,43518
282,49887
283,53661
284,54031
285,52861
286,53491
287,52370
288,53645
289,54634
290,55038
291,52142
292,62482
293,58292
294,60517
295,61021
296,62131
297,65436
298,50136
299,51805
300,45704
301,29350
302,16753
303,1363
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,2833
312,15930
313,41307
314,46390
315,53091
316,55687
317,55587
318,54594
319,51916
320,41541
321,52496
322,50764
323,47191
324,54507
325,53759
326,54205
327,53750
328,53193
329,51716
330,62656
331,70338
332,77654
333,76248
334,64794
335,53713
336,56924
337,68813
338,64139
339,51969
340,43573
341,6449
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1553
352,2746
353,30155
354,52870
355,55708
356,57662
357,56635
358,35811
359,52332
360,53756
361,45555
362,48107
363,53735
364,55500
365,53260
366,50658
367,16381
368,7395
369,29146
370,69739
371,57051
372,59086
373,45162
374,59897
375,53306
376,56885
377,64437
378,56785
379,16946
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,9980
392,35560
393,56481
394,56630
395,58637
396,62489
397,49980
398,53166
399,40516
400,46944
401,54675
402,52965
403,46214
404,21388
405,832
406,3323
407,22154
408,58398
409,10933
410,46729
411,57046
412,29984
413,3117
414,9000
415,20206
416,29855
417,41502
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,622
429,15246
430,39900
431,61642
432,63902
433,60311
434,64730
435,62835
436,55459
437,54420
438,51843
439,54292
440,53282
441,42661
442,4454
443,1287
444,20347
445,13358
446,15365
447,369
448,5373
449,6367
450,1633
451,0
452,0
453,0
454,681
455,9706
456,0
457,0
458,0
459,0
