Grid_Number,Gur_n_Government_Facilities
0,4.0
1,6.0
2,6.0
3,6.0
4,4.0
5,3.0
6,3.0
7,3.0
8,1.0
9,1.0
10,0.0
11,2.0
12,2.0
13,3.0
14,2.0
15,3.0
16,4.0
17,4.0
18,3.0
19,3.0
20,3.0
21,3.0
22,1.0
23,3.0
24,3.0
25,3.0
26,2.0
27,2.0
28,5.0
29,5.0
30,4.0
31,3.0
32,1.0
33,1.0
34,1.0
35,7.0
36,7.0
37,3.0
38,3.0
39,3.0
40,4.0
41,3.0
42,3.0
43,2.0
44,0.0
45,3.0
46,2.0
47,3.0
48,4.0
49,4.0
50,5.0
51,3.0
52,4.0
53,3.0
54,3.0
55,3.0
56,1.0
57,1.0
58,3.0
59,3.0
60,3.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,2.0
68,1.0
69,1.0
70,7.0
71,4.0
72,4.0
73,3.0
74,2.0
75,4.0
76,4.0
77,3.0
78,1.0
79,4.0
80,3.0
81,2.0
82,1.0
83,4.0
84,5.0
85,5.0
86,4.0
87,5.0
88,3.0
89,3.0
90,2.0
91,2.0
92,2.0
93,0.0
94,0.0
95,3.0
96,4.0
97,5.0
98,5.0
99,5.0
100,5.0
101,5.0
102,3.0
103,2.0
104,1.0
105,1.0
106,1.0
107,1.0
108,4.0
109,2.0
110,3.0
111,4.0
112,4.0
113,3.0
114,4.0
115,4.0
116,2.0
117,2.0
118,2.0
119,5.0
120,4.0
121,4.0
122,4.0
123,3.0
124,4.0
125,4.0
126,2.0
127,2.0
128,0.0
129,0.0
130,4.0
131,4.0
132,5.0
133,7.0
134,3.0
135,7.0
136,3.0
137,3.0
138,3.0
139,2.0
140,1.0
141,1.0
142,1.0
143,4.0
144,3.0
145,3.0
146,3.0
147,4.0
148,3.0
149,3.0
150,2.0
151,2.0
152,1.0
153,3.0
154,4.0
155,5.0
156,5.0
157,5.0
158,2.0
159,2.0
160,4.0
161,4.0
162,2.0
163,0.0
164,4.0
165,5.0
166,6.0
167,7.0
168,7.0
169,7.0
170,7.0
171,7.0
172,5.0
173,3.0
174,3.0
175,2.0
176,0.0
177,3.0
178,4.0
179,6.0
180,4.0
181,4.0
182,2.0
183,4.0
184,3.0
185,5.0
186,5.0
187,5.0
188,5.0
189,6.0
190,6.0
191,5.0
192,5.0
193,4.0
194,2.0
195,2.0
196,4.0
197,4.0
198,2.0
199,5.0
200,5.0
201,6.0
202,7.0
203,7.0
204,7.0
205,7.0
206,4.0
207,4.0
208,5.0
209,4.0
210,5.0
211,5.0
212,5.0
213,5.0
214,3.0
215,4.0
216,2.0
217,4.0
218,5.0
219,3.0
220,6.0
221,6.0
222,6.0
223,6.0
224,6.0
225,6.0
226,6.0
227,5.0
228,6.0
229,3.0
230,1.0
231,3.0
232,3.0
233,3.0
234,5.0
235,6.0
236,8.0
237,7.0
238,7.0
239,6.0
240,6.0
241,4.0
242,4.0
243,4.0
244,4.0
245,5.0
246,9.0
247,7.0
248,4.0
249,6.0
250,2.0
251,4.0
252,5.0
253,4.0
254,5.0
255,6.0
256,6.0
257,6.0
258,9.0
259,9.0
260,6.0
261,7.0
262,5.0
263,6.0
264,5.0
265,2.0
266,4.0
267,3.0
268,3.0
269,4.0
270,5.0
271,8.0
272,7.0
273,4.0
274,3.0
275,3.0
276,3.0
277,3.0
278,4.0
279,4.0
280,7.0
281,7.0
282,7.0
283,8.0
284,2.0
285,5.0
286,5.0
287,5.0
288,4.0
289,5.0
290,6.0
291,6.0
292,10.0
293,13.0
294,12.0
295,12.0
296,8.0
297,6.0
298,7.0
299,5.0
300,5.0
301,5.0
302,4.0
303,5.0
304,5.0
305,5.0
306,6.0
307,8.0
308,3.0
309,3.0
310,3.0
311,3.0
312,3.0
313,3.0
314,4.0
315,7.0
316,7.0
317,8.0
318,7.0
319,7.0
320,6.0
321,7.0
322,6.0
323,5.0
324,5.0
325,5.0
326,11.0
327,15.0
328,16.0
329,15.0
330,14.0
331,15.0
332,9.0
333,8.0
334,6.0
335,5.0
336,5.0
337,5.0
338,5.0
339,5.0
340,5.0
341,7.0
342,8.0
343,7.0
344,3.0
345,3.0
346,0.0
347,0.0
348,0.0
349,0.0
350,6.0
351,7.0
352,8.0
353,7.0
354,7.0
355,6.0
356,6.0
357,6.0
358,5.0
359,6.0
360,10.0
361,22.0
362,23.0
363,24.0
364,20.0
365,17.0
366,16.0
367,14.0
368,10.0
369,7.0
370,6.0
371,7.0
372,5.0
373,5.0
374,5.0
375,5.0
376,7.0
377,8.0
378,8.0
379,7.0
380,4.0
381,0.0
382,0.0
383,0.0
384,6.0
385,19.0
386,16.0
387,8.0
388,7.0
389,6.0
390,5.0
391,6.0
392,6.0
