Grid_Number,Ban_popu_Health
177,-1.0
178,-1.0
179,-1.0
180,-1.0
181,-1.0
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,3434.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,-1.0
215,3053.0
216,3053.0
217,1000.0
218,1880.0
219,1880.0
220,987.0
221,7320.0
222,-1.0
223,4028.0
224,4028.0
225,2922.0
226,1740.0
227,5109.0
228,2763.0
229,2763.0
230,-1.0
231,779.0
232,779.0
233,779.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,11797.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,4586.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,3053.0
274,3053.0
275,3053.0
276,3053.0
277,563.0
278,816.0
279,7320.0
280,7320.0
281,7320.0
282,4028.0
283,4028.0
284,2922.0
285,6628.0
286,6628.0
287,-1.0
288,-1.0
289,1489.0
290,1489.0
291,779.0
292,779.0
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,-1.0
301,-1.0
302,-1.0
303,2257.0
304,9089.0
305,9089.0
306,-1.0
307,-1.0
308,-1.0
309,11797.0
310,11797.0
311,11797.0
312,-1.0
313,-1.0
314,-1.0
315,-1.0
316,4586.0
317,4586.0
318,4586.0
319,-1.0
320,662.0
321,662.0
322,266.0
323,-1.0
324,-1.0
325,-1.0
326,-1.0
327,-1.0
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,1531.0
333,3053.0
334,3053.0
335,1029.0
336,289.0
337,289.0
338,857.0
339,7320.0
340,7385.0
341,7283.0
342,10443.0
343,10443.0
344,6628.0
345,6628.0
346,-1.0
347,-1.0
348,-1.0
349,1489.0
350,4899.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,-1.0
360,-1.0
361,2535.0
362,2535.0
363,9089.0
364,9089.0
365,3372.0
366,3372.0
367,-1.0
368,915.0
369,915.0
370,1714.0
371,1714.0
372,-1.0
373,9343.0
374,-1.0
375,4586.0
376,4586.0
377,4586.0
378,-1.0
379,662.0
380,2.0
381,266.0
382,266.0
383,-1.0
384,-1.0
385,226.0
386,226.0
387,226.0
388,2039.0
389,-1.0
390,1531.0
391,1531.0
392,1531.0
393,1029.0
394,1029.0
395,2488.0
396,289.0
397,857.0
398,7385.0
399,7385.0
400,7283.0
401,3321.0
402,5502.0
403,5502.0
404,-1.0
405,-1.0
406,-1.0
407,-1.0
408,4899.0
409,4899.0
410,4899.0
411,-1.0
412,-1.0
413,-1.0
414,-1.0
415,-1.0
416,-1.0
417,-1.0
418,-1.0
419,-1.0
420,2535.0
421,1456.0
422,1456.0
423,9089.0
424,3372.0
425,3372.0
426,6943.0
427,6943.0
428,1664.0
429,3405.0
430,3405.0
431,9343.0
432,9343.0
433,9343.0
434,4586.0
435,4586.0
436,4586.0
437,-1.0
438,662.0
439,53.0
440,53.0
441,134.0
442,-1.0
443,-1.0
444,226.0
445,226.0
446,226.0
447,2039.0
448,2039.0
449,-1.0
450,1531.0
451,1531.0
452,2488.0
453,2488.0
454,2488.0
455,6920.0
456,6920.0
457,3163.0
458,745.0
459,655.0
460,3321.0
461,5502.0
462,5502.0
463,8796.0
464,9520.0
465,9520.0
466,-1.0
467,-1.0
468,4899.0
469,4899.0
470,-1.0
471,-1.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,-1.0
477,-1.0
478,-1.0
479,-1.0
480,1456.0
481,1456.0
482,3372.0
483,3372.0
484,2260.0
485,6943.0
486,6943.0
487,3405.0
488,3405.0
489,11309.0
490,9343.0
491,9343.0
492,9343.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,243.0
498,134.0
499,134.0
500,134.0
501,-1.0
502,-1.0
503,440.0
504,211.0
505,103.0
506,1130.0
507,1130.0
508,-1.0
509,672.0
510,-1.0
511,2488.0
512,2488.0
513,2488.0
514,6920.0
515,6920.0
516,2223.0
517,1773.0
518,1495.0
519,1495.0
520,-1.0
521,8796.0
522,8796.0
523,9520.0
524,9520.0
525,9520.0
526,-1.0
527,-1.0
528,-1.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,2757.0
540,2757.0
541,2529.0
542,2529.0
543,3622.0
544,4603.0
545,6943.0
546,11309.0
547,11309.0
548,11309.0
549,11309.0
550,9343.0
551,2578.0
552,2578.0
553,-1.0
554,-1.0
555,-1.0
556,77.0
557,243.0
558,89.0
559,89.0
560,-1.0
561,219.0
562,219.0
563,147.0
564,103.0
565,1130.0
566,1130.0
567,2506.0
568,672.0
569,1094.0
570,1094.0
571,-1.0
572,-1.0
573,1849.0
574,1849.0
575,1423.0
576,600.0
577,1773.0
578,-1.0
579,-1.0
580,8796.0
581,8796.0
582,9520.0
583,9520.0
584,9520.0
585,3652.0
586,2046.0
587,-1.0
588,-1.0
589,-1.0
590,-1.0
591,-1.0
592,-1.0
593,-1.0
594,3575.0
595,3575.0
596,3575.0
597,-1.0
598,2757.0
599,2757.0
600,2529.0
601,2529.0
602,3622.0
603,3622.0
604,-1.0
605,-1.0
606,11309.0
607,11309.0
608,11309.0
609,210.0
610,2578.0
611,2578.0
612,1029.0
613,1029.0
614,-1.0
615,384.0
616,77.0
617,89.0
618,89.0
619,219.0
620,219.0
621,219.0
622,135.0
623,10424.0
624,10424.0
625,2506.0
626,2506.0
627,672.0
628,1094.0
629,1094.0
630,-1.0
631,-1.0
632,1849.0
633,1952.0
634,2217.0
635,213.0
636,213.0
637,-1.0
638,-1.0
639,8796.0
640,8796.0
641,3716.0
642,3716.0
643,3652.0
644,3652.0
645,2046.0
646,1646.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,655.0
652,4276.0
653,3575.0
654,3386.0
655,3386.0
656,-1.0
657,2757.0
658,2757.0
659,2757.0
660,2529.0
661,-1.0
662,-1.0
663,-1.0
664,-1.0
665,-1.0
666,-1.0
667,-1.0
668,210.0
669,210.0
670,266.0
671,1205.0
672,1205.0
673,2206.0
674,384.0
675,384.0
676,384.0
677,20.0
678,109.0
679,219.0
680,135.0
681,135.0
682,10424.0
683,3622.0
684,538.0
685,1581.0
686,2506.0
687,1437.0
688,1437.0
689,1437.0
690,-1.0
691,14501.0
692,14501.0
693,5411.0
694,213.0
695,213.0
696,-1.0
697,-1.0
698,-1.0
699,3716.0
700,3716.0
701,3716.0
702,4059.0
703,4059.0
704,2791.0
705,-1.0
706,-1.0
707,-1.0
708,-1.0
709,196.0
710,655.0
711,4276.0
712,4276.0
713,3386.0
714,3386.0
715,-1.0
716,-1.0
717,-1.0
718,-1.0
719,-1.0
720,-1.0
721,-1.0
722,-1.0
723,-1.0
724,-1.0
725,-1.0
726,-1.0
727,210.0
728,210.0
729,266.0
730,1205.0
731,1414.0
732,2206.0
733,2206.0
734,91.0
735,91.0
736,20.0
737,109.0
738,109.0
739,109.0
740,1194.0
741,3622.0
742,7913.0
743,297.0
744,1581.0
745,1519.0
746,1437.0
747,1437.0
748,1912.0
749,6689.0
750,18912.0
751,9442.0
752,4783.0
753,4783.0
754,4783.0
755,-1.0
756,-1.0
757,-1.0
758,-1.0
759,-1.0
760,-1.0
761,-1.0
762,2791.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,1009.0
770,1328.0
771,4276.0
772,4276.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,5093.0
778,5093.0
779,5093.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,-1.0
786,-1.0
787,247.0
788,247.0
789,447.0
790,357.0
791,357.0
792,555.0
793,73.0
794,489.0
795,20.0
796,109.0
797,109.0
798,436.0
799,1194.0
800,898.0
801,15650.0
802,15650.0
803,1519.0
804,1519.0
805,859.0
806,3204.0
807,3204.0
808,1912.0
809,3656.0
810,9442.0
811,9442.0
812,4783.0
813,4783.0
814,1185.0
815,1185.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,-1.0
825,-1.0
826,-1.0
827,-1.0
828,1328.0
829,1328.0
830,871.0
831,258.0
832,-1.0
833,-1.0
834,-1.0
835,-1.0
836,5093.0
837,5093.0
838,5093.0
839,-1.0
840,-1.0
841,-1.0
842,-1.0
843,-1.0
844,-1.0
845,-1.0
846,247.0
847,447.0
848,447.0
849,424.0
850,767.0
851,67.0
852,885.0
853,489.0
854,489.0
855,403.0
856,3348.0
857,1422.0
858,436.0
859,898.0
860,2184.0
861,3836.0
862,1989.0
863,351.0
864,859.0
865,3204.0
866,3204.0
867,17788.0
868,4802.0
869,4113.0
870,4113.0
871,1510.0
872,1185.0
873,1185.0
874,1185.0
875,6300.0
876,6300.0
877,-1.0
878,-1.0
879,-1.0
880,-1.0
881,-1.0
882,-1.0
883,-1.0
884,-1.0
885,-1.0
886,-1.0
887,-1.0
888,-1.0
889,4332.0
890,4332.0
891,10246.0
892,10246.0
893,10246.0
894,3923.0
895,3923.0
896,5093.0
897,5093.0
898,135.0
899,-1.0
900,-1.0
901,-1.0
902,-1.0
903,-1.0
904,215.0
905,83.0
906,447.0
907,383.0
908,383.0
909,944.0
910,358.0
911,1032.0
912,644.0
913,181.0
914,2011.0
915,2267.0
916,651.0
917,4478.0
918,2134.0
919,2679.0
920,2743.0
921,1989.0
922,2423.0
923,156.0
924,4027.0
925,4027.0
926,9308.0
927,4802.0
928,4802.0
929,6698.0
930,1510.0
931,434.0
932,1185.0
933,0.0
934,0.0
935,6300.0
936,6300.0
937,-1.0
938,-1.0
939,-1.0
940,-1.0
941,-1.0
942,-1.0
943,-1.0
944,-1.0
945,-1.0
946,-1.0
947,-1.0
948,4332.0
949,4332.0
950,10246.0
951,10246.0
952,10246.0
953,3923.0
954,353.0
955,353.0
956,135.0
957,135.0
958,135.0
959,525.0
960,213.0
961,213.0
962,213.0
963,215.0
964,83.0
965,83.0
966,383.0
967,286.0
968,1371.0
969,463.0
970,366.0
971,213.0
972,28.0
973,91.0
974,2612.0
975,2056.0
976,2231.0
977,3677.0
978,2788.0
979,9835.0
980,3327.0
981,6260.0
982,1832.0
983,2934.0
984,2999.0
985,2049.0
986,2887.0
987,2887.0
988,6698.0
989,618.0
990,1257.0
991,1257.0
992,378.0
993,378.0
994,4144.0
995,1909.0
996,-1.0
997,-1.0
998,-1.0
999,928.0
1000,-1.0
1001,-1.0
1002,-1.0
1003,-1.0
1004,-1.0
1005,-1.0
1006,-1.0
1007,-1.0
1008,-1.0
1009,10246.0
1010,10246.0
1011,10246.0
1012,3923.0
1013,1871.0
1014,1871.0
1015,377.0
1016,135.0
1017,525.0
1018,185.0
1019,98.0
1020,213.0
1021,213.0
1022,67.0
1023,83.0
1024,83.0
1025,-1.0
1026,1371.0
1027,1103.0
1028,262.0
1029,55.0
1030,525.0
1031,908.0
1032,367.0
1033,4349.0
1034,4200.0
1035,31.0
1036,607.0
1037,1844.0
1038,397.0
1039,7519.0
1040,9158.0
1041,3745.0
1042,1085.0
1043,12591.0
1044,3339.0
1045,5545.0
1046,2731.0
1047,891.0
1048,480.0
1049,1607.0
1050,1607.0
1051,378.0
1052,2772.0
1053,2772.0
1054,1909.0
1055,1909.0
1056,-1.0
1057,928.0
1058,928.0
1059,928.0
1060,-1.0
1061,-1.0
1062,-1.0
1063,-1.0
1064,-1.0
1065,-1.0
1066,-1.0
1067,-1.0
1068,-1.0
1069,-1.0
1070,-1.0
1071,-1.0
1072,1871.0
1073,377.0
1074,377.0
1075,377.0
1076,525.0
1077,185.0
1078,307.0
1079,643.0
1080,250.0
1081,67.0
1082,67.0
1083,105.0
1084,358.0
1085,264.0
1086,1103.0
1087,1103.0
1088,265.0
1089,235.0
1090,1139.0
1091,394.0
1092,1580.0
1093,4482.0
1094,7525.0
1095,2316.0
1096,5409.0
1097,4180.0
1098,748.0
1099,19135.0
1100,8078.0
1101,10252.0
1102,3951.0
1103,7168.0
1104,2293.0
1105,4477.0
1106,225.0
1107,480.0
1108,1607.0
1109,1607.0
1110,1607.0
1111,2772.0
1112,1909.0
1113,1909.0
1114,1909.0
1115,-1.0
1116,1051.0
1117,1051.0
1118,1051.0
1119,-1.0
1120,-1.0
1121,-1.0
1122,-1.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,-1.0
1129,-1.0
1130,-1.0
1131,-1.0
1132,-1.0
1133,377.0
1134,377.0
1135,352.0
1136,104.0
1137,25.0
1138,361.0
1139,273.0
1140,251.0
1141,730.0
1142,358.0
1143,358.0
1144,89.0
1145,264.0
1146,972.0
1147,234.0
1148,71.0
1149,423.0
1150,2547.0
1151,5163.0
1152,3084.0
1153,5120.0
1154,3686.0
1155,3740.0
1156,3170.0
1157,3357.0
1158,1214.0
1159,23908.0
1160,20565.0
1161,4269.0
1162,9636.0
1163,3957.0
1164,1452.0
1165,1567.0
1166,1567.0
1167,133.0
1168,133.0
1169,1854.0
1170,-1.0
1171,1909.0
1172,1909.0
1173,1909.0
1174,-1.0
1175,1051.0
1176,1051.0
1177,-1.0
1178,-1.0
1179,-1.0
1180,-1.0
1181,-1.0
1182,-1.0
1183,3310.0
1184,-1.0
1185,-1.0
1186,-1.0
1187,-1.0
1188,-1.0
1189,-1.0
1190,-1.0
1191,7767.0
1192,7767.0
1193,538.0
1194,2115.0
1195,2115.0
1196,370.0
1197,16.0
1198,25.0
1199,251.0
1200,691.0
1201,691.0
1202,358.0
1203,876.0
1204,972.0
1205,972.0
1206,180.0
1207,294.0
1208,566.0
1209,1255.0
1210,3123.0
1211,3075.0
1212,11043.0
1213,14310.0
1214,3931.0
1215,15322.0
1216,9529.0
1217,8741.0
1218,8470.0
1219,19362.0
1220,3852.0
1221,3098.0
1222,5636.0
1223,4420.0
1224,425.0
1225,2233.0
1226,515.0
1227,365.0
1228,1854.0
1229,1854.0
1230,-1.0
1231,-1.0
1232,-1.0
1233,-1.0
1234,-1.0
1235,-1.0
1236,-1.0
1237,-1.0
1238,-1.0
1239,-1.0
1240,-1.0
1241,-1.0
1242,3310.0
1243,3310.0
1244,-1.0
1245,-1.0
1246,-1.0
1247,-1.0
1248,-1.0
1249,-1.0
1250,-1.0
1251,7767.0
1252,538.0
1253,2115.0
1254,2115.0
1255,370.0
1256,16.0
1257,25.0
1258,96.0
1259,691.0
1260,954.0
1261,954.0
1262,427.0
1263,93.0
1264,280.0
1265,278.0
1266,363.0
1267,484.0
1268,2017.0
1269,3254.0
1270,6956.0
1271,6803.0
1272,9634.0
1273,3100.0
1274,2082.0
1275,3566.0
1276,2843.0
1277,6592.0
1278,19758.0
1279,12955.0
1280,6678.0
1281,1266.0
1282,2551.0
1283,1523.0
1284,2233.0
1285,356.0
1286,356.0
1287,1854.0
1288,867.0
1289,-1.0
1290,-1.0
1291,-1.0
1292,-1.0
1293,3614.0
1294,3614.0
1295,-1.0
1296,-1.0
1297,-1.0
1298,-1.0
1299,-1.0
1300,-1.0
1301,3367.0
1302,3367.0
1303,-1.0
1304,-1.0
1305,-1.0
1306,-1.0
1307,-1.0
1308,-1.0
1309,-1.0
1310,7767.0
1311,7767.0
1312,-1.0
1313,3201.0
1314,3201.0
1315,3201.0
1316,4010.0
1317,-1.0
1318,1269.0
1319,1269.0
1320,274.0
1321,216.0
1322,164.0
1323,98.0
1324,145.0
1325,600.0
1326,5479.0
1327,7006.0
1328,9190.0
1329,5737.0
1330,5845.0
1331,1730.0
1332,12625.0
1333,7295.0
1334,4125.0
1335,3356.0
1336,7186.0
1337,5434.0
1338,12291.0
1339,2625.0
1340,8224.0
1341,3001.0
1342,3447.0
1343,1649.0
1344,1275.0
1345,726.0
1346,867.0
1347,867.0
1348,-1.0
1349,3131.0
1350,3131.0
1351,3614.0
1352,3614.0
1353,3614.0
1354,8141.0
1355,6950.0
1356,6950.0
1357,-1.0
1358,-1.0
1359,-1.0
1360,3367.0
1361,-1.0
1362,-1.0
1363,-1.0
1364,-1.0
1365,-1.0
1366,-1.0
1367,-1.0
1368,-1.0
1369,-1.0
1370,-1.0
1371,3201.0
1372,3201.0
1373,3201.0
1374,4010.0
1375,4010.0
1376,4010.0
1377,1005.0
1378,1005.0
1379,473.0
1380,612.0
1381,278.0
1382,326.0
1383,144.0
1384,157.0
1385,1869.0
1386,3223.0
1387,1751.0
1388,4287.0
1389,1767.0
1390,4510.0
1391,2467.0
1392,9952.0
1393,4014.0
1394,7727.0
1395,2096.0
1396,167.0
1397,2458.0
1398,1297.0
1399,8099.0
1400,2059.0
1401,2979.0
1402,3740.0
1403,726.0
1404,25.0
1405,698.0
1406,698.0
1407,5919.0
1408,3131.0
1409,3131.0
1410,3166.0
1411,3614.0
1412,8141.0
1413,8141.0
1414,-1.0
1415,6950.0
1416,-1.0
1417,-1.0
1418,-1.0
1419,-1.0
1420,-1.0
1421,-1.0
1422,-1.0
1423,11498.0
1424,11498.0
1425,4949.0
1426,-1.0
1427,-1.0
1428,-1.0
1429,-1.0
1430,-1.0
1431,2491.0
1432,2491.0
1433,1094.0
1434,1094.0
1435,1040.0
1436,1040.0
1437,358.0
1438,1030.0
1439,298.0
1440,186.0
1441,629.0
1442,553.0
1443,254.0
1444,5488.0
1445,6719.0
1446,8515.0
1447,5823.0
1448,10055.0
1449,10253.0
1450,11831.0
1451,10805.0
1452,2973.0
1453,11915.0
1454,5584.0
1455,2039.0
1456,13176.0
1457,8532.0
1458,1613.0
1459,5632.0
1460,1853.0
1461,630.0
1462,4354.0
1463,9278.0
1464,9278.0
1465,10141.0
1466,5919.0
1467,5919.0
1468,3728.0
1469,707.0
1470,5359.0
1471,8141.0
1472,8141.0
1473,-1.0
1474,-1.0
1475,-1.0
1476,-1.0
1477,-1.0
1478,-1.0
1479,-1.0
1480,-1.0
1481,11498.0
1482,11498.0
1483,4949.0
1484,4949.0
1485,-1.0
1486,-1.0
1487,-1.0
1488,-1.0
1489,2137.0
1490,2137.0
1491,2491.0
1492,3259.0
1493,1094.0
1494,1159.0
1495,1040.0
1496,143.0
1497,163.0
1498,229.0
1499,568.0
1500,534.0
1501,503.0
1502,494.0
1503,2153.0
1504,8034.0
1505,7481.0
1506,3789.0
1507,4075.0
1508,2861.0
1509,11083.0
1510,5654.0
1511,1656.0
1512,9438.0
1513,3466.0
1514,1597.0
1515,2359.0
1516,7851.0
1517,3184.0
1518,1010.0
1519,1516.0
1520,5747.0
1521,789.0
1522,5555.0
1523,8352.0
1524,3522.0
1525,4062.0
1526,2502.0
1527,3728.0
1528,5359.0
1529,5359.0
1530,8141.0
1531,8141.0
1532,-1.0
1533,-1.0
1534,-1.0
1535,-1.0
1536,-1.0
1537,-1.0
1538,-1.0
1539,-1.0
1540,-1.0
1541,4949.0
1542,4949.0
1543,4949.0
1544,-1.0
1545,-1.0
1546,-1.0
1547,2509.0
1548,2509.0
1549,2137.0
1550,517.0
1551,748.0
1552,2345.0
1553,232.0
1554,118.0
1555,434.0
1556,477.0
1557,404.0
1558,349.0
1559,350.0
1560,255.0
1561,157.0
1562,130.0
1563,2154.0
1564,759.0
1565,8047.0
1566,12032.0
1567,17192.0
1568,4544.0
1569,11717.0
1570,5384.0
1571,8459.0
1572,2553.0
1573,2777.0
1574,2666.0
1575,1593.0
1576,1163.0
1577,4744.0
1578,1879.0
1579,2755.0
1580,4003.0
1581,7131.0
1582,7131.0
1583,2106.0
1584,94.0
1585,2502.0
1586,2502.0
1587,5003.0
1588,-1.0
1589,-1.0
1590,-1.0
1591,-1.0
1592,-1.0
1593,-1.0
1594,-1.0
1595,-1.0
1596,-1.0
1597,-1.0
1598,-1.0
1599,-1.0
1600,-1.0
1601,-1.0
1602,-1.0
1603,-1.0
1604,3850.0
1605,3850.0
1606,2509.0
1607,2509.0
1608,2509.0
1609,4306.0
1610,2065.0
1611,3034.0
1612,625.0
1613,346.0
1614,858.0
1615,779.0
1616,68.0
1617,402.0
1618,140.0
1619,453.0
1620,480.0
1621,369.0
1622,360.0
1623,291.0
1624,6043.0
1625,4935.0
1626,7478.0
1627,2218.0
1628,6587.0
1629,724.0
1630,1493.0
1631,1084.0
1632,7681.0
1633,8514.0
1634,3792.0
1635,1972.0
1636,1393.0
1637,6434.0
1638,2151.0
1639,4037.0
1640,3854.0
1641,3854.0
1642,2106.0
1643,1042.0
1644,2502.0
1645,5003.0
1646,5003.0
1647,5003.0
1648,-1.0
1649,-1.0
1650,-1.0
1651,-1.0
1652,-1.0
1653,-1.0
1654,-1.0
1655,-1.0
1656,-1.0
1657,-1.0
1658,-1.0
1659,-1.0
1660,-1.0
1661,-1.0
1662,3850.0
1663,3850.0
1664,3850.0
1665,2662.0
1666,1744.0
1667,2639.0
1668,4306.0
1669,3034.0
1670,1477.0
1671,625.0
1672,417.0
1673,518.0
1674,384.0
1675,289.0
1676,231.0
1677,163.0
1678,436.0
1679,132.0
1680,881.0
1681,531.0
1682,2901.0
1683,1685.0
1684,380.0
1685,2736.0
1686,2922.0
1687,3479.0
1688,2646.0
1689,5016.0
1690,5387.0
1691,1142.0
1692,343.0
1693,4905.0
1694,3660.0
1695,7037.0
1696,7002.0
1697,4003.0
1698,935.0
1699,1820.0
1700,4794.0
1701,14719.0
1702,14719.0
1703,7107.0
1704,2079.0
1705,5003.0
1706,5003.0
1707,-1.0
1708,-1.0
1709,-1.0
1710,-1.0
1711,-1.0
1712,-1.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,-1.0
1719,-1.0
1720,-1.0
1721,256.0
1722,3850.0
1723,1226.0
1724,2662.0
1725,1744.0
1726,2284.0
1727,2284.0
1728,5557.0
1729,1430.0
1730,1912.0
1731,417.0
1732,1252.0
1733,774.0
1734,260.0
1735,518.0
1736,688.0
1737,266.0
1738,112.0
1739,197.0
1740,215.0
1741,475.0
1742,557.0
1743,7407.0
1744,7901.0
1745,9465.0
1746,9052.0
1747,1499.0
1748,4006.0
1749,4823.0
1750,1651.0
1751,582.0
1752,4964.0
1753,2718.0
1754,6076.0
1755,7002.0
1756,3174.0
1757,4842.0
1758,3368.0
1759,2190.0
1760,5690.0
1761,5389.0
1762,5574.0
1763,1616.0
1764,2079.0
1765,-1.0
1766,-1.0
1767,-1.0
1768,-1.0
1769,-1.0
1770,-1.0
1771,-1.0
1772,-1.0
1773,-1.0
1774,-1.0
1775,-1.0
1776,-1.0
1777,-1.0
1778,6106.0
1779,6106.0
1780,256.0
1781,435.0
1782,6672.0
1783,6672.0
1784,1534.0
1785,848.0
1786,2182.0
1787,5557.0
1788,672.0
1789,1636.0
1790,1636.0
1791,2038.0
1792,409.0
1793,612.0
1794,483.0
1795,121.0
1796,215.0
1797,762.0
1798,574.0
1799,2183.0
1800,5229.0
1801,3106.0
1802,14797.0
1803,2998.0
1804,6395.0
1805,3931.0
1806,2463.0
1807,1387.0
1808,1861.0
1809,2759.0
1810,592.0
1811,700.0
1812,641.0
1813,1523.0
1814,8729.0
1815,3058.0
1816,5003.0
1817,3746.0
1818,947.0
1819,8326.0
1820,828.0
1821,5348.0
1822,8923.0
1823,1577.0
1824,-1.0
1825,-1.0
1826,-1.0
1827,-1.0
1828,-1.0
1829,-1.0
1830,-1.0
1831,-1.0
1832,-1.0
1833,-1.0
1834,-1.0
1835,-1.0
1836,6106.0
1837,6106.0
1838,6106.0
1839,435.0
1840,816.0
1841,6672.0
1842,7200.0
1843,2287.0
1844,725.0
1845,5841.0
1846,5841.0
1847,1006.0
1848,341.0
1849,146.0
1850,2038.0
1851,707.0
1852,119.0
1853,263.0
1854,144.0
1855,453.0
1856,58.0
1857,6448.0
1858,1949.0
1859,987.0
1860,4298.0
1861,1504.0
1862,4425.0
1863,117.0
1864,601.0
1865,379.0
1866,62.0
1867,39.0
1868,2012.0
1869,839.0
1870,426.0
1871,500.0
1872,7505.0
1873,1095.0
1874,1667.0
1875,3856.0
1876,11412.0
1877,6025.0
1878,3523.0
1879,3523.0
1880,11006.0
1881,6936.0
1882,2543.0
1883,24487.0
1884,-1.0
1885,-1.0
1886,-1.0
1887,-1.0
1888,-1.0
1889,-1.0
1890,-1.0
1891,-1.0
1892,-1.0
1893,-1.0
1894,-1.0
1895,6106.0
1896,6106.0
1897,6106.0
1898,4504.0
1899,4504.0
1900,2559.0
1901,1254.0
1902,553.0
1903,1755.0
1904,2859.0
1905,5841.0
1906,5841.0
1907,517.0
1908,364.0
1909,239.0
1910,123.0
1911,1172.0
1912,607.0
1913,261.0
1914,158.0
1915,181.0
1916,4313.0
1917,228.0
1918,287.0
1919,179.0
