Grid_Number,Del_popu_Health
178,-1.0
179,-1.0
180,-1.0
181,-1.0
182,2725.0
183,2725.0
184,7243.0
185,7243.0
186,2820.0
187,2256.0
188,7151.0
189,7151.0
190,8054.0
191,3483.0
192,3483.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,5510.0
199,5510.0
200,5510.0
201,-1.0
202,-1.0
203,-1.0
204,38.0
205,38.0
206,550.0
207,7141.0
208,7141.0
209,-1.0
210,1373.0
211,1373.0
212,4799.0
213,-1.0
214,-1.0
215,-1.0
216,2282.0
217,31249.0
218,31249.0
219,-1.0
220,-1.0
221,5970.0
222,7231.0
223,7231.0
224,8432.0
225,8432.0
226,9082.0
227,9082.0
228,9082.0
229,9082.0
230,1269.0
231,3916.0
232,2725.0
233,7243.0
234,7243.0
235,2256.0
236,2256.0
237,7151.0
238,7151.0
239,2618.0
240,2618.0
241,3483.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,5510.0
248,5510.0
249,5510.0
250,-1.0
251,-1.0
252,317.0
253,633.0
254,6041.0
255,6041.0
256,6041.0
257,4133.0
258,-1.0
259,1373.0
260,1373.0
261,1373.0
262,-1.0
263,-1.0
264,2282.0
265,2282.0
266,31249.0
267,31249.0
268,-1.0
269,-1.0
270,5970.0
271,5970.0
272,7231.0
273,8432.0
274,8432.0
275,11401.0
276,9082.0
277,9082.0
278,10577.0
279,3916.0
280,3916.0
281,3916.0
282,-1.0
283,-1.0
284,2256.0
285,7151.0
286,7151.0
287,7151.0
288,2618.0
289,2618.0
290,2618.0
291,-1.0
292,-1.0
293,-1.0
294,-1.0
295,4413.0
296,4413.0
297,4413.0
298,-1.0
299,1345.0
300,1345.0
301,317.0
302,633.0
303,820.0
304,6041.0
305,4133.0
306,4133.0
307,2363.0
308,4380.0
309,1599.0
310,131.0
311,131.0
312,4077.0
313,2282.0
314,2282.0
315,2188.0
316,31249.0
317,-1.0
318,-1.0
319,5360.0
320,5360.0
321,4124.0
322,8432.0
323,8432.0
324,11401.0
325,11401.0
326,10577.0
327,10577.0
328,10577.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,1902.0
338,1902.0
339,1902.0
340,793.0
341,793.0
342,-1.0
343,-1.0
344,4413.0
345,4413.0
346,4413.0
347,162.0
348,1345.0
349,1345.0
350,118.0
351,820.0
352,820.0
353,-1.0
354,4133.0
355,2363.0
356,699.0
357,4380.0
358,1599.0
359,1505.0
360,918.0
361,4077.0
362,1893.0
363,2282.0
364,2188.0
365,17526.0
366,17526.0
367,12297.0
368,5360.0
369,5360.0
370,4124.0
371,4124.0
372,2012.0
373,2237.0
374,11401.0
375,10577.0
376,10577.0
377,10577.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,1902.0
387,1902.0
388,1902.0
389,1174.0
390,2318.0
391,-1.0
392,-1.0
393,-1.0
394,2919.0
395,2919.0
396,162.0
397,162.0
398,1345.0
399,3443.0
400,120.0
401,120.0
402,-1.0
403,2363.0
404,699.0
405,699.0
406,6398.0
407,1599.0
408,1505.0
409,2585.0
410,4077.0
411,546.0
412,2070.0
413,17526.0
414,17526.0
415,17526.0
416,12297.0
417,12297.0
418,2062.0
419,1414.0
420,2630.0
421,310.0
422,1762.0
423,2965.0
424,-1.0
425,10577.0
426,-1.0
427,-1.0
428,-1.0
429,-1.0
430,-1.0
431,-1.0
432,-1.0
433,-1.0
434,-1.0
435,4140.0
436,4140.0
437,4140.0
438,3693.0
439,1154.0
440,-1.0
441,-1.0
442,678.0
443,886.0
444,2303.0
445,168.0
446,168.0
447,1345.0
448,3443.0
449,924.0
450,924.0
451,-1.0
452,-1.0
453,6398.0
454,6398.0
455,6398.0
456,205.0
457,205.0
458,135.0
459,4455.0
460,2871.0
461,1383.0
462,17526.0
463,17526.0
464,17526.0
465,12297.0
466,12297.0
467,9878.0
468,2783.0
469,1141.0
470,64.0
471,276.0
472,2965.0
473,3512.0
474,3512.0
475,6733.0
476,6733.0
477,14393.0
478,-1.0
479,-1.0
480,16920.0
481,-1.0
482,-1.0
483,-1.0
484,4140.0
485,4140.0
486,4140.0
487,3693.0
488,3693.0
489,-1.0
490,-1.0
491,1504.0
492,184.0
493,1189.0
494,1461.0
495,864.0
496,-1.0
497,924.0
498,924.0
499,924.0
500,924.0
501,-1.0
502,4873.0
503,4873.0
504,1458.0
505,1458.0
506,205.0
507,45.0
508,4455.0
509,4455.0
510,12317.0
511,12317.0
512,17205.0
513,17205.0
514,17205.0
515,6495.0
516,13318.0
517,2546.0
518,353.0
519,360.0
520,1221.0
521,1382.0
522,3512.0
523,10905.0
524,10905.0
525,6733.0
526,14393.0
527,14393.0
528,16920.0
529,16920.0
530,16920.0
531,-1.0
532,-1.0
533,-1.0
534,4140.0
535,4140.0
536,3693.0
537,3693.0
538,-1.0
539,305.0
540,1.0
541,2510.0
542,2510.0
543,527.0
544,451.0
545,2126.0
546,2126.0
547,924.0
548,924.0
549,-1.0
550,4873.0
551,4873.0
552,4873.0
553,1458.0
554,1458.0
555,2055.0
556,2055.0
557,4455.0
558,12317.0
559,12317.0
560,12317.0
561,17205.0
562,17205.0
563,3315.0
564,6555.0
565,6495.0
566,13318.0
567,1189.0
568,2008.0
569,1369.0
570,4066.0
571,5840.0
572,10905.0
573,10905.0
574,6733.0
575,14393.0
576,8198.0
577,16920.0
578,16920.0
579,3155.0
580,-1.0
581,11443.0
582,4396.0
583,4396.0
584,4396.0
585,-1.0
586,-1.0
587,-1.0
588,123.0
589,85.0
590,3629.0
591,3629.0
592,527.0
593,1628.0
594,33.0
595,2126.0
596,1988.0
597,-1.0
598,1057.0
599,1529.0
600,4873.0
601,4873.0
602,3892.0
603,3892.0
604,1262.0
605,2242.0
606,1843.0
607,168.0
608,10576.0
609,4466.0
610,5558.0
611,5558.0
612,1653.0
613,6555.0
614,6495.0
615,5788.0
616,23593.0
617,12587.0
618,12587.0
619,15155.0
620,15155.0
621,10905.0
622,10905.0
623,9795.0
624,137.0
625,8198.0
626,16920.0
627,3155.0
628,3155.0
629,186.0
630,11443.0
631,11443.0
632,4396.0
633,4396.0
634,-1.0
635,-1.0
636,-1.0
637,-1.0
638,130.0
639,3629.0
640,3629.0
641,878.0
642,1628.0
643,33.0
644,1988.0
645,1988.0
646,619.0
647,1057.0
648,1057.0
649,1529.0
650,1529.0
651,3892.0
652,3892.0
653,1262.0
654,2242.0
655,1843.0
656,168.0
657,10576.0
658,4025.0
659,3505.0
660,9834.0
661,5454.0
662,70.0
663,70.0
664,5788.0
665,6976.0
666,7583.0
667,12587.0
668,15155.0
669,15155.0
670,15155.0
671,914.0
672,9795.0
673,137.0
674,8198.0
675,3277.0
676,1770.0
677,186.0
678,11880.0
679,11443.0
680,11443.0
681,8974.0
682,4396.0
683,-1.0
684,-1.0
685,-1.0
686,156.0
687,0.0
688,0.0
689,73.0
690,878.0
691,173.0
692,770.0
693,1025.0
694,619.0
695,1022.0
696,2338.0
697,1057.0
698,1529.0
699,329.0
700,5658.0
701,5658.0
702,-1.0
703,1843.0
704,6534.0
705,2493.0
706,7046.0
707,2037.0
708,2475.0
709,2650.0
710,2650.0
711,70.0
712,6126.0
713,3817.0
714,9757.0
715,10142.0
716,10142.0
717,10142.0
718,15155.0
719,914.0
720,914.0
721,9795.0
722,137.0
723,137.0
724,3277.0
725,0.0
726,3730.0
727,11880.0
728,11880.0
729,11443.0
730,8974.0
731,4396.0
732,-1.0
733,-1.0
734,-1.0
735,664.0
736,398.0
737,4285.0
738,1834.0
739,970.0
740,628.0
741,1170.0
742,3825.0
743,621.0
744,1022.0
745,1351.0
746,2338.0
747,1980.0
748,329.0
749,5658.0
750,5658.0
751,2220.0
752,457.0
753,2376.0
754,4113.0
755,2013.0
756,1094.0
757,2507.0
758,5810.0
759,5810.0
760,575.0
761,6126.0
762,6126.0
763,21844.0
764,32716.0
765,3083.0
766,0.0
767,0.0
768,5649.0
769,914.0
770,914.0
771,2231.0
772,2231.0
773,3277.0
774,0.0
775,3730.0
776,2822.0
777,10531.0
778,10531.0
779,-1.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,3795.0
785,2129.0
786,4285.0
787,5165.0
788,264.0
789,1604.0
790,666.0
791,3825.0
792,1142.0
793,2104.0
794,667.0
795,667.0
796,1980.0
797,561.0
798,5658.0
799,8333.0
800,2220.0
801,457.0
802,3592.0
803,4321.0
804,6901.0
805,3242.0
806,5899.0
807,4114.0
808,973.0
809,575.0
810,8462.0
811,8462.0
812,32716.0
813,32716.0
814,162.0
815,0.0
816,0.0
817,5649.0
818,2685.0
819,2231.0
820,2231.0
821,1079.0
822,1079.0
823,9470.0
824,9470.0
825,1111.0
826,10531.0
827,2644.0
828,2644.0
829,-1.0
830,-1.0
831,-1.0
832,-1.0
833,-1.0
834,5539.0
835,10902.0
836,889.0
837,934.0
838,1455.0
839,1236.0
840,694.0
841,2452.0
842,1622.0
843,234.0
844,823.0
845,1094.0
846,561.0
847,561.0
848,4201.0
849,3088.0
850,457.0
851,4899.0
852,2624.0
853,4718.0
854,6445.0
855,4696.0
856,2311.0
857,5032.0
858,1344.0
859,3892.0
860,5608.0
861,13796.0
862,8005.0
863,943.0
864,929.0
865,22104.0
866,22104.0
867,22104.0
868,1923.0
869,1923.0
870,1079.0
871,1335.0
872,9470.0
873,9470.0
874,2717.0
875,825.0
876,2644.0
877,2644.0
878,-1.0
879,-1.0
880,-1.0
881,-1.0
882,-1.0
883,4805.0
884,7578.0
885,2587.0
886,311.0
887,2969.0
888,593.0
889,2412.0
890,1099.0
891,1015.0
892,3321.0
893,166.0
894,2912.0
895,3919.0
896,1449.0
897,3712.0
898,1096.0
899,2074.0
900,1122.0
901,1919.0
902,9572.0
903,6837.0
904,2549.0
905,4262.0
906,8096.0
907,1344.0
908,1278.0
909,6535.0
910,21330.0
911,8005.0
912,5280.0
913,929.0
914,9251.0
915,22104.0
916,22104.0
917,-1.0
918,1923.0
919,1335.0
920,1335.0
921,467.0
922,467.0
923,3351.0
924,3015.0
925,3015.0
926,1099.0
927,-1.0
928,-1.0
929,-1.0
930,-1.0
931,-1.0
932,121.0
933,751.0
934,2589.0
935,591.0
936,714.0
937,2257.0
938,2334.0
939,1086.0
940,1804.0
941,1156.0
942,2701.0
943,2912.0
944,3919.0
945,678.0
946,583.0
947,1096.0
948,1817.0
949,2208.0
950,560.0
951,3281.0
952,373.0
953,1079.0
954,2900.0
955,2871.0
956,2491.0
957,5113.0
958,3187.0
959,5380.0
960,10432.0
961,5280.0
962,2960.0
963,9251.0
964,3336.0
965,9284.0
966,-1.0
967,1335.0
968,1335.0
969,1335.0
970,7950.0
971,467.0
972,467.0
973,3015.0
974,3015.0
975,-1.0
976,-1.0
977,-1.0
978,-1.0
979,-1.0
980,3861.0
981,2093.0
982,1071.0
983,557.0
984,926.0
985,1132.0
986,3259.0
987,3809.0
988,1571.0
989,1892.0
990,2055.0
991,161.0
992,666.0
993,4115.0
994,4115.0
995,3680.0
996,2500.0
997,1304.0
998,1784.0
999,2555.0
1000,639.0
1001,2916.0
1002,881.0
1003,520.0
1004,1691.0
1005,5111.0
1006,5005.0
1007,7839.0
1008,6578.0
1009,4705.0
1010,6089.0
1011,2426.0
1012,2161.0
1013,5683.0
1014,6309.0
1015,5062.0
1016,5062.0
1017,8085.0
1018,16902.0
1019,3065.0
1020,5867.0
1021,5867.0
1022,-1.0
1023,-1.0
1024,-1.0
1025,-1.0
1026,-1.0
1027,-1.0
1028,-1.0
1029,1316.0
1030,794.0
1031,2241.0
1032,207.0
1033,205.0
1034,1121.0
1035,531.0
1036,1351.0
1037,945.0
1038,1056.0
1039,744.0
1040,1443.0
1041,2056.0
1042,400.0
1043,3168.0
1044,1721.0
1045,2500.0
1046,3579.0
1047,508.0
1048,2850.0
1049,4971.0
1050,996.0
1051,2843.0
1052,562.0
1053,1353.0
1054,3815.0
1055,2748.0
1056,4255.0
1057,3628.0
1058,5805.0
1059,1065.0
1060,2242.0
1061,465.0
1062,4310.0
1063,17.0
1064,5062.0
1065,8692.0
1066,8085.0
1067,22412.0
1068,16902.0
1069,4102.0
1070,908.0
1071,6050.0
1072,-1.0
1073,-1.0
1074,-1.0
1075,-1.0
1076,-1.0
1077,-1.0
1078,1872.0
1079,1288.0
1080,1214.0
1081,954.0
1082,1423.0
1083,1752.0
1084,2341.0
1085,1392.0
1086,2295.0
1087,4362.0
1088,1052.0
1089,379.0
1090,1945.0
1091,10104.0
1092,6362.0
1093,2807.0
1094,227.0
1095,112.0
1096,3110.0
1097,2526.0
1098,723.0
1099,522.0
1100,2365.0
1101,563.0
1102,4429.0
1103,2956.0
1104,1425.0
1105,6327.0
1106,5708.0
1107,1492.0
1108,1738.0
1109,3323.0
1110,2577.0
1111,3318.0
1112,17.0
1113,0.0
1114,6075.0
1115,5579.0
1116,15966.0
1117,17447.0
1118,789.0
1119,6050.0
1120,6050.0
1121,461.0
1122,-1.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,1231.0
1129,1312.0
1130,621.0
1131,1664.0
1132,580.0
1133,606.0
1134,2208.0
1135,2575.0
1136,4989.0
1137,808.0
1138,290.0
1139,573.0
1140,13558.0
1141,13558.0
1142,4178.0
1143,5751.0
1144,2315.0
1145,305.0
1146,5266.0
1147,2764.0
1148,1530.0
1149,1620.0
1150,2365.0
1151,2336.0
1152,2281.0
1153,2243.0
1154,2424.0
1155,2342.0
1156,3349.0
1157,1292.0
1158,1081.0
1159,323.0
1160,1132.0
1161,1860.0
1162,1330.0
1163,4538.0
1164,8134.0
1165,16444.0
1166,4817.0
1167,591.0
1168,6443.0
1169,113.0
1170,461.0
1171,3222.0
1172,11644.0
1173,-1.0
1174,-1.0
1175,-1.0
1176,-1.0
1177,1017.0
1178,267.0
1179,1365.0
1180,1149.0
1181,2117.0
1182,1356.0
1183,1858.0
1184,1411.0
1185,5552.0
1186,1135.0
1187,1769.0
1188,2569.0
1189,8678.0
1190,8678.0
1191,23874.0
1192,2381.0
1193,1432.0
1194,2553.0
1195,1214.0
1196,3670.0
1197,2066.0
1198,2326.0
1199,2110.0
1200,5451.0
1201,1260.0
1202,542.0
1203,2182.0
1204,8412.0
1205,2099.0
1206,1626.0
1207,1201.0
1208,5513.0
1209,2827.0
1210,6569.0
1211,5703.0
1212,5703.0
1213,8134.0
1214,8366.0
1215,10365.0
1216,8341.0
1217,6443.0
1218,461.0
1219,2284.0
1220,3222.0
1221,11644.0
1222,4732.0
1223,11357.0
1224,-1.0
1225,-1.0
1226,1131.0
1227,507.0
1228,965.0
1229,766.0
1230,600.0
1231,3104.0
1232,1219.0
1233,1639.0
1234,1313.0
1235,999.0
1236,3622.0
1237,462.0
1238,4104.0
1239,8678.0
1240,31506.0
1241,2384.0
1242,2061.0
1243,508.0
1244,3512.0
1245,4802.0
1246,435.0
1247,4767.0
1248,2396.0
1249,729.0
1250,4471.0
1251,679.0
1252,2666.0
1253,4161.0
1254,2344.0
1255,712.0
1256,4713.0
1257,749.0
1258,73.0
1259,12312.0
1260,12312.0
1261,5703.0
1262,8340.0
1263,4459.0
1264,10365.0
1265,8373.0
1266,8373.0
1267,5026.0
1268,1564.0
1269,1871.0
1270,1236.0
1271,4732.0
1272,11357.0
1273,-1.0
1274,-1.0
1275,2133.0
1276,417.0
1277,790.0
1278,1459.0
1279,2243.0
1280,1983.0
1281,617.0
1282,2433.0
1283,523.0
1284,3327.0
1285,2238.0
1286,17877.0
1287,6152.0
1288,32633.0
1289,32633.0
1290,3205.0
1291,4684.0
1292,1527.0
1293,2735.0
1294,1141.0
1295,840.0
1296,3127.0
1297,1650.0
1298,853.0
1299,3507.0
1300,1825.0
1301,479.0
1302,7746.0
1303,1168.0
1304,2039.0
1305,7715.0
1306,573.0
1307,7316.0
1308,1729.0
1309,944.0
1310,2677.0
1311,8340.0
1312,4459.0
1313,6658.0
1314,2662.0
1315,6418.0
1316,4292.0
1317,10016.0
1318,1369.0
1319,1530.0
1320,49.0
1321,11357.0
1322,-1.0
1323,-1.0
1324,1972.0
1325,1754.0
1326,2290.0
1327,603.0
1328,2243.0
1329,710.0
1330,107.0
1331,1852.0
1332,236.0
1333,1762.0
1334,2664.0
1335,17877.0
1336,8321.0
1337,16050.0
1338,32633.0
1339,3205.0
1340,12902.0
1341,14470.0
1342,6313.0
1343,2382.0
1344,4863.0
1345,1798.0
1346,3056.0
1347,1540.0
1348,910.0
1349,2764.0
1350,2289.0
1351,6279.0
1352,3460.0
1353,270.0
1354,3216.0
1355,7744.0
1356,2951.0
1357,779.0
1358,3749.0
1359,397.0
1360,8083.0
1361,4459.0
1362,6658.0
1363,3949.0
1364,6145.0
1365,13058.0
1366,7273.0
1367,182.0
1368,1110.0
1369,5207.0
1370,6949.0
1371,-1.0
1372,-1.0
1373,-1.0
1374,3034.0
1375,615.0
1376,1869.0
1377,1869.0
1378,1280.0
1379,3602.0
1380,0.0
1381,0.0
1382,164.0
1383,2360.0
1384,8063.0
1385,15819.0
1386,16050.0
1387,13778.0
1388,13778.0
1389,18096.0
1390,5474.0
1391,3957.0
1392,15113.0
1393,7360.0
1394,505.0
1395,1183.0
1396,1932.0
1397,3950.0
1398,1162.0
1399,1294.0
1400,3943.0
1401,1101.0
1402,3504.0
1403,2461.0
1404,5144.0
1405,518.0
1406,3319.0
1407,1082.0
1408,4804.0
1409,7756.0
1410,10344.0
1411,11808.0
1412,3949.0
1413,6145.0
1414,6145.0
1415,16953.0
1416,9304.0
1417,1089.0
1418,2121.0
1419,6949.0
1420,725.0
1421,-1.0
1422,-1.0
1423,-1.0
1424,2915.0
1425,2915.0
1426,7032.0
1427,7032.0
1428,17016.0
1429,1834.0
1430,2924.0
1431,2924.0
1432,4839.0
1433,520.0
1434,1934.0
1435,419.0
1436,4935.0
1437,3550.0
1438,18096.0
1439,5990.0
1440,9356.0
1441,6820.0
1442,8748.0
1443,4306.0
1444,1137.0
1445,749.0
1446,3710.0
1447,2191.0
1448,6772.0
1449,4976.0
1450,2393.0
1451,1213.0
1452,5560.0
1453,1154.0
1454,2106.0
1455,2758.0
1456,1221.0
1457,2622.0
1458,10344.0
1459,10344.0
1460,11808.0
1461,11599.0
1462,6145.0
1463,8856.0
1464,9304.0
1465,6013.0
1466,9474.0
1467,1730.0
1468,-1.0
1469,-1.0
1470,-1.0
1471,-1.0
1472,956.0
1473,956.0
1474,8846.0
1475,8846.0
1476,7032.0
1477,845.0
1478,5274.0
1479,3806.0
1480,278.0
1481,568.0
1482,297.0
1483,3548.0
1484,4885.0
1485,4834.0
1486,20013.0
1487,20013.0
1488,11307.0
1489,2072.0
1490,5020.0
1491,3430.0
1492,1620.0
1493,8773.0
1494,2090.0
1495,2479.0
1496,1014.0
1497,3172.0
1498,1288.0
1499,3513.0
1500,1353.0
1501,936.0
1502,5085.0
1503,2287.0
1504,6753.0
1505,11603.0
1506,16044.0
1507,23652.0
1508,12824.0
1509,1147.0
1510,11599.0
1511,18468.0
1512,8856.0
1513,9304.0
1514,6013.0
1515,9474.0
1516,-1.0
1517,-1.0
1518,-1.0
1519,-1.0
1520,-1.0
1521,6117.0
1522,3558.0
1523,3372.0
1524,8846.0
1525,7701.0
1526,5652.0
1527,8633.0
1528,6064.0
1529,1619.0
1530,442.0
1531,909.0
1532,511.0
1533,2779.0
1534,3368.0
1535,5798.0
1536,21360.0
1537,6221.0
1538,8264.0
1539,5533.0
1540,5877.0
1541,828.0
1542,2914.0
1543,7676.0
1544,2387.0
1545,1594.0
1546,7465.0
1547,1123.0
1548,4871.0
1549,1920.0
1550,1425.0
1551,6305.0
1552,1175.0
1553,3468.0
1554,4996.0
1555,14437.0
1556,23652.0
1557,9828.0
1558,13519.0
1559,24050.0
1560,18468.0
1561,16651.0
1562,16651.0
1563,16651.0
1564,5200.0
1565,5200.0
1566,-1.0
1567,-1.0
1568,-1.0
1569,-1.0
1570,6117.0
1571,10187.0
1572,9446.0
1573,7555.0
1574,6030.0
1575,7750.0
1576,6267.0
1577,4157.0
1578,1982.0
1579,1955.0
1580,1074.0
1581,577.0
1582,2814.0
1583,3545.0
1584,723.0
1585,9053.0
1586,2840.0
1587,17051.0
1588,5533.0
1589,6936.0
1590,6936.0
1591,634.0
1592,618.0
1593,5362.0
1594,4394.0
1595,2947.0
1596,626.0
1597,1763.0
1598,8134.0
1599,857.0
1600,5843.0
1601,13220.0
1602,15533.0
1603,8798.0
1604,2727.0
1605,5655.0
1606,4945.0
1607,9124.0
1608,24050.0
1609,18468.0
1610,16651.0
1611,16651.0
1612,16651.0
1613,17067.0
1614,17067.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,-1.0
1619,26075.0
1620,16792.0
1621,16792.0
1622,12921.0
1623,12921.0
1624,6774.0
1625,5851.0
1626,1194.0
1627,279.0
1628,2215.0
1629,1932.0
1630,381.0
1631,727.0
1632,1382.0
1633,1520.0
1634,3640.0
1635,9838.0
1636,9838.0
1637,7531.0
1638,353.0
1639,4552.0
1640,4314.0
1641,725.0
1642,910.0
1643,10506.0
1644,887.0
1645,2702.0
1646,4246.0
1647,3359.0
1648,4597.0
1649,715.0
1650,6894.0
1651,6356.0
1652,4789.0
1653,4026.0
1654,2671.0
1655,2671.0
1656,9124.0
1657,3885.0
1658,8314.0
1659,290.0
1660,3597.0
1661,17067.0
1662,17067.0
1663,17067.0
1664,-1.0
1665,-1.0
1666,-1.0
1667,-1.0
1668,26075.0
1669,26075.0
1670,16792.0
1671,11198.0
1672,11198.0
1673,11597.0
1674,10715.0
1675,2036.0
1676,1139.0
1677,1354.0
1678,796.0
1679,149.0
1680,3825.0
1681,96.0
1682,4030.0
1683,3028.0
1684,3191.0
1685,10404.0
1686,7134.0
1687,112.0
1688,968.0
1689,2411.0
1690,764.0
1691,15685.0
1692,7467.0
1693,2029.0
1694,1641.0
1695,723.0
1696,4672.0
1697,916.0
1698,2634.0
1699,2437.0
1700,3107.0
1701,2674.0
1702,6691.0
1703,2347.0
1704,9849.0
1705,3885.0
1706,3885.0
1707,8314.0
1708,1896.0
1709,5983.0
1710,27845.0
1711,17067.0
1712,17067.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,26075.0
1718,6561.0
1719,6608.0
1720,15878.0
1721,4765.0
1722,9176.0
1723,5363.0
1724,1562.0
1725,831.0
1726,2329.0
1727,3210.0
1728,837.0
1729,4154.0
1730,9147.0
1731,1520.0
1732,6013.0
1733,4144.0
1734,1625.0
1735,2892.0
1736,7134.0
1737,697.0
1738,3856.0
1739,770.0
1740,1976.0
1741,4260.0
1742,367.0
1743,4063.0
1744,4446.0
1745,3527.0
1746,2116.0
1747,10037.0
1748,1725.0
1749,4619.0
1750,1306.0
1751,3158.0
1752,3826.0
1753,9849.0
1754,4309.0
1755,4309.0
1756,5496.0
1757,5496.0
1758,27845.0
1759,27845.0
1760,27845.0
1761,17067.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,-1.0
1766,10427.0
1767,10427.0
1768,4831.0
1769,10873.0
1770,14456.0
1771,10573.0
1772,8576.0
1773,6757.0
1774,3472.0
1775,2171.0
1776,2329.0
1777,4076.0
1778,5310.0
1779,1207.0
1780,936.0
1781,4451.0
1782,3445.0
1783,12820.0
1784,3485.0
1785,8346.0
1786,3592.0
1787,2446.0
1788,2370.0
1789,993.0
1790,703.0
1791,1372.0
1792,2001.0
1793,1562.0
1794,1151.0
1795,448.0
1796,3388.0
1797,6411.0
1798,1913.0
1799,1716.0
1800,969.0
1801,3826.0
1802,3826.0
1803,4309.0
1804,4309.0
1805,5496.0
1806,5496.0
1807,27845.0
1808,-1.0
1809,-1.0
1810,-1.0
1811,-1.0
1812,-1.0
1813,-1.0
1814,-1.0
1815,10427.0
1816,5959.0
1817,13965.0
1818,10873.0
1819,9931.0
1820,8631.0
1821,8576.0
1822,13465.0
1823,3775.0
1824,462.0
1825,909.0
1826,694.0
1827,2125.0
1828,906.0
1829,2707.0
1830,12504.0
1831,10439.0
1832,12070.0
1833,8459.0
1834,6366.0
1835,1869.0
1836,3784.0
1837,3175.0
1838,2243.0
1839,10296.0
1840,2056.0
1841,3712.0
1842,265.0
1843,4569.0
1844,2589.0
1845,8617.0
1846,2852.0
1847,3145.0
1848,2992.0
1849,4468.0
1850,3974.0
1851,3974.0
1852,3974.0
1853,-1.0
1854,5496.0
1855,34333.0
1856,34333.0
1857,-1.0
1858,-1.0
1859,-1.0
1860,-1.0
1861,-1.0
1862,-1.0
1863,-1.0
1864,-1.0
1865,2644.0
1866,13965.0
1867,13965.0
1868,9931.0
1869,26.0
1870,1637.0
1871,11298.0
1872,2950.0
1873,4313.0
1874,4521.0
1875,636.0
1876,1192.0
1877,3686.0
1878,101.0
1879,3042.0
1880,2185.0
1881,37479.0
1882,28854.0
1883,12466.0
1884,6104.0
1885,1419.0
1886,1009.0
1887,8490.0
1888,1188.0
1889,1992.0
1890,5716.0
1891,10866.0
1892,5154.0
1893,2482.0
1894,1520.0
1895,6099.0
1896,6099.0
1897,1581.0
1898,1581.0
1899,3974.0
1900,3974.0
1901,3974.0
1902,-1.0
1903,-1.0
1904,34333.0
