Grid_Number,Mum_popu_Health
180,11891.0
181,2198.0
182,14324.0
183,5676.0
184,353.0
185,702.0
186,21170.0
187,21170.0
188,-1.0
189,-1.0
190,-1.0
191,593.0
192,2280.0
193,1314.0
194,6183.0
195,1299.0
196,4926.0
197,14706.0
198,1726.0
199,18751.0
200,2577.0
201,3884.0
202,455.0
203,0.0
204,0.0
205,7747.0
206,2233.0
207,7184.0
208,1117.0
209,49.0
210,1819.0
211,3732.0
212,6754.0
213,4314.0
214,702.0
215,2798.0
216,16927.0
217,22565.0
218,11891.0
219,3743.0
220,2321.0
221,2764.0
222,408.0
223,952.0
224,1212.0
225,1212.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,903.0
231,5623.0
232,1330.0
233,3330.0
234,1627.0
235,1745.0
236,314.0
237,2516.0
238,8922.0
239,10995.0
240,5972.0
241,1060.0
242,137.0
243,5620.0
244,1885.0
245,1588.0
246,3119.0
247,1654.0
248,5421.0
249,4086.0
250,541.0
251,5335.0
252,2617.0
253,1854.0
254,4923.0
255,3708.0
256,13828.0
257,12705.0
258,2118.0
259,7100.0
260,4765.0
261,8530.0
262,5446.0
263,8000.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,4482.0
269,9201.0
270,10958.0
271,16027.0
272,20899.0
273,14527.0
274,3915.0
275,10246.0
276,6174.0
277,7990.0
278,2444.0
279,3645.0
280,1708.0
281,5998.0
282,3883.0
283,10626.0
284,10389.0
285,9481.0
286,5786.0
287,3797.0
288,1485.0
289,2385.0
290,6667.0
291,6885.0
292,6232.0
293,2454.0
294,3727.0
295,2942.0
296,3568.0
297,2512.0
298,8329.0
299,2884.0
300,200.0
301,2809.0
302,-1.0
303,-1.0
304,-1.0
305,-1.0
306,-1.0
307,9201.0
308,10958.0
309,20899.0
310,20899.0
311,14527.0
312,9090.0
313,38626.0
314,14920.0
315,7907.0
316,4458.0
317,454.0
318,6189.0
319,4459.0
320,15103.0
321,1827.0
322,6975.0
323,4771.0
324,13068.0
325,2940.0
326,5908.0
327,3495.0
328,256.0
329,3906.0
330,8217.0
331,1748.0
332,13546.0
333,2910.0
334,3918.0
335,6320.0
336,10235.0
337,799.0
338,1471.0
339,5064.0
340,107.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,9090.0
350,9090.0
351,38626.0
352,16657.0
353,27171.0
354,4461.0
355,8192.0
356,4281.0
357,4166.0
358,7903.0
359,5494.0
360,3406.0
361,11018.0
362,31067.0
363,3218.0
364,3315.0
365,1632.0
366,1722.0
367,5478.0
368,2325.0
369,11648.0
370,4785.0
371,12102.0
372,20549.0
373,3208.0
374,5487.0
375,7007.0
376,3645.0
377,4531.0
378,974.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,18805.0
391,18805.0
392,26220.0
393,2036.0
394,6152.0
395,12708.0
396,7830.0
397,2767.0
398,9612.0
399,7645.0
400,16096.0
401,12354.0
402,1946.0
403,9710.0
404,2492.0
405,224.0
406,898.0
407,1947.0
408,3724.0
409,3243.0
410,815.0
411,2789.0
412,3593.0
413,1767.0
414,4903.0
415,2538.0
416,3247.0
417,3752.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,37631.0
430,12701.0
431,27696.0
432,33465.0
433,28440.0
434,3052.0
435,20884.0
436,1328.0
437,6550.0
438,678.0
439,2401.0
440,2523.0
441,6409.0
442,1211.0
443,1211.0
444,1893.0
445,4323.0
446,3569.0
447,6403.0
448,5827.0
449,2068.0
450,3623.0
451,0.0
452,4903.0
453,2538.0
454,4337.0
455,2354.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,76752.0
468,76752.0
469,26500.0
470,8074.0
471,799.0
472,2422.0
473,11734.0
474,11200.0
475,18788.0
476,528.0
477,2721.0
478,3282.0
479,9082.0
480,6777.0
481,3044.0
482,210.0
483,7222.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,-1.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,-1.0
505,120051.0
506,120051.0
507,9502.0
508,14026.0
509,10951.0
510,11720.0
511,20254.0
512,834.0
513,1841.0
514,5370.0
515,2019.0
516,5815.0
517,1001.0
518,6590.0
519,0.0
520,142.0
521,736.0
522,0.0
523,0.0
524,0.0
525,0.0
526,134.0
527,0.0
528,0.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,1207.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,-1.0
541,-1.0
542,-1.0
543,120051.0
544,120051.0
545,120051.0
546,7588.0
547,2386.0
548,1902.0
549,3195.0
550,1966.0
551,7054.0
552,4151.0
553,1643.0
554,7022.0
555,2347.0
556,6013.0
557,0.0
558,185.0
559,736.0
560,0.0
561,0.0
562,0.0
563,134.0
564,38.0
565,38.0
566,38.0
567,-1.0
568,-1.0
569,-1.0
570,-1.0
571,1890.0
572,1207.0
573,1207.0
574,-1.0
575,-1.0
576,-1.0
577,-1.0
578,-1.0
579,-1.0
580,-1.0
581,-1.0
582,120051.0
583,22703.0
584,22703.0
585,14010.0
586,2670.0
587,818.0
588,16059.0
589,37755.0
590,26836.0
591,12971.0
592,4863.0
593,6944.0
594,7568.0
595,3117.0
596,7286.0
597,12216.0
598,0.0
599,0.0
600,0.0
601,0.0
602,38.0
603,38.0
604,296.0
605,-1.0
606,-1.0
607,-1.0
608,-1.0
609,1890.0
610,1207.0
611,1207.0
612,-1.0
613,-1.0
614,-1.0
615,-1.0
616,-1.0
617,-1.0
618,-1.0
619,-1.0
620,-1.0
621,9998.0
622,7776.0
623,7538.0
624,2910.0
625,4658.0
626,17277.0
627,37755.0
628,26836.0
629,24279.0
630,1692.0
631,8714.0
632,3187.0
633,504.0
634,3691.0
635,1001.0
636,6789.0
637,3215.0
638,0.0
639,1674.0
640,369.0
641,2513.0
642,296.0
643,296.0
644,-1.0
645,-1.0
646,-1.0
647,1021.0
648,1021.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,-1.0
655,-1.0
656,-1.0
657,-1.0
658,-1.0
659,9254.0
660,2150.0
661,26523.0
662,39605.0
663,17794.0
664,20153.0
665,-1.0
666,-1.0
667,15258.0
668,21427.0
669,8608.0
670,18283.0
671,25194.0
672,3288.0
673,1732.0
674,1922.0
675,3593.0
676,3128.0
677,1844.0
678,369.0
679,2513.0
680,296.0
681,296.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,-1.0
690,-1.0
691,-1.0
692,-1.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,9254.0
698,-1.0
699,7231.0
700,39605.0
701,39605.0
702,-1.0
703,-1.0
704,-1.0
705,21427.0
706,8281.0
707,23680.0
708,57410.0
709,57410.0
710,48622.0
711,3558.0
712,2537.0
713,6232.0
714,10750.0
715,4348.0
716,2285.0
717,3734.0
718,0.0
719,0.0
720,624.0
721,-1.0
722,-1.0
723,-1.0
724,-1.0
725,-1.0
726,-1.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,-1.0
737,7231.0
738,-1.0
739,-1.0
740,-1.0
741,-1.0
742,-1.0
743,-1.0
744,-1.0
745,-1.0
746,57410.0
747,57410.0
748,48622.0
749,10555.0
750,9783.0
751,5027.0
752,1073.0
753,7791.0
754,7351.0
755,375.0
756,2124.0
757,1202.0
758,1884.0
759,924.0
760,-1.0
761,-1.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,2804.0
778,3311.0
779,3311.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,10056.0
786,10056.0
787,23644.0
788,22519.0
789,699.0
790,2572.0
791,3279.0
792,5740.0
793,2837.0
794,606.0
795,2275.0
796,1380.0
797,-1.0
798,-1.0
799,-1.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,-1.0
807,-1.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,-1.0
813,-1.0
814,-1.0
815,-1.0
816,3311.0
817,3311.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,506.0
825,506.0
826,3394.0
827,-1.0
828,-1.0
829,-1.0
830,-1.0
831,-1.0
832,4136.0
833,958.0
834,1399.0
835,-1.0
