Grid_Number,Hyd_popu_Health
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,1128.0
6,1259.0
7,-1.0
8,-1.0
9,-1.0
10,1517.0
11,-1.0
12,826.0
13,53.0
14,-1.0
15,100.0
16,-1.0
17,2623.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,2784.0
23,1516.0
24,830.0
25,238.0
26,31.0
27,5411.0
28,4407.0
29,4777.0
30,1345.0
31,895.0
32,7926.0
33,4625.0
34,1036.0
35,1268.0
36,2250.0
37,1595.0
38,-1.0
39,-1.0
40,532.0
41,582.0
42,2979.0
43,1961.0
44,5184.0
45,2656.0
46,6295.0
47,825.0
48,2026.0
49,2897.0
50,5287.0
51,2246.0
52,1241.0
53,3058.0
54,1350.0
55,6266.0
56,772.0
57,-1.0
58,-1.0
59,1152.0
60,2358.0
61,79.0
62,856.0
63,1467.0
64,2281.0
65,1840.0
66,228.0
67,1238.0
68,1347.0
69,452.0
70,2256.0
71,348.0
72,1474.0
73,628.0
74,2780.0
75,-1.0
76,-1.0
77,7907.0
78,3022.0
79,923.0
80,2035.0
81,761.0
82,2817.0
83,1155.0
84,688.0
85,839.0
86,222.0
87,1535.0
88,650.0
89,1511.0
90,1194.0
91,2531.0
92,678.0
93,2572.0
94,1532.0
95,-1.0
96,1946.0
97,5201.0
98,970.0
99,374.0
100,1112.0
101,3042.0
102,2110.0
103,3919.0
104,1003.0
105,633.0
106,4127.0
107,978.0
108,891.0
109,107.0
110,1643.0
111,881.0
112,8945.0
113,-1.0
114,-1.0
115,2427.0
116,1560.0
117,5080.0
118,1405.0
119,832.0
120,1817.0
121,663.0
122,3967.0
123,1704.0
124,879.0
125,2282.0
126,2443.0
127,3959.0
128,1931.0
129,2610.0
130,652.0
131,2690.0
132,-1.0
133,448.0
134,5553.0
135,5411.0
136,1201.0
137,780.0
138,833.0
139,794.0
140,2611.0
141,8884.0
142,2094.0
143,1506.0
144,2751.0
145,2379.0
146,907.0
147,3062.0
148,1645.0
149,1463.0
150,633.0
151,-1.0
152,-1.0
153,767.0
154,1805.0
155,1872.0
156,1762.0
157,528.0
158,3108.0
159,4229.0
160,1320.0
161,689.0
162,1579.0
163,3333.0
164,2952.0
165,1598.0
166,1158.0
167,432.0
168,4483.0
169,283.0
170,-1.0
171,493.0
172,1641.0
173,5908.0
174,636.0
175,1575.0
176,2599.0
177,582.0
178,1850.0
179,1589.0
180,526.0
181,1540.0
182,297.0
183,0.0
184,208.0
185,1663.0
186,1148.0
187,1639.0
188,710.0
189,3790.0
190,-1.0
191,3054.0
192,483.0
193,1984.0
194,253.0
195,2714.0
196,1340.0
197,1337.0
198,4515.0
199,1908.0
200,2484.0
201,1218.0
202,1944.0
203,1687.0
204,1683.0
205,3604.0
206,7727.0
207,2060.0
208,515.0
209,-1.0
210,6003.0
211,3358.0
212,903.0
213,3536.0
214,216.0
215,830.0
216,1247.0
217,959.0
218,463.0
219,2413.0
220,2675.0
221,1515.0
222,2737.0
223,3358.0
224,2546.0
225,2695.0
226,1706.0
227,1168.0
228,-1.0
229,2348.0
230,3998.0
231,4350.0
232,10676.0
233,658.0
234,817.0
235,2642.0
236,1648.0
237,1396.0
238,2385.0
239,4640.0
240,2657.0
241,1386.0
242,1374.0
243,819.0
244,312.0
245,2125.0
246,1433.0
247,-1.0
248,-1.0
249,1056.0
250,4350.0
251,6380.0
252,2110.0
253,1299.0
254,1838.0
255,792.0
256,1376.0
257,1928.0
258,4785.0
259,798.0
260,216.0
261,8709.0
262,3028.0
263,3126.0
264,4323.0
265,5653.0
266,-1.0
267,472.0
268,495.0
269,2029.0
270,3753.0
271,834.0
272,7512.0
273,913.0
274,802.0
275,157.0
276,732.0
277,1487.0
278,3477.0
279,2608.0
280,2546.0
281,1098.0
282,2528.0
283,5199.0
284,9591.0
285,-1.0
286,2338.0
287,-1.0
288,1538.0
289,1097.0
290,2724.0
291,2140.0
292,1058.0
293,933.0
294,5216.0
295,359.0
296,526.0
297,-1.0
298,557.0
299,4152.0
300,855.0
301,550.0
302,1513.0
303,445.0
