Grid_Number,Che_popu_Health
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,1961.0
20,-1.0
21,4048.0
22,-1.0
23,-1.0
24,2792.0
25,4082.0
26,4133.0
27,5233.0
28,1851.0
29,2233.0
30,301.0
31,2731.0
32,1604.0
33,2096.0
34,7791.0
35,3993.0
36,3206.0
37,-1.0
38,676.0
39,1099.0
40,1525.0
41,864.0
42,4885.0
43,1466.0
44,2954.0
45,1217.0
46,1393.0
47,361.0
48,2413.0
49,1011.0
50,5743.0
51,2170.0
52,1422.0
53,4112.0
54,898.0
55,-1.0
56,-1.0
57,3187.0
58,1127.0
59,2621.0
60,1624.0
61,2574.0
62,4433.0
63,3382.0
64,1421.0
65,4401.0
66,2420.0
67,1201.0
68,7095.0
69,3242.0
70,3755.0
71,1311.0
72,3317.0
73,2316.0
74,3236.0
75,3843.0
76,-1.0
77,352.0
78,2140.0
79,330.0
80,747.0
81,632.0
82,2390.0
83,840.0
84,2547.0
85,2915.0
86,1385.0
87,5142.0
88,2144.0
89,207.0
90,1495.0
91,1177.0
92,1346.0
93,162.0
94,-1.0
95,2572.0
96,2165.0
97,3678.0
98,2476.0
99,1232.0
100,3454.0
101,8336.0
102,2510.0
103,4362.0
104,2337.0
105,2650.0
106,4608.0
107,2270.0
108,3537.0
109,4918.0
110,8434.0
111,2283.0
112,1417.0
113,-1.0
114,-1.0
115,3418.0
116,2776.0
117,1514.0
118,96.0
119,3980.0
120,2734.0
121,317.0
122,4265.0
123,1688.0
124,1774.0
125,2520.0
126,4137.0
127,720.0
128,689.0
129,5735.0
130,175.0
131,821.0
132,-1.0
133,6689.0
134,3235.0
135,2863.0
136,1705.0
137,968.0
138,181.0
139,578.0
140,491.0
141,1024.0
142,1993.0
143,510.0
144,2906.0
145,2590.0
146,1444.0
147,1822.0
148,3439.0
149,531.0
150,2161.0
151,-1.0
152,2473.0
153,591.0
154,5538.0
155,5415.0
156,1546.0
157,1214.0
158,1382.0
159,2420.0
160,1607.0
161,4768.0
162,2761.0
163,6261.0
164,4829.0
165,1443.0
166,2042.0
167,3455.0
168,843.0
169,1831.0
170,-1.0
171,4308.0
172,419.0
173,1820.0
174,797.0
175,816.0
176,896.0
177,2202.0
178,1919.0
179,1175.0
180,5739.0
181,3951.0
182,5838.0
183,176.0
184,780.0
185,1515.0
186,9516.0
187,2349.0
188,3261.0
189,-1.0
190,-1.0
191,1559.0
192,2957.0
193,170.0
194,3410.0
195,1844.0
196,3596.0
197,112.0
198,1881.0
199,1526.0
200,4011.0
201,6116.0
202,4746.0
203,1535.0
204,3257.0
205,11970.0
206,4243.0
207,5496.0
208,3886.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,1153.0
214,-1.0
215,4667.0
216,1860.0
217,370.0
218,2267.0
219,404.0
220,2398.0
221,7937.0
222,5747.0
223,7720.0
224,7571.0
225,8477.0
226,2705.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,1153.0
233,-1.0
234,4667.0
235,-1.0
236,2381.0
237,-1.0
238,3048.0
239,-1.0
240,-1.0
241,5338.0
242,4889.0
243,6469.0
244,1755.0
245,3341.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,3983.0
263,428.0
264,2950.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
