Grid_Number,Health
0,202.0
1,259.0
2,275.0
3,284.0
4,290.0
5,308.0
6,315.0
7,321.0
8,336.0
9,310.0
10,242.0
11,198.0
12,145.0
13,83.0
14,264.0
15,350.0
16,430.0
17,479.0
18,469.0
19,73.0
20,447.0
21,459.0
22,435.0
23,428.0
24,334.0
25,270.0
26,198.0
27,138.0
28,327.0
29,455.0
30,507.0
31,574.0
32,63.0
33,601.0
34,570.0
35,554.0
36,541.0
37,530.0
38,499.0
39,427.0
40,256.0
41,187.0
42,454.0
43,581.0
44,717.0
45,60.0
46,72.0
47,775.0
48,746.0
49,731.0
50,662.0
51,585.0
52,550.0
53,526.0
54,419.0
55,278.0
56,551.0
57,732.0
58,813.0
59,156.0
60,130.0
61,1006.0
62,961.0
63,968.0
64,900.0
65,742.0
66,657.0
67,575.0
68,459.0
69,331.0
70,661.0
71,822.0
72,898.0
73,1051.0
74,207.0
75,164.0
76,1192.0
77,1150.0
78,1077.0
79,868.0
80,774.0
81,689.0
82,527.0
83,372.0
84,790.0
85,240.0
86,229.0
87,1199.0
88,1336.0
89,1341.0
90,1333.0
91,1289.0
92,1250.0
93,1078.0
94,986.0
95,835.0
96,675.0
97,472.0
98,844.0
99,213.0
100,265.0
101,294.0
102,278.0
103,1421.0
104,1421.0
105,1419.0
106,1360.0
107,1205.0
108,1103.0
109,915.0
110,746.0
111,562.0
112,891.0
113,265.0
114,304.0
115,300.0
116,335.0
117,331.0
118,298.0
119,278.0
120,241.0
121,255.0
122,235.0
123,1021.0
124,817.0
125,577.0
126,893.0
127,267.0
128,281.0
129,306.0
130,302.0
131,332.0
132,356.0
133,328.0
134,322.0
135,282.0
136,265.0
137,207.0
138,848.0
139,641.0
140,794.0
141,985.0
142,1142.0
143,259.0
144,280.0
145,258.0
146,302.0
147,303.0
148,300.0
149,319.0
150,261.0
151,225.0
152,194.0
153,104.0
154,711.0
155,871.0
156,1007.0
157,1271.0
158,207.0
159,190.0
160,237.0
161,278.0
162,280.0
163,222.0
164,253.0
165,242.0
166,214.0
167,136.0
168,591.0
169,703.0
170,804.0
171,973.0
172,1104.0
173,1085.0
174,146.0
175,209.0
176,233.0
177,1017.0
178,896.0
179,778.0
180,636.0
181,488.0
182,471.0
183,567.0
184,655.0
185,777.0
186,856.0
187,850.0
188,852.0
189,829.0
190,866.0
191,845.0
192,774.0
193,671.0
194,538.0
195,385.0
