Grid_Number,Utilities
0,44.0
1,61.0
2,64.0
3,54.0
4,46.0
5,48.0
6,49.0
7,55.0
8,62.0
9,57.0
10,43.0
11,40.0
12,33.0
13,26.0
14,58.0
15,78.0
16,82.0
17,84.0
18,68.0
19,5.0
20,68.0
21,75.0
22,81.0
23,80.0
24,58.0
25,51.0
26,41.0
27,33.0
28,73.0
29,90.0
30,97.0
31,102.0
32,6.0
33,84.0
34,84.0
35,90.0
36,93.0
37,92.0
38,86.0
39,72.0
40,49.0
41,39.0
42,91.0
43,119.0
44,139.0
45,2.0
46,2.0
47,128.0
48,124.0
49,132.0
50,145.0
51,129.0
52,106.0
53,89.0
54,79.0
55,54.0
56,130.0
57,148.0
58,165.0
59,3.0
60,6.0
61,203.0
62,221.0
63,228.0
64,218.0
65,202.0
66,169.0
67,144.0
68,90.0
69,66.0
70,145.0
71,171.0
72,196.0
73,237.0
74,9.0
75,5.0
76,292.0
77,282.0
78,261.0
79,241.0
80,220.0
81,179.0
82,132.0
83,71.0
84,167.0
85,12.0
86,11.0
87,282.0
88,311.0
89,345.0
90,332.0
91,306.0
92,294.0
93,275.0
94,254.0
95,214.0
96,173.0
97,97.0
98,184.0
99,15.0
100,20.0
101,12.0
102,15.0
103,367.0
104,362.0
105,329.0
106,319.0
107,294.0
108,280.0
109,242.0
110,191.0
111,124.0
112,198.0
113,18.0
114,15.0
115,9.0
116,10.0
117,12.0
118,30.0
119,35.0
120,44.0
121,44.0
122,10.0
123,259.0
124,202.0
125,134.0
126,198.0
127,10.0
128,14.0
129,21.0
130,18.0
131,16.0
132,16.0
133,18.0
134,22.0
135,15.0
136,12.0
137,4.0
138,207.0
139,139.0
140,182.0
141,215.0
142,245.0
143,17.0
144,19.0
145,11.0
146,13.0
147,11.0
148,11.0
149,13.0
150,15.0
151,11.0
152,5.0
153,6.0
154,156.0
155,188.0
156,217.0
157,253.0
158,19.0
159,7.0
160,5.0
161,5.0
162,5.0
163,9.0
164,8.0
165,5.0
166,5.0
167,9.0
168,126.0
169,150.0
170,178.0
171,195.0
172,206.0
173,242.0
174,4.0
175,7.0
176,10.0
177,234.0
178,201.0
179,147.0
180,104.0
181,83.0
182,89.0
183,114.0
184,122.0
185,143.0
186,149.0
187,167.0
188,168.0
189,167.0
190,156.0
191,146.0
192,128.0
193,103.0
194,81.0
195,63.0
