Grid_Number,Hyd_popu_Utilities
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,1501.0
8,-1.0
9,-1.0
10,2558.0
11,1865.0
12,6072.0
13,-1.0
14,-1.0
15,950.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,1595.0
25,751.0
26,1011.0
27,15646.0
28,-1.0
29,5145.0
30,2104.0
31,4905.0
32,-1.0
33,16355.0
34,2177.0
35,5830.0
36,1976.0
37,-1.0
38,-1.0
39,-1.0
40,7386.0
41,1126.0
42,11642.0
43,-1.0
44,6650.0
45,-1.0
46,14930.0
47,7268.0
48,2928.0
49,8215.0
50,6811.0
51,3963.0
52,15179.0
53,10602.0
54,1653.0
55,-1.0
56,-1.0
57,-1.0
58,6183.0
59,-1.0
60,7948.0
61,-1.0
62,2410.0
63,7706.0
64,7456.0
65,5339.0
66,7372.0
67,2190.0
68,2403.0
69,6272.0
70,2786.0
71,8634.0
72,10031.0
73,3547.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,7948.0
80,2927.0
81,8982.0
82,7488.0
83,3940.0
84,7370.0
85,7613.0
86,4669.0
87,10697.0
88,4808.0
89,6945.0
90,2401.0
91,4764.0
92,3764.0
93,3578.0
94,-1.0
95,-1.0
96,13487.0
97,11443.0
98,9486.0
99,10389.0
100,3839.0
101,2457.0
102,1955.0
103,16728.0
104,3896.0
105,7897.0
106,3145.0
107,1711.0
108,6751.0
109,803.0
110,4067.0
111,2246.0
112,-1.0
113,-1.0
114,-1.0
115,5047.0
116,19601.0
117,4813.0
118,8347.0
119,2973.0
120,2637.0
121,1506.0
122,4739.0
123,1188.0
124,1700.0
125,2780.0
126,7131.0
127,4543.0
128,4006.0
129,3312.0
130,4029.0
131,-1.0
132,-1.0
133,-1.0
134,5047.0
135,13291.0
136,9743.0
137,6416.0
138,3570.0
139,8969.0
140,5730.0
141,8183.0
142,5206.0
143,5418.0
144,6937.0
145,2067.0
146,1989.0
147,3531.0
148,3895.0
149,5986.0
150,4579.0
151,-1.0
152,-1.0
153,2067.0
154,14995.0
155,6171.0
156,4381.0
157,4074.0
158,4469.0
159,6687.0
160,4469.0
161,8562.0
162,3303.0
163,9387.0
164,3064.0
165,894.0
166,5395.0
167,12558.0
168,7452.0
169,544.0
170,-1.0
171,3535.0
172,11864.0
173,12537.0
174,4260.0
175,9415.0
176,11991.0
177,7810.0
178,1164.0
179,4396.0
180,3495.0
181,6870.0
182,6903.0
183,2858.0
184,906.0
185,-1.0
186,16871.0
187,6987.0
188,5540.0
189,7944.0
190,-1.0
191,-1.0
192,18039.0
193,6099.0
194,2752.0
195,5384.0
196,4362.0
197,4268.0
198,4918.0
199,2073.0
200,3704.0
201,4380.0
202,2192.0
203,6991.0
204,4272.0
205,7245.0
206,9251.0
207,6286.0
208,4138.0
209,-1.0
210,-1.0
211,-1.0
212,12103.0
213,2982.0
214,5394.0
215,3932.0
216,11676.0
217,3323.0
218,9137.0
219,14181.0
220,4492.0
221,4215.0
222,14482.0
223,538.0
224,5025.0
225,13074.0
226,6621.0
227,1308.0
228,-1.0
229,12414.0
230,7198.0
231,-1.0
232,16797.0
233,3779.0
234,1625.0
235,4903.0
236,1386.0
237,3190.0
238,5704.0
239,6977.0
240,3161.0
241,21647.0
242,12805.0
243,7806.0
244,7650.0
245,10133.0
246,-1.0
247,-1.0
248,-1.0
249,8503.0
250,11533.0
251,-1.0
252,9255.0
253,5397.0
254,9346.0
255,6108.0
256,1762.0
257,2765.0
258,5925.0
259,3614.0
260,6314.0
261,15946.0
262,3444.0
263,12385.0
264,14830.0
265,14830.0
266,-1.0
267,2565.0
268,3805.0
269,3125.0
270,8473.0
271,3674.0
272,7892.0
273,2823.0
274,1328.0
275,2966.0
276,6528.0
277,-1.0
278,14087.0
279,10618.0
280,18939.0
281,3233.0
282,2636.0
283,-1.0
284,-1.0
285,-1.0
286,3180.0
287,-1.0
288,3813.0
289,7257.0
290,11120.0
291,-1.0
292,6820.0
293,3361.0
294,3871.0
295,2545.0
296,-1.0
297,-1.0
298,14004.0
299,7748.0
300,-1.0
301,1807.0
302,10022.0
303,2984.0
