Grid_Number,Che_popu_Utilities
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,18187.0
17,1862.0
18,-1.0
19,967.0
20,-1.0
21,3320.0
22,-1.0
23,-1.0
24,-1.0
25,7034.0
26,11646.0
27,6926.0
28,2000.0
29,5089.0
30,1428.0
31,6862.0
32,1179.0
33,7798.0
34,6897.0
35,18187.0
36,3055.0
37,-1.0
38,817.0
39,4264.0
40,2732.0
41,1004.0
42,5448.0
43,13129.0
44,9432.0
45,3116.0
46,4118.0
47,1684.0
48,4084.0
49,7099.0
50,2943.0
51,4918.0
52,3187.0
53,4703.0
54,2289.0
55,-1.0
56,-1.0
57,-1.0
58,2253.0
59,3962.0
60,3338.0
61,5603.0
62,4588.0
63,5459.0
64,3753.0
65,2399.0
66,1884.0
67,7018.0
68,1561.0
69,4878.0
70,4713.0
71,8591.0
72,-1.0
73,4996.0
74,3110.0
75,-1.0
76,-1.0
77,508.0
78,3825.0
79,1536.0
80,1881.0
81,4602.0
82,3003.0
83,6477.0
84,12471.0
85,8226.0
86,2031.0
87,4257.0
88,10207.0
89,1657.0
90,10147.0
91,2774.0
92,1647.0
93,2045.0
94,-1.0
95,6114.0
96,16015.0
97,2386.0
98,2468.0
99,2612.0
100,7231.0
101,10145.0
102,3777.0
103,5704.0
104,5627.0
105,1205.0
106,1378.0
107,862.0
108,6553.0
109,11388.0
110,12521.0
111,5267.0
112,4461.0
113,-1.0
114,-1.0
115,6397.0
116,7010.0
117,1202.0
118,1773.0
119,11808.0
120,4502.0
121,3945.0
122,4754.0
123,3450.0
124,2008.0
125,2157.0
126,4859.0
127,4066.0
128,5050.0
129,9127.0
130,1377.0
131,615.0
132,-1.0
133,-1.0
134,1496.0
135,6571.0
136,9185.0
137,3250.0
138,7513.0
139,4710.0
140,5178.0
141,5799.0
142,12163.0
143,4567.0
144,4038.0
145,13139.0
146,1569.0
147,5718.0
148,14880.0
149,3748.0
150,-1.0
151,-1.0
152,6809.0
153,574.0
154,8987.0
155,3292.0
156,7677.0
157,4295.0
158,4493.0
159,11996.0
160,13599.0
161,10734.0
162,11964.0
163,10284.0
164,15216.0
165,5437.0
166,3501.0
167,13355.0
168,2562.0
169,3393.0
170,4567.0
171,-1.0
172,2461.0
173,1060.0
174,3135.0
175,3738.0
176,978.0
177,4614.0
178,3438.0
179,4404.0
180,8359.0
181,1752.0
182,10869.0
183,514.0
184,682.0
185,1071.0
186,16436.0
187,8076.0
188,6223.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,4352.0
194,2469.0
195,3051.0
196,2109.0
197,2753.0
198,5606.0
199,3639.0
200,3008.0
201,6049.0
202,5544.0
203,8487.0
204,4969.0
205,22484.0
206,8897.0
207,5767.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,4975.0
215,3632.0
216,8219.0
217,3521.0
218,1705.0
219,7424.0
220,13157.0
221,20449.0
222,5183.0
223,5473.0
224,13957.0
225,9390.0
226,4721.0
227,4783.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,-1.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,5449.0
242,1504.0
243,2633.0
244,2763.0
245,4749.0
246,4996.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,10714.0
263,1306.0
264,5709.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
