Grid_Number,Gur_popu_Utilities
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-1.0
339,-1.0
340,-1.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,11768.0
360,-1.0
361,-1.0
362,-1.0
363,-1.0
364,-1.0
365,-1.0
366,-1.0
367,-1.0
368,-1.0
369,-1.0
370,-1.0
371,-1.0
372,-1.0
373,8398.0
374,-1.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,6618.0
390,-1.0
391,5373.0
392,3738.0
393,-1.0
394,5686.0
395,-1.0
396,-1.0
397,-1.0
398,-1.0
399,-1.0
400,14435.0
401,-1.0
402,-1.0
403,-1.0
404,-1.0
405,-1.0
406,-1.0
407,-1.0
408,-1.0
409,-1.0
410,-1.0
411,-1.0
412,-1.0
413,-1.0
414,-1.0
415,9306.0
416,-1.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,5686.0
430,7200.0
431,-1.0
432,-1.0
433,-1.0
434,14447.0
435,14435.0
436,-1.0
437,-1.0
438,-1.0
439,-1.0
440,-1.0
441,-1.0
442,-1.0
443,-1.0
444,-1.0
445,-1.0
446,-1.0
447,-1.0
448,-1.0
449,-1.0
450,9306.0
451,-1.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,12298.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,5000.0
467,-1.0
468,-1.0
469,-1.0
470,14447.0
471,-1.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,-1.0
477,-1.0
478,-1.0
479,8104.0
480,-1.0
481,-1.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
491,5795.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,5000.0
502,2193.0
503,5109.0
504,-1.0
505,-1.0
506,-1.0
507,-1.0
508,-1.0
509,-1.0
510,-1.0
511,-1.0
512,1755.0
513,-1.0
514,8104.0
515,-1.0
516,-1.0
517,-1.0
518,-1.0
519,-1.0
520,-1.0
521,-1.0
522,-1.0
523,-1.0
524,-1.0
525,-1.0
526,5795.0
527,-1.0
528,-1.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,5847.0
538,-1.0
539,-1.0
540,-1.0
541,-1.0
542,-1.0
543,-1.0
544,-1.0
545,-1.0
546,-1.0
547,1755.0
548,-1.0
549,-1.0
550,-1.0
551,-1.0
552,-1.0
553,-1.0
554,-1.0
555,-1.0
556,-1.0
557,-1.0
558,-1.0
559,-1.0
560,-1.0
561,1786.0
562,2545.0
563,3955.0
564,-1.0
565,-1.0
566,-1.0
567,-1.0
568,-1.0
569,-1.0
570,-1.0
571,-1.0
572,12231.0
573,-1.0
574,8198.0
575,-1.0
576,-1.0
577,-1.0
578,-1.0
579,-1.0
580,-1.0
581,-1.0
582,2153.0
583,2153.0
584,-1.0
585,-1.0
586,-1.0
587,-1.0
588,-1.0
589,-1.0
590,-1.0
591,-1.0
592,-1.0
593,-1.0
594,-1.0
595,756.0
596,3366.0
597,-1.0
598,-1.0
599,-1.0
600,-1.0
601,-1.0
602,-1.0
603,9174.0
604,-1.0
605,-1.0
606,12231.0
607,12231.0
608,-1.0
609,-1.0
610,7781.0
611,7781.0
612,-1.0
613,-1.0
614,-1.0
615,-1.0
616,-1.0
617,-1.0
618,-1.0
619,-1.0
620,-1.0
621,-1.0
622,-1.0
623,-1.0
624,-1.0
625,-1.0
626,-1.0
627,-1.0
628,-1.0
629,-1.0
630,-1.0
631,3134.0
632,-1.0
633,-1.0
634,-1.0
635,6961.0
636,-1.0
637,-1.0
638,9174.0
639,6156.0
640,6156.0
641,-1.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,3859.0
655,-1.0
656,-1.0
657,-1.0
658,-1.0
659,-1.0
660,21896.0
661,-1.0
662,-1.0
663,-1.0
664,-1.0
665,-1.0
666,2006.0
667,6538.0
668,6538.0
669,-1.0
670,6961.0
671,8358.0
672,-1.0
673,-1.0
674,6156.0
675,6771.0
676,-1.0
677,-1.0
678,-1.0
679,-1.0
680,-1.0
681,-1.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,1048.0
690,5476.0
691,-1.0
692,-1.0
693,-1.0
694,-1.0
695,21896.0
696,-1.0
697,-1.0
698,-1.0
699,-1.0
700,676.0
701,1348.0
702,1013.0
703,-1.0
704,-1.0
705,-1.0
706,8358.0
707,-1.0
708,-1.0
709,484.0
710,6771.0
711,-1.0
712,-1.0
713,-1.0
714,-1.0
715,-1.0
716,-1.0
717,7823.0
718,-1.0
719,-1.0
720,-1.0
721,-1.0
722,-1.0
723,1282.0
724,3205.0
725,-1.0
726,-1.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,446.0
736,891.0
737,1150.0
738,5715.0
739,-1.0
740,-1.0
741,-1.0
742,-1.0
743,-1.0
744,2184.0
745,-1.0
746,-1.0
747,-1.0
748,-1.0
749,-1.0
750,-1.0
751,-1.0
752,-1.0
753,-1.0
754,-1.0
755,-1.0
756,-1.0
757,-1.0
758,-1.0
759,-1.0
760,-1.0
761,-1.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,2634.0
771,2634.0
772,2006.0
773,5715.0
774,-1.0
775,-1.0
776,-1.0
777,-1.0
778,3457.0
779,2858.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,-1.0
786,2010.0
787,-1.0
788,-1.0
789,-1.0
790,-1.0
791,6942.0
792,-1.0
793,-1.0
794,-1.0
795,-1.0
796,-1.0
797,-1.0
798,-1.0
799,-1.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,8744.0
807,-1.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,-1.0
813,2624.0
814,2858.0
815,4151.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,2612.0
821,667.0
822,4469.0
823,-1.0
824,-1.0
825,-1.0
826,6942.0
827,-1.0
828,-1.0
829,-1.0
830,-1.0
831,-1.0
832,-1.0
833,-1.0
834,-1.0
835,-1.0
836,6124.0
837,-1.0
838,-1.0
839,-1.0
840,-1.0
841,-1.0
842,-1.0
843,-1.0
844,-1.0
845,-1.0
846,-1.0
847,-1.0
848,-1.0
849,-1.0
850,2395.0
851,3869.0
852,-1.0
853,-1.0
854,-1.0
855,-1.0
856,-1.0
857,4469.0
858,-1.0
859,-1.0
860,-1.0
861,-1.0
862,-1.0
863,-1.0
864,-1.0
865,-1.0
866,-1.0
867,-1.0
868,-1.0
869,-1.0
870,10133.0
871,10133.0
872,-1.0
873,-1.0
874,-1.0
875,-1.0
876,-1.0
877,-1.0
878,-1.0
879,-1.0
880,-1.0
881,-1.0
882,3485.0
883,-1.0
884,-1.0
885,1714.0
886,3869.0
887,-1.0
888,-1.0
889,-1.0
890,-1.0
891,-1.0
892,17048.0
893,-1.0
894,698.0
895,2185.0
896,-1.0
897,5342.0
898,-1.0
899,-1.0
900,-1.0
901,-1.0
902,-1.0
903,-1.0
904,-1.0
905,-1.0
906,-1.0
907,-1.0
908,-1.0
909,-1.0
910,-1.0
911,-1.0
912,-1.0
913,-1.0
914,-1.0
915,-1.0
916,8394.0
917,3485.0
918,-1.0
919,-1.0
920,-1.0
921,2813.0
922,-1.0
923,-1.0
924,-1.0
925,595.0
926,-1.0
927,5871.0
928,-1.0
929,698.0
930,-1.0
931,-1.0
932,-1.0
933,-1.0
934,-1.0
935,-1.0
936,-1.0
937,-1.0
938,-1.0
939,-1.0
940,2093.0
941,-1.0
942,-1.0
943,-1.0
944,-1.0
945,-1.0
946,-1.0
947,-1.0
948,-1.0
949,-1.0
950,-1.0
951,11541.0
952,-1.0
953,-1.0
954,-1.0
955,-1.0
956,2413.0
957,-1.0
958,-1.0
959,-1.0
960,490.0
961,4363.0
962,4342.0
963,1536.0
964,3164.0
965,-1.0
966,3552.0
967,3552.0
968,-1.0
969,-1.0
970,-1.0
971,-1.0
972,2582.0
973,567.0
974,-1.0
975,2093.0
976,-1.0
977,3788.0
978,-1.0
979,-1.0
980,-1.0
981,-1.0
982,-1.0
983,-1.0
984,-1.0
985,-1.0
986,-1.0
987,-1.0
988,-1.0
989,-1.0
990,-1.0
991,4261.0
992,2898.0
993,2898.0
994,-1.0
995,-1.0
996,13064.0
997,7919.0
998,770.0
999,1603.0
1000,2958.0
1001,4225.0
1002,4225.0
1003,-1.0
1004,-1.0
1005,-1.0
1006,-1.0
1007,2494.0
1008,342.0
1009,-1.0
1010,-1.0
1011,-1.0
1012,-1.0
1013,-1.0
1014,-1.0
1015,-1.0
1016,-1.0
1017,-1.0
1018,-1.0
1019,-1.0
1020,-1.0
1021,-1.0
1022,-1.0
1023,-1.0
1024,-1.0
1025,-1.0
1026,-1.0
1027,-1.0
1028,-1.0
1029,-1.0
1030,2532.0
1031,5460.0
1032,2616.0
1033,3836.0
1034,-1.0
1035,1319.0
1036,157.0
1037,-1.0
1038,-1.0
1039,-1.0
1040,-1.0
1041,-1.0
1042,-1.0
1043,-1.0
1044,-1.0
1045,-1.0
1046,-1.0
1047,-1.0
1048,-1.0
1049,-1.0
1050,-1.0
1051,-1.0
1052,-1.0
1053,-1.0
1054,-1.0
1055,-1.0
1056,-1.0
1057,-1.0
1058,35511.0
1059,-1.0
1060,-1.0
1061,-1.0
1062,-1.0
1063,-1.0
1064,13326.0
1065,733.0
1066,5450.0
1067,2339.0
1068,1914.0
1069,4844.0
1070,436.0
1071,536.0
1072,2850.0
1073,4635.0
1074,1540.0
1075,4770.0
1076,-1.0
1077,-1.0
1078,1464.0
1079,-1.0
1080,-1.0
1081,-1.0
1082,-1.0
1083,-1.0
1084,-1.0
1085,-1.0
1086,9101.0
1087,-1.0
1088,-1.0
1089,-1.0
1090,-1.0
1091,-1.0
1092,-1.0
1093,35511.0
1094,-1.0
1095,-1.0
1096,-1.0
1097,-1.0
1098,-1.0
1099,13326.0
1100,6024.0
1101,1537.0
1102,7168.0
1103,-1.0
1104,4844.0
1105,1294.0
1106,-1.0
1107,5996.0
1108,-1.0
1109,1729.0
1110,4770.0
1111,-1.0
1112,-1.0
1113,-1.0
1114,-1.0
1115,-1.0
1116,-1.0
1117,-1.0
1118,-1.0
1119,-1.0
1120,-1.0
1121,7051.0
1122,-1.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,-1.0
1129,-1.0
1130,-1.0
1131,-1.0
1132,-1.0
1133,-1.0
1134,-1.0
1135,5387.0
1136,5387.0
1137,7168.0
1138,5370.0
1139,118.0
1140,2718.0
1141,-1.0
1142,5996.0
1143,-1.0
1144,-1.0
1145,-1.0
1146,-1.0
1147,-1.0
1148,-1.0
1149,-1.0
1150,-1.0
1151,-1.0
1152,2326.0
1153,-1.0
1154,-1.0
1155,-1.0
1156,-1.0
1157,-1.0
1158,-1.0
1159,-1.0
1160,-1.0
1161,-1.0
1162,-1.0
1163,-1.0
1164,-1.0
1165,-1.0
1166,-1.0
1167,-1.0
1168,44611.0
1169,-1.0
1170,9497.0
1171,-1.0
1172,2325.0
1173,926.0
1174,308.0
1175,1288.0
1176,-1.0
1177,-1.0
1178,-1.0
1179,-1.0
1180,-1.0
1181,-1.0
1182,-1.0
1183,-1.0
1184,-1.0
1185,-1.0
1186,1435.0
1187,1435.0
1188,-1.0
1189,-1.0
1190,-1.0
1191,-1.0
1192,-1.0
1193,-1.0
1194,-1.0
1195,-1.0
1196,-1.0
1197,-1.0
1198,-1.0
1199,-1.0
1200,-1.0
1201,-1.0
1202,-1.0
1203,44611.0
1204,-1.0
1205,3419.0
1206,3419.0
1207,-1.0
1208,3220.0
1209,6621.0
1210,1288.0
1211,-1.0
1212,-1.0
1213,2323.0
1214,2323.0
1215,5203.0
1216,-1.0
1217,-1.0
1218,-1.0
1219,-1.0
1220,-1.0
1221,2295.0
1222,-1.0
1223,-1.0
1224,-1.0
1225,-1.0
1226,-1.0
1227,-1.0
1228,-1.0
1229,-1.0
1230,-1.0
1231,21350.0
1232,-1.0
1233,-1.0
1234,-1.0
1235,-1.0
1236,-1.0
1237,-1.0
1238,-1.0
1239,-1.0
1240,-1.0
1241,1358.0
1242,-1.0
1243,-1.0
1244,6514.0
1245,6744.0
1246,7109.0
1247,-1.0
1248,2323.0
1249,299.0
1250,8272.0
1251,8272.0
1252,-1.0
1253,-1.0
1254,3077.0
1255,628.0
1256,894.0
1257,840.0
1258,1040.0
1259,1937.0
1260,-1.0
1261,-1.0
1262,-1.0
1263,-1.0
1264,-1.0
1265,-1.0
1266,32130.0
1267,-1.0
1268,-1.0
1269,-1.0
1270,-1.0
1271,-1.0
1272,-1.0
1273,-1.0
1274,-1.0
1275,-1.0
1276,1358.0
1277,1358.0
1278,426.0
1279,2440.0
1280,4829.0
1281,12164.0
1282,-1.0
1283,9168.0
1284,3223.0
1285,910.0
1286,10122.0
1287,-1.0
1288,-1.0
1289,4269.0
1290,1325.0
1291,345.0
1292,345.0
1293,-1.0
1294,-1.0
1295,-1.0
1296,-1.0
1297,-1.0
1298,-1.0
1299,-1.0
1300,-1.0
1301,-1.0
1302,-1.0
1303,-1.0
1304,-1.0
1305,-1.0
1306,-1.0
1307,-1.0
1308,-1.0
1309,-1.0
1310,-1.0
1311,-1.0
1312,-1.0
1313,5635.0
1314,778.0
1315,778.0
1316,6392.0
1317,19316.0
1318,19316.0
1319,5863.0
1320,6239.0
1321,2523.0
1322,2703.0
1323,5971.0
1324,3069.0
1325,1417.0
1326,1195.0
1327,-1.0
1328,-1.0
1329,-1.0
1330,-1.0
1331,-1.0
1332,-1.0
1333,-1.0
1334,-1.0
1335,-1.0
1336,-1.0
1337,-1.0
1338,-1.0
1339,-1.0
1340,-1.0
1341,-1.0
1342,-1.0
1343,-1.0
1344,-1.0
1345,-1.0
1346,-1.0
1347,-1.0
1348,5635.0
1349,-1.0
1350,-1.0
1351,1616.0
1352,9469.0
1353,16432.0
1354,9887.0
1355,2802.0
1356,991.0
1357,6114.0
1358,2259.0
1359,2129.0
1360,2646.0
1361,1218.0
1362,7004.0
1363,-1.0
1364,-1.0
1365,-1.0
1366,-1.0
1367,-1.0
1368,-1.0
1369,-1.0
1370,-1.0
1371,-1.0
1372,-1.0
1373,-1.0
1374,-1.0
1375,-1.0
1376,-1.0
1377,-1.0
1378,-1.0
1379,-1.0
1380,-1.0
1381,-1.0
1382,-1.0
1383,-1.0
1384,4261.0
1385,947.0
1386,-1.0
1387,-1.0
1388,-1.0
1389,7730.0
1390,3210.0
1391,2187.0
1392,3837.0
1393,5741.0
1394,3599.0
1395,3334.0
1396,3428.0
1397,7004.0
1398,-1.0
1399,-1.0
1400,-1.0
1401,-1.0
1402,-1.0
1403,-1.0
1404,-1.0
1405,-1.0
1406,-1.0
1407,-1.0
1408,-1.0
1409,-1.0
1410,-1.0
1411,-1.0
1412,-1.0
1413,-1.0
1414,-1.0
1415,-1.0
1416,-1.0
1417,-1.0
1418,-1.0
1419,4261.0
1420,2585.0
1421,2153.0
1422,6021.0
1423,1902.0
1424,5823.0
1425,6968.0
1426,1812.0
1427,3333.0
1428,4026.0
1429,768.0
1430,7560.0
1431,5221.0
1432,-1.0
1433,-1.0
1434,-1.0
1435,-1.0
1436,-1.0
1437,-1.0
1438,-1.0
1439,-1.0
1440,-1.0
1441,-1.0
1442,-1.0
1443,-1.0
1444,-1.0
1445,-1.0
1446,-1.0
1447,-1.0
1448,-1.0
1449,-1.0
1450,-1.0
1451,-1.0
1452,-1.0
1453,5158.0
1454,3111.0
1455,1536.0
1456,2016.0
1457,1529.0
1458,7862.0
1459,2545.0
1460,3947.0
1461,4342.0
1462,3413.0
1463,1310.0
1464,316.0
1465,9030.0
1466,7516.0
1467,9310.0
1468,-1.0
1469,-1.0
1470,-1.0
1471,-1.0
1472,-1.0
1473,-1.0
1474,20316.0
1475,-1.0
1476,-1.0
1477,-1.0
1478,-1.0
1479,-1.0
1480,-1.0
1481,-1.0
1482,-1.0
1483,-1.0
1484,-1.0
1485,6511.0
1486,1966.0
1487,-1.0
1488,5158.0
1489,494.0
1490,2875.0
1491,1048.0
1492,3419.0
1493,5622.0
1494,8507.0
1495,6245.0
1496,9724.0
1497,3835.0
1498,1133.0
1499,5124.0
1500,5124.0
1501,3734.0
1502,11716.0
1503,-1.0
1504,-1.0
1505,-1.0
1506,-1.0
1507,-1.0
1508,10473.0
1509,2133.0
1510,5714.0
1511,13810.0
1512,-1.0
1513,29603.0
1514,-1.0
1515,-1.0
1516,-1.0
1517,-1.0
1518,-1.0
1519,4561.0
1520,3387.0
1521,1417.0
1522,2310.0
1523,3261.0
1524,1975.0
1525,4246.0
1526,4743.0
1527,1950.0
1528,2874.0
1529,2236.0
1530,2938.0
1531,2008.0
1532,6063.0
1533,2886.0
1534,6504.0
1535,713.0
1536,5473.0
1537,8209.0
1538,-1.0
1539,-1.0
1540,-1.0
1541,-1.0
1542,-1.0
1543,7500.0
1544,1268.0
1545,1305.0
1546,-1.0
1547,-1.0
1548,-1.0
1549,-1.0
1550,-1.0
1551,-1.0
1552,16436.0
1553,-1.0
1554,-1.0
1555,1460.0
1556,1460.0
1557,-1.0
1558,-1.0
1559,475.0
1560,4246.0
1561,3701.0
1562,1315.0
1563,3993.0
1564,5274.0
1565,5186.0
1566,8030.0
1567,5568.0
1568,5568.0
1569,18692.0
1570,-1.0
1571,3399.0
1572,7498.0
1573,-1.0
1574,-1.0
1575,-1.0
1576,-1.0
1577,-1.0
1578,-1.0
1579,-1.0
1580,554.0
1581,5913.0
1582,-1.0
1583,-1.0
1584,6722.0
1585,-1.0
1586,-1.0
1587,16436.0
1588,-1.0
1589,-1.0
1590,-1.0
1591,13199.0
1592,-1.0
1593,-1.0
1594,416.0
1595,729.0
1596,5145.0
1597,853.0
1598,3592.0
1599,1581.0
1600,3931.0
1601,3118.0
1602,722.0
1603,5415.0
1604,9962.0
1605,13479.0
1606,9427.0
1607,7052.0
1608,-1.0
1609,-1.0
1610,-1.0
1611,-1.0
1612,-1.0
1613,-1.0
1614,-1.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,6722.0
1619,6722.0
1620,-1.0
1621,-1.0
1622,-1.0
1623,-1.0
1624,-1.0
1625,-1.0
1626,-1.0
1627,5594.0
1628,2217.0
1629,416.0
1630,1241.0
1631,5219.0
1632,3499.0
1633,3431.0
1634,3431.0
1635,5631.0
1636,5672.0
1637,2735.0
1638,2854.0
1639,2933.0
1640,10041.0
1641,-1.0
1642,25560.0
1643,25560.0
1644,-1.0
1645,-1.0
1646,-1.0
1647,-1.0
1648,-1.0
1649,-1.0
1650,-1.0
1651,-1.0
1652,-1.0
1653,-1.0
1654,-1.0
1655,-1.0
1656,9365.0
1657,-1.0
1658,-1.0
1659,-1.0
1660,-1.0
1661,-1.0
1662,9296.0
1663,9296.0
1664,-1.0
1665,3193.0
1666,7499.0
1667,2884.0
1668,10734.0
1669,4915.0
1670,2697.0
1671,3390.0
1672,7967.0
1673,3607.0
1674,5125.0
1675,4904.0
1676,17013.0
1677,-1.0
1678,-1.0
1679,-1.0
1680,-1.0
1681,-1.0
1682,-1.0
1683,-1.0
1684,-1.0
1685,-1.0
1686,-1.0
1687,-1.0
1688,-1.0
1689,-1.0
1690,-1.0
1691,9365.0
1692,-1.0
1693,-1.0
1694,-1.0
1695,-1.0
1696,-1.0
1697,-1.0
1698,-1.0
1699,-1.0
1700,-1.0
1701,4654.0
1702,8296.0
1703,10734.0
1704,-1.0
1705,-1.0
1706,-1.0
1707,-1.0
1708,10423.0
1709,-1.0
1710,-1.0
1711,8879.0
1712,22858.0
1713,2038.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,-1.0
1719,-1.0
1720,-1.0
1721,-1.0
1722,-1.0
1723,-1.0
1724,-1.0
1725,7833.0
1726,-1.0
1727,-1.0
1728,-1.0
1729,-1.0
1730,-1.0
1731,-1.0
1732,-1.0
1733,-1.0
1734,-1.0
1735,-1.0
1736,-1.0
1737,-1.0
1738,-1.0
1739,-1.0
1740,-1.0
1741,9325.0
1742,4333.0
1743,17178.0
1744,-1.0
1745,-1.0
1746,2215.0
1747,2215.0
1748,4649.0
1749,1259.0
1750,-1.0
1751,-1.0
1752,-1.0
1753,-1.0
1754,-1.0
1755,-1.0
1756,-1.0
1757,-1.0
1758,-1.0
1759,-1.0
1760,7833.0
1761,-1.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,-1.0
1766,-1.0
1767,-1.0
1768,-1.0
1769,-1.0
1770,-1.0
1771,-1.0
1772,-1.0
1773,4340.0
1774,-1.0
1775,-1.0
1776,5793.0
1777,4283.0
1778,-1.0
1779,16027.0
1780,-1.0
1781,1165.0
1782,4278.0
1783,2669.0
1784,-1.0
1785,-1.0
1786,-1.0
1787,-1.0
1788,-1.0
1789,-1.0
1790,-1.0
1791,-1.0
1792,-1.0
1793,-1.0
1794,-1.0
1795,-1.0
1796,-1.0
1797,-1.0
1798,-1.0
1799,-1.0
1800,-1.0
1801,-1.0
1802,-1.0
1803,-1.0
1804,-1.0
1805,9148.0
1806,-1.0
1807,13119.0
1808,11735.0
1809,16852.0
1810,-1.0
1811,20700.0
1812,-1.0
1813,-1.0
1814,3133.0
1815,1797.0
1816,7008.0
1817,6361.0
1818,-1.0
1819,-1.0
1820,-1.0
1821,-1.0
1822,-1.0
1823,-1.0
1824,-1.0
1825,-1.0
1826,-1.0
1827,-1.0
1828,-1.0
1829,-1.0
1830,-1.0
1831,-1.0
1832,-1.0
1833,-1.0
1834,-1.0
1835,-1.0
1836,-1.0
1837,-1.0
1838,-1.0
1839,-1.0
1840,9148.0
1841,-1.0
1842,-1.0
1843,10321.0
1844,-1.0
1845,-1.0
1846,56783.0
1847,56783.0
1848,-1.0
1849,7255.0
1850,1797.0
1851,7008.0
1852,3561.0
1853,7119.0
1854,-1.0
1855,-1.0
1856,-1.0
1857,-1.0
1858,-1.0
1859,-1.0
1860,-1.0
1861,-1.0
1862,-1.0
1863,4837.0
1864,-1.0
1865,-1.0
1866,-1.0
1867,-1.0
1868,-1.0
1869,-1.0
1870,-1.0
1871,-1.0
1872,-1.0
1873,-1.0
1874,-1.0
