Grid_Number,Kol_popu_Utilities
0,-1.0
1,17064.0
2,-1.0
3,-1.0
4,13714.0
5,-1.0
6,11022.0
7,-1.0
8,17002.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,21539.0
19,8915.0
20,6627.0
21,24953.0
22,-1.0
23,16014.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,18131.0
30,29523.0
31,53457.0
32,53457.0
33,5359.0
34,-1.0
35,27716.0
36,17127.0
37,18497.0
38,14278.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,18131.0
44,48937.0
45,-1.0
46,-1.0
47,32487.0
48,32487.0
49,-1.0
50,17127.0
51,10095.0
52,14680.0
53,21276.0
54,-1.0
55,-1.0
56,4018.0
57,14289.0
58,38179.0
59,22199.0
60,31405.0
61,-1.0
62,-1.0
63,23652.0
64,10161.0
65,9096.0
66,12427.0
67,7668.0
68,-1.0
69,-1.0
70,10598.0
71,7628.0
72,13627.0
73,34984.0
74,20071.0
75,21620.0
76,8944.0
77,7134.0
78,8556.0
79,10667.0
80,21145.0
81,26219.0
82,15646.0
83,-1.0
84,-1.0
85,7056.0
86,10564.0
87,19709.0
88,31444.0
89,9127.0
90,30620.0
91,-1.0
92,8309.0
93,7961.0
94,14711.0
95,-1.0
96,17298.0
97,-1.0
98,-1.0
99,6046.0
100,6579.0
101,11450.0
102,5288.0
103,9127.0
104,3802.0
105,19091.0
106,6298.0
107,8408.0
108,8166.0
109,2564.0
110,9500.0
111,8275.0
112,-1.0
113,998.0
114,14898.0
115,9150.0
116,6105.0
117,15947.0
118,2285.0
119,1601.0
120,1695.0
121,1141.0
122,4095.0
123,-1.0
124,14590.0
125,-1.0
126,13360.0
127,16456.0
128,8937.0
129,1777.0
130,7988.0
131,10279.0
132,10001.0
133,8675.0
134,6832.0
135,5105.0
136,19648.0
137,11196.0
138,8200.0
139,-1.0
140,-1.0
141,15615.0
142,14573.0
143,14403.0
144,7216.0
145,17847.0
146,14405.0
147,20692.0
148,4907.0
149,5566.0
150,12987.0
151,14588.0
152,26602.0
153,-1.0
154,-1.0
155,16499.0
156,9622.0
157,11030.0
158,6530.0
159,23991.0
160,41737.0
161,40446.0
162,17776.0
163,12695.0
164,11239.0
165,22983.0
166,20598.0
167,7234.0
168,-1.0
169,14070.0
170,10092.0
171,4775.0
172,13518.0
173,32525.0
174,36135.0
175,17926.0
176,15803.0
177,15458.0
178,16982.0
179,27577.0
180,27577.0
181,14992.0
182,-1.0
183,14531.0
184,-1.0
185,-1.0
186,-1.0
187,32525.0
188,-1.0
189,13069.0
190,-1.0
191,-1.0
192,-1.0
193,1744.0
194,13616.0
195,7929.0
