Grid_Number,Hyd_popu_Government_Facilities
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,19001.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,399.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,172.0
21,172.0
22,751.0
23,2952.0
24,-1.0
25,7946.0
26,4447.0
27,19001.0
28,19001.0
29,11480.0
30,2164.0
31,5236.0
32,12236.0
33,4963.0
34,3047.0
35,3611.0
36,2144.0
37,-1.0
38,-1.0
39,172.0
40,1493.0
41,95.0
42,2454.0
43,3788.0
44,7193.0
45,7193.0
46,12131.0
47,22327.0
48,6091.0
49,2093.0
50,6234.0
51,1446.0
52,5872.0
53,2513.0
54,4234.0
55,2144.0
56,-1.0
57,-1.0
58,4677.0
59,503.0
60,1220.0
61,1019.0
62,12534.0
63,8574.0
64,8598.0
65,4587.0
66,10428.0
67,7220.0
68,1728.0
69,2987.0
70,3706.0
71,2780.0
72,4679.0
73,4037.0
74,3582.0
75,-1.0
76,-1.0
77,15040.0
78,4677.0
79,2586.0
80,2909.0
81,3208.0
82,5567.0
83,3759.0
84,5816.0
85,2707.0
86,2646.0
87,4305.0
88,812.0
89,1311.0
90,2050.0
91,2428.0
92,2141.0
93,1034.0
94,2102.0
95,-1.0
96,8092.0
97,11552.0
98,3500.0
99,733.0
100,3209.0
101,8469.0
102,6751.0
103,5964.0
104,4472.0
105,2195.0
106,4926.0
107,2493.0
108,1214.0
109,2912.0
110,2249.0
111,5040.0
112,6359.0
113,-1.0
114,-1.0
115,3581.0
116,3160.0
117,5681.0
118,12114.0
119,2517.0
120,7855.0
121,7274.0
122,5491.0
123,3748.0
124,1792.0
125,3974.0
126,2556.0
127,3114.0
128,827.0
129,1556.0
130,918.0
131,3901.0
132,-1.0
133,-1.0
134,-1.0
135,14411.0
136,5207.0
137,12114.0
138,7779.0
139,6029.0
140,6432.0
141,3493.0
142,4457.0
143,732.0
144,2106.0
145,1648.0
146,1688.0
147,438.0
148,3045.0
149,2866.0
150,780.0
151,-1.0
152,-1.0
153,5760.0
154,17920.0
155,9647.0
156,7122.0
157,2872.0
158,7337.0
159,1630.0
160,3663.0
161,4479.0
162,3153.0
163,988.0
164,3553.0
165,13.0
166,3929.0
167,229.0
168,7790.0
169,7790.0
170,-1.0
171,-1.0
172,-1.0
173,17343.0
174,18638.0
175,12150.0
176,5287.0
177,4131.0
178,1873.0
179,1228.0
180,1399.0
181,1075.0
182,1469.0
183,39.0
184,470.0
185,5328.0
186,325.0
187,9904.0
188,2519.0
189,4449.0
190,-1.0
191,17343.0
192,17343.0
193,18638.0
194,9855.0
195,11703.0
196,3912.0
197,5505.0
198,2286.0
199,837.0
200,1852.0
201,2371.0
202,1909.0
203,1571.0
204,3010.0
205,1298.0
206,2405.0
207,4687.0
208,-1.0
209,-1.0
210,-1.0
211,17038.0
212,11039.0
213,9600.0
214,6876.0
215,4860.0
216,5175.0
217,2504.0
218,2837.0
219,2365.0
220,986.0
221,4354.0
222,4148.0
223,3080.0
224,1021.0
225,4665.0
226,646.0
227,-1.0
228,-1.0
229,19445.0
230,19445.0
231,3849.0
232,13118.0
233,1988.0
234,3528.0
235,3956.0
236,2168.0
237,4316.0
238,7639.0
239,2403.0
240,4376.0
241,3668.0
242,1359.0
243,3678.0
244,2966.0
245,1895.0
246,-1.0
247,-1.0
248,-1.0
249,1534.0
250,3849.0
251,7233.0
252,3345.0
253,4187.0
254,3975.0
255,1016.0
256,2113.0
257,2684.0
258,1510.0
259,5563.0
260,2853.0
261,6760.0
262,4886.0
263,8436.0
264,9258.0
265,-1.0
266,-1.0
267,2388.0
268,3089.0
269,9681.0
270,6147.0
271,171.0
272,688.0
273,1033.0
274,5415.0
275,2159.0
276,1598.0
277,6233.0
278,6417.0
279,3653.0
280,7069.0
281,8451.0
282,1413.0
283,11328.0
284,-1.0
285,-1.0
286,4251.0
287,1674.0
288,8569.0
289,9387.0
290,5451.0
291,2381.0
292,3399.0
293,552.0
294,5658.0
295,2404.0
296,-1.0
297,7285.0
298,1136.0
299,3854.0
300,4470.0
301,1258.0
302,5548.0
303,-1.0
