Grid_Number,Che_popu_Government_Facilities
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,11162.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,12836.0
21,4761.0
22,5083.0
23,-1.0
24,-1.0
25,-1.0
26,5369.0
27,4565.0
28,3552.0
29,1439.0
30,825.0
31,2385.0
32,2718.0
33,2372.0
34,2848.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,3082.0
40,749.0
41,1841.0
42,4469.0
43,5441.0
44,5441.0
45,9914.0
46,4229.0
47,3301.0
48,6728.0
49,4308.0
50,8329.0
51,3519.0
52,4533.0
53,1389.0
54,2884.0
55,-1.0
56,-1.0
57,2295.0
58,3441.0
59,3122.0
60,2050.0
61,1259.0
62,2593.0
63,2653.0
64,6665.0
65,3393.0
66,4011.0
67,3551.0
68,3648.0
69,2718.0
70,3275.0
71,1665.0
72,9717.0
73,8148.0
74,8148.0
75,-1.0
76,1954.0
77,1939.0
78,14919.0
79,3344.0
80,5018.0
81,1747.0
82,1215.0
83,3452.0
84,7081.0
85,2964.0
86,4555.0
87,2532.0
88,1350.0
89,3745.0
90,961.0
91,2350.0
92,3892.0
93,6147.0
94,-1.0
95,-1.0
96,6776.0
97,7713.0
98,5555.0
99,1797.0
100,2095.0
101,1829.0
102,2156.0
103,1821.0
104,2353.0
105,2463.0
106,2996.0
107,1465.0
108,2105.0
109,3570.0
110,3268.0
111,4866.0
112,3390.0
113,-1.0
114,-1.0
115,6760.0
116,9552.0
117,1585.0
118,2360.0
119,4797.0
120,3533.0
121,691.0
122,2279.0
123,1754.0
124,2952.0
125,1725.0
126,715.0
127,4139.0
128,3300.0
129,4779.0
130,1650.0
131,4570.0
132,-1.0
133,-1.0
134,6550.0
135,8779.0
136,5033.0
137,937.0
138,2743.0
139,1989.0
140,1732.0
141,374.0
142,542.0
143,1526.0
144,3501.0
145,6784.0
146,958.0
147,5193.0
148,5658.0
149,3473.0
150,3856.0
151,-1.0
152,8791.0
153,1068.0
154,1847.0
155,3712.0
156,1976.0
157,5009.0
158,1451.0
159,2862.0
160,4335.0
161,3290.0
162,1261.0
163,3259.0
164,5228.0
165,6710.0
166,5655.0
167,9360.0
168,4098.0
169,8641.0
170,-1.0
171,973.0
172,4603.0
173,7297.0
174,3879.0
175,2916.0
176,398.0
177,2902.0
178,3365.0
179,1503.0
180,1570.0
181,1718.0
182,574.0
183,1612.0
184,1829.0
185,3106.0
186,8368.0
187,3825.0
188,8150.0
189,-1.0
190,-1.0
191,8536.0
192,-1.0
193,3025.0
194,2000.0
195,1401.0
196,2190.0
197,2844.0
198,1824.0
199,3037.0
200,5539.0
201,790.0
202,754.0
203,1381.0
204,11711.0
205,13299.0
206,4281.0
207,7728.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,7543.0
213,-1.0
214,-1.0
215,2134.0
216,2365.0
217,3154.0
218,5121.0
219,1410.0
220,1670.0
221,2784.0
222,3168.0
223,5056.0
224,20821.0
225,10517.0
226,8234.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,-1.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,10200.0
241,1712.0
242,1820.0
243,4671.0
244,2484.0
245,8703.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,8196.0
263,677.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
