Grid_Number,Gur_popu_Government_Facilities
176,-1.0
177,29230.0
178,29230.0
179,29230.0
180,29230.0
181,-1.0
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,25930.0
189,25930.0
190,25930.0
191,-1.0
192,-1.0
193,-1.0
194,-1.0
195,-1.0
196,28473.0
197,28473.0
198,28473.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,29230.0
213,29230.0
214,29230.0
215,29230.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-1.0
222,-1.0
223,25930.0
224,25930.0
225,25930.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,28473.0
232,28473.0
233,28473.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,-1.0
248,29230.0
249,29230.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,25930.0
259,25930.0
260,25930.0
261,21501.0
262,21501.0
263,21501.0
264,-1.0
265,-1.0
266,28473.0
267,28473.0
268,28473.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,6637.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,-1.0
289,-1.0
290,-1.0
291,-1.0
292,10393.0
293,10393.0
294,10393.0
295,-1.0
296,21501.0
297,21501.0
298,21501.0
299,-1.0
300,-1.0
301,28473.0
302,28473.0
303,28473.0
304,-1.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,6637.0
310,6637.0
311,-1.0
312,-1.0
313,-1.0
314,-1.0
315,-1.0
316,-1.0
317,-1.0
318,-1.0
319,-1.0
320,-1.0
321,-1.0
322,-1.0
323,-1.0
324,25582.0
325,25582.0
326,25582.0
327,10393.0
328,10393.0
329,10393.0
330,-1.0
331,21501.0
332,21501.0
333,21501.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-1.0
339,-1.0
340,-1.0
341,-1.0
342,-1.0
343,-1.0
344,6637.0
345,6637.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,25582.0
360,25582.0
361,25582.0
362,10393.0
363,10393.0
364,4574.0
365,7945.0
366,21501.0
367,21501.0
368,-1.0
369,-1.0
370,-1.0
371,-1.0
372,-1.0
373,-1.0
374,-1.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,597.0
380,2589.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,15093.0
390,-1.0
391,-1.0
392,-1.0
393,-1.0
394,25582.0
395,25582.0
396,25582.0
397,-1.0
398,4574.0
399,4574.0
400,7945.0
401,7945.0
402,-1.0
403,-1.0
404,-1.0
405,-1.0
406,-1.0
407,-1.0
408,-1.0
409,9155.0
410,9155.0
411,-1.0
412,-1.0
413,-1.0
414,8313.0
415,597.0
416,2589.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,15093.0
424,15093.0
425,15093.0
426,16477.0
427,16477.0
428,-1.0
429,25582.0
430,25582.0
431,-1.0
432,2325.0
433,1409.0
434,4574.0
435,7945.0
436,7945.0
437,6110.0
438,6110.0
439,-1.0
440,-1.0
441,-1.0
442,-1.0
443,9155.0
444,9155.0
445,9155.0
446,-1.0
447,-1.0
448,-1.0
449,8313.0
450,8313.0
451,597.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,15093.0
459,15093.0
460,15093.0
461,16477.0
462,16477.0
463,16477.0
464,-1.0
465,-1.0
466,4392.0
467,3625.0
468,2325.0
469,2541.0
470,3131.0
471,7945.0
472,6110.0
473,6110.0
474,6110.0
475,-1.0
476,-1.0
477,-1.0
478,9155.0
479,9155.0
480,9155.0
481,9155.0
482,-1.0
483,-1.0
484,8313.0
485,8313.0
486,8313.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
491,-1.0
492,-1.0
493,15093.0
494,15093.0
495,15093.0
496,16477.0
497,16477.0
498,16477.0
499,-1.0
500,-1.0
501,4315.0
502,4392.0
503,3625.0
504,2325.0
505,8496.0
506,8496.0
507,6110.0
508,6110.0
509,6110.0
510,-1.0
511,-1.0
512,-1.0
513,9155.0
514,9155.0
515,9155.0
516,-1.0
517,-1.0
518,-1.0
519,-1.0
520,-1.0
521,-1.0
522,-1.0
523,-1.0
524,-1.0
525,-1.0
526,-1.0
527,7957.0
528,7957.0
529,-1.0
530,16477.0
531,16477.0
532,16477.0
533,-1.0
534,-1.0
535,-1.0
536,4315.0
537,257.0
538,6871.0
539,6871.0
540,8496.0
541,8496.0
542,6110.0
543,6110.0
544,6110.0
545,-1.0
546,-1.0
547,-1.0
548,-1.0
549,-1.0
550,-1.0
551,-1.0
552,-1.0
553,-1.0
554,-1.0
555,-1.0
556,-1.0
557,-1.0
558,-1.0
559,-1.0
560,195.0
561,2614.0
562,7957.0
563,7957.0
564,5679.0
565,-1.0
566,-1.0
567,-1.0
568,-1.0
569,-1.0
570,18360.0
571,4454.0
572,4454.0
573,6871.0
574,6871.0
575,8496.0
576,8496.0
577,-1.0
578,-1.0
579,-1.0
580,-1.0
581,-1.0
582,-1.0
583,-1.0
584,-1.0
585,-1.0
586,23832.0
587,23832.0
588,23832.0
589,-1.0
590,-1.0
591,-1.0
592,-1.0
593,-1.0
594,-1.0
595,-1.0
596,2570.0
597,7957.0
598,5679.0
599,5679.0
600,6466.0
601,-1.0
602,-1.0
603,-1.0
604,18360.0
605,18360.0
606,18360.0
607,18360.0
608,6871.0
609,-1.0
610,-1.0
611,-1.0
612,-1.0
613,-1.0
614,-1.0
615,-1.0
616,-1.0
617,-1.0
618,4585.0
619,4585.0
620,868.0
621,23832.0
622,23832.0
623,23832.0
624,-1.0
625,-1.0
626,-1.0
627,-1.0
628,-1.0
629,-1.0
630,439.0
631,1032.0
632,7957.0
633,5679.0
634,6466.0
635,6466.0
636,10308.0
637,10308.0
638,-1.0
639,1429.0
640,18360.0
641,18360.0
642,18360.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,4308.0
648,5287.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,4585.0
654,4585.0
655,868.0
656,23832.0
657,23832.0
658,23832.0
659,-1.0
660,-1.0
661,-1.0
662,-1.0
663,-1.0
664,-1.0
665,-1.0
666,4028.0
667,4028.0
668,5507.0
669,5507.0
670,10308.0
671,10308.0
672,10308.0
673,1429.0
674,1429.0
675,7198.0
676,7198.0
677,-1.0
678,-1.0
679,-1.0
680,-1.0
681,4308.0
682,4308.0
683,5287.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,2631.0
689,2631.0
690,1511.0
691,1511.0
692,23832.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,-1.0
698,-1.0
699,-1.0
700,-1.0
701,2164.0
702,2164.0
703,5507.0
704,5507.0
705,10308.0
706,10308.0
707,10308.0
708,1429.0
709,3192.0
710,7198.0
711,7198.0
712,-1.0
713,-1.0
714,-1.0
715,2498.0
716,2194.0
717,2194.0
718,5287.0
719,6960.0
720,2822.0
721,2822.0
722,2822.0
723,3972.0
724,3972.0
725,1511.0
726,1511.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,432.0
737,2979.0
738,5507.0
739,5507.0
740,10308.0
741,10308.0
742,10308.0
743,2809.0
744,3192.0
745,7198.0
746,7198.0
747,-1.0
748,-1.0
749,-1.0
750,2498.0
751,2498.0
752,2498.0
753,6960.0
754,6960.0
755,2822.0
756,2822.0
757,2822.0
758,3972.0
759,3972.0
760,1128.0
761,1128.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,2152.0
772,4576.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,2809.0
778,2809.0
779,2256.0
780,8296.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,2431.0
786,2498.0
787,2498.0
788,6960.0
789,6960.0
790,2663.0
791,2663.0
792,2663.0
793,2182.0
794,1128.0
795,1128.0
796,1128.0
797,1128.0
798,-1.0
799,-1.0
800,9487.0
801,9487.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,6505.0
807,6505.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,2809.0
813,2368.0
814,2368.0
815,8296.0
816,8296.0
817,1905.0
818,1905.0
819,2431.0
820,2431.0
821,2431.0
822,12266.0
823,6960.0
824,-1.0
825,2663.0
826,2663.0
827,2663.0
828,2182.0
829,2182.0
830,1128.0
831,3223.0
832,3223.0
833,-1.0
834,-1.0
835,9487.0
836,9487.0
837,-1.0
838,-1.0
839,-1.0
840,-1.0
841,-1.0
842,6505.0
843,-1.0
844,-1.0
845,-1.0
846,8413.0
847,8413.0
848,8413.0
849,8296.0
850,8296.0
851,8296.0
852,1905.0
853,1905.0
854,1905.0
855,2431.0
856,2431.0
857,12266.0
858,12266.0
859,1886.0
860,1886.0
861,1157.0
862,1157.0
863,2182.0
864,2182.0
865,3223.0
866,556.0
867,556.0
868,6971.0
869,6971.0
870,9487.0
871,-1.0
872,-1.0
873,-1.0
874,-1.0
875,-1.0
876,-1.0
877,-1.0
878,-1.0
879,-1.0
880,-1.0
881,8413.0
882,8413.0
883,257.0
884,257.0
885,3545.0
886,3545.0
887,977.0
888,1905.0
889,1905.0
890,1022.0
891,8444.0
892,12266.0
893,4902.0
894,1886.0
895,1886.0
896,1886.0
897,2940.0
898,2940.0
899,2182.0
900,556.0
901,556.0
902,556.0
903,6971.0
904,6971.0
905,6971.0
906,-1.0
907,-1.0
908,-1.0
909,-1.0
910,-1.0
911,-1.0
912,-1.0
913,-1.0
914,-1.0
915,-1.0
916,-1.0
917,8413.0
918,257.0
919,4411.0
920,1401.0
921,1401.0
922,977.0
923,977.0
924,873.0
925,873.0
926,8444.0
927,4256.0
928,1903.0
929,3240.0
930,1886.0
931,2940.0
932,2940.0
933,2940.0
934,1111.0
935,1111.0
936,1111.0
937,-1.0
938,6971.0
939,6971.0
940,6971.0
941,-1.0
942,-1.0
943,-1.0
944,-1.0
945,-1.0
946,-1.0
947,-1.0
948,-1.0
949,-1.0
950,23514.0
951,23514.0
952,23514.0
953,4411.0
954,4411.0
955,4411.0
956,1353.0
957,1935.0
958,1935.0
959,873.0
960,3515.0
961,10390.0
962,1988.0
963,1903.0
964,3240.0
965,3240.0
966,4732.0
967,4732.0
968,3283.0
969,221.0
970,1111.0
971,1111.0
972,5243.0
973,-1.0
974,6971.0
975,-1.0
976,-1.0
977,-1.0
978,-1.0
979,-1.0
980,-1.0
981,-1.0
982,-1.0
983,-1.0
984,-1.0
985,23514.0
986,23514.0
987,23514.0
988,4411.0
989,4411.0
990,4411.0
991,1353.0
992,9958.0
993,1935.0
994,130.0
995,130.0
996,10390.0
997,2878.0
998,2471.0
999,3016.0
1000,3315.0
1001,4732.0
1002,3283.0
1003,4536.0
1004,221.0
1005,221.0
1006,5243.0
1007,5243.0
1008,5243.0
1009,-1.0
1010,-1.0
1011,-1.0
1012,194.0
1013,-1.0
1014,-1.0
1015,-1.0
1016,-1.0
1017,-1.0
1018,-1.0
1019,-1.0
1020,23514.0
1021,23514.0
1022,23514.0
1023,23514.0
1024,4411.0
1025,4411.0
1026,9958.0
1027,9958.0
1028,1964.0
1029,130.0
1030,3419.0
1031,7644.0
1032,3336.0
1033,3336.0
1034,3315.0
1035,3315.0
1036,3315.0
1037,4536.0
1038,4536.0
1039,5068.0
1040,221.0
1041,5243.0
1042,5243.0
1043,5243.0
1044,-1.0
1045,-1.0
1046,7065.0
1047,7065.0
1048,-1.0
1049,-1.0
1050,-1.0
1051,-1.0
1052,17800.0
1053,-1.0
1054,-1.0
1055,-1.0
1056,23514.0
1057,-1.0
1058,-1.0
1059,-1.0
1060,-1.0
1061,9958.0
1062,1964.0
1063,3306.0
1064,5492.0
1065,2502.0
1066,864.0
1067,4418.0
1068,1957.0
1069,1913.0
1070,3315.0
1071,2721.0
1072,4536.0
1073,4536.0
1074,5068.0
1075,2612.0
1076,5243.0
1077,5243.0
1078,-1.0
1079,-1.0
1080,-1.0
1081,-1.0
1082,7065.0
1083,7065.0
1084,-1.0
1085,-1.0
1086,-1.0
1087,17800.0
1088,17800.0
1089,-1.0
1090,-1.0
1091,-1.0
1092,-1.0
1093,-1.0
1094,-1.0
1095,-1.0
1096,-1.0
1097,1964.0
1098,3306.0
1099,5492.0
1100,7486.0
1101,1010.0
1102,2978.0
1103,2053.0
1104,2053.0
1105,1107.0
1106,2721.0
1107,3204.0
1108,3204.0
1109,2612.0
1110,2612.0
1111,6188.0
1112,6188.0
1113,6188.0
1114,-1.0
1115,-1.0
1116,6634.0
1117,6634.0
1118,-1.0
1119,-1.0
1120,-1.0
1121,785.0
1122,17800.0
1123,17800.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,57999.0
1128,57999.0
1129,-1.0
1130,-1.0
1131,-1.0
1132,-1.0
1133,2569.0
1134,5905.0
1135,5905.0
1136,4647.0
1137,11815.0
1138,1539.0
1139,3505.0
1140,3231.0
1141,1134.0
1142,3204.0
1143,3204.0
1144,1422.0
1145,1422.0
1146,6188.0
1147,6188.0
1148,6188.0
1149,-1.0
1150,6634.0
1151,6634.0
1152,6634.0
1153,-1.0
1154,-1.0
1155,-1.0
1156,3094.0
1157,2702.0
1158,-1.0
1159,-1.0
1160,-1.0
1161,57999.0
1162,57999.0
1163,57999.0
1164,-1.0
1165,-1.0
1166,-1.0
1167,19282.0
1168,19282.0
1169,2569.0
1170,4693.0
1171,4647.0
1172,1593.0
1173,4533.0
1174,2551.0
1175,3231.0
1176,1134.0
1177,2160.0
1178,2160.0
1179,1422.0
1180,1422.0
1181,3275.0
1182,6188.0
1183,6188.0
1184,2196.0
1185,6634.0
1186,6634.0
1187,6634.0
1188,-1.0
1189,-1.0
1190,-1.0
1191,3094.0
1192,-1.0
1193,-1.0
1194,-1.0
1195,-1.0
1196,57999.0
1197,57999.0
1198,57999.0
1199,57999.0
1200,-1.0
1201,-1.0
1202,19282.0
1203,19282.0
1204,19282.0
1205,4693.0
1206,1593.0
1207,1593.0
1208,3303.0
1209,5731.0
1210,7332.0
1211,3689.0
1212,1494.0
1213,3109.0
1214,2709.0
1215,2709.0
1216,3275.0
1217,3275.0
1218,2196.0
1219,2196.0
1220,-1.0
1221,6634.0
1222,5037.0
1223,5037.0
1224,-1.0
1225,-1.0
1226,-1.0
1227,-1.0
1228,-1.0
1229,-1.0
1230,-1.0
1231,57999.0
1232,57999.0
1233,57999.0
1234,-1.0
1235,-1.0
1236,-1.0
1237,-1.0
1238,19282.0
1239,19282.0
1240,2374.0
1241,2374.0
1242,1593.0
1243,3410.0
1244,5731.0
1245,7332.0
1246,3689.0
1247,1494.0
1248,732.0
1249,3109.0
1250,2144.0
1251,4914.0
1252,3384.0
1253,2196.0
1254,2196.0
1255,11953.0
1256,5037.0
1257,5037.0
1258,5037.0
1259,-1.0
1260,-1.0
1261,-1.0
1262,-1.0
1263,-1.0
1264,-1.0
1265,-1.0
1266,-1.0
1267,-1.0
1268,-1.0
1269,-1.0
1270,-1.0
1271,-1.0
1272,-1.0
1273,-1.0
1274,-1.0
1275,2374.0
1276,2374.0
1277,2374.0
1278,3410.0
1279,1903.0
1280,1508.0
1281,7000.0
1282,2633.0
1283,4407.0
1284,2220.0
1285,5768.0
1286,4319.0
1287,1933.0
1288,3384.0
1289,11953.0
1290,11953.0
1291,5037.0
1292,5037.0
1293,5037.0
1294,-1.0
1295,-1.0
1296,-1.0
1297,-1.0
1298,-1.0
1299,-1.0
1300,-1.0
1301,-1.0
1302,-1.0
1303,-1.0
1304,-1.0
1305,-1.0
1306,-1.0
1307,-1.0
1308,-1.0
1309,-1.0
1310,-1.0
1311,2374.0
1312,4153.0
1313,3493.0
1314,717.0
1315,717.0
1316,9509.0
1317,11409.0
1318,5780.0
1319,1657.0
1320,5119.0
1321,2900.0
1322,6396.0
1323,5758.0
1324,6364.0
1325,6364.0
1326,6902.0
1327,6902.0
1328,-1.0
1329,-1.0
1330,-1.0
1331,-1.0
1332,-1.0
1333,-1.0
1334,-1.0
1335,-1.0
1336,-1.0
1337,-1.0
1338,-1.0
1339,-1.0
1340,-1.0
1341,36690.0
1342,36690.0
1343,36690.0
1344,-1.0
1345,-1.0
1346,4153.0
1347,4153.0
1348,3493.0
1349,3493.0
1350,717.0
1351,2177.0
1352,3342.0
1353,2460.0
1354,1494.0
1355,4019.0
1356,1934.0
1357,3013.0
1358,1745.0
1359,1649.0
1360,4541.0
1361,6839.0
1362,6902.0
1363,6902.0
1364,-1.0
1365,-1.0
1366,-1.0
1367,-1.0
1368,21183.0
1369,21183.0
1370,-1.0
1371,-1.0
1372,-1.0
1373,-1.0
1374,-1.0
1375,-1.0
1376,36690.0
1377,36690.0
1378,36690.0
1379,0.0
1380,5310.0
1381,4153.0
1382,4153.0
1383,931.0
1384,1639.0
1385,1080.0
1386,1395.0
1387,1395.0
1388,2394.0
1389,2453.0
1390,1678.0
1391,2393.0
1392,4359.0
1393,3175.0
1394,3003.0
1395,1022.0
1396,6839.0
1397,6902.0
1398,6902.0
1399,-1.0
1400,-1.0
1401,-1.0
1402,21183.0
1403,21183.0
1404,21183.0
1405,29125.0
1406,29125.0
1407,-1.0
1408,-1.0
1409,-1.0
1410,-1.0
1411,36690.0
1412,36690.0
1413,0.0
1414,0.0
1415,5310.0
1416,5310.0
1417,931.0
1418,931.0
1419,5607.0
1420,5607.0
1421,1047.0
1422,1776.0
1423,2064.0
1424,2106.0
1425,4942.0
1426,953.0
1427,1428.0
1428,3965.0
1429,5494.0
1430,1550.0
1431,7298.0
1432,4684.0
1433,4684.0
1434,-1.0
1435,-1.0
1436,-1.0
1437,21183.0
1438,21183.0
1439,29125.0
1440,29125.0
1441,29125.0
1442,-1.0
1443,-1.0
1444,-1.0
1445,-1.0
1446,4887.0
1447,4887.0
1448,0.0
1449,0.0
1450,5310.0
1451,5310.0
1452,3705.0
1453,1028.0
1454,697.0
1455,5893.0
1456,1347.0
1457,3468.0
1458,1474.0
1459,859.0
1460,3447.0
1461,1146.0
1462,434.0
1463,736.0
1464,4490.0
1465,4490.0
1466,3704.0
1467,10380.0
1468,7252.0
1469,-1.0
1470,-1.0
1471,-1.0
1472,14547.0
1473,4842.0
1474,5614.0
1475,29125.0
1476,29125.0
1477,-1.0
1478,-1.0
1479,-1.0
1480,21068.0
1481,4887.0
1482,4887.0
1483,0.0
1484,1483.0
1485,2266.0
1486,2089.0
1487,3705.0
1488,6599.0
1489,6142.0
1490,3019.0
1491,9257.0
1492,2608.0
1493,1865.0
1494,2966.0
1495,1311.0
1496,2091.0
1497,1710.0
1498,2059.0
1499,1155.0
1500,3152.0
1501,3044.0
1502,7252.0
1503,6694.0
1504,-1.0
1505,-1.0
1506,-1.0
1507,14547.0
1508,4138.0
1509,1586.0
1510,18358.0
1511,18358.0
1512,-1.0
1513,-1.0
1514,21068.0
1515,21068.0
1516,21068.0
1517,3177.0
1518,3177.0
1519,2685.0
1520,2266.0
1521,2089.0
1522,3705.0
1523,5435.0
1524,6142.0
1525,6103.0
1526,5837.0
1527,5292.0
1528,2805.0
1529,4065.0
1530,3570.0
1531,3181.0
1532,1831.0
1533,2176.0
1534,2891.0
1535,807.0
1536,2444.0
1537,1757.0
1538,-1.0
1539,-1.0
1540,-1.0
1541,-1.0
1542,14547.0
1543,5784.0
1544,1153.0
1545,4576.0
1546,18358.0
1547,-1.0
1548,-1.0
1549,21068.0
1550,21068.0
1551,1391.0
1552,3177.0
1553,1661.0
1554,1661.0
1555,1942.0
1556,1802.0
1557,5435.0
1558,5435.0
1559,5435.0
1560,1898.0
1561,2207.0
1562,4359.0
1563,4490.0
1564,3674.0
1565,2880.0
1566,2559.0
1567,698.0
1568,4138.0
1569,2131.0
1570,1318.0
1571,590.0
1572,7097.0
1573,9023.0
1574,-1.0
1575,-1.0
1576,-1.0
1577,-1.0
1578,9511.0
1579,9511.0
1580,4576.0
1581,18358.0
1582,-1.0
1583,-1.0
1584,-1.0
1585,21068.0
1586,1391.0
1587,1391.0
1588,3416.0
1589,3416.0
1590,2650.0
1591,2650.0
1592,1421.0
1593,5435.0
1594,243.0
1595,4436.0
1596,4132.0
1597,1202.0
1598,5340.0
1599,3373.0
1600,3830.0
1601,2438.0
1602,2739.0
1603,2595.0
1604,2677.0
1605,2809.0
1606,2280.0
1607,5386.0
1608,-1.0
1609,-1.0
1610,-1.0
1611,-1.0
1612,-1.0
1613,-1.0
1614,-1.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,-1.0
1619,-1.0
1620,-1.0
1621,-1.0
1622,19118.0
1623,19118.0
1624,3416.0
1625,8992.0
1626,8992.0
1627,1421.0
1628,6082.0
1629,122.0
1630,4436.0
1631,4825.0
1632,5015.0
1633,1122.0
1634,2876.0
1635,2731.0
1636,1353.0
1637,3471.0
1638,4502.0
1639,601.0
1640,5277.0
1641,5419.0
1642,13757.0
1643,13757.0
1644,-1.0
1645,-1.0
1646,-1.0
1647,-1.0
1648,-1.0
1649,-1.0
1650,-1.0
1651,-1.0
1652,-1.0
1653,-1.0
1654,-1.0
1655,-1.0
1656,-1.0
1657,19118.0
1658,19118.0
1659,19118.0
1660,8992.0
1661,8992.0
1662,1594.0
1663,6082.0
1664,6409.0
1665,4451.0
1666,5782.0
1667,3981.0
1668,672.0
1669,2666.0
1670,2299.0
1671,2943.0
1672,5548.0
1673,3125.0
1674,4086.0
1675,4086.0
1676,9782.0
1677,26263.0
1678,13757.0
1679,-1.0
1680,-1.0
1681,-1.0
1682,-1.0
1683,-1.0
1684,-1.0
1685,-1.0
1686,-1.0
1687,-1.0
1688,-1.0
1689,-1.0
1690,-1.0
1691,-1.0
1692,19118.0
1693,19118.0
1694,19118.0
1695,8992.0
1696,8992.0
1697,6082.0
1698,6082.0
1699,6409.0
1700,9007.0
1701,9007.0
1702,7064.0
1703,2596.0
1704,3090.0
1705,3090.0
1706,13366.0
1707,985.0
1708,4279.0
1709,3347.0
1710,4236.0
1711,9782.0
1712,26263.0
1713,11079.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,-1.0
1719,-1.0
1720,-1.0
1721,-1.0
1722,-1.0
1723,-1.0
1724,-1.0
1725,-1.0
1726,-1.0
1727,-1.0
1728,19118.0
1729,-1.0
1730,-1.0
1731,-1.0
1732,-1.0
1733,-1.0
1734,-1.0
1735,9007.0
1736,9007.0
1737,7064.0
1738,2655.0
1739,3090.0
1740,3090.0
1741,13366.0
1742,1577.0
1743,12295.0
1744,8062.0
1745,4236.0
1746,4236.0
1747,11079.0
1748,11079.0
1749,467.0
1750,-1.0
1751,-1.0
1752,-1.0
1753,-1.0
1754,-1.0
1755,-1.0
1756,-1.0
1757,-1.0
1758,-1.0
1759,-1.0
1760,-1.0
1761,-1.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,-1.0
1766,-1.0
1767,-1.0
1768,-1.0
1769,-1.0
1770,-1.0
1771,10011.0
1772,10011.0
1773,2655.0
1774,6275.0
1775,3090.0
1776,9481.0
1777,12773.0
1778,12232.0
1779,8062.0
1780,5376.0
1781,4236.0
1782,10055.0
1783,10055.0
1784,1222.0
1785,-1.0
1786,-1.0
1787,-1.0
1788,-1.0
1789,-1.0
1790,5794.0
1791,5794.0
1792,11391.0
1793,11391.0
1794,-1.0
1795,-1.0
1796,-1.0
1797,-1.0
1798,-1.0
1799,-1.0
1800,-1.0
1801,-1.0
1802,1891.0
1803,1891.0
1804,-1.0
1805,-1.0
1806,10011.0
1807,10011.0
1808,27253.0
1809,27253.0
1810,26687.0
1811,26687.0
1812,12773.0
1813,12232.0
1814,6891.0
1815,5376.0
1816,9265.0
1817,9233.0
1818,2517.0
1819,-1.0
1820,-1.0
1821,-1.0
1822,-1.0
1823,-1.0
1824,-1.0
1825,5794.0
1826,5794.0
1827,11391.0
1828,11391.0
1829,-1.0
1830,-1.0
1831,-1.0
1832,-1.0
1833,-1.0
1834,-1.0
1835,-1.0
1836,1891.0
1837,1891.0
1838,1891.0
1839,-1.0
1840,-1.0
1841,10011.0
1842,25634.0
1843,25634.0
1844,27253.0
1845,26687.0
1846,26687.0
1847,7631.0
1848,15907.0
1849,13504.0
1850,13504.0
1851,9265.0
1852,1536.0
1853,2580.0
1854,-1.0
1855,-1.0
1856,-1.0
1857,-1.0
1858,-1.0
1859,-1.0
1860,5794.0
1861,5794.0
1862,11391.0
1863,11391.0
1864,-1.0
1865,-1.0
1866,-1.0
1867,-1.0
1868,-1.0
1869,-1.0
1870,-1.0
1871,1891.0
1872,1500.0
1873,1500.0
1874,1500.0
1875,-1.0
1876,-1.0
