Grid_Number,Del_popu_Government_Facilities
177,-1.0
178,3901.0
179,4528.0
180,9436.0
181,9436.0
182,16672.0
183,16672.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,9759.0
191,9792.0
192,9792.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,2182.0
200,2182.0
201,3223.0
202,556.0
203,556.0
204,6971.0
205,6971.0
206,9755.0
207,15341.0
208,15341.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,20892.0
215,20892.0
216,20892.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-1.0
222,-1.0
223,-1.0
224,-1.0
225,-1.0
226,-1.0
227,3901.0
228,4528.0
229,9436.0
230,9436.0
231,16672.0
232,16672.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,9792.0
241,9792.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,2940.0
248,2940.0
249,2182.0
250,556.0
251,556.0
252,556.0
253,6971.0
254,6971.0
255,6971.0
256,15341.0
257,15341.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,20892.0
265,20892.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,8235.0
272,8235.0
273,5701.0
274,-1.0
275,2167.0
276,7900.0
277,8372.0
278,8372.0
279,9436.0
280,16672.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,-1.0
289,9792.0
290,9792.0
291,-1.0
292,-1.0
293,-1.0
294,-1.0
295,2940.0
296,2940.0
297,2940.0
298,1256.0
299,1256.0
300,1256.0
301,-1.0
302,6971.0
303,6971.0
304,6971.0
305,-1.0
306,-1.0
307,11865.0
308,-1.0
309,-1.0
310,11426.0
311,11426.0
312,11426.0
313,19997.0
314,-1.0
315,-1.0
316,-1.0
317,-1.0
318,-1.0
319,-1.0
320,8235.0
321,5701.0
322,5701.0
323,5805.0
324,7900.0
325,7900.0
326,8372.0
327,8372.0
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,9792.0
339,9792.0
340,9792.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,3232.0
347,1256.0
348,1256.0
349,1256.0
350,5266.0
351,-1.0
352,6971.0
353,-1.0
354,-1.0
355,11865.0
356,11865.0
357,11865.0
358,11426.0
359,11426.0
360,11426.0
361,11426.0
362,19997.0
363,19997.0
364,35504.0
365,35504.0
366,-1.0
367,-1.0
368,8235.0
369,8235.0
370,5701.0
371,1806.0
372,5805.0
373,3789.0
374,6407.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,3807.0
390,-1.0
391,-1.0
392,-1.0
393,-1.0
394,3232.0
395,5318.0
396,5016.0
397,1256.0
398,5266.0
399,5266.0
400,5266.0
401,-1.0
402,-1.0
403,-1.0
404,194.0
405,386.0
406,386.0
407,-1.0
408,11426.0
409,11426.0
410,19997.0
411,19997.0
412,19997.0
413,35504.0
414,35504.0
415,35504.0
416,-1.0
417,7036.0
418,7036.0
419,1404.0
420,4215.0
421,4032.0
422,6407.0
423,6407.0
424,-1.0
425,-1.0
426,-1.0
427,35299.0
428,-1.0
429,-1.0
430,-1.0
431,-1.0
432,-1.0
433,-1.0
434,-1.0
435,-1.0
436,-1.0
437,-1.0
438,1622.0
439,896.0
440,-1.0
441,-1.0
442,-1.0
443,5318.0
444,5318.0
445,5016.0
446,5016.0
447,5266.0
448,5266.0
449,5266.0
450,-1.0
451,-1.0
452,6976.0
453,6976.0
454,325.0
455,325.0
456,1830.0
457,11426.0
458,11426.0
459,19997.0
460,19997.0
461,19997.0
462,35504.0
463,35504.0
464,35504.0
465,-1.0
466,15753.0
467,15753.0
468,4779.0
469,3255.0
470,4155.0
471,4970.0
472,4970.0
473,-1.0
474,-1.0
475,35299.0
476,35299.0
477,35299.0
478,-1.0
479,-1.0
480,15533.0
481,15533.0
482,15533.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
491,-1.0
492,5318.0
493,5318.0
494,5016.0
495,2613.0
496,5266.0
497,5266.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,6976.0
503,6976.0
504,1830.0
505,1830.0
506,1830.0
507,-1.0
508,-1.0
509,19997.0
510,-1.0
511,35504.0
512,35504.0
513,35504.0
514,2527.0
515,303.0
516,7101.0
517,9299.0
518,919.0
519,514.0
520,2411.0
521,9796.0
522,-1.0
523,-1.0
524,35299.0
525,35299.0
526,35299.0
527,-1.0
528,-1.0
529,15533.0
530,15533.0
531,15533.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,3045.0
541,3045.0
542,2613.0
543,2613.0
544,2613.0
545,6469.0
546,6469.0
547,6469.0
548,-1.0
549,-1.0
550,5198.0
551,5198.0
552,1830.0
553,1830.0
554,1830.0
555,3330.0
556,3330.0
557,-1.0
558,-1.0
559,-1.0
560,-1.0
561,-1.0
562,13298.0
563,13298.0
564,2527.0
565,7101.0
566,9299.0
567,1505.0
568,5254.0
569,9796.0
570,9796.0
571,34681.0
572,-1.0
573,35299.0
574,35299.0
575,35299.0
576,-1.0
577,-1.0
578,15533.0
579,15533.0
580,15533.0
581,9911.0
582,9911.0
583,4559.0
584,-1.0
585,-1.0
586,-1.0
587,-1.0
588,-1.0
589,3045.0
590,4624.0
591,4624.0
592,1422.0
593,1422.0
594,6469.0
595,6469.0
596,6469.0
597,-1.0
598,5198.0
599,5198.0
600,5198.0
601,1951.0
602,1951.0
603,3330.0
604,3330.0
605,3330.0
606,-1.0
607,11133.0
608,26984.0
609,13033.0
610,4169.0
611,2938.0
612,13298.0
613,7437.0
614,848.0
615,17102.0
616,10334.0
617,4130.0
618,5682.0
619,34681.0
620,34681.0
621,34681.0
622,-1.0
623,-1.0
624,-1.0
625,-1.0
626,12338.0
627,8452.0
628,4823.0
629,4823.0
630,9911.0
631,9911.0
632,4559.0
633,4559.0
634,-1.0
635,-1.0
636,-1.0
637,-1.0
638,3045.0
639,4624.0
640,4624.0
641,1422.0
642,1422.0
643,3396.0
644,6469.0
645,6469.0
646,-1.0
647,3009.0
648,5198.0
649,5198.0
650,1951.0
651,1951.0
652,4548.0
653,4548.0
654,1960.0
655,10882.0
656,12870.0
657,11133.0
658,13033.0
659,4169.0
660,8913.0
661,4732.0
662,7437.0
663,848.0
664,3143.0
665,5604.0
666,6112.0
667,7824.0
668,34681.0
669,34681.0
670,34681.0
671,-1.0
672,-1.0
673,-1.0
674,12338.0
675,12338.0
676,8452.0
677,4823.0
678,4823.0
679,9911.0
680,9911.0
681,7173.0
682,7173.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,3689.0
688,1494.0
689,3172.0
690,2709.0
691,2709.0
692,3396.0
693,3396.0
694,3914.0
695,-1.0
696,3009.0
697,3009.0
698,3009.0
699,3789.0
700,35.0
701,35.0
702,1960.0
703,1960.0
704,10882.0
705,6604.0
706,11133.0
707,6651.0
708,6565.0
709,8339.0
710,4732.0
711,9589.0
712,9589.0
713,9589.0
714,20761.0
715,11002.0
716,14191.0
717,14191.0
718,34681.0
719,-1.0
720,-1.0
721,-1.0
722,-1.0
723,12338.0
724,12338.0
725,12338.0
726,4823.0
727,27372.0
728,27372.0
729,27372.0
730,7173.0
731,7173.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,3689.0
737,1494.0
738,732.0
739,3172.0
740,2154.0
741,4914.0
742,3914.0
743,3914.0
744,10523.0
745,10523.0
746,3009.0
747,3789.0
748,3789.0
749,5623.0
750,5623.0
751,1960.0
752,1960.0
753,10882.0
754,10882.0
755,4678.0
756,8283.0
757,11417.0
758,20461.0
759,-1.0
760,9589.0
761,9589.0
762,9589.0
763,36156.0
764,14191.0
765,14191.0
766,14191.0
767,4544.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,12338.0
774,12338.0
775,20512.0
776,27372.0
777,27372.0
778,27372.0
779,27372.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,7000.0
786,2633.0
787,4407.0
788,2038.0
789,5768.0
790,4319.0
791,1919.0
792,3914.0
793,10523.0
794,10523.0
795,3789.0
796,3789.0
797,3789.0
798,5623.0
799,9384.0
800,10573.0
801,396.0
802,3969.0
803,19439.0
