Grid_Number,n_Government_Facilities
0,3.559658231342561
1,3.3569483227194623
2,3.446493158988197
3,2.892572540285782
4,2.246807706841602
5,2.049920998433068
6,2.125143656208106
7,2.4942242130537338
8,3.0793401289526057
9,3.449504396136432
10,3.9995049492017243
11,4.231369787828733
12,4.337721414305724
13,4.475853225813829
14,4.498991169289826
15,4.6331569496853025
16,5.000120782437983
17,5.055349730516296
18,4.80592219067348
19,4.807294164826892
20,5.332280387327322
21,4.533868931503862
22,3.5153141132754375
23,2.5752206570116454
24,1.8381925470363603
25,1.6121428404563836
26,1.8088277693215806
27,1.4436706622550073
28,1.5780163850512392
29,2.3170992090820643
30,3.2742364118636185
31,3.345570068024643
32,2.2764425728333264
33,1.2823434896334969
34,0.7612366215931187
35,1.4097588068013385
36,2.422441108324805
37,3.4959811618347385
38,2.549583044243022
39,2.310387570920782
40,2.4387411472229243
41,2.27523336122083
42,1.3631019114849896
43,1.0061158564216413
44,1.083702245404933
45,1.6969177261735517
46,2.051578483387909
47,2.525597145003798
48,3.025820334085282
49,3.180866274882088
50,3.3191507909870364
51,3.4458368783433615
52,3.4478446391707878
53,3.621237015163418
54,4.012441395846814
55,4.016394047652057
56,3.7638517067674546
57,3.7656749533023195
58,4.331712899202506
59,4.091228494672937
60,3.165930214119141
61,2.0917841878661236
62,1.059664150670715
63,0.5857281553881046
64,1.1269108320811811
65,0.43337869392837597
66,0.814847253532769
67,1.8822592600194328
68,2.397987646635281
69,2.6678714063944846
70,2.1666081285939978
71,1.0753764552307363
72,0.30255676921928276
73,1.224544412136853
74,2.3195559438281226
75,3.425497464071999
76,1.5946837715841193
77,1.2727596221223287
78,1.4932203429946775
79,2.0491206838389306
80,0.9382505477271695
81,0.18599716639238467
82,0.21108632541601197
83,0.7790760576813868
84,1.0710240068908863
85,1.6472221945217715
86,1.9974100255087106
87,2.131180927764099
88,2.2698261083016504
89,2.4041239828344514
90,2.3966987060271507
91,2.640124911440649
92,3.0566738338693007
93,2.9810941572529175
94,2.7285456449916743
95,2.731134432144169
96,3.361890194511432
97,3.0458448142836154
98,2.630419714078296
99,1.9187988734929957
100,0.8122211155349246
101,0.33238457563150414
102,1.2142866529725567
103,0.6263934376479999
104,1.021757964743786
105,1.7098733513171724
106,1.3484200455349995
107,1.7848441574266365
108,2.43394785876789
109,1.6950170864925493
110,1.3446503209229956
111,1.7933065419260892
112,2.663958431877209
113,3.6674600210401147
114,0.8939209317369093
115,0.3393833184150602
116,0.8515051001449415
117,1.5700384829186762
118,1.1935443000819366
119,0.7709472703233312
120,0.04578477168054651
121,0.1643906959950717
122,0.1529314127498544
123,0.9303320911630609
124,1.0171779672511638
125,1.0846916446209152
126,1.2238597354075185
127,1.3769408813495707
128,1.3455547763250184
129,1.660580662270064
130,2.012610360585642
131,1.962492009462708
132,1.712318055583448
133,1.7165195910919615
134,2.316187666877067
135,2.0060168887306533
136,1.9485908068386437
137,1.1187722325703362
138,0.6643943601013722
139,0.15543274539116975
