Grid_Number,n_Connectivity
0,4.077449178688262
1,3.835133639133401
2,3.906887546468318
3,3.780715288056213
4,3.062933790629657
5,2.533362089622477
6,2.375674473277035
7,2.709722708578391
8,3.3932620500564825
9,4.224153485562247
10,4.34243620978704
11,4.283140715421237
12,4.506295431064368
13,4.974029011562589
14,5.625663754225227
15,5.479719825188425
16,5.525918626471526
17,5.7893942433462335
18,5.988114356561087
19,5.644885244702731
20,5.508612078451729
21,5.196091900282637
22,4.443545413950573
23,3.8682919674598826
24,3.557405196939007
25,3.5804249489302697
26,3.931490300720053
27,4.535046994729813
28,5.253469520550864
29,4.971516019274758
30,4.830689313763935
31,3.737653096970645
32,2.66033915702636
33,1.630221002643575
34,0.8430296165925699
35,1.1120430213715744
36,2.058019134567647
37,3.1156232386237055
38,3.056162889515856
39,2.7877860193925152
40,2.8857730100950745
41,3.1583682015464856
42,2.250178568606254
43,1.595643328099328
44,1.3312458025002498
45,1.863119816337011
46,2.7550437155175773
47,3.397938390114594
48,3.3138620643166674
49,3.2358456699714373
50,3.5259856423772367
51,4.106983617260845
52,4.647274019210232
53,4.430955601132171
54,4.488033112014935
55,4.808781221436371
56,5.038543142246758
57,4.625447559884142
58,4.458191920632675
59,4.3529873438539575
60,3.6664194247778483
61,2.9430595891276607
62,2.520601180257455
63,2.5530615136859605
64,3.025835106776969
65,3.7770484921605885
66,4.2866741748087405
67,3.9361358023841215
68,3.8523283183381576
69,3.6652495514514625
70,2.557624022648811
71,1.4566019871149432
72,0.4180913743744927
73,0.8371223247562218
74,1.9234369021892186
75,3.0284166799871115
76,2.02647256726142
77,1.7459915583129264
78,1.8986057732916166
79,2.575613232871289
80,1.7196870951277121
81,0.7199486392256672
82,0.33551918752630977
83,1.3459839102110787
84,1.8718874510700088
85,2.6892702708445864
86,2.305949376457788
87,2.1924320628891207
88,2.601725662099771
89,3.3472461424457736
90,3.6622693887565148
91,3.3836255494041123
92,3.4581047921228008
93,3.865348336177374
94,4.138211510581916
95,3.623967651284078
96,3.407983373720966
97,3.3512787961945936
98,2.8478028588681403
99,2.1369947825819375
100,1.5029388538634405
101,1.55684488542141
102,2.2497931232035504
103,3.189394064443051
104,3.370173572958863
105,2.911371771525611
106,2.8045249580220695
107,2.844931775659771
108,2.5942840216194702
109,1.946876731859311
110,1.3576960110227745
111,1.5392239000792196
112,2.3168824479757943
113,3.2923457667506075
114,1.0423653988868877
115,0.7337962526857669
116,1.0463385520993687
117,1.8077625740841268
118,1.7503210437357815
119,0.7903288724999716
120,0.24056483340048812
121,0.38210815620477434
122,1.194626088743115
123,1.9101454544571463
124,1.3652525373569042
125,1.1633906729574373
126,1.8209622571775574
127,2.6961634728144586
128,2.7270730863964814
129,2.339656459233799
130,2.4462050832302817
131,2.994446276777847
132,3.229636636361833
133,2.6608003829153635
134,2.358269170574584
135,2.3048222976168833
136,2.0603089135562764
137,1.3972919938169883
138,0.6093573780827426
139,0.7323739086882579
140,1.7722473959351719
141,2.8606832915431992
142,2.5585983114055493
143,1.9143492796953323
144,1.7594910847868848
145,1.9362804200169668
146,1.544706722012465
147,1.869737452967097
148,2.390881241719002
149,2.4983892730672377
150,3.0398103618212855
151,3.8355973902618405
152,0.5290891169846881
153,0.4915914505158846
154,0.4748519278222355
155,0.7559274016968834
156,1.157419322839129
157,0.8304367247655856
158,0.06783931827028705
159,0.19064399323405043
160,0.558660768911036
161,0.9081060171594949
162,0.7881736384802472
163,0.33295004678793466
164,1.1696122968287317
165,2.161384523466861
166,1.9160604001946655
167,1.3071262466067781
168,1.4895411715388553
169,2.2807343310031074
170,2.238939025940616
171,1.7985873816662101
172,1.310238007737008
173,1.2654121009751178
174,1.510957420731116
175,0.5430607232500295
176,0.6895141000281035
177,0.6059616865554285
178,1.4495314490446871
179,2.0889356666023673
180,1.9851049641223197
181,1.0291296267033068
182,0.7292320617051613
183,1.1324690983857917
184,0.4969237268097122
185,1.1648444642235454
186,1.6164232501247446
187,2.1238445962074493
188,2.9801795088830736
189,3.6464495244881214
190,1.2987763761241133
191,0.8176469707571418
192,0.4308042710673114
193,0.2959530842874774
194,0.20256910222647811
195,0.08101703565149047
196,0.046033959787992886
197,0.329440773481806
198,0.28805699032175436
199,0.21714264582771262
200,0.4551629544190133
201,0.38496954838561737
202,0.9902458743354298
203,1.5935739930009352
204,1.4544059281893582
205,0.3907453170268136
206,0.8142048531957999
207,1.4101817395590068
208,1.329985119453637
209,1.0246361263127943
210,0.283233395245386
211,0.31345728101769343
212,0.5131101083268877
213,0.6691234015307875
214,0.03198929363229271
215,0.5362088943383487
216,1.0459049538495369
217,1.0417873119634578
218,1.4201143400234688
219,0.8119171584968822
220,0.41625931307452413
221,0.9612494278765893
222,0.36414442573131256
223,0.6775416200262633
224,0.6155882959969601
225,1.5089654573338254
226,2.272951511006373
227,2.747127313234793
228,2.300190432606627
229,1.5280575366200007
230,0.7491863956213604
231,0.23504867050332198
232,0.3959566516625208
233,0.5714459393668395
234,0.4940846438489385
235,0.3777959146857372
236,0.15144520772386896
237,0.08690694899647883
238,0.22572760309015633
239,0.297651427294007
240,0.11067441774532015
241,0.7985542907390916
242,1.0661509447467041
243,0.6247778759304287
244,0.0979806388057153
245,0.6159457123802479
246,0.28832339502405363
247,0.09790251908696998
248,0.5009031065307685
249,0.730779067356157
250,0.570495193126587
251,1.1257705814375791
252,0.93702574862858
253,0.2694510456257432
254,0.2453532286187269
255,0.11544421761743273
256,0.966409631797063
257,0.14590499011324554
258,0.3144380539036388
259,1.086727744508039
260,0.6930603557878385
261,0.17193436990748745
262,0.5912570189751337
263,1.016998716966706
264,1.2728206473688388
265,2.0001721240488815
266,3.0283164223949686
267,2.2755406082571774
268,1.7004461039055168
269,0.844772177201504
270,0.32906180028263454
271,1.0347969026429926
272,0.7889321655920982
273,0.27606132992477195
274,0.14072790247444703
275,0.2773918691193322
276,0.5823875452488786
277,0.5392111433350668
278,0.1047787913723896
279,0.34938475636308963
280,0.5166493756640727
281,0.5101682246974387
282,0.07142979996322465
283,0.45586683571800507
284,0.48580884245051137
285,0.10103707398693378
286,0.47451022193060494
287,0.33094420133763175
288,0.45725077825262533
289,0.5975765554744935
290,0.31690024171977077
291,0.29148588813110826
292,0.3259690263938486
293,0.33576216504107165
294,0.03846099199899462
295,0.3468479389195885
296,0.4449552801851715
297,0.5204979169143487
298,0.5965842568465242
299,0.4150430705121881
300,0.45854647566604756
301,0.4062648358703114
302,0.527101825072007
303,1.6305012414882059
