Grid_Number,Grid_Population
0,142
1,0
2,63
3,185
4,4800
5,783
6,38
7,450
8,1195
9,998
10,746
11,435
12,644
13,747
14,745
15,1239
16,2555
17,1867
18,2404
19,1335
20,576
21,377
22,563
23,1310
24,849
25,727
26,1437
27,1054
28,757
29,608
30,721
31,629
32,744
33,1500
34,1290
35,594
36,462
37,452
38,1216
39,284
40,19
41,480
42,1005
43,439
44,179
45,0
46,132
47,277
48,414
49,808
50,0
51,384
52,0
53,579
54,0
55,0
56,0
57,7
58,622
59,709
60,1125
61,1006
62,755
63,588
64,1088
65,1462
66,151
67,2817
68,1680
69,1747
70,433
71,521
72,700
73,541
74,594
75,893
76,1089
77,794
78,619
79,626
80,622
81,1042
82,2068
83,1214
84,619
85,467
86,496
87,603
88,438
89,152
90,0
91,687
92,3863
93,1257
94,0
95,0
96,0
97,74
98,537
99,835
100,0
101,17
102,174
103,117
104,240
105,0
106,294
107,288
108,843
109,810
110,971
111,734
112,756
113,156
114,85
115,0
116,2217
117,2382
118,946
119,647
120,756
121,727
122,588
123,773
124,872
125,702
126,1025
127,978
128,496
129,732
130,2000
131,2747
132,842
133,588
134,495
135,745
136,969
137,491
138,173
139,0
140,63
141,2110
142,3120
143,272
144,0
145,0
146,30
147,476
148,416
149,350
150,390
151,152
152,322
153,1446
154,0
155,1339
156,463
157,1659
158,1520
159,785
160,1298
161,1272
162,8688
163,501
164,7733
165,1813
166,9029
167,3311
168,2544
169,1177
170,815
171,712
172,760
173,1279
174,1014
175,864
176,776
177,751
178,1372
179,1878
180,1409
181,1445
182,1248
183,670
184,1484
185,1865
186,576
187,437
188,107
189,29
190,16
191,1462
192,230
193,619
194,217
195,126
196,329
197,0
198,47
199,923
200,395
201,338
202,1032
203,0
204,0
205,758
206,2955
207,2648
208,1275
209,363
210,0
211,735
212,211
213,480
214,0
215,1057
216,2218
217,7177
218,4325
219,1689
220,1256
221,922
222,2089
223,1713
224,931
225,1019
226,1948
227,3037
228,2209
229,817
230,1764
231,1443
232,521
233,733
234,699
235,564
236,1510
237,877
238,366
239,0
240,924
241,2707
242,1069
243,610
244,0
245,73
246,15
247,859
248,231
249,0
250,0
251,190
252,21
253,222
254,1198
255,1213
256,2455
257,861
258,86
259,896
260,0
261,0
262,1014
263,279
264,64
265,0
266,1157
267,2662
268,2358
269,1706
270,1026
271,1001
272,1331
273,1689
274,1746
275,2823
276,2914
277,1016
278,971
279,980
280,617
281,362
282,468
283,434
284,398
285,607
286,638
287,121
288,0
289,16
290,1096
291,82
292,143
293,0
294,55
295,292
296,1097
297,763
298,0
299,0
300,300
301,0
302,355
303,119
304,491
305,80
306,424
307,0
308,35
309,424
310,0
311,130
312,0
313,61
314,221
315,3989
316,244
317,1519
318,761
319,940
320,1044
321,1621
322,2114
323,1352
324,2510
325,2426
326,1189
327,2011
328,809
329,459
330,340
331,414
332,368
333,401
334,546
335,795
336,385
337,0
338,219
339,47
340,0
341,200
342,146
343,582
344,1499
345,878
346,164
347,0
348,493
349,519
350,433
351,400
352,43
353,792
354,0
355,4152
356,2078
357,846
358,2133
359,1923
360,2830
361,2096
362,250
363,0
364,0
365,2317
366,4180
367,809
368,867
369,1871
370,1984
371,2457
372,2835
373,3468
374,1939
375,1039
376,1139
377,645
378,403
379,547
380,858
381,403
382,367
383,733
384,526
385,151
386,0
387,918
388,327
389,440
390,4112
391,1569
392,876
393,2124
394,2183
395,697
396,146
397,0
398,162
399,1638
400,180
401,0
402,19
403,0
404,0
405,747
406,0
407,1038
408,1676
409,1202
410,686
411,7797
412,1008
413,0
414,3028
415,4332
416,1399
417,1486
418,1922
419,2127
420,3410
421,5230
422,3028
423,1139
424,930
425,744
426,662
427,449
428,853
429,1226
430,540
431,228
432,158
433,43
434,0
435,0
436,1302
437,446
438,110
439,5366
440,2182
441,595
442,421
443,878
444,1938
445,729
446,61
447,216
448,1504
449,182
450,0
451,0
452,0
453,255
454,5066
455,0
456,0
457,0
458,175
459,1215
460,1315
461,103
462,125
463,2716
464,1530
465,2113
466,5134
467,9222
468,3243
469,4079
470,5511
471,3455
472,1527
473,965
474,774
475,775
476,997
477,1219
478,826
479,710
480,162
481,9
482,0
483,0
484,0
485,243
486,126
487,280
488,1590
489,953
490,2070
491,2062
492,2520
493,2504
494,3910
495,0
496,146
497,510
498,37
499,0
500,0
501,0
502,0
503,1849
504,0
505,288
506,442
507,260
508,2614
509,3341
510,331
511,641
512,6638
513,6038
514,826
515,445
516,5248
517,7412
518,4831
519,5958
520,4308
521,1872
522,1236
523,1030
524,914
525,1762
526,1844
527,1052
528,1807
529,459
530,2549
531,87
532,169
533,0
534,0
535,1218
536,1420
537,43
538,71
539,1384
540,65
541,1917
542,96
543,411
544,0
545,0
546,240
547,0
548,0
549,56
550,0
551,0
552,40
553,38
554,615
555,178
556,1609
557,371
558,142
559,7217
560,535
561,2753
562,1304
563,654
564,2014
565,2688
566,8540
567,7827
568,4201
569,2835
570,4297
571,4227
572,1887
573,925
574,2564
575,5670
576,2529
577,3482
578,585
579,3096
580,316
581,338
582,185
583,478
584,750
585,141
586,9
587,1663
588,2943
589,317
590,3059
591,876
592,111
593,564
594,50
595,3346
596,0
597,74
598,37
599,0
600,3704
601,0
602,1141
603,0
604,877
605,833
606,783
607,0
608,4619
609,1541
610,970
611,6637
612,8298
613,7294
614,1077
615,9912
616,25784
617,17527
618,3880
619,3240
620,4716
621,4452
622,2922
623,32
624,2058
625,1116
626,1515
627,1766
628,2872
629,0
630,972
631,2488
632,1237
633,482
634,0
635,0
636,1370
637,1200
638,267
639,223
640,168
641,789
642,1358
643,299
644,1400
645,1324
646,502
647,349
648,485
649,950
650,0
651,908
652,1560
653,2373
654,0
655,1053
656,4884
657,15864
658,14185
659,9173
660,9297
661,3003
662,40
663,158
664,3834
665,19619
666,8888
667,1689
668,4011
669,1863
670,560
671,2338
672,5132
673,102
674,4076
675,359
676,1563
677,3382
678,1166
679,1233
680,1764
681,3439
682,33
683,0
684,0
685,0
686,210
687,357
688,0
689,402
690,1836
691,1130
692,1161
693,882
694,387
695,292
696,67
697,1224
698,149
699,35
700,0
701,34
702,43
703,42
704,3419
705,11607
706,26828
707,27058
708,6108
709,535
