Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[28.4, 76.83]",0,0,596.9182,0.4203,Delhi,Rejected,0.0,0.0,0.0,0.0
1,"[28.41, 76.83]",0,0,1067.4806,0.315,Delhi,Rejected,0.0,0.0,0.0,0.0
2,"[28.42, 76.83]",0,0,1377.0759,0.5772,Delhi,Rejected,0.0,0.0,0.0,0.0
3,"[28.43, 76.83]",2,0,1721.6416,0.5718,Delhi,Rejected,0.0,0.0,0.0,0.0
4,"[28.44, 76.83]",13,5,5203.1961,0.4174,Delhi,Rejected,0.0,0.0,0.0,0.0
5,"[28.45, 76.83]",12,1,4888.6686,0.1651,Delhi,Rejected,0.0,0.0,0.0,0.0
6,"[28.46, 76.83]",3,0,3650.816,0.2772,Delhi,Rejected,0.0,0.0,0.0,0.0
7,"[28.47, 76.83]",3,0,2729.4281,0.2826,Delhi,Rejected,0.0,0.0,0.0,0.0
8,"[28.48, 76.83]",5,0,3623.3296,0.4984,Delhi,Rejected,0.0,0.0,0.0,0.0
9,"[28.49, 76.83]",0,0,1160.5658,0.5289,Delhi,Rejected,0.0,0.0,0.0,0.0
10,"[28.5, 76.83]",1,0,2355.2225,0.2062,Delhi,Rejected,0.0,0.0,0.0,0.0
11,"[28.51, 76.83]",0,0,2364.356,0.2289,Delhi,Rejected,0.0,0.0,0.0,0.0
12,"[28.52, 76.83]",0,0,1861.2545,0.2649,Delhi,Rejected,0.0,0.0,0.0,0.0
13,"[28.53, 76.83]",0,0,1029.5923,0.2611,Delhi,Rejected,0.0,0.0,0.0,0.0
14,"[28.54, 76.83]",7,0,3702.4216,0.2363,Delhi,Rejected,0.0,0.0,0.0,0.0
15,"[28.55, 76.83]",4,1,3045.1234,0.4493,Delhi,Rejected,0.0,0.0,0.084003,0.0
16,"[28.56, 76.83]",5,1,5493.6216,0.2149,Delhi,Rejected,0.0,0.0,0.386202,0.0
17,"[28.57, 76.83]",0,0,980.2933,0.3517,Delhi,Rural,0.0,0.0,0.572681,0.0
18,"[28.58, 76.83]",0,0,847.6939,0.4302,Delhi,Rural,0.0,0.0,0.640614,0.0
19,"[28.59, 76.83]",27,5,7560.3697,0.6005,Delhi,Rejected,0.0,0.0,0.059898,0.0
20,"[28.6, 76.83]",9,3,5683.7185,0.5644,Delhi,Rejected,0.0,0.0,0.0,0.0
21,"[28.61, 76.83]",1,1,1744.5406,0.2991,Delhi,Rejected,0.0,0.0,0.0,0.0
22,"[28.62, 76.83]",1,0,1970.7575,0.3493,Delhi,Rejected,0.0,0.0,0.0,0.0
23,"[28.63, 76.83]",0,0,2430.3691,0.1779,Delhi,Rejected,0.0,0.0,0.0,0.0
