Grid_Number,Connectivity
1346,1.0
1347,1.0
1348,0.0
1349,2.0
1350,2.0
1351,4.0
1352,1.0
1353,0.0
1354,1.0
1355,2.0
1356,0.0
1357,0.0
1358,0.0
1359,15.0
1360,11.0
1361,7.0
1362,7.0
1363,9.0
1364,1.0
1365,2.0
1366,0.0
1367,1.0
1368,0.0
1369,2.0
1370,8.0
1371,5.0
1372,44.0
1373,46.0
1374,52.0
1375,60.0
1376,73.0
1377,75.0
1378,81.0
1379,69.0
1380,61.0
1381,61.0
1382,71.0
1383,69.0
1384,62.0
1385,1.0
1386,0.0
1387,0.0
1388,1.0
1389,1.0
1390,44.0
1391,40.0
1392,53.0
1393,0.0
1394,3.0
1395,1.0
1396,0.0
1397,1.0
1398,2.0
1399,2.0
1400,85.0
1401,1.0
1402,1.0
1403,0.0
1404,59.0
1405,0.0
1406,1.0
1407,25.0
1408,17.0
1409,0.0
1410,12.0
1411,7.0
1412,7.0
1413,1.0
1414,10.0
1415,0.0
1416,0.0
1417,0.0
1418,2.0
1419,5.0
1420,6.0
1421,40.0
1422,44.0
1423,49.0
1424,51.0
1425,52.0
1426,54.0
1427,49.0
1428,0.0
1429,47.0
1430,54.0
1431,70.0
1432,67.0
1433,53.0
1434,43.0
1435,3.0
1436,1.0
1437,3.0
1438,44.0
1439,37.0
1440,35.0
1441,49.0
1442,52.0
1443,1.0
1444,2.0
1445,2.0
1446,0.0
1447,1.0
1448,2.0
1449,2.0
1450,2.0
1451,4.0
1452,1.0
1453,1.0
1454,1.0
1455,1.0
1456,26.0
1457,18.0
1458,1.0
1459,8.0
1460,8.0
1461,1.0
1462,0.0
1463,9.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,5.0
1469,3.0
1470,34.0
1471,39.0
1472,41.0
1473,43.0
1474,41.0
1475,37.0
1476,32.0
1477,1.0
1478,42.0
1479,56.0
1480,62.0
1481,56.0
1482,50.0
1483,47.0
1484,0.0
1485,50.0
1486,51.0
1487,46.0
1488,38.0
1489,33.0
1490,47.0
1491,51.0
1492,1.0
1493,2.0
1494,2.0
1495,2.0
1496,1.0
1497,1.0
1498,2.0
1499,3.0
1500,5.0
1501,0.0
1502,2.0
1503,1.0
1504,3.0
1505,1.0
1506,1.0
1507,2.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,5.0
1513,9.0
1514,9.0
1515,9.0
1516,6.0
1517,3.0
1518,3.0
1519,20.0
1520,27.0
1521,31.0
1522,25.0
1523,23.0
1524,25.0
1525,20.0
1526,21.0
1527,23.0
1528,2.0
1529,45.0
1530,51.0
1531,54.0
1532,56.0
1533,50.0
1534,50.0
1535,52.0
1536,44.0
1537,33.0
1538,36.0
1539,33.0
1540,49.0
1541,2.0
1542,2.0
1543,3.0
1544,1.0
1545,3.0
1546,1.0
1547,2.0
1548,3.0
1549,1.0
1550,1.0
1551,0.0
1552,2.0
1553,0.0
1554,1.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,7.0
1562,6.0
1563,5.0
1564,4.0
1565,3.0
1566,3.0
1567,2.0
1568,6.0
1569,10.0
1570,12.0
1571,9.0
1572,10.0
1573,15.0
1574,12.0
1575,14.0
1576,21.0
1577,38.0
1578,44.0
1579,53.0
1580,58.0
1581,62.0
1582,62.0
1583,66.0
1584,56.0
1585,50.0
1586,35.0
1587,39.0
1588,43.0
1589,49.0
1590,60.0
1591,68.0
1592,75.0
1593,5.0
1594,2.0
1595,1.0
1596,1.0
1597,1.0
1598,1.0
1599,1.0
1600,1.0
1601,2.0
1602,1.0
1603,0.0
1604,1.0
1605,16.0
1606,11.0
1607,8.0
1608,8.0
1609,6.0
1610,5.0
1611,5.0
1612,4.0
1613,4.0
1614,4.0
1615,2.0
1616,1.0
1617,5.0
1618,5.0
1619,5.0
1620,6.0
1621,7.0
1622,14.0
1623,16.0
1624,17.0
1625,21.0
1626,37.0
1627,46.0
1628,51.0
1629,60.0
1630,70.0
1631,72.0
1632,71.0
1633,67.0
1634,55.0
1635,39.0
1636,36.0
1637,49.0
1638,61.0
1639,73.0
1640,79.0
1641,1.0
1642,2.0
1643,2.0
1644,1.0
1645,1.0
1646,1.0
1647,4.0
1648,2.0
1649,3.0
1650,2.0
1651,0.0
1652,0.0
1653,0.0
1654,14.0
1655,7.0
1656,8.0
1657,7.0
1658,6.0
1659,5.0
1660,5.0
1661,5.0
1662,4.0
1663,3.0
1664,1.0
1665,1.0
1666,4.0
1667,5.0
1668,5.0
1669,6.0
1670,6.0
1671,7.0
1672,15.0
1673,17.0
1674,26.0
1675,37.0
1676,47.0
1677,0.0
1678,0.0
1679,71.0
1680,75.0
1681,1.0
1682,71.0
1683,56.0
1684,54.0
1685,51.0
1686,57.0
1687,68.0
1688,83.0
1689,94.0
1690,5.0
1691,1.0
1692,2.0
1693,1.0
1694,1.0
1695,1.0
1696,4.0
1697,2.0
1698,1.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,7.0
1705,8.0
1706,7.0
1707,5.0
1708,5.0
1709,4.0
1710,5.0
1711,3.0
1712,2.0
1713,1.0
1714,1.0
1715,4.0
1716,4.0
1717,5.0
1718,6.0
1719,6.0
1720,0.0
1721,0.0
1722,13.0
1723,24.0
1724,1.0
1725,0.0
1726,63.0
1727,71.0
1728,75.0
1729,78.0
1730,84.0
1731,2.0
1732,63.0
1733,65.0
1734,58.0
1735,63.0
1736,87.0
1737,89.0
1738,97.0
1739,2.0
1740,4.0
1741,5.0
1742,2.0
1743,1.0
1744,1.0
1745,0.0
1746,2.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,9.0
1753,7.0
1754,6.0
1755,6.0
1756,5.0
1757,4.0
1758,4.0
1759,1.0
1760,2.0
1761,2.0
1762,2.0
1763,1.0
1764,3.0
1765,2.0
1766,4.0
1767,6.0
1768,6.0
1769,6.0
1770,6.0
1771,13.0
1772,26.0
1773,0.0
1774,0.0
1775,62.0
1776,66.0
1777,74.0
1778,83.0
1779,85.0
1780,1.0
1781,77.0
1782,70.0
1783,62.0
1784,77.0
1785,93.0
1786,102.0
1787,104.0
1788,1.0
1789,4.0
1790,3.0
1791,1.0
1792,0.0
1793,0.0
1794,2.0
1795,46.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,7.0
1802,5.0
1803,5.0
1804,5.0
1805,1.0
1806,4.0
1807,1.0
1808,0.0
1809,2.0
1810,2.0
1811,3.0
1812,1.0
1813,3.0
1814,3.0
1815,3.0
1816,5.0
1817,5.0
1818,5.0
1819,6.0
1820,10.0
1821,25.0
1822,33.0
1823,49.0
1824,2.0
1825,58.0
1826,3.0
1827,79.0
1828,6.0
1829,1.0
1830,89.0
1831,87.0
1832,84.0
1833,91.0
1834,105.0
1835,111.0
1836,111.0
1837,2.0
1838,5.0
1839,5.0
1840,2.0
1841,1.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,1.0
1848,0.0
1849,7.0
1850,7.0
1851,5.0
1852,5.0
1853,4.0
1854,1.0
1855,1.0
1856,1.0
1857,1.0
1858,2.0
1859,3.0
1860,2.0
1861,2.0
1862,2.0
1863,4.0
1864,3.0
1865,4.0
1866,5.0
1867,5.0
1868,6.0
1869,9.0
1870,24.0
1871,32.0
1872,46.0
1873,59.0
1874,3.0
1875,4.0
1876,88.0
1877,99.0
1878,2.0
1879,3.0
1880,93.0
1881,88.0
1882,94.0
1883,101.0
1884,105.0
1885,2.0
1886,3.0
1887,3.0
1888,2.0
1889,91.0
1890,83.0
1891,69.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,16.0
1897,11.0
1898,6.0
1899,7.0
1900,5.0
1901,4.0
1902,4.0
1903,5.0
1904,1.0
1905,1.0
1906,3.0
1907,3.0
1908,3.0
1909,2.0
1910,2.0
1911,4.0
1912,4.0
1913,3.0
1914,3.0
1915,4.0
1916,4.0
1917,5.0
1918,0.0
1919,17.0
1920,0.0
1921,0.0
1922,57.0
1923,68.0
1924,1.0
1925,94.0
1926,105.0
1927,2.0
1928,2.0
1929,92.0
1930,87.0
1931,94.0
1932,93.0
1933,103.0
1934,4.0
1935,7.0
1936,4.0
1937,6.0
1938,91.0
1939,77.0
1940,0.0
1941,1.0
1942,1.0
1943,0.0
1944,21.0
1945,17.0
1946,11.0
1947,8.0
1948,6.0
1949,5.0
1950,3.0
1951,5.0
1952,5.0
1953,4.0
1954,3.0
1955,3.0
1956,3.0
1957,2.0
1958,2.0
1959,2.0
1960,7.0
1961,7.0
1962,7.0
1963,4.0
1964,0.0
1965,2.0
1966,5.0
1967,9.0
1968,15.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,81.0
1974,2.0
1975,3.0
1976,3.0
1977,2.0
1978,2.0
1979,86.0
1980,97.0
1981,89.0
1982,99.0
1983,1.0
1984,2.0
1985,2.0
1986,3.0
1987,83.0
1988,72.0
1989,53.0
1990,44.0
1991,28.0
1992,24.0
1993,18.0
1994,16.0
1995,11.0
1996,7.0
1997,7.0
1998,5.0
1999,4.0
2000,4.0
2001,4.0
2002,3.0
2003,3.0
2004,3.0
2005,2.0
2006,2.0
2007,2.0
2008,1.0
2009,12.0
2010,15.0
2011,12.0
2012,11.0
2013,5.0
2014,3.0
2015,4.0
2016,8.0
2017,16.0
2018,0.0
2019,0.0
2020,49.0
2021,62.0
2022,1.0
2023,1.0
2024,3.0
2025,1.0
2026,4.0
2027,5.0
2028,89.0
2029,93.0
2030,4.0
2031,3.0
2032,83.0
2033,1.0
2034,93.0
2035,91.0
2036,78.0
2037,58.0
2038,50.0
2039,41.0
2040,0.0
2041,0.0
2042,17.0
2043,14.0
2044,10.0
2045,8.0
2046,6.0
2047,5.0
2048,4.0
2049,3.0
2050,3.0
2051,3.0
2052,3.0
2053,3.0
2054,3.0
2055,3.0
2056,2.0
2057,2.0
2058,17.0
2059,20.0
2060,20.0
2061,18.0
2062,12.0
2063,7.0
2064,5.0
2065,9.0
2066,20.0
2067,29.0
2068,0.0
2069,50.0
2070,1.0
2071,1.0
2072,4.0
2073,3.0
2074,1.0
2075,2.0
2076,5.0
2077,0.0
2078,89.0
2079,91.0
2080,89.0
2081,83.0
2082,82.0
2083,89.0
2084,0.0
2085,0.0
2086,0.0
2087,1.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,13.0
2093,8.0
2094,7.0
2095,6.0
2096,6.0
2097,6.0
2098,4.0
2099,5.0
2100,5.0
2101,4.0
2102,4.0
2103,4.0
2104,0.0
2105,2.0
2106,2.0
2107,25.0
2108,27.0
2109,29.0
2110,28.0
2111,24.0
2112,20.0
2113,14.0
2114,19.0
2115,27.0
2116,31.0
2117,38.0
2118,0.0
2119,1.0
2120,1.0
2121,70.0
2122,2.0
2123,2.0
2124,1.0
2125,1.0
2126,76.0
2127,79.0
2128,77.0
2129,75.0
2130,77.0
2131,83.0
2132,0.0
2133,0.0
2134,1.0
2135,1.0
2136,1.0
2137,1.0
2138,0.0
