Grid_Number,Connectivity
0,2.0
1,2.0
2,2.0
3,0.0
4,2.0
5,2.0
6,2.0
7,2.0
8,0.0
9,1.0
10,1.0
11,2.0
12,2.0
13,3.0
14,4.0
15,4.0
16,5.0
17,0.0
18,6.0
19,4.0
20,4.0
21,3.0
22,2.0
23,1.0
24,1.0
25,0.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,1.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,1.0
47,1.0
48,1.0
49,2.0
50,2.0
51,0.0
52,0.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,0.0
59,2.0
60,2.0
61,2.0
62,5.0
63,4.0
64,4.0
65,6.0
66,6.0
67,6.0
68,6.0
69,4.0
70,3.0
71,3.0
72,2.0
73,1.0
74,2.0
75,1.0
76,1.0
77,1.0
78,0.0
79,3.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,1.0
88,1.0
89,1.0
90,1.0
91,0.0
92,0.0
93,0.0
94,1.0
95,1.0
96,1.0
97,1.0
98,2.0
99,2.0
100,0.0
101,0.0
102,0.0
103,2.0
104,2.0
105,2.0
106,2.0
107,3.0
108,2.0
109,2.0
110,4.0
111,5.0
112,5.0
113,6.0
114,6.0
115,6.0
116,6.0
117,6.0
118,6.0
119,4.0
120,3.0
121,3.0
122,2.0
123,2.0
124,2.0
125,1.0
126,1.0
127,3.0
128,3.0
129,3.0
130,0.0
131,0.0
132,0.0
133,1.0
134,0.0
135,0.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,0.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,2.0
148,2.0
149,0.0
150,0.0
151,0.0
152,2.0
153,2.0
154,2.0
155,3.0
156,1.0
157,1.0
158,3.0
159,5.0
160,6.0
161,6.0
162,8.0
163,6.0
164,6.0
165,6.0
166,6.0
167,6.0
168,4.0
169,3.0
170,3.0
171,1.0
172,2.0
173,2.0
174,2.0
175,2.0
176,3.0
177,3.0
178,3.0
179,3.0
180,0.0
181,1.0
182,1.0
183,1.0
184,0.0
185,1.0
186,1.0
187,1.0
188,1.0
189,0.0
190,1.0
191,1.0
192,1.0
193,0.0
194,0.0
195,0.0
196,2.0
197,2.0
198,0.0
199,0.0
200,2.0
201,2.0
202,2.0
203,3.0
204,1.0
205,1.0
206,2.0
207,3.0
208,5.0
209,6.0
210,6.0
211,7.0
212,7.0
213,7.0
214,7.0
215,7.0
216,7.0
217,4.0
218,3.0
219,3.0
220,1.0
221,1.0
222,2.0
223,3.0
224,3.0
225,3.0
226,3.0
227,3.0
228,4.0
229,4.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,0.0
238,1.0
239,1.0
240,1.0
241,0.0
242,0.0
243,0.0
244,0.0
245,2.0
246,2.0
247,0.0
248,0.0
249,2.0
250,2.0
251,3.0
252,1.0
253,1.0
254,1.0
255,3.0
256,3.0
257,5.0
258,6.0
259,5.0
260,7.0
261,8.0
262,8.0
263,7.0
264,7.0
265,7.0
266,6.0
267,4.0
268,3.0
269,1.0
270,1.0
271,3.0
272,3.0
273,4.0
274,3.0
275,4.0
276,2.0
277,4.0
278,4.0
279,4.0
280,1.0
281,1.0
282,1.0
283,2.0
284,1.0
285,0.0
286,1.0
287,1.0
288,1.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,2.0
295,2.0
296,0.0
297,2.0
298,2.0
299,3.0
300,3.0
301,1.0
302,1.0
303,2.0
304,3.0
305,3.0
306,5.0
307,5.0
308,5.0
309,7.0
310,8.0
311,8.0
312,7.0
313,7.0
314,6.0
315,5.0
316,5.0
317,3.0
318,1.0
319,3.0
320,3.0
321,4.0
322,3.0
323,3.0
324,4.0
325,6.0
326,2.0
327,4.0
328,4.0
329,5.0
330,1.0
331,2.0
332,2.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1.0
344,2.0
345,2.0
346,2.0
347,3.0
348,3.0
349,3.0
350,3.0
351,1.0
352,1.0
353,3.0
354,3.0
355,2.0
356,4.0
357,5.0
358,6.0
359,8.0
360,8.0
361,7.0
362,8.0
363,6.0
364,5.0
365,5.0
366,2.0
367,3.0
368,3.0
369,4.0
370,1.0
371,1.0
372,4.0
373,6.0
374,5.0
375,6.0
376,3.0
377,5.0
378,5.0
379,4.0
380,3.0
381,1.0
382,2.0
383,2.0
384,1.0
385,1.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,2.0
393,2.0
394,2.0
395,2.0
396,4.0
397,3.0
398,3.0
399,3.0
400,2.0
401,2.0
402,3.0
403,2.0
404,2.0
405,2.0
406,4.0
407,6.0
408,7.0
409,8.0
410,9.0
411,7.0
412,7.0
413,7.0
414,5.0
415,4.0
416,3.0
417,4.0
418,2.0
419,2.0
420,5.0
421,6.0
422,6.0
423,6.0
424,7.0
425,7.0
426,5.0
427,4.0
428,4.0
429,4.0
430,3.0
431,2.0
432,2.0
433,2.0
434,1.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,2.0
442,2.0
443,2.0
444,3.0
445,3.0
446,3.0
447,2.0
448,2.0
449,3.0
450,4.0
451,1.0
452,2.0
453,2.0
454,2.0
455,2.0
456,4.0
457,5.0
458,5.0
459,7.0
460,7.0
461,8.0
462,7.0
463,5.0
464,5.0
465,4.0
466,5.0
467,2.0
468,5.0
469,7.0
470,7.0
471,7.0
472,8.0
473,9.0
474,8.0
475,3.0
476,5.0
477,5.0
478,4.0
479,4.0
480,3.0
481,2.0
482,2.0
483,2.0
484,1.0
485,0.0
486,0.0
487,0.0
488,2.0
489,0.0
490,2.0
491,2.0
492,3.0
493,3.0
494,3.0
495,4.0
496,4.0
497,4.0
498,3.0
499,3.0
500,4.0
501,3.0
502,2.0
503,2.0
504,4.0
505,5.0
506,6.0
507,7.0
508,7.0
509,11.0
510,11.0
511,11.0
512,10.0
513,9.0
514,5.0
515,5.0
516,7.0
517,8.0
518,7.0
519,8.0
520,6.0
521,7.0
522,9.0
523,8.0
524,8.0
525,2.0
526,5.0
527,5.0
528,4.0
529,4.0
530,2.0
531,2.0
532,2.0
533,2.0
534,0.0
535,0.0
536,2.0
537,2.0
538,2.0
539,3.0
540,5.0
541,5.0
542,3.0
543,2.0
544,4.0
545,4.0
546,4.0
547,4.0
548,3.0
549,4.0
550,4.0
551,3.0
552,3.0
553,4.0
554,6.0
555,6.0
556,7.0
557,12.0
558,13.0
559,12.0
560,12.0
561,12.0
562,10.0
563,9.0
564,7.0
565,10.0
566,10.0
567,8.0
568,9.0
569,7.0
570,7.0
571,7.0
572,9.0
573,7.0
574,6.0
575,6.0
576,5.0
577,4.0
578,2.0
579,1.0
580,2.0
581,2.0
582,2.0
583,1.0
584,2.0
585,2.0
586,2.0
587,2.0
588,6.0
589,6.0
590,7.0
591,6.0
592,4.0
593,6.0
594,5.0
595,5.0
596,6.0
597,5.0
598,4.0
599,3.0
600,4.0
601,4.0
602,5.0
603,5.0
604,7.0
605,12.0
606,13.0
607,13.0
608,15.0
609,14.0
610,16.0
611,15.0
612,16.0
613,12.0
614,13.0
615,1.0
616,0.0
617,0.0
618,11.0
619,6.0
620,12.0
621,10.0
622,7.0
623,6.0
624,6.0
625,5.0
626,4.0
627,3.0
628,3.0
629,2.0
630,3.0
631,2.0
632,2.0
633,3.0
634,2.0
635,2.0
636,2.0
637,6.0
638,7.0
639,8.0
640,9.0
641,12.0
642,10.0
643,8.0
644,6.0
645,5.0
646,5.0
647,4.0
648,4.0
649,4.0
650,4.0
651,4.0
652,4.0
653,8.0
654,14.0
655,16.0
656,16.0
657,1.0
658,0.0
659,17.0
660,19.0
661,19.0
662,18.0
663,14.0
664,16.0
665,1.0
666,1.0
667,15.0
668,16.0
669,9.0
670,10.0
671,9.0
672,7.0
673,6.0
674,5.0
675,5.0
676,4.0
677,3.0
678,3.0
679,2.0
680,3.0
681,2.0
682,2.0
683,3.0
684,2.0
685,2.0
686,8.0
687,10.0
688,9.0
689,12.0
690,13.0
691,16.0
692,16.0
693,12.0
694,10.0
695,7.0
696,7.0
697,6.0
698,6.0
699,5.0
700,6.0
701,7.0
702,8.0
703,14.0
704,17.0
705,0.0
706,0.0
707,1.0
708,22.0
709,24.0
710,26.0
711,23.0
712,18.0
713,16.0
714,1.0
715,18.0
716,18.0
717,16.0
718,13.0
719,9.0
720,9.0
721,9.0
722,7.0
723,5.0
724,5.0
725,4.0
726,4.0
727,4.0
728,3.0
729,3.0
730,2.0
731,3.0
732,3.0
733,3.0
734,2.0
735,9.0
736,10.0
737,12.0
738,18.0
739,20.0
740,22.0
741,20.0
742,19.0
743,13.0
744,12.0
745,9.0
746,11.0
747,10.0
748,7.0
749,7.0
750,8.0
751,10.0
752,19.0
753,23.0
754,0.0
755,1.0
756,1.0
757,37.0
758,33.0
759,28.0
760,24.0
761,18.0
762,20.0
763,1.0
764,21.0
765,21.0
766,18.0
767,12.0
768,10.0
769,10.0
770,9.0
771,8.0
772,6.0
773,6.0
774,5.0
775,5.0
776,5.0
777,1.0
778,4.0
779,2.0
780,3.0
781,3.0
782,3.0
783,3.0
784,16.0
785,19.0
786,22.0
787,27.0
788,29.0
789,25.0
790,25.0
791,22.0
792,20.0
793,16.0
794,17.0
795,13.0
796,13.0
797,9.0
798,8.0
799,8.0
800,12.0
801,26.0
802,33.0
803,0.0
804,1.0
805,1.0
806,1.0
807,40.0
808,36.0
809,26.0
810,21.0
811,22.0
812,2.0
813,0.0
814,19.0
815,18.0
816,14.0
817,10.0
818,10.0
819,7.0
820,8.0
821,7.0
822,6.0
823,5.0
824,5.0
825,1.0
826,1.0
827,2.0
828,5.0
829,3.0
830,3.0
831,3.0
832,3.0
833,19.0
834,24.0
835,29.0
836,35.0
837,36.0
838,33.0
839,32.0
840,29.0
841,23.0
842,23.0
843,19.0
844,13.0
845,13.0
846,12.0
847,13.0
848,13.0
849,26.0
850,36.0
851,50.0
852,1.0
853,49.0
854,0.0
855,1.0
856,2.0
857,38.0
858,32.0
859,22.0
860,22.0
861,1.0
862,19.0
863,18.0
864,18.0
865,14.0
866,0.0
867,9.0
868,8.0
869,10.0
870,6.0
871,7.0
872,7.0
873,7.0
874,7.0
875,3.0
876,3.0
877,6.0
878,4.0
879,3.0
880,3.0
881,1.0
882,25.0
883,26.0
884,32.0
885,39.0
886,39.0
887,40.0
888,35.0
889,31.0
890,32.0
891,24.0
892,23.0
893,18.0
894,13.0
895,16.0
896,26.0
897,31.0
898,41.0
899,58.0
900,68.0
901,62.0
902,61.0
903,1.0
904,2.0
905,0.0
906,44.0
907,34.0
908,0.0
909,27.0
910,1.0
911,22.0
912,19.0
913,16.0
914,13.0
915,8.0
916,8.0
917,6.0
918,9.0
919,7.0
920,7.0
921,7.0
922,8.0
923,3.0
924,8.0
925,9.0
926,7.0
927,4.0
928,4.0
929,3.0
930,1.0
931,25.0
932,28.0
933,37.0
934,39.0
935,48.0
936,51.0
937,55.0
938,53.0
939,44.0
940,33.0
941,26.0
942,20.0
943,22.0
944,27.0
945,30.0
946,43.0
947,60.0
948,0.0
949,77.0
950,74.0
951,5.0
952,3.0
953,1.0
954,0.0
955,0.0
956,40.0
957,30.0
958,1.0
959,0.0
960,1.0
961,1.0
962,13.0
963,12.0
964,0.0
965,7.0
966,6.0
967,8.0
968,9.0
969,7.0
970,8.0
971,4.0
972,8.0
973,8.0
974,9.0
975,8.0
976,4.0
977,4.0
978,4.0
979,3.0
980,27.0
981,35.0
982,45.0
983,51.0
984,60.0
985,62.0
986,63.0
987,64.0
988,57.0
989,46.0
990,36.0
991,21.0
992,31.0
993,30.0
994,37.0
995,50.0
996,61.0
997,73.0
998,80.0
999,1.0
1000,3.0
1001,3.0
1002,1.0
1003,1.0
1004,1.0
1005,0.0
1006,33.0
1007,1.0
1008,2.0
1009,1.0
1010,0.0
1011,0.0
1012,13.0
1013,1.0
1014,7.0
1015,7.0
1016,8.0
1017,9.0
1018,8.0
1019,0.0
1020,0.0
1021,8.0
1022,8.0
1023,7.0
1024,8.0
1025,5.0
1026,4.0
1027,4.0
1028,4.0
1029,33.0
1030,42.0
1031,60.0
1032,66.0
1033,67.0
1034,69.0
1035,69.0
1036,79.0
1037,75.0
1038,68.0
1039,54.0
1040,39.0
1041,35.0
1042,38.0
1043,1.0
1044,0.0
1045,1.0
1046,76.0
1047,83.0
1048,4.0
1049,4.0
1050,1.0
1051,2.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,1.0
1057,1.0
1058,1.0
1059,0.0
1060,17.0
1061,0.0
1062,9.0
1063,7.0
1064,6.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,8.0
1071,9.0
1072,12.0
1073,5.0
1074,7.0
1075,7.0
1076,7.0
1077,4.0
1078,45.0
1079,55.0
1080,72.0
1081,84.0
1082,91.0
1083,82.0
1084,88.0
1085,89.0
1086,80.0
1087,74.0
1088,55.0
1089,47.0
1090,47.0
1091,0.0
1092,1.0
1093,1.0
1094,8.0
1095,71.0
1096,2.0
1097,91.0
1098,1.0
1099,1.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,1.0
1105,1.0
1106,0.0
1107,1.0
1108,1.0
1109,0.0
1110,0.0
1111,0.0
1112,5.0
1113,5.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,8.0
1120,13.0
1121,13.0
1122,10.0
1123,7.0
1124,7.0
1125,4.0
1126,4.0
1127,55.0
1128,68.0
1129,74.0
1130,88.0
1131,100.0
1132,105.0
1133,91.0
1134,86.0
1135,80.0
1136,71.0
1137,55.0
1138,56.0
1139,52.0
1140,55.0
1141,1.0
1142,2.0
1143,1.0
1144,4.0
1145,1.0
1146,1.0
1147,1.0
1148,1.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,1.0
1155,1.0
1156,1.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,8.0
1162,5.0
1163,8.0
1164,8.0
1165,0.0
1166,0.0
1167,0.0
1168,14.0
1169,6.0
1170,12.0
1171,11.0
1172,8.0
1173,6.0
1174,6.0
1175,3.0
1176,55.0
1177,67.0
1178,77.0
1179,90.0
1180,103.0
1181,109.0
1182,94.0
1183,74.0
1184,73.0
1185,65.0
1186,59.0
1187,60.0
1188,0.0
1189,57.0
1190,1.0
1191,0.0
1192,0.0
1193,5.0
1194,1.0
1195,0.0
1196,0.0
1197,0.0
1198,1.0
1199,2.0
1200,0.0
1201,68.0
1202,1.0
1203,1.0
1204,1.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,14.0
1211,0.0
1212,6.0
1213,0.0
1214,9.0
1215,0.0
1216,0.0
1217,8.0
1218,7.0
1219,4.0
1220,1.0
1221,5.0
1222,8.0
1223,6.0
1224,6.0
1225,52.0
1226,64.0
1227,74.0
1228,84.0
1229,90.0
1230,97.0
1231,99.0
1232,74.0
1233,72.0
1234,67.0
1235,58.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,3.0
1241,1.0
1242,1.0
1243,1.0
1244,1.0
1245,1.0
1246,0.0
1247,3.0
1248,1.0
1249,1.0
1250,1.0
1251,0.0
1252,1.0
1253,1.0
1254,1.0
1255,1.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,9.0
1261,7.0
1262,7.0
1263,9.0
1264,8.0
1265,6.0
1266,12.0
1267,1.0
1268,1.0
1269,0.0
1270,3.0
1271,8.0
1272,8.0
1273,6.0
1274,45.0
1275,54.0
1276,65.0
1277,70.0
1278,89.0
1279,96.0
1280,95.0
1281,78.0
1282,69.0
1283,70.0
1284,57.0
1285,62.0
1286,59.0
1287,2.0
1288,0.0
1289,1.0
1290,1.0
1291,69.0
1292,1.0
1293,1.0
1294,1.0
1295,1.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,1.0
1301,5.0
1302,1.0
1303,1.0
1304,1.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,12.0
1311,7.0
1312,7.0
1313,9.0
1314,7.0
1315,1.0
1316,0.0
1317,1.0
1318,1.0
1319,1.0
1320,5.0
1321,8.0
1322,8.0
1323,43.0
1324,51.0
1325,57.0
1326,63.0
1327,83.0
1328,94.0
1329,82.0
1330,74.0
1331,68.0
1332,64.0
1333,65.0
1334,69.0
1335,63.0
1336,51.0
1337,1.0
1338,1.0
1339,1.0
1340,2.0
1341,53.0
1342,1.0
1343,1.0
1344,1.0
1345,1.0
