Grid_Number,Utilities
0,8.0
1,8.0
2,7.0
3,7.0
4,6.0
5,6.0
6,5.0
7,5.0
8,5.0
9,4.0
10,5.0
11,5.0
12,6.0
13,7.0
14,6.0
15,4.0
16,3.0
17,3.0
18,3.0
19,1.0
20,1.0
21,1.0
22,2.0
23,0.0
24,2.0
25,2.0
26,2.0
27,2.0
28,3.0
29,8.0
30,9.0
31,7.0
32,8.0
33,8.0
34,9.0
35,7.0
36,6.0
37,6.0
38,3.0
39,5.0
40,6.0
41,6.0
42,5.0
43,4.0
44,5.0
45,5.0
46,6.0
47,5.0
48,2.0
49,9.0
50,9.0
51,9.0
52,7.0
53,7.0
54,7.0
55,5.0
56,7.0
57,5.0
58,5.0
59,5.0
60,6.0
61,7.0
62,7.0
63,7.0
64,5.0
65,3.0
66,3.0
67,3.0
68,3.0
69,1.0
70,2.0
71,2.0
72,3.0
73,2.0
74,2.0
75,3.0
76,5.0
77,7.0
78,12.0
79,12.0
80,13.0
81,12.0
82,8.0
83,10.0
84,9.0
85,6.0
86,6.0
87,4.0
88,5.0
89,6.0
90,6.0
91,5.0
92,5.0
93,5.0
94,6.0
95,6.0
96,5.0
97,4.0
98,9.0
99,9.0
100,9.0
101,9.0
102,7.0
103,7.0
104,5.0
105,10.0
106,8.0
107,6.0
108,8.0
109,9.0
110,10.0
111,9.0
112,8.0
113,7.0
114,4.0
115,3.0
116,3.0
117,3.0
118,2.0
119,2.0
120,3.0
121,3.0
122,3.0
123,3.0
124,4.0
125,7.0
126,11.0
127,13.0
128,13.0
129,14.0
130,14.0
131,12.0
132,10.0
133,10.0
134,7.0
135,6.0
136,4.0
137,5.0
138,6.0
139,6.0
140,7.0
141,5.0
142,6.0
143,6.0
144,6.0
145,7.0
146,4.0
147,8.0
148,10.0
149,11.0
150,11.0
151,9.0
152,9.0
153,12.0
154,11.0
155,12.0
156,11.0
157,10.0
158,10.0
159,10.0
160,10.0
161,10.0
162,10.0
163,6.0
164,4.0
165,4.0
166,4.0
167,2.0
168,3.0
169,3.0
170,3.0
171,4.0
172,4.0
173,9.0
174,13.0
175,17.0
176,17.0
177,15.0
178,14.0
179,14.0
180,14.0
181,11.0
182,10.0
183,8.0
184,4.0
185,4.0
186,5.0
187,6.0
188,6.0
189,6.0
190,6.0
191,6.0
192,7.0
193,11.0
194,14.0
195,11.0
196,6.0
197,9.0
198,10.0
199,10.0
200,13.0
201,14.0
202,12.0
203,10.0
204,14.0
205,14.0
206,14.0
207,13.0
208,11.0
209,12.0
210,12.0
211,10.0
212,6.0
213,8.0
214,7.0
215,7.0
216,6.0
217,6.0
218,4.0
219,4.0
220,4.0
221,6.0
222,12.0
223,17.0
224,21.0
225,22.0
226,22.0
227,20.0
228,15.0
229,14.0
230,14.0
231,9.0
232,8.0
233,4.0
234,4.0
235,6.0
236,7.0
237,5.0
238,7.0
239,6.0
240,9.0
241,14.0
242,16.0
243,14.0
244,13.0
245,13.0
246,12.0
247,12.0
248,8.0
249,16.0
250,13.0
251,10.0
252,10.0
253,15.0
254,14.0
255,15.0
256,14.0
257,13.0
258,14.0
259,14.0
260,11.0
261,12.0
262,8.0
263,9.0
264,8.0
265,8.0
266,8.0
267,10.0
268,9.0
269,9.0
270,12.0
271,20.0
272,30.0
273,38.0
274,37.0
275,36.0
276,30.0
277,25.0
278,14.0
279,15.0
280,11.0
281,7.0
282,4.0
283,4.0
284,4.0
285,4.0
286,6.0
287,6.0
288,6.0
289,14.0
290,16.0
291,15.0
292,13.0
293,13.0
294,15.0
295,17.0
296,19.0
297,19.0
298,19.0
299,16.0
300,16.0
301,12.0
302,14.0
303,15.0
304,18.0
305,17.0
306,13.0
307,13.0
308,13.0
309,10.0
310,13.0
311,10.0
312,9.0
313,9.0
314,13.0
315,15.0
316,15.0
317,15.0
318,16.0
319,20.0
320,32.0
321,41.0
322,44.0
323,47.0
324,47.0
325,42.0
326,31.0
327,21.0
328,14.0
329,9.0
330,6.0
331,6.0
332,7.0
333,4.0
334,5.0
335,5.0
336,4.0
337,10.0
338,15.0
339,14.0
340,14.0
341,13.0
342,13.0
343,20.0
344,24.0
345,21.0
346,29.0
347,23.0
348,18.0
