Grid_Number,Education
0,24.0
1,27.0
2,28.0
3,32.0
4,32.0
5,28.0
6,21.0
7,20.0
8,26.0
9,26.0
10,27.0
11,29.0
12,38.0
13,36.0
14,43.0
15,40.0
16,47.0
17,47.0
18,43.0
19,36.0
20,29.0
21,22.0
22,20.0
23,28.0
24,31.0
25,31.0
26,30.0
27,26.0
28,26.0
29,28.0
30,25.0
31,24.0
32,21.0
33,18.0
34,31.0
35,33.0
36,31.0
37,28.0
38,25.0
39,33.0
40,35.0
41,34.0
42,29.0
43,28.0
44,28.0
45,26.0
46,26.0
47,28.0
48,12.0
49,29.0
50,30.0
51,34.0
52,33.0
53,38.0
54,33.0
55,31.0
56,28.0
57,29.0
58,29.0
59,34.0
60,36.0
61,41.0
62,42.0
63,46.0
64,55.0
65,50.0
66,47.0
67,47.0
68,49.0
69,39.0
70,35.0
71,27.0
72,34.0
73,34.0
74,37.0
75,35.0
76,43.0
77,42.0
78,44.0
79,39.0
80,37.0
81,35.0
82,26.0
83,37.0
84,37.0
85,33.0
86,33.0
87,29.0
88,38.0
89,38.0
90,38.0
91,38.0
92,32.0
93,32.0
94,31.0
95,30.0
96,30.0
97,18.0
98,30.0
99,30.0
100,34.0
101,35.0
102,42.0
103,40.0
104,37.0
105,39.0
106,38.0
107,36.0
108,37.0
109,50.0
110,51.0
111,55.0
112,59.0
113,62.0
114,55.0
115,53.0
116,54.0
117,51.0
118,41.0
119,43.0
120,36.0
121,38.0
122,41.0
123,45.0
124,57.0
125,59.0
126,75.0
127,68.0
128,68.0
129,54.0
130,45.0
131,37.0
132,41.0
133,39.0
134,38.0
135,35.0
136,34.0
137,38.0
138,43.0
139,46.0
140,44.0
141,39.0
142,42.0
143,39.0
144,38.0
145,36.0
146,23.0
147,44.0
148,46.0
149,50.0
150,46.0
151,44.0
152,48.0
153,47.0
154,61.0
155,53.0
156,49.0
157,50.0
158,54.0
159,55.0
160,66.0
161,68.0
162,82.0
163,74.0
164,80.0
165,74.0
166,72.0
167,51.0
168,52.0
169,39.0
170,43.0
171,47.0
172,64.0
173,73.0
174,97.0
175,111.0
176,104.0
177,109.0
178,80.0
179,57.0
180,43.0
181,43.0
182,44.0
183,43.0
184,40.0
185,38.0
186,42.0
187,48.0
188,50.0
189,49.0
190,44.0
191,47.0
192,56.0
193,67.0
194,69.0
195,52.0
196,52.0
197,54.0
198,61.0
199,62.0
200,57.0
201,62.0
202,59.0
203,66.0
204,60.0
205,57.0
206,58.0
207,64.0
208,66.0
209,81.0
210,87.0
211,85.0
212,80.0
213,94.0
214,95.0
215,87.0
216,82.0
217,73.0
218,56.0
219,53.0
220,62.0
221,80.0
222,105.0
223,127.0
224,143.0
225,151.0
226,149.0
227,115.0
228,81.0
229,49.0
230,52.0
231,47.0
232,45.0
233,41.0
234,45.0
235,38.0
236,49.0
237,52.0
238,50.0
239,51.0
240,70.0
241,87.0
242,88.0
243,75.0
244,68.0
245,63.0
246,68.0
247,84.0
248,91.0
249,95.0
250,80.0
251,65.0
252,59.0
253,58.0
254,60.0
255,60.0
256,65.0
257,65.0
258,84.0
259,85.0
260,86.0
261,101.0
262,96.0
263,98.0
264,96.0
