Grid_Number,Utilities
0,130.0
1,158.0
2,174.0
3,197.0
4,218.0
5,218.0
6,216.0
7,202.0
8,228.0
9,242.0
10,262.0
11,281.0
12,257.0
13,231.0
14,198.0
15,180.0
16,148.0
17,112.0
18,79.0
19,166.0
20,203.0
21,255.0
22,269.0
23,292.0
24,294.0
25,300.0
26,3.0
27,16.0
28,20.0
29,10.0
30,366.0
31,341.0
32,304.0
33,268.0
34,239.0
35,188.0
36,155.0
37,107.0
38,199.0
39,268.0
40,293.0
41,315.0
42,372.0
43,397.0
44,407.0
45,19.0
46,30.0
47,21.0
48,15.0
49,15.0
50,16.0
51,21.0
52,16.0
53,320.0
54,243.0
55,203.0
56,152.0
57,269.0
58,21.0
59,17.0
60,354.0
61,410.0
62,456.0
63,472.0
64,491.0
65,22.0
66,29.0
67,21.0
68,27.0
69,20.0
70,20.0
71,12.0
72,2.0
73,303.0
74,237.0
75,171.0
76,304.0
77,20.0
78,17.0
79,24.0
80,36.0
81,18.0
82,9.0
83,11.0
84,8.0
85,15.0
86,20.0
87,8.0
88,14.0
89,19.0
90,16.0
91,12.0
92,343.0
93,271.0
94,199.0
95,316.0
96,5.0
97,25.0
98,23.0
99,23.0
100,515.0
101,554.0
102,36.0
103,19.0
104,23.0
105,33.0
106,21.0
107,24.0
108,16.0
109,528.0
110,7.0
111,374.0
112,294.0
113,210.0
114,295.0
115,371.0
116,20.0
117,32.0
118,518.0
119,519.0
120,17.0
121,32.0
122,28.0
123,28.0
124,37.0
125,23.0
126,11.0
127,19.0
128,18.0
129,460.0
130,389.0
131,300.0
132,220.0
133,257.0
134,337.0
135,12.0
136,433.0
137,478.0
138,504.0
139,526.0
140,551.0
141,16.0
142,11.0
143,12.0
144,587.0
145,9.0
146,565.0
147,10.0
148,5.0
149,24.0
150,318.0
151,233.0
152,214.0
153,18.0
154,5.0
155,11.0
156,434.0
157,468.0
158,491.0
159,487.0
160,9.0
161,8.0
162,14.0
163,547.0
164,9.0
165,22.0
166,18.0
167,7.0
168,13.0
169,16.0
170,248.0
171,189.0
172,15.0
173,20.0
174,25.0
175,23.0
176,386.0
177,394.0
178,400.0
179,16.0
180,19.0
181,18.0
182,14.0
183,14.0
184,36.0
185,21.0
186,9.0
187,13.0
188,16.0
189,251.0
190,147.0
191,191.0
192,213.0
193,243.0
194,276.0
195,292.0
196,315.0
197,16.0
198,16.0
199,22.0
200,17.0
201,18.0
202,15.0
203,18.0
204,15.0
205,4.0
206,10.0
207,11.0
208,265.0
209,127.0
210,155.0
211,179.0
212,200.0
213,215.0
214,233.0
215,259.0
216,262.0
217,16.0
218,20.0
219,18.0
220,13.0
221,5.0
222,9.0
223,27.0
224,7.0
225,11.0
226,12.0
227,248.0
228,94.0
229,116.0
230,138.0
231,153.0
232,173.0
233,191.0
234,211.0
235,211.0
236,210.0
237,203.0
238,301.0
239,321.0
240,353.0
241,21.0
242,81.0
243,16.0
244,31.0
245,20.0
246,227.0
247,51.0
248,80.0
249,93.0
250,114.0
251,132.0
252,143.0
253,142.0
254,152.0
255,146.0
256,155.0
257,240.0
258,258.0
259,282.0
260,2.0
261,23.0
262,11.0
263,16.0
264,13.0
265,187.0
266,5.0
267,25.0
268,43.0
269,55.0
270,51.0
271,53.0
272,67.0
273,72.0
274,96.0
275,100.0
276,159.0
277,175.0
278,188.0
279,205.0
280,202.0
281,196.0
282,194.0
283,189.0
284,123.0
