Grid_Number,Government_Facilities
0,111.0
1,140.0
2,160.0
3,193.0
4,216.0
5,248.0
6,267.0
7,270.0
8,270.0
9,290.0
10,325.0
11,364.0
12,356.0
13,330.0
14,279.0
15,251.0
16,201.0
17,141.0
18,80.0
19,144.0
20,170.0
21,216.0
22,257.0
23,292.0
24,330.0
25,387.0
26,59.0
27,85.0
28,83.0
29,91.0
30,500.0
31,499.0
32,439.0
33,374.0
34,326.0
35,253.0
36,212.0
37,121.0
38,175.0
39,212.0
40,255.0
41,311.0
42,370.0
43,466.0
44,515.0
45,74.0
46,110.0
47,129.0
48,124.0
49,115.0
50,120.0
51,141.0
52,136.0
53,403.0
54,330.0
55,257.0
56,174.0
57,203.0
58,74.0
59,108.0
60,344.0
61,450.0
62,559.0
63,634.0
64,671.0
65,131.0
66,158.0
67,139.0
68,109.0
69,134.0
70,154.0
71,146.0
72,121.0
73,397.0
74,303.0
75,206.0
76,237.0
77,59.0
78,94.0
79,117.0
80,109.0
81,136.0
82,130.0
83,155.0
84,166.0
85,183.0
86,162.0
87,151.0
88,151.0
89,158.0
90,140.0
91,103.0
92,470.0
93,346.0
94,231.0
95,253.0
96,47.0
97,67.0
98,79.0
99,92.0
100,704.0
101,804.0
102,211.0
103,236.0
104,200.0
105,179.0
106,177.0
107,174.0
108,173.0
109,739.0
110,117.0
111,496.0
112,369.0
113,246.0
114,244.0
115,320.0
116,47.0
117,53.0
118,651.0
119,768.0
120,145.0
121,227.0
122,252.0
123,214.0
124,201.0
125,181.0
126,158.0
127,151.0
128,118.0
129,626.0
130,491.0
131,354.0
132,249.0
133,204.0
134,269.0
135,76.0
136,503.0
137,653.0
138,776.0
139,887.0
140,970.0
141,238.0
142,241.0
143,202.0
144,1150.0
145,170.0
146,941.0
147,117.0
148,123.0
149,108.0
150,344.0
151,249.0
152,172.0
153,66.0
154,78.0
155,84.0
156,601.0
157,745.0
158,841.0
159,927.0
160,230.0
161,257.0
162,220.0
163,1109.0
164,182.0
165,142.0
166,137.0
167,117.0
168,99.0
169,82.0
170,250.0
171,164.0
172,72.0
173,82.0
174,95.0
175,94.0
176,650.0
177,723.0
178,858.0
179,223.0
180,219.0
181,241.0
182,233.0
183,221.0
184,159.0
185,120.0
186,104.0
187,84.0
188,57.0
189,264.0
190,126.0
191,184.0
192,214.0
193,290.0
194,393.0
195,523.0
196,613.0
197,159.0
198,212.0
199,218.0
200,215.0
201,225.0
202,207.0
203,163.0
204,131.0
205,83.0
206,70.0
207,47.0
208,261.0
209,110.0
210,154.0
211,181.0
212,240.0
213,313.0
214,390.0
215,478.0
216,587.0
217,144.0
218,146.0
219,163.0
220,164.0
221,209.0
222,180.0
223,194.0
224,117.0
225,88.0
226,65.0
227,258.0
228,91.0
229,124.0
230,149.0
231,193.0
232,244.0
233,300.0
234,356.0
235,448.0
236,504.0
237,588.0
238,691.0
239,669.0
240,639.0
241,175.0
242,173.0
243,173.0
244,96.0
245,72.0
246,229.0
247,43.0
248,66.0
249,85.0
250,119.0
251,154.0
252,215.0
253,237.0
254,300.0
255,336.0
256,420.0
257,525.0
258,510.0
259,504.0
260,122.0
261,146.0
262,145.0
263,84.0
264,64.0
265,190.0
266,6.0
267,12.0
268,36.0
269,39.0
270,63.0
271,89.0
272,128.0
273,165.0
274,204.0
275,247.0
276,337.0
277,366.0
278,358.0
279,354.0
280,323.0
281,273.0
282,243.0
283,214.0
284,149.0
