Grid_Number,Health
0,326.0
1,383.0
2,439.0
3,515.0
4,537.0
5,538.0
6,573.0
7,542.0
8,566.0
9,606.0
10,629.0
11,682.0
12,667.0
13,610.0
14,532.0
15,516.0
16,433.0
17,319.0
18,198.0
19,402.0
20,479.0
21,591.0
22,664.0
23,696.0
24,752.0
25,762.0
26,144.0
27,186.0
28,180.0
29,192.0
30,893.0
31,887.0
32,820.0
33,740.0
34,645.0
35,549.0
36,436.0
37,305.0
38,509.0
39,628.0
40,696.0
41,788.0
42,898.0
43,977.0
44,997.0
45,173.0
46,260.0
47,272.0
48,265.0
49,223.0
50,207.0
51,248.0
52,246.0
53,845.0
54,732.0
55,549.0
56,433.0
57,603.0
58,263.0
59,320.0
60,860.0
61,1027.0
62,1191.0
63,1176.0
64,1169.0
65,272.0
66,330.0
67,255.0
68,197.0
69,230.0
70,281.0
71,296.0
72,248.0
73,865.0
74,693.0
75,476.0
76,725.0
77,213.0
78,324.0
79,311.0
80,239.0
81,187.0
82,199.0
83,241.0
84,275.0
85,310.0
86,241.0
87,225.0
88,198.0
89,284.0
90,291.0
91,220.0
92,989.0
93,819.0
94,576.0
95,784.0
96,179.0
97,260.0
98,283.0
99,226.0
100,1395.0
101,1491.0
102,289.0
103,329.0
104,296.0
105,252.0
106,216.0
107,254.0
108,296.0
109,1438.0
110,282.0
111,1043.0
112,864.0
113,640.0
114,776.0
115,999.0
116,205.0
117,210.0
118,1463.0
119,1507.0
120,189.0
121,277.0
122,317.0
123,289.0
124,251.0
125,214.0
126,240.0
127,290.0
128,250.0
129,1286.0
130,1134.0
131,854.0
132,617.0
133,663.0
134,912.0
135,243.0
136,1231.0
137,1400.0
138,1480.0
139,1523.0
140,1574.0
141,288.0
142,272.0
143,253.0
144,1744.0
145,231.0
146,1555.0
147,269.0
148,276.0
149,251.0
150,847.0
151,613.0
152,577.0
153,206.0
154,274.0
155,225.0
156,1247.0
157,1422.0
158,1432.0
159,1454.0
160,243.0
161,270.0
162,229.0
163,1651.0
164,298.0
165,298.0
166,289.0
167,245.0
168,197.0
169,172.0
170,635.0
171,543.0
172,218.0
173,250.0
174,293.0
175,295.0
176,1212.0
177,1187.0
178,1297.0
179,304.0
180,259.0
181,241.0
182,233.0
183,272.0
184,286.0
185,256.0
186,235.0
187,198.0
188,127.0
189,670.0
190,421.0
191,601.0
192,664.0
193,777.0
194,900.0
195,982.0
196,1055.0
197,274.0
198,337.0
199,297.0
200,323.0
201,272.0
202,291.0
203,302.0
204,245.0
205,195.0
206,160.0
207,101.0
208,615.0
209,340.0
210,469.0
211,550.0
212,683.0
213,745.0
214,787.0
215,879.0
216,962.0
217,273.0
218,290.0
219,226.0
220,215.0
221,229.0
222,231.0
223,276.0
224,242.0
225,215.0
226,173.0
227,547.0
228,279.0
229,369.0
230,444.0
231,522.0
232,588.0
233,683.0
234,725.0
235,735.0
236,755.0
237,764.0
238,905.0
239,949.0
240,967.0
241,187.0
242,212.0
243,268.0
244,246.0
245,180.0
246,443.0
247,143.0
248,211.0
249,269.0
250,318.0
251,427.0
252,487.0
253,515.0
254,538.0
255,502.0
256,590.0
257,673.0
258,720.0
259,779.0
260,105.0
261,141.0
262,222.0
263,197.0
264,165.0
265,352.0
266,10.0
267,44.0
268,86.0
269,91.0
270,134.0
271,180.0
272,255.0
273,318.0
274,367.0
275,392.0
276,410.0
277,457.0
278,462.0
279,547.0
280,515.0
281,452.0
282,425.0
283,349.0
284,290.0
