Grid_Number,Che_popu_Education
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,522.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,1269.0
20,3058.0
21,1895.0
22,-1.0
23,-1.0
24,-1.0
25,520.0
26,6465.0
27,7083.0
28,3807.0
29,3428.0
30,943.0
31,4079.0
32,5987.0
33,2930.0
34,3629.0
35,3221.0
36,2478.0
37,-1.0
38,1330.0
39,2199.0
40,500.0
41,2667.0
42,3496.0
43,4188.0
44,3879.0
45,4473.0
46,2107.0
47,2060.0
48,3401.0
49,7329.0
50,6025.0
51,3333.0
52,1557.0
53,10286.0
54,277.0
55,-1.0
56,-1.0
57,-1.0
58,2240.0
59,3310.0
60,3464.0
61,2566.0
62,938.0
63,883.0
64,2067.0
65,4070.0
66,1735.0
67,5973.0
68,5075.0
69,7423.0
70,4381.0
71,1232.0
72,5749.0
73,1804.0
74,3080.0
75,-1.0
76,1600.0
77,1458.0
78,5834.0
79,839.0
80,2595.0
81,2961.0
82,10406.0
83,835.0
84,4310.0
85,3324.0
86,473.0
87,2234.0
88,3054.0
89,1973.0
90,2464.0
91,3141.0
92,1473.0
93,3794.0
94,-1.0
95,-1.0
96,3559.0
97,1716.0
98,3120.0
99,575.0
100,580.0
101,10279.0
102,3954.0
103,1335.0
104,3751.0
105,1205.0
106,1816.0
107,4938.0
108,2871.0
109,6192.0
110,7249.0
111,7629.0
112,5929.0
113,-1.0
114,3744.0
115,7175.0
116,5416.0
117,3881.0
118,150.0
119,2461.0
120,4336.0
121,2818.0
122,2464.0
123,1803.0
124,727.0
125,984.0
126,2131.0
127,6200.0
128,2542.0
129,4327.0
130,9989.0
131,1595.0
132,-1.0
133,-1.0
134,4476.0
135,7836.0
136,1998.0
137,133.0
138,1582.0
139,3221.0
140,580.0
141,1962.0
142,2957.0
143,2991.0
144,1824.0
145,2673.0
146,1698.0
147,3101.0
148,6978.0
149,3021.0
150,9185.0
151,-1.0
152,-1.0
153,735.0
154,2008.0
155,2650.0
156,3335.0
157,723.0
158,1391.0
159,3150.0
160,7163.0
161,1377.0
162,2498.0
163,2347.0
164,8492.0
165,3358.0
166,3090.0
167,9261.0
168,976.0
169,7006.0
170,-1.0
171,719.0
172,1689.0
173,2600.0
174,5916.0
175,3819.0
176,1958.0
177,2163.0
178,4798.0
179,3806.0
180,7891.0
181,4918.0
182,4121.0
183,5722.0
184,2500.0
185,1322.0
186,10778.0
187,4259.0
188,5217.0
189,-1.0
190,-1.0
191,-1.0
192,4784.0
193,162.0
194,1863.0
195,898.0
196,2579.0
197,2146.0
198,2515.0
199,2272.0
200,1567.0
201,1888.0
202,10706.0
203,1699.0
204,8335.0
205,7768.0
206,4072.0
207,2973.0
208,-1.0
209,-1.0
210,-1.0
211,4784.0
212,-1.0
213,-1.0
214,753.0
215,4192.0
216,1526.0
217,1805.0
218,3949.0
219,819.0
220,2344.0
221,6419.0
222,3505.0
223,3560.0
224,9065.0
225,4900.0
226,1074.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,-1.0
233,-1.0
234,4192.0
235,2296.0
236,2747.0
237,1729.0
238,2971.0
239,-1.0
240,13779.0
241,1816.0
242,1481.0
243,4047.0
244,2608.0
245,3706.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,4192.0
254,-1.0
255,-1.0
256,-1.0
257,4413.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,9159.0
263,615.0
264,4640.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
