Grid_Number,Mum_popu_Education
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,231.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,-1.0
51,-1.0
52,-1.0
53,-1.0
54,-1.0
55,-1.0
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,-1.0
61,-1.0
62,-1.0
63,-1.0
64,-1.0
65,-1.0
66,3635.0
67,2062.0
68,-1.0
69,-1.0
70,15917.0
71,-1.0
72,9645.0
73,-1.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,-1.0
80,2130.0
81,814.0
82,231.0
83,228.0
84,-1.0
85,-1.0
86,-1.0
87,-1.0
88,-1.0
89,-1.0
90,-1.0
91,-1.0
92,-1.0
93,-1.0
94,-1.0
95,-1.0
96,-1.0
97,-1.0
98,-1.0
99,-1.0
100,-1.0
101,6801.0
102,11014.0
103,12204.0
104,3635.0
105,2062.0
106,5464.0
107,15917.0
108,15917.0
109,20979.0
110,20979.0
111,9823.0
112,-1.0
113,-1.0
114,-1.0
115,3399.0
116,687.0
117,93.0
118,2130.0
119,535.0
120,3940.0
121,583.0
122,182.0
123,-1.0
124,7563.0
125,-1.0
126,-1.0
127,-1.0
128,-1.0
129,-1.0
130,345.0
131,-1.0
132,-1.0
133,-1.0
134,-1.0
135,-1.0
136,671.0
137,949.0
138,1487.0
139,7388.0
140,7388.0
141,12204.0
142,5181.0
143,1211.0
144,3401.0
145,4589.0
146,4589.0
147,20979.0
148,15676.0
149,15676.0
150,978.0
151,-1.0
152,-1.0
153,4818.0
154,1816.0
155,1086.0
156,2522.0
157,4940.0
158,3816.0
159,1028.0
160,2421.0
161,4325.0
162,7563.0
163,-1.0
164,-1.0
165,3761.0
166,-1.0
167,-1.0
168,431.0
169,775.0
170,-1.0
171,1020.0
172,824.0
173,2908.0
174,671.0
175,1846.0
176,4905.0
177,14164.0
178,11339.0
179,10425.0
