Grid_Number,Gur_popu_Education
0,271.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,790.0
9,790.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,1951.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,1030.0
43,911.0
44,645.0
45,1145.0
46,1145.0
47,-1.0
48,-1.0
49,716.0
50,-1.0
51,1269.0
52,1269.0
53,381.0
54,-1.0
55,-1.0
56,-1.0
57,-1.0
58,2336.0
59,-1.0
60,1371.0
61,934.0
62,-1.0
63,1919.0
64,1919.0
65,-1.0
66,-1.0
67,941.0
68,941.0
69,-1.0
70,-1.0
71,1555.0
72,1555.0
73,-1.0
74,1553.0
75,828.0
76,834.0
77,1030.0
78,766.0
79,911.0
80,328.0
81,671.0
82,-1.0
83,907.0
84,1173.0
85,1945.0
86,1945.0
87,1269.0
88,2384.0
89,2384.0
90,1735.0
91,-1.0
92,2336.0
93,2336.0
94,1371.0
95,1371.0
96,934.0
97,42.0
98,1919.0
99,1703.0
100,1703.0
101,868.0
102,1501.0
103,436.0
104,-1.0
105,-1.0
106,1555.0
107,770.0
108,1269.0
109,1490.0
110,1490.0
111,1147.0
112,1297.0
113,1297.0
114,766.0
115,743.0
116,671.0
117,1454.0
118,835.0
119,980.0
120,980.0
121,1945.0
122,1269.0
123,2384.0
124,2592.0
125,1735.0
126,3415.0
127,4453.0
128,1686.0
129,1686.0
130,1595.0
131,229.0
132,820.0
133,1919.0
134,1703.0
135,868.0
136,906.0
137,1501.0
138,1501.0
139,-1.0
140,-1.0
141,595.0
142,484.0
143,388.0
144,748.0
145,1347.0
146,1147.0
147,744.0
148,2067.0
149,1685.0
150,261.0
151,443.0
152,575.0
153,575.0
154,550.0
155,4415.0
156,4415.0
157,-1.0
158,6399.0
159,2040.0
160,314.0
161,3415.0
162,4453.0
163,4453.0
164,1103.0
165,1595.0
166,878.0
167,2004.0
168,1919.0
169,1351.0
170,616.0
171,906.0
172,1501.0
173,775.0
174,-1.0
175,-1.0
176,404.0
177,611.0
178,229.0
179,661.0
180,1347.0
181,1000.0
182,603.0
183,684.0
184,1091.0
185,1685.0
186,1685.0
187,1458.0
188,642.0
189,1148.0
190,1148.0
191,4415.0
192,-1.0
193,6399.0
194,6399.0
195,1182.0
196,1732.0
197,4453.0
198,4453.0
199,1103.0
200,1595.0
201,2004.0
202,2004.0
203,1351.0
204,1351.0
205,616.0
206,469.0
207,1578.0
208,1578.0
209,369.0
210,-1.0
211,731.0
212,386.0
213,195.0
214,522.0
215,522.0
216,1732.0
217,1732.0
218,598.0
219,707.0
220,443.0
221,541.0
222,597.0
223,748.0
224,1277.0
225,1277.0
226,-1.0
227,2435.0
228,6399.0
229,6399.0
230,1182.0
231,2428.0
232,4060.0
233,4060.0
234,4060.0
235,4748.0
236,4748.0
237,4748.0
238,2598.0
239,1351.0
240,514.0
241,1259.0
242,1578.0
243,1578.0
244,775.0
245,43.0
246,797.0
247,797.0
248,563.0
249,605.0
250,595.0
251,967.0
252,1732.0
253,425.0
254,1025.0
255,459.0
256,481.0
257,565.0
258,565.0
259,2409.0
260,2409.0
261,1883.0
262,2435.0
263,2833.0
264,-1.0
265,2428.0
266,2428.0
267,317.0
268,311.0
269,2315.0
270,4748.0
271,4748.0
272,2598.0
273,2598.0
274,-1.0
275,1259.0
276,1259.0
277,1578.0
278,1578.0
279,-1.0
280,-1.0
281,1486.0
282,617.0
283,447.0
284,489.0
285,967.0
286,967.0
287,312.0
288,425.0
289,1025.0
290,560.0
291,1160.0
292,1159.0
293,2472.0
294,2409.0
295,1883.0
296,1883.0
297,2833.0
298,2833.0
299,2918.0
300,1746.0
301,2428.0
302,770.0
303,1177.0
304,2315.0
305,1001.0
306,4748.0
307,874.0
308,874.0
309,1155.0
310,1455.0
311,1455.0
312,838.0
313,-1.0
314,-1.0
315,-1.0
316,1486.0
317,1486.0
318,992.0
319,992.0
320,633.0
321,784.0
322,744.0
323,495.0
324,806.0
325,1413.0
326,1160.0
327,1159.0
328,2472.0
329,2472.0
330,1883.0
331,1581.0
332,1732.0
333,1403.0
334,2918.0
335,2918.0
336,822.0
337,629.0
338,2315.0
339,2315.0
340,76.0
