Grid_Number,Ban_popu_Education
0,-1.0
1,-1.0
2,-1.0
3,1797.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-1.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,555.0
51,-1.0
52,-1.0
53,-1.0
54,-1.0
55,-1.0
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,333.0
61,1751.0
62,1797.0
63,-1.0
64,-1.0
65,-1.0
66,-1.0
67,156.0
68,874.0
69,874.0
70,616.0
71,619.0
72,455.0
73,791.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,-1.0
80,-1.0
81,-1.0
82,186.0
83,-1.0
84,-1.0
85,-1.0
86,9.0
87,26.0
88,-1.0
89,-1.0
90,-1.0
91,-1.0
92,-1.0
93,-1.0
94,-1.0
95,-1.0
96,143.0
97,143.0
98,805.0
99,1327.0
100,-1.0
101,-1.0
102,-1.0
103,1811.0
104,1811.0
105,328.0
106,328.0
107,701.0
108,94.0
109,1137.0
110,897.0
111,1670.0
112,1670.0
113,988.0
114,-1.0
115,329.0
116,-1.0
117,-1.0
118,-1.0
119,1554.0
120,1751.0
121,1751.0
122,-1.0
123,340.0
124,340.0
125,165.0
126,156.0
127,2376.0
128,1694.0
129,1694.0
130,619.0
131,455.0
132,824.0
133,824.0
134,824.0
135,-1.0
136,-1.0
137,2367.0
138,2367.0
139,500.0
140,-1.0
141,186.0
142,174.0
143,-1.0
144,-1.0
145,9.0
146,9.0
147,1253.0
148,1253.0
149,-1.0
150,261.0
151,-1.0
152,-1.0
153,-1.0
154,696.0
155,696.0
156,1126.0
157,805.0
158,1327.0
159,186.0
160,2080.0
161,2080.0
162,719.0
163,1319.0
164,328.0
165,328.0
166,1459.0
167,1459.0
168,882.0
169,102.0
170,102.0
171,988.0
172,0.0
173,449.0
174,449.0
175,3.0
176,329.0
177,-1.0
178,1554.0
179,1554.0
180,1751.0
181,-1.0
182,340.0
183,340.0
184,604.0
