Grid_Number,Hyd_popu_Education
0,-1.0
1,-1.0
2,-1.0
3,310.0
4,-1.0
5,671.0
6,1251.0
7,877.0
8,1456.0
9,-1.0
10,1548.0
11,2077.0
12,414.0
13,-1.0
14,-1.0
15,2629.0
16,1061.0
17,-1.0
18,-1.0
19,-1.0
20,239.0
21,38.0
22,1184.0
23,864.0
24,44.0
25,273.0
26,1805.0
27,10282.0
28,3109.0
29,3722.0
30,4573.0
31,1013.0
32,2074.0
33,2868.0
34,923.0
35,1218.0
36,3036.0
37,1027.0
38,-1.0
39,173.0
40,723.0
41,324.0
42,339.0
43,0.0
44,239.0
45,2186.0
46,6205.0
47,672.0
48,652.0
49,4802.0
50,1843.0
51,2862.0
52,1066.0
53,2660.0
54,1191.0
55,3207.0
56,-1.0
57,-1.0
58,253.0
59,498.0
60,784.0
61,323.0
62,1644.0
63,652.0
64,377.0
65,2117.0
66,271.0
67,2210.0
68,1236.0
69,1014.0
70,3806.0
71,2467.0
72,2373.0
73,1407.0
74,3773.0
75,-1.0
76,1567.0
77,2928.0
78,1122.0
79,2879.0
80,743.0
81,435.0
82,4412.0
83,1301.0
84,3146.0
85,4307.0
86,1660.0
87,2155.0
88,618.0
89,2867.0
90,1168.0
91,4197.0
92,1346.0
93,2393.0
94,2301.0
95,-1.0
96,1645.0
97,4862.0
98,1286.0
99,562.0
100,641.0
101,2826.0
102,3008.0
103,4278.0
104,2931.0
105,4461.0
106,3113.0
107,2551.0
108,2127.0
109,1668.0
110,2723.0
111,6551.0
112,7231.0
113,3023.0
114,-1.0
115,436.0
116,717.0
117,2423.0
118,4941.0
119,1580.0
120,1406.0
121,2648.0
122,4468.0
123,2862.0
124,626.0
125,3519.0
126,3279.0
127,4015.0
128,769.0
129,1594.0
130,652.0
131,11408.0
132,11408.0
133,-1.0
134,2107.0
135,4371.0
136,1579.0
137,1599.0
138,884.0
139,572.0
140,3495.0
141,2744.0
142,3199.0
143,2496.0
144,2258.0
145,2908.0
146,1007.0
147,3574.0
148,1185.0
149,2975.0
150,3675.0
151,-1.0
152,1132.0
153,2471.0
154,1597.0
155,3480.0
156,2855.0
157,2596.0
158,2832.0
159,2303.0
160,3106.0
161,2518.0
162,2720.0
163,4225.0
164,1114.0
165,1398.0
166,5340.0
167,2962.0
168,1076.0
169,42.0
170,-1.0
171,316.0
172,633.0
173,2916.0
174,3052.0
175,915.0
176,2113.0
177,1570.0
178,2230.0
179,1733.0
180,3477.0
181,164.0
182,6472.0
183,201.0
184,1.0
185,2165.0
186,729.0
187,2016.0
188,471.0
189,1885.0
190,-1.0
191,762.0
192,1820.0
193,2671.0
194,5098.0
195,3885.0
196,1318.0
197,1525.0
198,3996.0
199,765.0
200,2818.0
201,747.0
202,3509.0
203,2910.0
204,4510.0
205,1516.0
206,6228.0
207,6121.0
208,1966.0
209,313.0
210,1629.0
211,2754.0
212,3320.0
213,3995.0
214,975.0
215,4401.0
216,4491.0
217,2766.0
218,1985.0
219,1445.0
220,2435.0
221,3155.0
222,1816.0
223,1640.0
224,3929.0
225,5264.0
226,4347.0
227,2159.0
228,-1.0
229,502.0
230,3533.0
231,1751.0
232,6082.0
233,1216.0
234,1932.0
235,722.0
236,3185.0
237,2147.0
238,2915.0
239,2937.0
240,1398.0
241,4931.0
242,8667.0
243,3645.0
244,273.0
245,3024.0
246,1011.0
247,816.0
248,816.0
249,733.0
250,460.0
251,7514.0
252,3226.0
253,4478.0
254,3190.0
255,3765.0
256,3071.0
257,3099.0
258,2663.0
259,3026.0
260,1974.0
261,7329.0
262,1669.0
263,4085.0
264,2850.0
265,1766.0
266,-1.0
267,28.0
268,1414.0
269,795.0
270,6633.0
271,1437.0
272,739.0
273,1721.0
274,806.0
275,1702.0
276,3579.0
277,1972.0
278,3312.0
279,1249.0
280,4258.0
281,2688.0
282,3264.0
283,9919.0
284,6244.0
285,-1.0
286,2188.0
287,2567.0
288,1224.0
289,1350.0
290,3059.0
291,2646.0
292,1310.0
293,3409.0
294,3867.0
295,534.0
296,995.0
297,-1.0
298,757.0
299,3965.0
300,2459.0
301,1487.0
302,1076.0
303,4435.0
