Grid_Number,Del_popu_Education
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,1830.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,6107.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,1922.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-1.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,-1.0
51,309.0
52,637.0
53,637.0
54,-1.0
55,570.0
56,-1.0
57,-1.0
58,1393.0
59,1469.0
60,1830.0
61,-1.0
62,793.0
63,-1.0
64,2819.0
65,2819.0
66,617.0
67,6107.0
68,520.0
69,1106.0
70,-1.0
71,3043.0
72,-1.0
73,-1.0
74,3525.0
75,3525.0
76,-1.0
77,395.0
78,1042.0
79,1570.0
80,-1.0
81,-1.0
82,-1.0
83,-1.0
84,-1.0
85,1754.0
86,1754.0
87,1922.0
88,1922.0
89,-1.0
90,-1.0
91,-1.0
92,438.0
93,-1.0
94,99.0
95,0.0
96,-1.0
97,-1.0
98,55.0
99,820.0
100,24.0
101,24.0
102,24.0
103,570.0
104,570.0
105,1172.0
106,1393.0
107,1393.0
108,1469.0
109,1469.0
110,1114.0
111,793.0
112,3442.0
113,279.0
114,653.0
115,645.0
116,645.0
117,11689.0
118,4130.0
119,3043.0
120,3043.0
121,3043.0
122,3525.0
123,3525.0
124,1392.0
125,543.0
126,317.0
127,1570.0
128,1570.0
129,3052.0
130,-1.0
131,2756.0
132,1402.0
133,1075.0
134,1355.0
135,368.0
136,384.0
137,482.0
138,1823.0
139,1823.0
140,3228.0
141,3228.0
142,3137.0
143,99.0
144,-1.0
145,-1.0
146,-1.0
147,143.0
148,244.0
149,398.0
150,284.0
151,451.0
152,1022.0
153,462.0
154,1172.0
155,1172.0
156,1393.0
157,2631.0
158,495.0
159,1081.0
160,3442.0
161,3442.0
162,1785.0
163,1144.0
164,5016.0
165,2597.0
166,11689.0
167,4130.0
168,15428.0
169,3043.0
170,7857.0
171,2645.0
172,1380.0
173,1392.0
174,1001.0
175,2146.0
176,2146.0
177,3052.0
178,3052.0
179,2014.0
180,1942.0
181,1402.0
