Grid_Number,n_Government_Facilities
0,0.29160382278728986
1,0.861162901750649
2,0.9263081350974858
3,0.40024927323647985
4,0.20335641749452227
5,0.7961260331043667
6,0.36371539727078944
7,0.3896334252071553
8,0.6051900700912426
9,1.3327718924562184
10,0.48866269684683583
11,0.32585872263911636
12,0.5106875948418749
13,0.5040224041293672
14,0.053575528164173394
15,0.11379111489635578
16,0.40220696785515053
17,0.14460561992921933
18,0.29211370391770075
19,1.2204105539010606
20,1.1654511755399846
21,0.7153600768481345
22,0.3942900824121699
23,0.15707869420972623
24,1.1171013521333586
25,0.24871063658331613
26,0.1147564699386506
27,0.21954397572097664
28,1.0332043856924011
29,0.6941101166894232
30,0.2681569821761133
31,0.13517320319350876
32,0.7993902630987184
33,0.19882541317770033
34,0.25004508018651167
35,0.031541875241176486
36,0.6503963144511413
37,0.38415830827193503
38,0.458995218596458
39,1.006329857895614
40,0.16510846512095775
41,0.3476771554762457
42,0.4619511931948281
43,1.1122429067364956
44,0.5919504372887672
45,0.5666136260799831
46,0.2192817817514788
47,0.5937578210886031
48,0.3144941986462873
49,0.09086568592894488
50,0.4502765841568062
51,0.1404686802678855
52,0.28153164020674615
53,0.3370838842495412
54,0.1287970203558906
55,0.5401758928336421
56,0.8889402213104977
57,0.6253355309436003
58,1.0480573095882781
59,0.685567334436078
60,0.3517171496772768
61,0.4927802521091897
62,0.4690533217001049
63,0.5212600194496039
64,0.8087022354009512
65,0.18224193235612127
66,0.6012563724145139
67,0.24412678049344952
68,0.11151437999160449
69,0.3628502327615364
70,0.11102355075663657
71,0.13547666821262128
72,0.5069445519819078
73,0.21485415418262443
74,0.5886506934818287
75,0.143973121259992
76,0.838362507079915
77,0.29603749858806344
78,0.5586665608375636
79,0.3969723225054523
80,0.2709367995360323
81,0.3281341303624616
82,0.14748396610287262
83,0.07689753436071528
84,0.17324105934721656
85,0.43591457141132567
86,0.18192724590511575
87,0.38332805239877776
88,0.22344401119633242
89,0.16243393312503623
90,0.16616658032162912
91,0.30086182770752984
92,0.1802804843124706
93,0.1459339090753981
94,0.03613195754135823
95,0.23598286123967427
