Grid_Number,Ban_n_Health
0,4.0
1,4.0
2,4.0
3,5.0
4,5.0
5,3.0
6,3.0
7,2.0
8,2.0
9,2.0
10,2.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,4.0
18,4.0
19,3.0
20,2.0
21,2.0
22,2.0
23,2.0
24,3.0
25,2.0
26,4.0
27,4.0
28,4.0
29,4.0
30,4.0
31,4.0
32,4.0
33,4.0
34,3.0
35,2.0
36,2.0
37,6.0
38,14.0
39,15.0
40,14.0
41,14.0
42,17.0
43,21.0
44,22.0
45,17.0
46,10.0
47,15.0
48,19.0
49,19.0
50,19.0
51,15.0
52,13.0
53,13.0
54,12.0
55,9.0
56,8.0
57,4.0
58,2.0
59,4.0
60,4.0
61,4.0
62,5.0
63,5.0
64,3.0
65,3.0
66,2.0
67,2.0
68,2.0
69,2.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,4.0
77,4.0
78,4.0
79,3.0
80,2.0
81,2.0
82,3.0
83,3.0
84,2.0
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,4.0
94,2.0
95,5.0
96,6.0
97,15.0
98,15.0
99,15.0
100,17.0
101,21.0
102,24.0
103,23.0
104,22.0
105,24.0
106,16.0
107,20.0
108,20.0
109,19.0
110,15.0
111,17.0
112,15.0
113,13.0
114,9.0
115,7.0
116,4.0
117,4.0
118,5.0
119,4.0
120,4.0
121,5.0
122,3.0
123,4.0
124,3.0
125,5.0
126,6.0
127,6.0
128,7.0
129,4.0
130,3.0
131,8.0
132,16.0
133,13.0
134,13.0
135,14.0
136,4.0
137,4.0
138,4.0
139,4.0
140,4.0
141,4.0
142,5.0
143,5.0
144,7.0
145,7.0
146,5.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,3.0
154,6.0
155,7.0
156,18.0
157,18.0
158,19.0
159,22.0
160,23.0
161,24.0
162,26.0
163,30.0
164,30.0
165,21.0
166,22.0
167,22.0
168,19.0
169,19.0
170,17.0
171,16.0
172,16.0
173,11.0
174,6.0
175,6.0
176,6.0
177,5.0
178,5.0
179,4.0
180,6.0
181,5.0
182,5.0
183,7.0
