Grid_Number,Education
0,36.0
1,41.0
2,44.0
3,45.0
4,40.0
5,26.0
6,26.0
7,26.0
8,27.0
9,28.0
10,27.0
11,33.0
12,36.0
13,39.0
14,42.0
15,39.0
16,35.0
17,33.0
18,31.0
19,37.0
20,38.0
21,40.0
22,37.0
23,32.0
24,30.0
25,31.0
26,32.0
27,33.0
28,34.0
29,28.0
30,29.0
31,23.0
32,16.0
33,18.0
34,17.0
35,43.0
36,47.0
37,57.0
38,62.0
39,56.0
40,39.0
41,36.0
42,36.0
43,40.0
44,42.0
45,43.0
46,44.0
47,43.0
48,47.0
49,54.0
50,44.0
51,39.0
52,47.0
53,36.0
54,38.0
55,38.0
56,44.0
57,41.0
58,41.0
59,33.0
60,33.0
61,32.0
62,38.0
63,37.0
64,30.0
65,31.0
66,30.0
67,24.0
68,19.0
69,18.0
70,62.0
71,70.0
72,70.0
73,68.0
74,63.0
75,53.0
76,50.0
77,50.0
78,44.0
79,48.0
80,59.0
81,62.0
82,59.0
83,49.0
84,56.0
85,47.0
86,53.0
87,54.0
88,41.0
89,39.0
90,36.0
91,45.0
92,42.0
93,43.0
94,40.0
95,33.0
96,36.0
97,40.0
98,34.0
99,33.0
100,40.0
101,33.0
102,24.0
103,26.0
104,18.0
105,70.0
106,78.0
107,82.0
108,81.0
109,67.0
110,59.0
111,70.0
112,59.0
113,55.0
114,63.0
115,71.0
116,72.0
117,71.0
118,62.0
119,54.0
120,54.0
121,56.0
122,57.0
123,45.0
124,39.0
125,41.0
126,48.0
127,42.0
128,50.0
129,48.0
130,35.0
131,38.0
132,43.0
133,40.0
134,39.0
135,39.0
136,37.0
137,24.0
138,26.0
139,22.0
140,75.0
141,81.0
142,87.0
143,86.0
144,73.0
145,69.0
146,77.0
147,72.0
148,70.0
149,69.0
150,76.0
151,79.0
152,75.0
153,65.0
154,58.0
155,57.0
156,62.0
157,63.0
158,56.0
159,45.0
160,40.0
161,42.0
162,42.0
163,56.0
164,54.0
165,46.0
166,40.0
167,39.0
168,40.0
169,39.0
170,44.0
171,36.0
172,35.0
173,32.0
174,29.0
175,73.0
176,80.0
177,81.0
178,86.0
179,86.0
180,74.0
181,85.0
182,81.0
183,76.0
184,71.0
185,77.0
186,81.0
187,72.0
188,67.0
189,68.0
190,52.0
191,58.0
192,58.0
193,59.0
194,47.0
195,41.0
196,36.0
197,44.0
198,47.0
199,65.0
200,51.0
201,52.0
202,51.0
203,43.0
204,40.0
205,46.0
206,36.0
207,35.0
208,32.0
209,30.0
210,73.0
211,76.0
212,81.0
213,85.0
214,89.0
215,74.0
216,87.0
217,87.0
218,89.0
219,77.0
220,81.0
221,75.0
222,73.0
223,73.0
224,65.0
225,53.0
226,43.0
227,48.0
228,50.0
229,38.0
230,34.0
231,39.0
232,45.0
233,55.0
234,56.0
235,53.0
236,53.0
237,55.0
238,58.0
239,47.0
240,40.0
241,39.0
242,31.0
243,31.0
244,30.0
245,71.0
246,77.0
247,82.0
248,90.0
249,94.0
250,81.0
251,85.0
252,90.0
253,91.0
254,84.0
255,90.0
256,86.0
257,76.0
258,78.0
259,71.0
260,59.0
261,49.0
262,53.0
263,52.0
264,46.0
265,47.0
266,47.0
267,56.0
268,63.0
269,49.0
270,49.0
271,55.0
272,55.0
273,49.0
274,53.0
275,47.0
276,42.0
277,40.0
278,34.0
279,29.0
280,65.0
281,75.0
282,79.0
283,89.0
284,93.0
285,79.0
286,86.0
287,83.0
288,83.0
289,83.0
290,89.0
291,84.0
292,93.0
293,103.0
294,88.0
295,85.0
296,77.0
297,58.0
298,56.0
299,50.0
300,56.0
301,52.0
302,55.0
303,50.0
304,53.0
305,55.0
306,43.0
307,48.0
308,51.0
309,45.0
310,44.0
311,52.0
312,48.0
313,40.0
314,30.0
315,58.0
316,70.0
317,76.0
318,80.0
319,81.0
320,77.0
321,86.0
322,81.0
323,77.0
324,78.0
325,76.0
326,93.0
327,108.0
328,110.0
329,97.0
330,89.0
331,79.0
332,74.0
333,63.0
334,61.0
335,59.0
336,55.0
337,50.0
338,48.0
339,53.0
340,52.0
341,50.0
342,46.0
343,51.0
344,45.0
345,50.0
346,49.0
347,48.0
348,45.0
349,35.0
350,49.0
351,64.0
352,72.0
353,81.0
354,71.0
355,70.0
356,72.0
357,69.0
358,86.0
359,85.0
360,111.0
361,141.0
362,139.0
363,135.0
364,121.0
365,95.0
366,83.0
367,73.0
368,75.0
369,55.0
370,57.0
371,51.0
372,55.0
373,54.0
374,54.0
375,59.0
376,53.0
377,51.0
378,50.0
379,53.0
380,46.0
381,46.0
382,42.0
383,40.0
384,29.0
385,63.0
386,67.0
387,59.0
388,60.0
389,56.0
390,57.0
391,64.0
392,75.0
393,78.0
394,108.0
395,124.0
396,142.0
397,133.0
398,131.0
399,128.0
400,115.0
401,88.0
402,80.0
403,78.0
404,56.0
405,55.0
406,56.0
407,66.0
408,62.0
409,61.0
410,63.0
411,65.0
412,53.0
413,51.0
414,49.0
415,48.0
416,40.0
417,39.0
418,36.0
419,29.0
420,82.0
421,83.0
422,92.0
423,83.0
424,68.0
425,63.0
426,73.0
427,80.0
428,91.0
429,114.0
430,135.0
431,135.0
432,130.0
433,126.0
434,130.0
435,134.0
436,116.0
437,87.0
438,85.0
439,72.0
440,55.0
441,62.0
442,66.0
443,64.0
444,53.0
445,61.0
446,62.0
447,59.0
448,49.0
449,54.0
450,46.0
451,46.0
452,43.0
453,40.0
454,31.0
455,101.0
456,103.0
457,112.0
458,117.0
459,89.0
460,82.0
461,80.0
462,79.0
463,104.0
464,112.0
465,127.0
466,137.0
467,133.0
468,127.0
469,128.0
470,140.0
471,133.0
472,99.0
473,93.0
474,65.0
475,58.0
476,58.0
477,61.0
478,56.0
479,55.0
480,57.0
481,55.0
482,53.0
483,57.0
484,44.0
485,45.0
486,44.0
487,43.0
488,38.0
489,33.0
490,128.0
491,138.0
492,143.0
493,131.0
494,120.0
495,87.0
496,89.0
497,86.0
498,111.0
499,119.0
500,120.0
501,140.0
502,137.0
503,134.0
504,133.0
505,139.0
506,132.0
507,99.0
508,94.0
509,66.0
510,58.0
511,60.0
512,56.0
513,59.0
514,65.0
515,69.0
516,62.0
517,55.0
518,45.0
519,46.0
520,46.0
