Grid_Number,Ban_n_Connectivity
570,19.0
571,21.0
572,22.0
573,24.0
574,22.0
575,22.0
576,21.0
577,23.0
578,24.0
579,23.0
580,26.0
581,24.0
582,24.0
583,23.0
584,20.0
585,21.0
586,15.0
587,12.0
588,9.0
589,8.0
590,1.0
591,2.0
592,2.0
593,4.0
594,7.0
595,7.0
596,9.0
597,12.0
598,12.0
599,13.0
600,14.0
601,16.0
602,16.0
603,22.0
604,24.0
605,26.0
606,22.0
607,24.0
608,23.0
609,29.0
610,26.0
611,27.0
612,30.0
613,27.0
614,29.0
615,30.0
616,26.0
617,28.0
618,27.0
619,28.0
620,27.0
621,22.0
622,22.0
623,21.0
624,22.0
625,22.0
626,22.0
627,22.0
628,24.0
629,22.0
630,20.0
631,21.0
632,25.0
633,25.0
634,23.0
635,22.0
636,26.0
637,22.0
638,23.0
639,20.0
640,23.0
641,23.0
642,22.0
643,20.0
644,17.0
645,16.0
646,13.0
647,9.0
648,8.0
649,1.0
650,1.0
651,2.0
652,4.0
653,7.0
654,7.0
655,9.0
656,10.0
657,12.0
658,12.0
659,14.0
660,20.0
661,18.0
662,21.0
663,24.0
664,26.0
665,26.0
666,23.0
667,26.0
668,26.0
669,26.0
670,29.0
671,26.0
672,29.0
673,27.0
674,25.0
675,26.0
676,25.0
677,25.0
678,23.0
679,23.0
680,24.0
681,24.0
682,22.0
683,21.0
684,23.0
685,23.0
686,24.0
687,24.0
688,21.0
689,23.0
690,22.0
691,19.0
692,23.0
693,22.0
694,20.0
695,24.0
696,21.0
697,19.0
698,20.0
699,21.0
700,19.0
701,22.0
702,22.0
703,18.0
704,13.0
705,11.0
706,10.0
707,8.0
708,1.0
709,1.0
710,1.0
711,4.0
712,6.0
713,9.0
714,10.0
715,13.0
716,13.0
717,17.0
718,18.0
719,18.0
720,22.0
721,22.0
722,20.0
723,21.0
724,20.0
725,23.0
726,24.0
727,23.0
728,23.0
729,24.0
730,25.0
731,26.0
732,26.0
733,29.0
734,31.0
735,28.0
736,29.0
737,27.0
738,22.0
739,23.0
740,23.0
741,23.0
742,23.0
743,24.0
744,23.0
745,22.0
746,24.0
747,22.0
748,22.0
749,21.0
750,20.0
751,17.0
752,20.0
753,19.0
754,18.0
755,19.0
756,20.0
757,20.0
758,19.0
759,17.0
760,17.0
761,19.0
762,14.0
763,13.0
764,11.0
765,11.0
766,8.0
767,1.0
768,1.0
769,2.0
770,2.0
771,7.0
772,7.0
773,8.0
774,11.0
775,15.0
776,16.0
777,18.0
778,20.0
779,21.0
780,22.0
781,21.0
782,21.0
783,22.0
784,24.0
785,28.0
786,25.0
787,18.0
788,24.0
789,23.0
790,26.0
791,28.0
792,29.0
793,28.0
794,26.0
795,27.0
796,28.0
797,27.0
798,22.0
799,22.0
800,22.0
801,24.0
802,23.0
803,21.0
804,23.0
805,23.0
806,23.0
807,26.0
808,25.0
809,23.0
810,22.0
811,18.0
812,18.0
813,18.0
814,20.0
815,18.0
816,21.0
817,21.0
818,16.0
819,14.0
820,15.0
821,14.0
822,15.0
823,13.0
824,11.0
825,8.0
826,1.0
827,2.0
828,2.0
829,3.0
830,5.0
831,8.0
832,9.0
833,13.0
834,16.0
835,16.0
836,19.0
837,21.0
838,23.0
839,21.0
840,24.0
841,23.0
842,23.0
843,22.0
844,22.0
845,23.0
846,21.0
847,19.0
848,18.0
849,22.0
850,24.0
851,27.0
852,28.0
853,26.0
854,24.0
855,24.0
856,23.0
857,21.0
858,19.0
859,20.0
860,22.0
861,22.0
862,22.0
863,22.0
864,24.0
865,27.0
866,28.0
867,26.0
868,21.0
869,21.0
870,19.0
871,23.0
872,19.0
873,19.0
874,19.0
875,17.0
876,16.0
877,13.0
878,13.0
879,16.0
880,15.0
881,15.0
882,14.0
883,11.0
884,8.0
885,1.0
886,2.0
887,2.0
888,3.0
889,6.0
890,7.0
891,10.0
892,14.0
893,14.0
894,15.0
895,17.0
896,21.0
897,19.0
898,21.0
899,24.0
900,24.0
901,23.0
902,24.0
903,21.0
904,23.0
905,20.0
906,19.0
907,17.0
908,23.0
909,23.0
910,24.0
911,27.0
912,27.0
913,22.0
914,21.0
915,22.0
916,23.0
917,17.0
918,20.0
919,23.0
920,21.0
921,20.0
922,24.0
923,24.0
924,24.0
925,29.0
926,27.0
927,22.0
928,21.0
929,21.0
930,21.0
931,21.0
932,19.0
933,19.0
934,17.0
935,16.0
936,14.0
937,17.0
938,17.0
939,18.0
940,18.0
941,13.0
942,11.0
943,10.0
944,1.0
945,2.0
946,3.0
947,4.0
948,6.0
949,7.0
950,11.0
951,15.0
952,15.0
953,18.0
954,16.0
955,18.0
956,20.0
957,21.0
958,23.0
959,21.0
960,22.0
961,22.0
962,21.0
963,24.0
964,21.0
965,20.0
966,17.0
967,22.0
968,24.0
969,25.0
970,22.0
971,26.0
972,24.0
973,24.0
974,25.0
975,25.0
976,20.0
977,18.0
978,24.0
979,23.0
980,22.0
981,26.0
982,27.0
983,29.0
984,32.0
985,31.0
986,27.0
987,23.0
988,20.0
989,22.0
990,26.0
991,21.0
992,19.0
993,18.0
994,18.0
995,21.0
996,24.0
997,23.0
998,22.0
999,18.0
1000,17.0
1001,15.0
1002,13.0
1003,1.0
1004,1.0
1005,3.0
1006,5.0
1007,6.0
1008,8.0
1009,10.0
1010,14.0
1011,15.0
1012,19.0
1013,19.0
1014,19.0
1015,21.0
1016,22.0
1017,23.0
1018,21.0
1019,19.0
1020,20.0
1021,18.0
1022,18.0
1023,21.0
1024,19.0
1025,17.0
1026,24.0
1027,22.0
1028,22.0
1029,24.0
1030,22.0
1031,25.0
1032,27.0
1033,27.0
1034,28.0
1035,23.0
1036,26.0
1037,22.0
1038,26.0
1039,28.0
1040,25.0
1041,27.0
1042,27.0
1043,28.0
1044,31.0
1045,27.0
1046,26.0
1047,22.0
1048,21.0
1049,23.0
1050,23.0
1051,20.0
1052,20.0
1053,20.0
1054,24.0
1055,22.0
1056,22.0
1057,25.0
1058,24.0
1059,19.0
1060,17.0
1061,13.0
1062,1.0
1063,1.0
1064,3.0
1065,5.0
1066,6.0
1067,7.0
1068,10.0
1069,14.0
1070,18.0
1071,19.0
1072,20.0
1073,19.0
1074,20.0
1075,22.0
1076,21.0
1077,18.0
1078,18.0
1079,17.0
1080,16.0
1081,16.0
1082,18.0
1083,17.0
1084,17.0
1085,19.0
1086,25.0
1087,25.0
1088,26.0
1089,27.0
1090,27.0
1091,30.0
1092,30.0
1093,28.0
1094,29.0
1095,29.0
1096,26.0
1097,0.0
1098,0.0
1099,1.0
1100,30.0
1101,29.0
1102,30.0
1103,1.0
1104,26.0
1105,27.0
1106,24.0
1107,23.0
1108,23.0
1109,21.0
1110,20.0
1111,21.0
1112,22.0
1113,25.0
1114,23.0
1115,23.0
1116,25.0
1117,24.0
1118,22.0
1119,15.0
1120,15.0
1121,1.0
1122,1.0
1123,3.0
1124,4.0
1125,6.0
1126,7.0
1127,10.0
1128,13.0
1129,16.0
1130,18.0
1131,20.0
1132,19.0
1133,17.0
1134,21.0
1135,21.0
1136,18.0
1137,19.0
1138,19.0
1139,16.0
1140,16.0
1141,16.0
1142,16.0
1143,17.0
1144,17.0
1145,23.0
1146,26.0
1147,30.0
1148,29.0
1149,32.0
1150,34.0
1151,34.0
1152,35.0
1153,36.0
1154,39.0
1155,45.0
1156,46.0
1157,0.0
1158,0.0
1159,0.0
1160,38.0
1161,1.0
1162,29.0
1163,28.0
1164,28.0
1165,27.0
1166,20.0
1167,21.0
1168,21.0
1169,20.0
1170,21.0
1171,25.0
1172,24.0
1173,26.0
1174,26.0
1175,25.0
1176,26.0
1177,24.0
1178,21.0
1179,15.0
1180,1.0
1181,1.0
1182,3.0
1183,3.0
1184,4.0
1185,6.0
1186,10.0
1187,13.0
1188,12.0
1189,15.0
1190,18.0
1191,18.0
1192,19.0
1193,17.0
1194,17.0
1195,15.0
1196,18.0
1197,18.0
1198,16.0
1199,20.0
1200,16.0
1201,12.0
1202,18.0
1203,21.0
1204,23.0
1205,26.0
1206,32.0
1207,34.0
1208,33.0
1209,38.0
1210,3.0
1211,2.0
1212,1.0
1213,1.0
1214,1.0
1215,0.0
1216,0.0
1217,1.0
1218,46.0
1219,0.0
1220,38.0
1221,33.0
1222,30.0
1223,30.0
1224,25.0
1225,22.0
1226,21.0
1227,20.0
1228,18.0
1229,20.0
1230,24.0
1231,27.0
1232,27.0
1233,33.0
1234,29.0
1235,29.0
1236,27.0
1237,24.0
1238,19.0
1239,1.0
1240,2.0
1241,3.0
1242,4.0
1243,7.0
1244,8.0
1245,9.0
1246,10.0
1247,11.0
1248,12.0
1249,12.0
1250,13.0
1251,15.0
1252,16.0
1253,15.0
1254,14.0
1255,17.0
1256,18.0
1257,17.0
1258,17.0
1259,15.0
1260,17.0
1261,20.0
1262,23.0
1263,22.0
1264,26.0
1265,31.0
1266,34.0
1267,38.0
1268,46.0
1269,1.0
1270,2.0
1271,3.0
1272,2.0
1273,3.0
1274,1.0
1275,0.0
1276,2.0
1277,1.0
1278,45.0
1279,41.0
1280,38.0
1281,31.0
1282,25.0
1283,20.0
1284,20.0
1285,18.0
1286,17.0
1287,17.0
1288,20.0
1289,27.0
1290,27.0
1291,28.0
1292,34.0
1293,35.0
1294,30.0
1295,27.0
1296,25.0
1297,20.0
1298,2.0
1299,2.0
1300,2.0
1301,6.0
1302,7.0
1303,9.0
1304,10.0
1305,10.0
1306,10.0
1307,11.0
1308,11.0
1309,12.0
1310,11.0
1311,14.0
1312,16.0
1313,16.0
1314,14.0
1315,15.0
1316,19.0
1317,19.0
1318,20.0
1319,22.0
1320,24.0
1321,27.0
1322,29.0
1323,29.0
1324,36.0
1325,1.0
1326,0.0
1327,0.0
1328,1.0
1329,0.0
1330,1.0
1331,5.0
1332,1.0
1333,1.0
1334,2.0
1335,1.0
1336,5.0
1337,48.0
1338,43.0
1339,40.0
1340,29.0
1341,23.0
1342,19.0
1343,16.0
1344,16.0
1345,15.0
1346,18.0
1347,23.0
1348,23.0
1349,26.0
1350,32.0
1351,32.0
1352,34.0
1353,35.0
1354,31.0
1355,25.0
1356,20.0
1357,2.0
1358,2.0
1359,3.0
1360,4.0
1361,7.0
1362,9.0
1363,9.0
1364,9.0
1365,9.0
1366,10.0
1367,10.0
1368,9.0
1369,10.0
1370,10.0
1371,14.0
1372,14.0
1373,14.0
1374,14.0
1375,17.0
1376,19.0
1377,24.0
1378,21.0
1379,28.0
1380,30.0
1381,32.0
1382,33.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,3.0
1388,2.0
1389,2.0
1390,1.0
1391,3.0
1392,2.0
1393,1.0
1394,4.0
1395,4.0
1396,52.0
1397,41.0
1398,35.0
1399,27.0
1400,22.0
1401,23.0
1402,20.0
1403,20.0
1404,19.0
1405,18.0
1406,21.0
1407,25.0
1408,26.0
1409,30.0
1410,31.0
1411,33.0
1412,34.0
1413,30.0
1414,23.0
1415,20.0
1416,2.0
1417,3.0
1418,4.0
1419,4.0
1420,5.0
1421,6.0
1422,8.0
1423,9.0
1424,7.0
1425,9.0
1426,8.0
1427,8.0
1428,9.0
1429,14.0
1430,12.0
1431,12.0
1432,12.0
1433,14.0
1434,18.0
1435,19.0
1436,21.0
1437,26.0
1438,28.0
1439,31.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,1.0
1445,1.0
1446,2.0
1447,1.0
1448,2.0
1449,0.0
1450,4.0
1451,3.0
1452,88.0
1453,81.0
1454,69.0
1455,52.0
1456,44.0
1457,36.0
1458,29.0
1459,24.0
1460,22.0
1461,21.0
1462,21.0
1463,20.0
1464,20.0
1465,18.0
1466,23.0
1467,28.0
1468,31.0
1469,25.0
1470,31.0
1471,28.0
1472,25.0
1473,24.0
1474,16.0
1475,3.0
1476,3.0
1477,4.0
1478,4.0
1479,5.0
1480,6.0
1481,6.0
1482,6.0
1483,7.0
1484,7.0
1485,7.0
1486,6.0
1487,11.0
1488,11.0
1489,12.0
1490,12.0
1491,16.0
1492,16.0
1493,19.0
1494,21.0
1495,24.0
1496,25.0
1497,27.0
1498,31.0
1499,40.0
1500,1.0
1501,0.0
1502,1.0
1503,49.0
1504,1.0
1505,80.0
1506,2.0
1507,1.0
1508,6.0
1509,2.0
1510,1.0
1511,88.0
1512,79.0
1513,61.0
1514,46.0
1515,41.0
1516,38.0
1517,29.0
1518,24.0
1519,22.0
1520,17.0
1521,18.0
1522,18.0
1523,19.0
1524,23.0
1525,21.0
1526,23.0
1527,24.0
1528,26.0
1529,27.0
1530,24.0
1531,22.0
1532,21.0
1533,16.0
1534,2.0
1535,3.0
1536,3.0
1537,4.0
1538,5.0
1539,5.0
1540,5.0
1541,6.0
1542,6.0
1543,6.0
1544,6.0
1545,9.0
1546,11.0
1547,14.0
1548,12.0
1549,14.0
1550,17.0
1551,19.0
1552,22.0
1553,23.0
1554,25.0
1555,25.0
1556,26.0
1557,31.0
1558,38.0
1559,0.0
1560,1.0
1561,48.0
1562,51.0
1563,57.0
1564,75.0
1565,1.0
1566,0.0
1567,90.0
1568,91.0
1569,93.0
1570,87.0
1571,80.0
1572,58.0
1573,45.0
1574,36.0
1575,32.0
1576,28.0
1577,26.0
1578,22.0
1579,19.0
1580,19.0
1581,19.0
1582,18.0
1583,24.0
1584,20.0
1585,20.0
1586,22.0
1587,24.0
1588,26.0
1589,23.0
1590,22.0
1591,19.0
1592,14.0
1593,2.0
1594,2.0
1595,3.0
1596,4.0
1597,5.0
1598,5.0
1599,5.0
1600,6.0
1601,6.0
1602,6.0
1603,11.0
1604,11.0
1605,12.0
1606,15.0
1607,14.0
1608,15.0
1609,18.0
1610,19.0
1611,21.0
1612,25.0
1613,26.0
1614,25.0
1615,25.0
1616,33.0
1617,42.0
1618,43.0
1619,0.0
1620,1.0
1621,1.0
1622,52.0
1623,2.0
1624,0.0
1625,2.0
1626,87.0
1627,84.0
1628,80.0
1629,80.0
1630,70.0
1631,0.0
1632,1.0
1633,27.0
1634,32.0
1635,26.0
1636,26.0
1637,23.0
1638,21.0
1639,20.0
1640,20.0
1641,24.0
1642,21.0
1643,15.0
1644,19.0
1645,21.0
1646,21.0
1647,27.0
1648,24.0
1649,22.0
1650,16.0
1651,13.0
1652,0.0
1653,2.0
1654,2.0
1655,3.0
1656,4.0
1657,6.0
1658,7.0
1659,7.0
1660,7.0
1661,15.0
1662,15.0
1663,16.0
1664,16.0
1665,14.0
1666,16.0
1667,16.0
1668,16.0
1669,17.0
1670,21.0
1671,25.0
1672,23.0
1673,26.0
1674,29.0
1675,36.0
1676,0.0
1677,44.0
1678,0.0
1679,0.0
1680,1.0
1681,1.0
1682,0.0
1683,72.0
1684,72.0
1685,70.0
1686,1.0
1687,71.0
1688,67.0
1689,1.0
1690,1.0
1691,1.0
1692,26.0
1693,26.0
1694,25.0
1695,25.0
1696,23.0
1697,22.0
1698,18.0
1699,20.0
1700,22.0
1701,23.0
1702,18.0
1703,16.0
1704,17.0
1705,18.0
1706,19.0
1707,22.0
1708,19.0
1709,15.0
1710,12.0
1711,1.0
1712,1.0
1713,2.0
1714,2.0
1715,5.0
1716,5.0
1717,6.0
1718,7.0
1719,13.0
1720,17.0
1721,19.0
1722,18.0
1723,20.0
1724,19.0
1725,21.0
1726,19.0
1727,16.0
1728,17.0
1729,19.0
1730,22.0
1731,24.0
1732,24.0
1733,26.0
1734,32.0
1735,30.0
1736,0.0
1737,41.0
1738,0.0
1739,1.0
1740,45.0
1741,54.0
1742,0.0
1743,60.0
1744,65.0
1745,62.0
1746,55.0
1747,53.0
1748,1.0
1749,1.0
1750,1.0
1751,24.0
1752,24.0
1753,25.0
1754,23.0
1755,19.0
1756,19.0
1757,19.0
1758,20.0
1759,18.0
1760,20.0
1761,13.0
1762,15.0
1763,12.0
1764,15.0
1765,18.0
1766,21.0
1767,19.0
1768,13.0
1769,11.0
1770,1.0
1771,1.0
1772,1.0
1773,2.0
1774,3.0
1775,5.0
1776,6.0
1777,8.0
1778,13.0
1779,16.0
1780,17.0
1781,20.0
1782,20.0
1783,20.0
1784,21.0
1785,21.0
1786,19.0
1787,18.0
1788,17.0
1789,19.0
1790,23.0
1791,23.0
1792,24.0
1793,27.0
1794,0.0
1795,0.0
1796,0.0
1797,1.0
1798,35.0
1799,40.0
1800,1.0
1801,47.0
1802,50.0
1803,0.0
1804,50.0
1805,50.0
1806,2.0
1807,1.0
1808,2.0
1809,0.0
1810,2.0
1811,20.0
1812,23.0
1813,22.0
1814,19.0
1815,19.0
1816,17.0
1817,20.0
1818,20.0
1819,16.0
1820,14.0
1821,14.0
1822,13.0
1823,14.0
1824,17.0
1825,18.0
1826,16.0
1827,13.0
1828,12.0
1829,1.0
1830,1.0
1831,1.0
1832,3.0
1833,4.0
1834,5.0
1835,7.0
1836,12.0
1837,15.0
1838,18.0
1839,18.0
1840,20.0
1841,19.0
1842,0.0
1843,21.0
1844,20.0
1845,23.0
1846,19.0
1847,20.0
1848,16.0
1849,21.0
1850,24.0
1851,24.0
1852,25.0
1853,27.0
1854,2.0
1855,0.0
1856,0.0
1857,34.0
1858,37.0
1859,42.0
1860,40.0
1861,44.0
1862,49.0
1863,55.0
1864,48.0
1865,3.0
1866,2.0
1867,1.0
1868,1.0
1869,20.0
1870,18.0
1871,16.0
1872,18.0
1873,18.0
1874,18.0
1875,19.0
1876,18.0
1877,14.0
1878,15.0
1879,15.0
1880,14.0
1881,15.0
1882,15.0
1883,17.0
1884,16.0
1885,14.0
1886,13.0
1887,11.0
1888,1.0
1889,1.0
1890,1.0
1891,3.0
1892,4.0
1893,6.0
1894,9.0
1895,15.0
1896,17.0
1897,22.0
1898,23.0
1899,21.0
1900,21.0
1901,1.0
1902,20.0
1903,21.0
1904,21.0
1905,21.0
1906,19.0
1907,17.0
1908,19.0
1909,22.0
1910,22.0
1911,24.0
1912,25.0
1913,1.0
1914,0.0
1915,29.0
1916,34.0
1917,33.0
1918,35.0
1919,36.0
1920,40.0
1921,47.0
1922,47.0
1923,47.0
1924,39.0
1925,32.0
1926,30.0
1927,22.0
1928,19.0
1929,17.0
1930,18.0
1931,15.0
1932,15.0
1933,14.0
1934,12.0
1935,12.0
1936,12.0
1937,14.0
1938,14.0
1939,11.0
1940,14.0
1941,17.0
1942,15.0
1943,16.0
1944,15.0
1945,15.0
1946,12.0
1947,1.0
1948,1.0
1949,1.0
1950,3.0
1951,3.0
1952,10.0
1953,13.0
1954,16.0
1955,22.0
1956,23.0
1957,24.0
1958,24.0
1959,21.0
1960,21.0
1961,21.0
1962,24.0
1963,22.0
1964,20.0
1965,20.0
1966,17.0
1967,16.0
1968,21.0
1969,21.0
1970,24.0
1971,25.0
1972,20.0
1973,19.0
1974,25.0
1975,29.0
1976,28.0
1977,31.0
1978,31.0
1979,37.0
1980,42.0
1981,44.0
1982,43.0
1983,34.0
1984,1.0
1985,27.0
1986,22.0
1987,17.0
1988,18.0
1989,15.0
1990,13.0
1991,14.0
1992,14.0
1993,13.0
1994,12.0
1995,11.0
1996,11.0
1997,11.0
1998,14.0
1999,16.0
2000,15.0
2001,16.0
2002,17.0
2003,15.0
2004,14.0
2005,12.0
2006,1.0
2007,1.0
2008,1.0
2009,1.0
2010,8.0
2011,13.0
2012,13.0
2013,16.0
2014,20.0
2015,24.0
2016,26.0
2017,26.0
2018,24.0
2019,22.0
2020,22.0
2021,21.0
2022,16.0
2023,13.0
2024,19.0
2025,17.0
2026,14.0
2027,17.0
2028,20.0
2029,25.0
2030,24.0
2031,21.0
2032,21.0
2033,25.0
2034,27.0
2035,24.0
2036,25.0
2037,1.0
2038,33.0
2039,35.0
2040,37.0
2041,3.0
2042,31.0
2043,3.0
2044,29.0
2045,21.0
2046,16.0
2047,14.0
2048,10.0
2049,12.0
2050,11.0
2051,14.0
2052,13.0
2053,14.0
2054,12.0
2055,10.0
2056,15.0
2057,15.0
2058,17.0
2059,15.0
2060,15.0
2061,17.0
2062,15.0
2063,14.0
2064,12.0
2065,1.0
2066,1.0
2067,1.0
2068,4.0
2069,8.0
2070,11.0
2071,13.0
2072,15.0
2073,20.0
2074,23.0
2075,25.0
2076,23.0
2077,23.0
2078,21.0
2079,18.0
2080,14.0
2081,17.0
2082,17.0
2083,17.0
2084,17.0
2085,14.0
2086,14.0
2087,18.0
2088,23.0
2089,23.0
2090,19.0
2091,15.0
2092,21.0
2093,0.0
2094,20.0
2095,22.0
2096,31.0
2097,1.0
2098,1.0
2099,1.0
2100,2.0
2101,3.0
2102,1.0
2103,25.0
2104,21.0
2105,18.0
2106,13.0
2107,11.0
2108,12.0
2109,10.0
2110,12.0
2111,14.0
2112,13.0
2113,10.0
2114,12.0
2115,15.0
2116,16.0
2117,20.0
2118,15.0
2119,18.0
2120,15.0
2121,14.0
2122,13.0
2123,11.0
2124,1.0
2125,1.0
2126,2.0
2127,5.0
2128,8.0
2129,9.0
2130,14.0
2131,15.0
2132,18.0
2133,23.0
2134,23.0
2135,29.0
2136,24.0
