Grid_Number,Ban_n_Connectivity
0,0.0
1,0.0
2,1.0
3,2.0
4,2.0
5,2.0
6,2.0
7,1.0
8,2.0
9,2.0
10,2.0
11,3.0
12,3.0
13,3.0
14,5.0
15,5.0
16,6.0
17,6.0
18,6.0
19,10.0
20,9.0
21,10.0
22,10.0
23,10.0
24,9.0
25,9.0
26,10.0
27,13.0
28,11.0
29,11.0
30,8.0
31,8.0
32,5.0
33,7.0
34,8.0
35,7.0
36,8.0
37,9.0
38,11.0
39,11.0
40,11.0
41,13.0
42,14.0
43,13.0
44,11.0
45,11.0
46,11.0
47,13.0
48,13.0
49,12.0
50,9.0
51,8.0
52,6.0
53,6.0
54,6.0
55,5.0
56,5.0
57,4.0
58,4.0
59,0.0
60,1.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,1.0
67,3.0
68,2.0
69,4.0
70,4.0
71,5.0
72,8.0
73,8.0
74,10.0
75,11.0
76,8.0
77,9.0
78,10.0
79,11.0
80,13.0
81,14.0
82,15.0
83,16.0
84,16.0
85,17.0
86,14.0
87,14.0
88,12.0
89,12.0
90,10.0
91,9.0
92,9.0
93,11.0
94,12.0
95,12.0
96,11.0
97,12.0
98,11.0
99,12.0
100,15.0
101,16.0
102,14.0
103,14.0
104,15.0
105,17.0
106,15.0
107,16.0
108,14.0
109,13.0
110,10.0
111,7.0
112,7.0
113,6.0
114,5.0
115,5.0
116,4.0
117,4.0
118,1.0
119,1.0
120,1.0
121,2.0
122,3.0
123,3.0
124,4.0
125,3.0
126,2.0
127,4.0
128,5.0
129,5.0
130,8.0
131,8.0
132,10.0
133,8.0
134,10.0
135,12.0
136,12.0
137,13.0
138,13.0
139,17.0
140,19.0
141,18.0
142,22.0
143,22.0
144,22.0
145,20.0
146,20.0
147,17.0
148,16.0
149,19.0
150,14.0
151,12.0
152,11.0
153,14.0
154,15.0
155,16.0
156,15.0
157,15.0
158,14.0
159,15.0
160,17.0
161,16.0
162,17.0
163,18.0
164,18.0
165,18.0
166,19.0
167,19.0
168,17.0
169,14.0
170,12.0
171,6.0
172,6.0
173,3.0
174,3.0
175,2.0
176,4.0
177,1.0
178,1.0
179,2.0
180,2.0
181,3.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,5.0
188,8.0
189,9.0
190,10.0
191,11.0
192,12.0
193,14.0
194,18.0
195,20.0
196,19.0
197,20.0
198,21.0
199,23.0
200,22.0
201,23.0
202,23.0
203,23.0
204,21.0
205,19.0
206,19.0
207,20.0
208,18.0
209,18.0
210,15.0
211,13.0
212,16.0
213,16.0
214,17.0
215,18.0
216,18.0
217,18.0
218,20.0
219,21.0
220,22.0
221,21.0
222,22.0
223,21.0
224,24.0
225,21.0
226,20.0
227,18.0
228,19.0
229,16.0
230,16.0
231,8.0
232,4.0
233,3.0
234,2.0
235,1.0
236,1.0
237,1.0
238,2.0
239,3.0
240,4.0
241,6.0
242,6.0
243,5.0
244,5.0
245,6.0
246,8.0
247,11.0
248,11.0
249,13.0
250,12.0
251,16.0
252,17.0
253,19.0
254,24.0
255,25.0
256,23.0
257,24.0
258,25.0
259,28.0
260,27.0
261,27.0
262,27.0
263,22.0
264,24.0
265,23.0
266,21.0
267,19.0
268,18.0
269,19.0
270,19.0
271,17.0
272,20.0
273,20.0
274,18.0
275,20.0
276,20.0
277,21.0
278,24.0
279,25.0
280,22.0
281,23.0
282,27.0
283,25.0
284,23.0
285,23.0
286,22.0
287,19.0
288,18.0
289,16.0
290,12.0
291,7.0
292,3.0
293,1.0
294,1.0
295,1.0
296,1.0
297,3.0
298,3.0
299,5.0
300,5.0
301,6.0
302,6.0
303,8.0
304,8.0
305,10.0
306,12.0
307,13.0
308,14.0
309,17.0
310,18.0
311,23.0
312,25.0
313,27.0
314,24.0
315,27.0
316,28.0
317,25.0
318,28.0
319,29.0
320,29.0
321,25.0
322,23.0
323,25.0
324,25.0
325,23.0
326,23.0
327,20.0
328,18.0
329,20.0
330,19.0
331,18.0
332,20.0
333,20.0
334,21.0
335,23.0
336,23.0
337,26.0
338,22.0
339,20.0
340,24.0
341,23.0
342,26.0
343,28.0
344,26.0
345,25.0
346,25.0
347,22.0
348,16.0
349,13.0
350,9.0
351,5.0
352,2.0
353,2.0
354,1.0
355,3.0
356,3.0
357,4.0
358,5.0
359,6.0
360,6.0
361,8.0
362,10.0
363,10.0
364,12.0
365,12.0
366,15.0
367,15.0
368,19.0
369,21.0
370,24.0
371,26.0
372,25.0
373,27.0
374,25.0
375,29.0
376,31.0
377,30.0
378,30.0
379,28.0
380,27.0
381,25.0
382,27.0
383,26.0
384,26.0
385,27.0
386,23.0
387,21.0
388,21.0
389,21.0
390,20.0
391,19.0
392,22.0
393,25.0
394,23.0
395,24.0
396,26.0
397,20.0
398,24.0
399,22.0
400,25.0
401,29.0
402,29.0
403,28.0
404,26.0
405,24.0
406,22.0
407,17.0
408,13.0
409,11.0
410,8.0
411,4.0
412,3.0
413,1.0
414,2.0
415,3.0
416,4.0
417,6.0
418,7.0
419,7.0
420,10.0
421,12.0
422,14.0
423,15.0
424,16.0
425,18.0
426,21.0
427,24.0
428,26.0
429,28.0
430,24.0
431,28.0
432,27.0
433,27.0
434,30.0
435,29.0
436,33.0
437,32.0
438,28.0
439,31.0
440,31.0
441,27.0
442,25.0
443,26.0
444,24.0
445,21.0
446,19.0
447,19.0
448,21.0
449,21.0
450,19.0
451,20.0
452,23.0
453,22.0
454,24.0
455,22.0
456,21.0
457,22.0
458,20.0
459,25.0
460,29.0
461,26.0
462,28.0
463,25.0
464,21.0
465,19.0
466,18.0
467,16.0
468,11.0
469,11.0
470,9.0
471,3.0
472,1.0
473,2.0
474,3.0
475,5.0
476,6.0
477,7.0
478,8.0
479,11.0
480,13.0
481,17.0
482,15.0
483,15.0
484,20.0
485,24.0
486,25.0
487,26.0
488,28.0
489,27.0
490,26.0
491,25.0
492,26.0
493,26.0
494,32.0
495,32.0
496,30.0
497,29.0
498,33.0
499,34.0
500,36.0
501,26.0
502,23.0
503,23.0
504,21.0
505,21.0
506,22.0
507,23.0
508,22.0
509,19.0
510,17.0
511,21.0
512,20.0
513,23.0
514,22.0
515,22.0
516,21.0
517,24.0
518,25.0
519,23.0
520,27.0
521,27.0
522,24.0
523,20.0
524,23.0
525,19.0
526,17.0
527,13.0
528,10.0
529,8.0
530,7.0
531,1.0
532,2.0
533,2.0
534,5.0
535,6.0
536,8.0
537,9.0
538,11.0
539,13.0
540,14.0
541,16.0
542,15.0
543,19.0
544,22.0
545,27.0
546,27.0
547,27.0
548,26.0
549,26.0
550,25.0
551,25.0
552,27.0
553,29.0
554,30.0
555,28.0
556,29.0
557,32.0
558,30.0
559,27.0
560,29.0
561,24.0
562,22.0
563,22.0
564,22.0
565,22.0
566,24.0
567,23.0
568,22.0
569,20.0
