Grid_Number,Kol_n_Connectivity
0,17.0
1,19.0
2,24.0
3,22.0
4,19.0
5,24.0
6,26.0
7,26.0
8,25.0
9,25.0
10,24.0
11,21.0
12,18.0
13,12.0
14,20.0
15,25.0
16,25.0
17,26.0
18,28.0
19,2.0
20,31.0
21,31.0
22,32.0
23,32.0
24,25.0
25,25.0
26,21.0
27,17.0
28,21.0
29,26.0
30,30.0
31,32.0
32,1.0
33,40.0
34,41.0
35,41.0
36,44.0
37,43.0
38,37.0
39,37.0
40,23.0
41,20.0
42,30.0
43,38.0
44,40.0
45,1.0
46,1.0
47,42.0
48,50.0
49,55.0
50,58.0
51,51.0
52,52.0
53,49.0
54,43.0
55,31.0
56,35.0
57,39.0
58,43.0
59,2.0
60,3.0
61,53.0
62,62.0
63,63.0
64,70.0
65,67.0
66,68.0
67,64.0
68,56.0
69,34.0
70,52.0
71,58.0
72,57.0
73,60.0
74,1.0
75,1.0
76,67.0
77,73.0
78,78.0
79,82.0
80,86.0
81,74.0
82,60.0
83,47.0
84,63.0
85,2.0
86,2.0
87,82.0
88,80.0
89,77.0
90,72.0
91,83.0
92,82.0
93,87.0
94,89.0
95,81.0
96,65.0
97,57.0
98,67.0
99,3.0
100,1.0
101,1.0
102,0.0
103,81.0
104,80.0
105,85.0
106,90.0
107,97.0
108,96.0
109,85.0
110,72.0
111,64.0
112,68.0
113,2.0
114,3.0
115,1.0
116,0.0
117,1.0
118,1.0
119,5.0
120,3.0
121,3.0
122,6.0
123,96.0
124,79.0
125,67.0
126,72.0
127,7.0
128,3.0
129,2.0
130,1.0
131,1.0
132,1.0
133,4.0
134,1.0
135,1.0
136,1.0
137,3.0
138,82.0
139,66.0
140,70.0
141,72.0
142,73.0
143,3.0
144,3.0
145,2.0
146,1.0
147,2.0
148,2.0
149,1.0
150,4.0
151,4.0
152,1.0
153,2.0
154,64.0
155,70.0
156,70.0
157,72.0
158,1.0
159,1.0
160,1.0
161,1.0
162,4.0
163,2.0
164,5.0
165,5.0
166,2.0
167,1.0
168,55.0
169,60.0
170,63.0
171,63.0
172,61.0
173,55.0
174,0.0
175,1.0
176,2.0
177,61.0
178,64.0
179,61.0
180,60.0
181,52.0
182,53.0
183,54.0
184,57.0
185,55.0
186,48.0
187,42.0
188,35.0
189,42.0
190,47.0
191,50.0
192,50.0
193,47.0
194,44.0
195,36.0
