Grid_Number,Mum_n_Connectivity
0,6.0
1,6.0
2,8.0
3,10.0
4,15.0
5,21.0
6,27.0
7,29.0
8,27.0
9,19.0
10,5.0
11,6.0
12,5.0
13,4.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,3.0
20,3.0
21,3.0
22,5.0
23,7.0
24,10.0
25,8.0
26,6.0
27,5.0
28,3.0
29,4.0
30,6.0
31,6.0
32,5.0
33,5.0
34,4.0
35,4.0
36,3.0
37,2.0
38,7.0
39,9.0
40,17.0
41,32.0
42,43.0
43,46.0
44,48.0
45,52.0
46,49.0
47,46.0
48,37.0
49,17.0
50,12.0
51,6.0
52,6.0
53,4.0
54,4.0
55,4.0
56,3.0
57,5.0
58,6.0
59,11.0
60,16.0
61,15.0
62,13.0
63,14.0
64,13.0
65,9.0
66,7.0
67,6.0
68,7.0
69,11.0
70,11.0
71,11.0
72,9.0
73,6.0
74,4.0
75,3.0
76,11.0
77,16.0
78,31.0
79,46.0
80,59.0
81,68.0
82,69.0
83,68.0
84,69.0
85,69.0
86,64.0
87,42.0
88,26.0
89,22.0
90,13.0
91,11.0
92,19.0
93,23.0
94,22.0
95,20.0
96,18.0
97,22.0
98,18.0
99,19.0
100,18.0
101,19.0
102,19.0
103,20.0
104,14.0
105,11.0
106,14.0
107,15.0
108,13.0
109,16.0
110,14.0
111,12.0
112,5.0
113,4.0
114,14.0
115,24.0
116,41.0
117,51.0
118,68.0
119,79.0
120,84.0
121,1.0
122,89.0
123,87.0
124,84.0
125,76.0
126,55.0
127,52.0
128,50.0
129,36.0
130,34.0
131,41.0
132,44.0
133,42.0
134,41.0
135,40.0
136,36.0
137,33.0
138,32.0
139,27.0
140,30.0
141,31.0
142,38.0
143,29.0
144,30.0
145,29.0
146,26.0
147,24.0
148,20.0
149,18.0
150,17.0
151,8.0
152,17.0
153,27.0
154,42.0
155,63.0
156,77.0
157,83.0
158,4.0
159,7.0
160,2.0
161,108.0
162,1.0
163,1.0
164,81.0
165,75.0
166,76.0
167,75.0
168,60.0
169,59.0
170,60.0
171,55.0
172,58.0
173,66.0
174,63.0
175,52.0
176,54.0
177,47.0
178,48.0
179,56.0
180,51.0
181,0.0
182,0.0
183,42.0
184,51.0
185,43.0
186,39.0
187,34.0
188,23.0
189,14.0
190,19.0
191,27.0
192,2.0
193,2.0
194,2.0
195,6.0
196,6.0
197,5.0
198,6.0
199,4.0
200,3.0
201,1.0
202,1.0
203,106.0
204,102.0
205,115.0
206,1.0
207,95.0
208,1.0
209,85.0
210,84.0
211,82.0
212,84.0
213,86.0
214,4.0
215,61.0
216,73.0
217,65.0
218,67.0
219,1.0
220,1.0
221,0.0
222,2.0
223,1.0
224,53.0
225,42.0
226,40.0
227,20.0
228,21.0
229,27.0
230,35.0
231,3.0
232,3.0
233,3.0
234,3.0
235,4.0
236,6.0
237,2.0
238,4.0
239,5.0
240,2.0
241,1.0
242,124.0
243,134.0
244,4.0
245,4.0
246,4.0
247,5.0
248,2.0
249,1.0
250,1.0
251,1.0
252,1.0
253,3.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,0.0
261,1.0
262,63.0
263,52.0
264,47.0
265,38.0
266,19.0
267,25.0
268,33.0
269,45.0
270,73.0
271,1.0
272,2.0
273,3.0
274,4.0
275,4.0
276,2.0
277,1.0
278,8.0
279,6.0
280,4.0
281,3.0
282,8.0
283,3.0
284,4.0
285,6.0
286,3.0
287,4.0
288,3.0
289,2.0
290,2.0
291,1.0
292,1.0
293,4.0
294,1.0
295,7.0
296,2.0
297,3.0
298,1.0
299,80.0
300,68.0
301,63.0
302,49.0
303,40.0
304,14.0
305,22.0
306,28.0
307,39.0
308,50.0
309,76.0
310,88.0
311,94.0
312,112.0
313,1.0
314,6.0
315,3.0
316,5.0
317,5.0
318,3.0
319,1.0
320,151.0
321,2.0
322,1.0
323,2.0
324,4.0
325,1.0
326,5.0
327,2.0
328,1.0
329,1.0
330,5.0
331,1.0
332,2.0
333,5.0
334,92.0
335,5.0
336,2.0
337,5.0
338,6.0
339,64.0
340,51.0
341,41.0
342,10.0
343,15.0
344,21.0
345,27.0
346,33.0
347,47.0
348,65.0
349,67.0
350,76.0
351,92.0
352,108.0
353,114.0
354,2.0
355,2.0
356,2.0
357,10.0
358,2.0
359,7.0
360,3.0
361,1.0
362,1.0
363,2.0
364,7.0
365,1.0
366,3.0
367,105.0
368,97.0
369,76.0
370,3.0
371,1.0
372,2.0
373,1.0
374,2.0
375,2.0
376,2.0
377,2.0
378,1.0
379,42.0
380,3.0
381,5.0
382,13.0
383,14.0
384,18.0
385,20.0
386,25.0
387,33.0
388,41.0
389,62.0
390,91.0
391,100.0
392,100.0
393,3.0
394,7.0
395,3.0
396,2.0
397,3.0
398,3.0
399,1.0
400,2.0
401,5.0
402,1.0
403,4.0
404,113.0
405,108.0
406,92.0
407,70.0
408,0.0
409,70.0
410,0.0
411,1.0
412,82.0
413,75.0
414,64.0
415,55.0
416,1.0
417,39.0
418,3.0
419,3.0
420,4.0
421,4.0
422,5.0
423,7.0
424,12.0
425,18.0
426,24.0
427,32.0
428,60.0
429,76.0
430,87.0
431,113.0
432,1.0
433,138.0
434,3.0
435,5.0
436,2.0
437,2.0
438,2.0
439,0.0
440,3.0
441,112.0
442,105.0
443,103.0
444,72.0
445,62.0
446,59.0
447,61.0
448,69.0
449,68.0
450,65.0
451,63.0
452,62.0
453,52.0
454,39.0
455,33.0
456,2.0
457,3.0
458,3.0
459,3.0
460,3.0
461,3.0
462,3.0
463,3.0
464,10.0
465,15.0
466,30.0
467,0.0
468,1.0
469,0.0
470,106.0
471,1.0
472,1.0
473,4.0
474,5.0
475,4.0
476,1.0
477,1.0
478,1.0
479,116.0
480,110.0
481,88.0
482,70.0
483,47.0
484,46.0
485,46.0
486,46.0
487,50.0
488,47.0
489,48.0
490,46.0
491,41.0
492,32.0
493,18.0
494,1.0
495,2.0
496,3.0
497,3.0
498,3.0
499,3.0
500,3.0
501,3.0
502,4.0
503,7.0
504,12.0
505,0.0
506,0.0
507,0.0
508,82.0
509,104.0
510,2.0
511,4.0
512,2.0
513,6.0
514,2.0
515,2.0
516,102.0
517,101.0
518,92.0
519,75.0
520,58.0
521,43.0
522,39.0
523,41.0
524,37.0
525,30.0
526,27.0
527,30.0
528,31.0
529,28.0
530,20.0
531,12.0
532,1.0
