Grid_Number,Hyd_n_Connectivity
0,7.0
1,8.0
2,12.0
3,20.0
4,21.0
5,28.0
6,33.0
7,38.0
8,37.0
9,33.0
10,33.0
11,38.0
12,27.0
13,28.0
14,33.0
15,30.0
16,33.0
17,27.0
18,23.0
19,10.0
20,12.0
21,10.0
22,22.0
23,34.0
24,40.0
25,37.0
26,41.0
27,43.0
28,46.0
29,49.0
30,0.0
31,42.0
32,34.0
33,42.0
34,47.0
35,42.0
36,38.0
37,28.0
38,13.0
39,13.0
40,16.0
41,27.0
42,38.0
43,42.0
44,43.0
45,47.0
46,47.0
47,0.0
48,1.0
49,0.0
50,62.0
51,53.0
52,54.0
53,57.0
54,54.0
55,48.0
56,32.0
57,13.0
58,14.0
59,17.0
60,29.0
61,43.0
62,45.0
63,51.0
64,50.0
65,3.0
66,0.0
67,0.0
68,0.0
69,70.0
70,70.0
71,69.0
72,64.0
73,58.0
74,52.0
75,44.0
76,17.0
77,17.0
78,20.0
79,27.0
80,45.0
81,0.0
82,2.0
83,2.0
84,3.0
85,70.0
86,0.0
87,83.0
88,81.0
89,83.0
90,77.0
91,64.0
92,63.0
93,60.0
94,41.0
95,19.0
96,22.0
97,27.0
98,30.0
99,40.0
100,48.0
101,0.0
102,0.0
103,0.0
104,0.0
105,5.0
106,88.0
107,88.0
108,83.0
109,81.0
110,63.0
111,61.0
112,56.0
113,43.0
114,20.0
115,24.0
116,28.0
117,38.0
118,37.0
119,48.0
120,0.0
121,0.0
122,0.0
123,0.0
124,4.0
125,1.0
126,94.0
127,94.0
128,90.0
129,78.0
130,62.0
131,52.0
132,44.0
133,22.0
134,18.0
135,0.0
136,1.0
137,1.0
138,0.0
139,2.0
140,0.0
141,0.0
142,1.0
143,1.0
144,1.0
145,2.0
146,2.0
147,4.0
148,85.0
149,72.0
150,55.0
151,43.0
152,22.0
153,0.0
154,1.0
155,1.0
156,1.0
157,1.0
158,0.0
159,0.0
160,1.0
161,1.0
162,3.0
163,2.0
164,5.0
165,116.0
166,106.0
167,1.0
168,76.0
169,57.0
170,47.0
171,17.0
172,1.0
173,28.0
174,2.0
175,3.0
176,1.0
177,3.0
178,2.0
179,1.0
180,4.0
181,3.0
182,2.0
183,134.0
184,123.0
185,105.0
186,2.0
187,79.0
188,0.0
189,40.0
190,18.0
191,23.0
192,0.0
193,1.0
194,2.0
195,2.0
196,1.0
197,2.0
198,2.0
199,6.0
200,1.0
201,1.0
202,3.0
203,116.0
204,2.0
205,3.0
206,77.0
207,52.0
208,40.0
209,19.0
210,22.0
211,30.0
212,0.0
213,1.0
214,1.0
215,2.0
216,3.0
217,2.0
218,3.0
219,4.0
220,1.0
221,2.0
222,1.0
223,3.0
224,3.0
225,67.0
226,54.0
227,40.0
228,16.0
229,22.0
230,33.0
231,38.0
232,46.0
233,2.0
234,2.0
235,1.0
236,3.0
237,2.0
238,3.0
239,4.0
240,1.0
241,4.0
242,7.0
243,3.0
244,61.0
245,48.0
246,37.0
247,14.0
248,23.0
249,26.0
250,31.0
251,37.0
252,45.0
253,0.0
254,2.0
255,2.0
256,1.0
257,2.0
258,5.0
259,4.0
260,2.0
261,1.0
262,1.0
263,55.0
264,41.0
265,39.0
266,7.0
267,16.0
268,21.0
269,27.0
270,33.0
271,37.0
272,44.0
273,56.0
274,60.0
275,68.0
276,66.0
277,67.0
278,61.0
279,66.0
280,63.0
281,4.0
282,47.0
283,37.0
284,26.0
285,5.0
286,10.0
287,19.0
288,22.0
289,26.0
290,30.0
291,35.0
292,41.0
293,48.0
294,51.0
295,46.0
296,46.0
297,49.0
298,52.0
299,55.0
300,51.0
301,39.0
302,33.0
303,22.0
